condition	cell_type	n	prop
41BB-L	Astrocytes	501	0.0183281507225169
41BB-L	B cells	702	0.0256813608926285
41BB-L	Dendritic cells	1199	0.0438631790744467
41BB-L	Endothelial cells	1229	0.0449606731296872
41BB-L	Epithelial cells	269	0.00984086336199012
41BB-L	Fibroblasts	832	0.0304371684653375
41BB-L	Macrophages	5495	0.201024327784891
41BB-L	Mast cells	23	0.000841412109017743
41BB-L	Microglia	11009	0.402743735138101
41BB-L	Monocytes	614	0.0224620449972563
41BB-L	NK/T cells	1569	0.0573989390890799
41BB-L	Neurons	3148	0.115163709529907
41BB-L	Neutrophils	348	0.0127309310407902
41BB-L	Oligodendrocytes	397	0.0145235046643497
B7H3	Astrocytes	537	0.0155054427857823
B7H3	B cells	896	0.0258712788381024
B7H3	Dendritic cells	1855	0.0535616319695088
B7H3	Endothelial cells	684	0.0197499494701585
B7H3	Epithelial cells	489	0.0141194814194554
B7H3	Fibroblasts	1225	0.0353708890364681
B7H3	Macrophages	8518	0.245950394132764
B7H3	Mast cells	44	0.00127046458579967
B7H3	Microglia	11023	0.318280252937949
B7H3	Monocytes	1253	0.0361793665001588
B7H3	NK/T cells	2872	0.0829266884185603
B7H3	Neurons	4044	0.116767245113042
B7H3	Neutrophils	814	0.0235035948372939
B7H3	Oligodendrocytes	379	0.0109433199549563
CD28-41BB	Astrocytes	1848	0.0438611064960957
CD28-41BB	B cells	737	0.0174922269954667
CD28-41BB	Dendritic cells	508	0.0120570574134289
CD28-41BB	Endothelial cells	1717	0.0407519046827902
CD28-41BB	Epithelial cells	300	0.00712030949611943
CD28-41BB	Fibroblasts	1592	0.0377851090594071
CD28-41BB	Macrophages	6107	0.144945766976005
CD28-41BB	Mast cells	19	0.000450952934754231
CD28-41BB	Microglia	15467	0.367099423254931
CD28-41BB	Monocytes	498	0.0118197137635583
CD28-41BB	NK/T cells	1163	0.0276030664799563
CD28-41BB	Neurons	10683	0.253554221156813
CD28-41BB	Neutrophils	559	0.0132675100277692
CD28-41BB	Oligodendrocytes	935	0.0221916312629056
CD8-41BB	Astrocytes	444	0.0138984536405184
CD8-41BB	B cells	4111	0.128685907468854
CD8-41BB	Dendritic cells	1673	0.0523696237400614
CD8-41BB	Endothelial cells	921	0.0288299004570212
CD8-41BB	Epithelial cells	222	0.00694922682025919
CD8-41BB	Fibroblasts	656	0.0205346522256308
CD8-41BB	Macrophages	6126	0.191761096850936
CD8-41BB	Mast cells	14	0.000438239529205534
CD8-41BB	Microglia	10212	0.319664433731923
CD8-41BB	Monocytes	892	0.0279221185750955
CD8-41BB	NK/T cells	3884	0.121580166531021
CD8-41BB	Neurons	1703	0.0533087084455018
CD8-41BB	Neutrophils	641	0.0200651098729105
CD8-41BB	Oligodendrocytes	447	0.0139923621110624
STOP	Astrocytes	1411	0.0410639969733128
STOP	B cells	732	0.021303221675737
STOP	Dendritic cells	330	0.00960391141119292
STOP	Endothelial cells	1724	0.05017316143302
STOP	Epithelial cells	471	0.013707400832339
STOP	Fibroblasts	1499	0.0436250400162975
STOP	Macrophages	3621	0.105381100666453
STOP	Mast cells	28	0.000814877331858793
STOP	Microglia	10976	0.319431914088647
STOP	Monocytes	492	0.0143185588312331
STOP	NK/T cells	1390	0.0404528389744187
STOP	Neurons	9293	0.270451965891563
STOP	Neutrophils	1715	0.0499112365763511
STOP	Oligodendrocytes	679	0.0197607752975757
tumor	Astrocytes	2060	0.0562273111881431
tumor	B cells	780	0.0212899527799765
tumor	Dendritic cells	194	0.00529519338373775
tumor	Endothelial cells	2592	0.0707481507765374
tumor	Epithelial cells	1038	0.0283320140841226
tumor	Fibroblasts	7106	0.193956928787837
tumor	Macrophages	2759	0.0753063842563529
tumor	Mast cells	129	0.00352103065207304
tumor	Microglia	8553	0.23345252067582
tumor	Monocytes	216	0.00589567923137811
tumor	NK/T cells	584	0.015940169773726
tumor	Neurons	9799	0.267461855501269
tumor	Neutrophils	144	0.00393045282091874
tumor	Oligodendrocytes	683	0.0186423560881077
