condition	cell_group	n	prop
41BB-L	Migratory DC	357	0.6
41BB-L	Inflammatory DC (IL12+)	136	0.228571428571429
41BB-L	cDC2	56	0.0941176470588235
41BB-L	cDC1	46	0.0773109243697479
B7H3	Migratory DC	471	0.543252595155709
B7H3	Inflammatory DC (IL12+)	231	0.26643598615917
B7H3	cDC2	92	0.106113033448674
B7H3	cDC1	73	0.0841983852364475
CD28-41BB	Migratory DC	167	0.692946058091286
CD28-41BB	Inflammatory DC (IL12+)	47	0.195020746887967
CD28-41BB	cDC2	12	0.0497925311203319
CD28-41BB	cDC1	15	0.0622406639004149
CD8-41BB	Migratory DC	424	0.572972972972973
CD8-41BB	Inflammatory DC (IL12+)	107	0.144594594594595
CD8-41BB	cDC2	112	0.151351351351351
CD8-41BB	cDC1	97	0.131081081081081
STOP	Migratory DC	91	0.636363636363636
STOP	Inflammatory DC (IL12+)	14	0.0979020979020979
STOP	cDC2	25	0.174825174825175
STOP	cDC1	13	0.0909090909090909
tumor	Migratory DC	36	0.5
tumor	Inflammatory DC (IL12+)	14	0.194444444444444
tumor	cDC2	14	0.194444444444444
tumor	cDC1	8	0.111111111111111
