"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.13630246410897e-12,3.05008588655898,0.131,0.03,2.16522434535964e-08,"0","Mbp"
1.60637661678444e-05,1.68336198574556,0.107,0.103,0.306095064328275,"0","Dock9"
1.40880142299537e-09,1.51131043362624,0.103,0.105,2.68447111151768e-05,"0","Arl3"
0.00839290675335895,1.48425323981947,0.08,0.112,1,"0","Dusp22"
0.00234782189415908,1.47490598042395,0.132,0.187,1,"0","H2ac25"
3.68733271492646e-07,1.44945963339308,0.09,0.1,0.00702621248829237,"0","Pde4dip"
2.21197947302099e-05,1.40457228356065,0.073,0.105,0.421492688584149,"0","Cbx7"
2.68587832588896e-12,1.37937555759595,0.099,0.123,5.11794114998142e-08,"0","Ahcyl2"
8.46997883784775e-12,1.37868680164901,0.08,0.103,1.61395446755189e-07,"0","Slc8a1"
0.0003071365212977,1.37231850051929,0.061,0.101,1,"0","Abcg1"
4.9366294158369e-14,1.36700678557204,0.096,0.122,9.4067473518772e-10,"0","Mapk8ip3"
1.2456356209025e-10,1.31368938229818,0.145,0.205,2.37355867562971e-06,"0","Dpp8"
4.67616264369445e-18,1.30754228496681,0.102,0.151,8.91042791755977e-14,"0","Mecp2"
2.08638823834394e-08,1.28458863758445,0.136,0.187,0.000397561278816437,"0","Iffo1"
7.021890767961e-09,1.2841724737618,0.099,0.166,0.000133802128583497,"0","Tbce"
1.57605046101236e-07,1.27468006146734,0.25,0.297,0.00300316415345905,"0","Nisch"
0.00308391949277114,1.26799952269457,0.097,0.131,1,"0","Fuz"
5.50542230349474e-17,1.26561302368579,0.073,0.112,1.04905821993092e-12,"0","Taok2"
4.29043105274161e-06,1.26188532127539,0.447,0.414,0.0817541637099914,"0","Adam11"
1.84220785891859e-18,1.24389811429953,0.086,0.111,3.51032707516937e-14,"0","Inpp4a"
1.4500314389619e-06,1.241841397331,0.068,0.111,0.027630349069419,"0","Naxd"
6.72845496991893e-24,1.23816617093911,0.065,0.102,1.28210709451805e-19,"0","Selenow"
9.06061015737112e-08,1.23105845099004,0.145,0.23,0.00172649926548707,"0","Clasrp"
2.38172258183436e-07,1.22067482065447,0.07,0.125,0.00453837237968537,"0","Adnp2"
2.98873356488654e-05,1.21877007634693,0.068,0.103,0.569503180789129,"0","Patz1"
6.29538327840569e-16,1.21644895417257,0.078,0.137,1.19958528370021e-11,"0","Maz"
0.00247553226476441,1.20986111059293,0.184,0.189,1,"0","Agap1"
6.5342719698948e-06,1.20730584542695,0.129,0.209,0.124510552386345,"0","Ankrd27"
6.8771383608304e-08,1.20320328548803,0.104,0.152,0.00131043871465623,"0","Rabgap1"
2.70976238924273e-16,1.20189485070661,0.103,0.12,5.16345223270203e-12,"0","Dynll2"
2.32982661531036e-49,9.95213259850242,0.103,0,4.43948461547389e-45,"1","Klrg1"
2.50658904932747e-70,9.24636018113383,0.133,0,4.77630543349349e-66,"1","Ccr8"
3.7415500531262e-115,8.95344158211133,0.212,0,7.12952362623197e-111,"1","Camk4"
1.45711246607677e-92,8.7194148142193,0.145,0,2.77652780410929e-88,"1","Tlr3"
2.0410226543786e-64,8.63721424008021,0.127,0,3.88916866791842e-60,"1","Trbv12-2"
9.02588095579962e-78,8.45209599836942,0.159,0,1.71988161612762e-73,"1","Gata3"
1.44836312527143e-276,8.42353522737178,0.526,0.002,2.75985593520471e-272,"1","Ctla4"
6.10277097808394e-135,8.26316859015906,0.267,0.001,1.1628830098739e-130,"1","Cd209a"
3.36208902105779e-56,8.25584929937894,0.112,0,6.40646062962562e-52,"1","Il1rl1"
3.37336222435051e-84,8.25521953938796,0.186,0.001,6.4279417184999e-80,"1","Sytl1"
1.85205542814824e-115,8.12078459640425,0.237,0,3.52909161833647e-111,"1","Gpr174"
5.49616674959336e-270,7.99797686776655,0.527,0.002,1.04729457413501e-265,"1","Zap70"
3.67318445199904e-163,7.90879020342505,0.301,0.001,6.99925297328417e-159,"1","Xcl1"
1.21120826229401e-224,7.84475630301199,0.453,0.003,2.30795734380123e-220,"1","Gimap9"
2.19489830935944e-124,7.43532453009937,0.251,0.002,4.18237872848442e-120,"1","Txk"
1.56699760663685e-304,7.37570501610684,0.605,0.005,2.98591393944652e-300,"1","Nkg7"
4.44216376112868e-154,7.37404344983419,0.308,0.002,8.46454304683069e-150,"1","Cd3g"
2.42471310750048e-176,7.3328191540568,0.35,0.002,4.62029082634217e-172,"1","Nt5e"
0,7.27577849630625,0.651,0.005,0,"1","Cd3e"
0,7.26037986613251,0.821,0.009,0,"1","Gimap4"
2.13011095233128e-105,7.24618823773646,0.188,0.001,4.05892641966726e-101,"1","Kcnab2"
5.72689503553866e-273,7.21529053990336,0.535,0.004,1.09125984902189e-268,"1","Ctsw"
1.05782085765692e-148,7.13251910401374,0.285,0.002,2.01567764426526e-144,"1","Gimap7"
1.41111600369367e-101,7.111362302612,0.198,0,2.6888815450383e-97,"1","Gstp3"
0,7.02365582827464,0.609,0.004,0,"1","Il2rb"
0,7.01403576673097,0.754,0.008,0,"1","Trac"
9.98265341322372e-171,7.0099354952652,0.317,0.001,1.90219460788978e-166,"1","Ifng"
1.46522700854375e-190,6.9606236733879,0.377,0.003,2.79199006478012e-186,"1","Trbc1"
1.44569659606574e-52,6.9421293922322,0.11,0.001,2.75477486380326e-48,"1","Cpm"
1.422426186177e-130,6.88263415473329,0.234,0.001,2.71043309776027e-126,"1","Gzmb"
1.9526598101325e-27,2.53945788771054,0.138,0.022,3.72079326820748e-23,"2","Efnb2"
6.71456571677159e-15,1.93215808944386,0.167,0.059,1.27946049733083e-10,"2","Bpnt1"
1.05702731667638e-38,1.59362825046444,0.352,0.123,2.01416555192683e-34,"2","Nrp2"
1.7573153339393e-10,1.54589408947777,0.103,0.035,3.34856436882134e-06,"2","Ceacam15"
2.42178819210646e-09,1.51938753526945,0.112,0.046,4.61471740005887e-05,"2","Gprc5a"
9.02925278973942e-44,1.49450069460426,0.431,0.159,1.72052411908485e-39,"2","Flrt3"
1.09934894753094e-09,1.43545182106376,0.108,0.042,2.0948094195202e-05,"2","Gapt"
1.47915303284422e-24,1.42923295899456,0.305,0.124,2.81852610408466e-20,"2","Slc41a1"
3.32430981668511e-56,1.39917297297811,0.705,0.377,6.33447235569347e-52,"2","Foxp1"
1.73524565753545e-23,1.37859464409043,0.317,0.131,3.30651060043381e-19,"2","Gcnt2"
8.56919573475328e-09,1.33284403651037,0.117,0.045,0.000163286024725724,"2","Pxdc1"
8.86405538640215e-17,1.32472902648739,0.24,0.107,1.68904575387893e-12,"2","Vdr"
0.000674849897234177,1.32026429107461,0.114,0.066,1,"2","Hs6st1"
9.56654709248221e-21,1.31807879375241,0.27,0.112,1.82290554847248e-16,"2","Tnfaip2"
2.71122202147115e-88,1.29942366927978,0.919,0.644,5.16623356191327e-84,"2","Pde4b"
1.75736582810777e-56,1.29179883868248,0.835,0.57,3.34866058545936e-52,"2","Uap1"
0.00239896433929078,1.28956753970476,0.105,0.053,1,"2","Inppl1"
6.8818830000206e-47,1.25859323789264,0.794,0.57,1.31134280565392e-42,"2","Nr4a3"
4.66875817888294e-68,1.25234889047513,0.864,0.51,8.89631870986145e-64,"2","Ccr7"
1.06634929975651e-17,1.24616607497649,0.204,0.068,2.03192859068602e-13,"2","Plcl1"
0.00033047828703719,1.23069468977353,0.154,0.099,1,"2","Maml1"
2.89984503114481e-36,1.230325853617,0.506,0.239,5.52565470684644e-32,"2","Pcyt1a"
4.07419241029947e-15,1.22781666100995,0.393,0.246,7.76337363782564e-11,"2","Eprs"
2.8770867691042e-09,1.22748410527254,0.117,0.047,5.48228883852805e-05,"2","Tbc1d4"
9.59961623865044e-44,1.22082496338079,0.58,0.249,1.82920687427484e-39,"2","Zbtb18"
