condition	cell_group	n	prop
41BB-L	Heat-shocked T cells	243	0.203177257525084
41BB-L	CD4+ Regulatory T cells	248	0.207357859531773
41BB-L	CD8+ Cytotoxic T cells	128	0.107023411371237
41BB-L	CD4+ Helper T cells	97	0.0811036789297659
41BB-L	Proliferating	163	0.13628762541806
41BB-L	iNKT1 cells	116	0.096989966555184
41BB-L	Naive T cells	56	0.0468227424749164
41BB-L	Central memory T cells	49	0.0409698996655518
41BB-L	IFN-stimulated T cells	50	0.0418060200668896
41BB-L	iNKT17 cells	29	0.024247491638796
41BB-L	iNKT2 cells	17	0.0142140468227425
B7H3	Heat-shocked T cells	614	0.26072186836518
B7H3	CD4+ Regulatory T cells	313	0.132908704883227
B7H3	CD8+ Cytotoxic T cells	307	0.13036093418259
B7H3	CD4+ Helper T cells	189	0.0802547770700637
B7H3	Proliferating	406	0.1723991507431
B7H3	iNKT1 cells	161	0.0683651804670913
B7H3	Naive T cells	101	0.0428874734607219
B7H3	Central memory T cells	75	0.0318471337579618
B7H3	IFN-stimulated T cells	133	0.0564755838641189
B7H3	iNKT17 cells	31	0.0131634819532909
B7H3	iNKT2 cells	25	0.0106157112526539
CD28-41BB	Heat-shocked T cells	206	0.258145363408521
CD28-41BB	CD4+ Regulatory T cells	129	0.161654135338346
CD28-41BB	CD8+ Cytotoxic T cells	65	0.081453634085213
CD28-41BB	CD4+ Helper T cells	58	0.0726817042606516
CD28-41BB	Proliferating	100	0.12531328320802
CD28-41BB	iNKT1 cells	84	0.105263157894737
CD28-41BB	Naive T cells	42	0.0526315789473684
CD28-41BB	Central memory T cells	47	0.0588972431077694
CD28-41BB	IFN-stimulated T cells	29	0.0363408521303258
CD28-41BB	iNKT17 cells	16	0.0200501253132832
CD28-41BB	iNKT2 cells	22	0.0275689223057644
CD8-41BB	Heat-shocked T cells	545	0.177466623249756
CD8-41BB	CD4+ Regulatory T cells	366	0.11917942038424
CD8-41BB	CD8+ Cytotoxic T cells	391	0.127320091175513
CD8-41BB	CD4+ Helper T cells	338	0.110061869098014
CD8-41BB	Proliferating	496	0.16151090849886
CD8-41BB	iNKT1 cells	320	0.104200586128297
CD8-41BB	Naive T cells	232	0.0755454249430153
CD8-41BB	Central memory T cells	177	0.0576359492022143
CD8-41BB	IFN-stimulated T cells	43	0.0140019537609899
CD8-41BB	iNKT17 cells	134	0.0436339954412244
CD8-41BB	iNKT2 cells	29	0.00944317811787691
STOP	Heat-shocked T cells	242	0.222018348623853
STOP	CD4+ Regulatory T cells	134	0.122935779816514
STOP	CD8+ Cytotoxic T cells	120	0.110091743119266
STOP	CD4+ Helper T cells	178	0.163302752293578
STOP	Proliferating	155	0.142201834862385
STOP	iNKT1 cells	79	0.0724770642201835
STOP	Naive T cells	43	0.0394495412844037
STOP	Central memory T cells	60	0.055045871559633
STOP	IFN-stimulated T cells	44	0.0403669724770642
STOP	iNKT17 cells	13	0.0119266055045872
STOP	iNKT2 cells	22	0.0201834862385321
tumor	Heat-shocked T cells	112	0.297082228116711
tumor	CD4+ Regulatory T cells	37	0.0981432360742706
tumor	CD8+ Cytotoxic T cells	18	0.0477453580901857
tumor	CD4+ Helper T cells	22	0.0583554376657825
tumor	Proliferating	40	0.106100795755968
tumor	iNKT1 cells	50	0.13262599469496
tumor	Naive T cells	14	0.0371352785145889
tumor	Central memory T cells	42	0.111405835543767
tumor	IFN-stimulated T cells	15	0.0397877984084881
tumor	iNKT17 cells	15	0.0397877984084881
tumor	iNKT2 cells	12	0.0318302387267905
