seurat_clusters	matched_old_label	matched_count	matched_prop
0	Heat-shocked T cells	929	0.702723146747352
1	CD4+ Regulatory T cells	1160	0.890253261703761
2	Heat-shocked T cells	735	0.620777027027027
3	iNKT1 cells	788	0.956310679611651
4	Proliferating	790	0.997474747474748
5	CD4+ Helper T cells	493	0.715529753265602
6	Proliferating	507	0.821717990275527
7	Central memory T cells	403	0.688888888888889
8	CD8+ Cytotoxic T cells	432	0.949450549450549
9	Naive T cells	411	0.90929203539823
10	IFN-stimulated T cells	271	0.900332225913621
11	iNKT17 cells	218	0.960352422907489
12	iNKT2 cells	122	0.897058823529412
