"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Plekhg5",157.323131133921,-5.06045362342016,0.296392665650985,-17.0734778888863,2.33844988552927e-65,2.9805882240956e-61
"Cables1",190.547750757202,-6.18650747660049,0.364798766909686,-16.9586852746465,1.66017662989618e-64,1.05803056623283e-60
"Tjp1",320.765448245464,-8.98441560476752,0.579266038636879,-15.5099988701384,2.96884106613584e-54,1.26136160763225e-50
"Tgfa",146.708054645901,-7.4387463658821,0.490723310231986,-15.1587385615847,6.63310775875496e-52,2.11363978732727e-48
"Plcg1",129.716182210639,-6.16175108168437,0.410311274205984,-15.0172599902557,5.65993980268049e-51,1.20235987874943e-47
"Sema4g",191.893403026817,-8.66605042872316,0.576625320733074,-15.0289106584946,4.74748726245367e-51,1.20235987874943e-47
"Rgs3",115.773439999212,-5.42314889030005,0.367374412000451,-14.761912406391,2.57863813934644e-49,4.69533167487281e-46
"Myo1b",132.153441336077,-7.43141179443416,0.523740414608341,-14.1891127496652,1.07003978230856e-45,1.70484088316311e-42
"Cst3",121528.737804437,-2.38516040249715,0.17144802198161,-13.9118572202191,5.3667567637667e-44,7.60052019010782e-41
"Slc2a5",333.042457464272,-7.02348669010011,0.505691882763317,-13.8888657886316,7.39978026242662e-44,9.43175992248897e-41
"Asap3",124.526654343292,-8.02643111102007,0.587609332858879,-13.6594683953866,1.77273150092172e-42,2.05411233734076e-39
"Sall3",241.543007391221,-7.17952542502664,0.53111386345394,-13.5178648479193,1.2268510355872e-41,1.3031202749662e-38
"Bcl9l",139.591117905186,-4.66853740798585,0.349857581928472,-13.3441081432396,1.28195617583231e-40,1.25690872439681e-37
"Bmpr1a",96.5652790938436,-6.53790430726387,0.491971766333454,-13.2891859953454,2.67472108092019e-40,2.43514249267205e-37
"Arvcf",113.224721103695,-7.47751456653308,0.563492214696511,-13.269951867144,3.45802790923951e-40,2.93840158207778e-37
"Ak1",120.545991683222,-8.18479806240615,0.620352638353665,-13.193782949207,9.52812562056441e-40,7.59034307248213e-37
"Liph",122.144096494118,-6.21287728274051,0.47918385289141,-12.9655397302138,1.91875052307308e-38,1.4386114215935e-35
"Klf12",110.966686270934,-8.77709114802643,0.678802294799189,-12.9302614550279,3.03784038802216e-38,2.15112853254058e-35
"Tspan18",78.4819581190626,-8.27785771225975,0.641819170772279,-12.8974921429961,4.64984410530988e-38,3.11931120875157e-35
"Mrc2",101.121653812893,-8.64370798350214,0.676420713409174,-12.7785974204392,2.15928347278425e-37,1.3761113572054e-34
"Mbnl2",1540.85432752254,1.36107001914719,0.107236073598487,12.6922776401092,6.52599506351749e-37,3.96096824188543e-34
"Mlph",70.0579262748476,-7.18063868481535,0.576406708834995,-12.4575904040543,1.27154723278152e-35,7.36688228592419e-33
"Klk8",89.8485928109964,-6.38985339465043,0.521366941544069,-12.2559619444347,1.56086105640664e-34,8.64988479346045e-32
"Magi1",63.125373692696,-7.72542880380669,0.634615117964946,-12.1734080785535,4.30715671472985e-34,2.28745914524778e-31
"Jam2",115.333057421898,-8.57674090662085,0.707488160992924,-12.1228048460681,7.99744684986746e-34,4.07741830193643e-31
"Rubcnl",435.727437590478,-2.08804953742963,0.173127682079381,-12.0607491092743,1.70227491309864e-33,8.34507540090588e-31
"Dennd2b",119.050301303447,-7.46520498926107,0.627668878552282,-11.8935401201977,1.27869418460042e-32,6.03638373219146e-30
"Ache",84.977950996321,-8.14518152651406,0.687187230741907,-11.8529291030631,2.07798156499474e-32,9.45926893836533e-30
"Adamts16",74.8654381091019,-7.96383430228538,0.672142066589922,-11.8484390401117,2.19236531144967e-32,9.63582353784051e-30
"Tmc7",69.9862475214584,-7.62677072192093,0.648545846823407,-11.7598019620001,6.2881611540451e-32,2.59067551252635e-29
"Lrrc3",244.092574215253,-5.76521868897552,0.490255049423642,-11.7596314321561,6.30087406937995e-32,2.59067551252635e-29
"Adgrg1",610.485712300069,-7.51973875282698,0.640302253089741,-11.7440454356375,7.57732467680548e-32,3.01814313533008e-29
"Fam83g",42.0512818604245,-4.75814620327186,0.406203075625429,-11.7137128908878,1.08425345896445e-31,4.18784684483662e-29
"Snn",63.4670389735413,-5.81040435136007,0.504592136900196,-11.5150513185847,1.1079356390346e-30,4.15345519268677e-28
"Cdh23",48.409323302416,-5.42710192070637,0.473842557611908,-11.4533864329496,2.26135137057015e-30,8.23519559122491e-28
"Gabbr1",193.907448528147,-7.06473443737602,0.619760387547596,-11.3991384078794,4.22277432916322e-30,1.49509671109762e-27
