"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sema4g",170.910308036057,-6.75842856724823,0.436399369857179,-15.4867972643042,4.2598936958717e-54,5.27332240611958e-50
"Plcg1",115.113440681654,-5.56872803333886,0.397144324520543,-14.0219252536512,1.14466685967558e-44,7.08491552796201e-41
"Adgrg1",541.909241116575,-6.60673422082775,0.486105947837719,-13.5911404709521,4.51982156566205e-42,1.39877177903326e-38
"Cables1",170.479459184534,-5.07620397510618,0.373300640182451,-13.5981657374742,4.10602388204571e-42,1.39877177903326e-38
"Plcl1",112.647077709361,-6.47769098000428,0.485444064246338,-13.3438462988749,1.28646819090863e-40,3.18503794705159e-37
"Pcdhgb2",88.8087579163186,-5.43995756077462,0.408711119076419,-13.310030745108,2.02398434687928e-40,4.17581703833644e-37
"Myo1b",117.427569459889,-6.9539685320364,0.533797961417298,-13.0273418683967,8.55358810184275e-39,1.51264095875302e-35
"Slc2a5",297.50758744863,-6.37616610026608,0.499347468718736,-12.7689965398774,2.44283391346503e-37,3.77998012684796e-34
"Dennd2b",104.668606978099,-5.98478313274879,0.475515652810548,-12.5858803961038,2.52511712313794e-36,3.47315831859161e-33
"Usp2",378.69668198575,-2.49561405549266,0.199155555756852,-12.5309788421848,5.05350815073722e-36,6.25573773979761e-33
"Cdk5r1",206.851630767464,-6.53484273749144,0.528921269406684,-12.3550386711086,4.57536082407382e-35,5.14894469465543e-32
"Tspan18",69.277044259192,-7.90663362922234,0.643874116553779,-12.279781755386,1.16311596747354e-34,1.19985104677958e-31
"Il1a",8554.84813688215,-2.94795669760817,0.241159527506932,-12.2240938522466,2.31144741002447e-34,2.20103134528407e-31
"Itgb3",74.3189352150929,-6.12462037573813,0.50463902722753,-12.1366363782575,6.75460452049272e-34,5.97251781136996e-31
"Ak1",108.549678959988,-5.39253532063931,0.447850825023613,-12.040918581215,2.1653101184833e-33,1.78695826378032e-30
"St3gal5",269.901937652518,-4.97657781514336,0.417846719802906,-11.9100559590147,1.04906833434633e-32,8.11651056929574e-30
"Mrc2",89.9545650317762,-7.77869039938817,0.67609146340723,-11.5053817721447,1.23939694681798e-30,9.02499694391754e-28
"Tjp1",289.56254081566,-6.10572808655405,0.539873852447586,-11.3095458482995,1.17697140919816e-29,8.0942939302578e-27
"Fosl1",69.1607637145449,-4.05145758349682,0.359280127249065,-11.2765980532183,1.71240673043612e-29,1.11567804821415e-26
"Lrrc3",216.778663340107,-4.87751148984854,0.436067274112329,-11.185227095469,4.81670750718521e-29,2.98130111157229e-26
"Fam167b",80.1831609028764,-3.6811383591675,0.332085111688582,-11.0849244052216,1.48475781335845e-28,8.75229379598298e-26
"Snn",56.7755646812515,-5.24640868869343,0.474610099319459,-11.0541446467663,2.09322558288214e-28,1.17781997684082e-25
