"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Stat4",161.915667666069,6.48835352167305,0.249982954912488,25.9551837202038,1.58910530068385e-148,2.31818681263759e-144
"Cd209a",1466.7730195838,7.67930655270097,0.328354020398393,23.3872773763624,5.75817853521679e-121,4.20001542358713e-117
"Cbfa2t3",453.609296034491,3.25309455586151,0.154643648869915,21.0360695679006,3.06776900129498e-98,1.49175380636304e-94
"Lsp1",2353.32813382318,3.61248268840364,0.180272528985263,20.0390082101692,2.51733589016921e-89,9.1807239914471e-86
"Klri1",64.042176724484,5.79542817733106,0.292917712896617,19.7851748875853,3.99509630828941e-87,1.16560929890652e-83
"Ltb",114.253820966923,5.73167137114273,0.294214194162155,19.4812877314265,1.5824882534726e-84,3.84755644027637e-81
"Cd209c",150.510750161281,7.45861823866787,0.389675048339972,19.1406102865498,1.15904534108606e-81,2.41545049082336e-78
"Klrd1",293.213236721213,6.89824016979872,0.38049721849264,18.1295416484947,1.86305540688375e-73,3.01980580840224e-70
"Acap1",151.307029167449,5.15184988100568,0.284117881486339,18.1327900027067,1.75618404358551e-73,3.01980580840224e-70
"Kmo",176.675448505335,5.02728276535998,0.27920884717327,18.0054565471565,1.76538118561351e-72,2.57533807357299e-69
"Ccl22",895.092065634064,7.11643445325494,0.398094439290183,17.8762468170714,1.80592349065573e-71,2.39498289833508e-68
"Cd7",330.872752016662,7.96933366628524,0.457193491254773,17.4309867019614,4.80103845210428e-68,5.69251166770892e-65
"H2-DMb2",435.135651684739,4.94226944343081,0.283584779941375,17.4278374334917,5.07284423363147e-68,5.69251166770892e-65
"St8sia1",56.9516754278033,6.07286600420404,0.353296893824997,17.1891293423378,3.20306296881181e-66,3.33759161350191e-63
"Il2ra",72.6033537783047,6.906353008227,0.403326174235641,17.1234932156722,9.91433372592149e-66,9.64202002624952e-63
"Dpp4",90.5874485112715,4.71164779734311,0.278423872388251,16.9225711751214,3.06741974608176e-64,2.79671995349005e-61
"Epcam",38.5642625314277,5.91071880935973,0.356370119823509,16.5858989869493,8.8136904529807e-62,7.56318331341662e-59
"Srebf2",747.847988212385,2.68307457512666,0.162063429194504,16.5557065431863,1.45621874452736e-61,1.18018439139806e-58
"Ccnd2",356.029323154732,4.70859414696109,0.284533907389592,16.5484465108545,1.64287418291076e-61,1.26138150422643e-58
"Il1r2",1236.61460358068,5.49677039740311,0.335582661427136,16.3797806895831,2.66703059411035e-60,1.94533211534409e-57
"Macroh2a1",2070.19239625956,2.2076701576024,0.135535626441776,16.2884860280687,1.19142238588124e-59,8.2764141739217e-57
"Cd244a",330.166469369682,2.97697830332983,0.186816667522588,15.935292834457,3.60507928363674e-57,2.39049529953149e-54
"Grap2",166.969368288965,4.50796961596326,0.285004283428165,15.8171995232468,2.36793357273563e-56,1.50188760691597e-53
"Cnn2",738.803696958582,3.92790855877535,0.248861828838823,15.7834914944681,4.04197236111229e-56,2.45684553349609e-53
"Lpar3",20.4683001449857,6.60746363110231,0.419813944280926,15.7390284937291,8.16881994141424e-56,4.76666981221404e-53
"P2ry10",251.798950377805,5.04792210909135,0.325074718665348,15.5284979706096,2.22531219097413e-54,1.24857131699733e-51
"Cdkn2d",109.294589159904,2.79851349206077,0.180284318773086,15.5227781933886,2.43285586571398e-54,1.31446301366798e-51
"H2-Eb2",239.090995169079,5.7220032412645,0.368922713847732,15.5100323902154,2.96729161532697e-54,1.54595893158535e-51
"Siglecg",220.217495317471,4.98920380919469,0.321795091525699,15.5042881031523,3.24493270569974e-54,1.6323130451982e-51
"Nccrp1",52.8932255073294,4.99848845112457,0.322952514330621,15.4774718552195,4.92448082937453e-54,2.39461087796385e-51
"Aldh1a2",47.887236673093,5.70907282806861,0.369396426526589,15.4551382149271,6.96620038605413e-54,3.27815907199218e-51
"Mmp25",370.001637138035,5.85418682606763,0.380102604668286,15.4015961852631,1.59678581127629e-53,7.2793473171558e-51
"Klri2",55.9581517950708,7.194959328351,0.467328628911894,15.395931007059,1.74297659665468e-53,7.70501290666622e-51
"Stat5a",120.736991261771,3.03827854360589,0.197869784375729,15.3549393768813,3.28216231844521e-53,1.40824070298467e-50
"Kctd14",100.434112234114,4.61004351389801,0.301322673069727,15.2993582160053,7.72142753612433e-53,3.21829099705662e-50
"Mgl2",2045.70646478485,4.79679701504101,0.314083383242124,15.2723680110871,1.16851491991821e-52,4.73508212549077e-50
"Cd209d",168.734331198463,7.94412119860949,0.521112926076358,15.2445291626588,1.79018760595258e-52,7.05817751233413e-50
"Bex6",36.7779764119738,5.23454963999208,0.3443264424933,15.2022876956188,3.41484073372693e-52,1.3109393848318e-49
"Ffar2",58.3861881440749,6.57058782637368,0.434852513641671,15.1099226065139,1.39303259036118e-51,5.21065626363819e-49
"Zbtb46",189.05952735601,3.79384472268497,0.252266760877337,15.0390194470753,4.07541968722129e-51,1.4863055599296e-48
"Ccr7",423.170274904144,7.64081764094,0.517742022742317,14.7579630497617,2.73414517120171e-49,9.72822189207088e-47
"Wnt11",540.722948033972,5.63692846285849,0.382062276698912,14.7539519252269,2.90164032946856e-49,1.00783640776875e-46
"Spib",76.3815927947438,6.67505970465455,0.456425653599809,14.6246374453509,1.95610102069088e-48,6.63618643949736e-46
"Serpine2",525.245617525639,-9.38664701838083,0.646273446115497,-14.5242653474321,8.50492144775753e-48,2.81976804727016e-45
"St3gal4",442.509313481476,2.74658046334947,0.189896030170439,14.4636012710971,2.05745036351114e-47,6.66979686731123e-45
"Nectin1",155.034545724112,5.11753104120992,0.354308739609042,14.4437053595031,2.74669891324491e-47,8.55915629166665e-45
"Myo1g",1078.61675542652,2.3658309810068,0.163799778247029,14.4434321360243,2.75761136350653e-47,8.55915629166665e-45
"Bloc1s2",380.799303396139,1.87569011968023,0.131246209478736,14.2913850779372,2.47634753670689e-46,7.52603288864168e-44
"Ngfr",16.7272953608244,7.18745773889636,0.505496707213436,14.2186044663227,7.02396954102779e-46,2.09113607478599e-43
"Bcl11a",65.5692016548544,5.09043458775212,0.358146190305088,14.2132869915936,7.57832264870058e-46,2.21105141598488e-43
"Ldhb",289.05167981775,-8.75308551417146,0.618925764440286,-14.1423834926102,2.08114324154135e-45,5.92127659697113e-43
"Ifitm1",559.319560533561,4.83325165030103,0.341780478426074,14.1413917862089,2.11068263670482e-45,5.92127659697113e-43
"St8sia4",399.066148025014,2.18123556327755,0.154680848189663,14.1015231607924,3.71660328159634e-45,1.02297752211184e-42
"Pon3",361.984438377425,-3.29307182788341,0.23379255220694,-14.0854436841451,4.66718309972151e-45,1.2608308714581e-42
"Rin3",740.493024480564,2.1199195749398,0.151101524857066,14.0297695668203,1.02484027777716e-44,2.71824908585694e-42
"Rhof",75.0554972182108,5.39520206021901,0.388090321739756,13.9019237481446,6.16614941599419e-44,1.60628192286649e-41
"Sparc",4716.82933357941,-10.7383754359285,0.773343407298673,-13.8856494211778,7.73956970732181e-44,1.98078671737562e-41
"Klrb1b",471.417284181462,4.1062440004397,0.296200344325136,13.8630628866937,1.06050590916067e-43,2.6673552073855e-41
"Rgs12",43.9781021698119,6.06763489984362,0.439120868299517,13.8176874247411,1.99372470758258e-43,4.92956881935841e-41
"Nup210",395.650018458616,3.5890801285106,0.259991111389193,13.8046262786959,2.39008795932599e-43,5.81110052510791e-41
"Lmo1",91.2720810817713,5.59278429555166,0.406298475857624,13.7652111141847,4.12676981111946e-43,9.86906852534602e-41
"Tnip3",909.814038869474,4.19522439323841,0.305468702451882,13.7337290516669,6.37652154781779e-43,1.50033381192848e-40
"Slc7a8",122.915905645862,-3.56386869604228,0.259771992616165,-13.7192183812833,7.79006550028635e-43,1.80383294473297e-40
"Upb1",31.3086443094055,6.17349755282719,0.451863965298976,13.662292253693,1.70529929417578e-42,3.88701657866192e-40
"Lap3",505.169671822417,-2.16675266324074,0.158671424981725,-13.6555946572629,1.86956904959883e-42,4.19588819931504e-40
"Mfsd11",195.036974281174,-2.2223894892681,0.164127266976996,-13.540647634007,8.99919966165295e-42,1.98909582824535e-39
"Smim5",44.4924588177563,5.38858137627789,0.400034596615828,13.4702883747147,2.33950497547949e-41,5.09383560929773e-39
"Il4i1",769.726744529213,4.27840364754089,0.319196465816321,13.4036686045354,5.75467329200452e-41,1.23454667623179e-38
"Arhgef10",64.3154413077254,5.24424852120585,0.39163128803474,13.39078026049,6.8457764958349e-41,1.44733605103246e-38
"Atp6v1c1",601.193790050539,-1.88527364084222,0.142319312016115,-13.2467872008034,4.70935992780081e-40,9.81430608953688e-38
"Cdh1",112.596666227788,6.69844791520798,0.506381295819633,13.228071357505,6.04178692855475e-40,1.24137447484164e-37
