"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gbp4",550.149565320858,-5.41618340053564,0.842817305517257,-6.4262840417255,1.3076096788867e-10,1.60116805179676e-06
"Htra1",294.956667954205,-5.51466711279491,0.909394209249928,-6.06411065377624,1.32685784811894e-09,7.89927924761062e-06
"Serpina3g",1570.77795649854,-4.4333132138919,0.738498345670642,-6.0031457617768,1.93530728810387e-09,7.89927924761062e-06
"Cxcl13",1671.29102759068,-5.75333903293855,0.971428130604506,-5.92255757444282,3.1697277694601e-09,9.70332913425974e-06
"Afap1",223.553597990204,-3.2243594369218,0.57893381439878,-5.56947850812667,2.55502902254859e-08,6.2572660762215e-05
"Oasl1",2463.51330609491,-2.93365701232037,0.550957519830606,-5.32465191367627,1.01146540844753e-07,0.000206423232107334
"Slco3a1",252.477039268558,-3.40127919848339,0.649191356417081,-5.23925521321667,1.61225945416131e-07,0.000282030243088646
"Nos2",811.644192697252,-13.2449345977978,2.54987803449595,-5.19434044241101,2.0544688622285e-07,0.00031446214022485
"Mast4",20.4792854238205,-7.92843162424968,1.54184549063939,-5.14216999847492,2.71583201542161e-07,0.000369504033653751
"Id3",868.232934638545,-4.28205412589335,0.846086780773526,-5.0610105525801,4.17040130212388e-07,0.000510665639445069
"Mefv",837.018375556409,-2.29874977877793,0.456153017979958,-5.03942687687956,4.66927982979802e-07,0.000519775741053425
"Ccl8",3238.79758597518,-3.78005945421144,0.75730405621884,-4.99146864878155,5.99219101174583e-07,0.000564418299529443
"Rsad2",2574.62273141794,-2.50176683931338,0.501046968457289,-4.99307848726489,5.9424393907641e-07,0.000564418299529443
"Gbp6",180.364998983423,-2.90678070723661,0.585421434385195,-4.96527891960309,6.86024027422819e-07,0.000600026015413745
"Tk1",31.9628221686312,-5.10452103190737,1.0915586026671,-4.67636004098638,2.92011735346584e-06,0.00238378913287928
"Exoc3l4",52.7719398367301,-3.82873787469474,0.83171945251695,-4.6034006576475,4.15647506075826e-06,0.00318100231993656
"Spon1",135.589593528126,-4.46345817198364,0.975948550718928,-4.57345642728365,4.79743483307017e-06,0.00345556409005554
"Hspb6",30.6061005702129,-3.3111114713512,0.728136185458009,-4.54737937418735,5.43180337452064e-06,0.00369513512894474
"Cenpw",32.6020084321699,-3.18210820058395,0.70766884955416,-4.49660629062409,6.90466701639894e-06,0.00444987619030553
"Gas2l1",308.681604778327,-2.58604293550641,0.580016457823149,-4.45856820203352,8.25089445823571e-06,0.00505161013205481
"Pdcd1lg2",473.62177785517,-4.36653839102218,1.00976615949329,-4.32430652381276,1.53012422952175e-05,0.00892208151928276
"Iigp1",827.920438145703,-2.64684257497456,0.622583071843746,-4.251388601261,2.12449175561861e-05,0.0118247279761591
"Il12rb1",355.176403413596,-3.60290869013221,0.859657286771556,-4.19109887809238,2.77606636124114e-05,0.0135971730373591
"Gan",392.911610549856,-1.52651675325732,0.36384725270602,-4.19548791946138,2.72284799880289e-05,0.0135971730373591
"Rnd1",45.7072040412906,-4.1029169474234,0.97538496505934,-4.20645908477151,2.59403020968377e-05,0.0135971730373591
"Traf1",362.917414391082,-2.13413426614735,0.513540625146446,-4.1557262690537,3.24255857425524e-05,0.0147056036080576
"Tnfaip6",212.353303276851,-3.04541329674074,0.732516370802031,-4.15746789850761,3.21794476459123e-05,0.0147056036080576
"Rnf187",585.818015204748,-1.70085368314902,0.413882913970863,-4.10950446547972,3.96509047789806e-05,0.0173401903220935
"Isg15",5624.88429140775,-2.54674429581777,0.626732326467732,-4.06352790220864,4.83365412258172e-05,0.0187340467202485
"Dohh",274.256268715482,-2.17448520408958,0.533539588938253,-4.07558361023746,4.58990864332667e-05,0.0187340467202485
"Ptges3l",49.8236705592863,-3.05146225284351,0.751490458428612,-4.06054690198489,4.8957900779743e-05,0.0187340467202485
"Socs1",1580.51143304063,-3.18121728087611,0.781610267557434,-4.0700812321946,4.69967479193923e-05,0.0187340467202485
"Lpl",7317.98365315412,1.31452009404691,0.325541220443608,4.03795283514524,5.39196903661407e-05,0.0190837757328191
"Ift43",51.6580619639055,-4.99933003476403,1.23891873480213,-4.03523644798422,5.45473377418266e-05,0.0190837757328191
"Inhba",753.167399572108,-3.24503040102697,0.803037596420701,-4.04094455289605,5.32363454301654e-05,0.0190837757328191
"Dnaaf3",789.025281643843,-1.81651158311678,0.452965094851717,-4.01026834906877,6.06497783412886e-05,0.0206293482163633
"Gpx3",3735.9678187687,1.67035105700991,0.418529830015603,3.99099642897052,6.57962711876203e-05,0.021775009207903
"Tnni3",866.505871887547,-1.56172485137945,0.392857578879125,-3.97529520961582,7.02920085011738e-05,0.0226506748446546
"Carmil1",317.169588440547,-3.02451379545051,0.763494124701685,-3.96141070061575,7.45082477356651e-05,0.0233936793211082
"Slc2a1",3062.99310408652,-1.67894431857502,0.426629337101154,-3.9353700567876,8.30686001539786e-05,0.0248091465581822
"Jaml",394.526866951677,-1.88419675392742,0.478371983841057,-3.93876902823277,8.19007255897923e-05,0.0248091465581822
"Gbp2b",35.3316220729011,-4.23789285507491,1.08140074294158,-3.91889212462273,8.89569148346562e-05,0.0253320330732643
"Bmp8a",8.1948479795819,-6.60046091233823,1.6836827392467,-3.92025217012759,8.84563607962788e-05,0.0253320330732643
"Csrp1",468.605274944335,-3.22229140776812,0.823823534164859,-3.9113854777585,9.17681684993417e-05,0.0254542023869128
"Slc25a22",432.562510200131,-3.4566517172763,0.886357947700618,-3.89983722292276,9.62573816815219e-05,0.0254542023869128
"Zmiz2",444.743630189416,-1.82981695672011,0.468738171351456,-3.90370801559519,9.47300574578256e-05,0.0254542023869128
"Stard4",80.3951205369123,-1.32845533953124,0.340959013331688,-3.89623176859356,9.77008993209395e-05,0.0254542023869128
"Kbtbd11",48.2179190232117,-2.2332001976607,0.575346007101426,-3.88149073791524,0.000103818106684978,0.0264844315907825
"Sh3bp4",126.210445275284,-3.42944282854346,0.884689835444166,-3.87643521056358,0.000105998017960632,0.0264886883658764
"Vsig10",57.9496505961793,-2.35273740067015,0.610869320423268,-3.85145778648689,0.000117416772107692,0.0276493918165132
"Cdc42ep4",298.425438841428,-2.13546555081578,0.55326999577667,-3.85971689612059,0.000113518461621524,0.0276493918165132
"Fxn",12.2186212723417,-7.17085129921058,1.86035022793526,-3.85457060263822,0.00011593292493523,0.0276493918165132
"Tmeff1",118.319021283688,-5.64118485887494,1.47739846890357,-3.81832320637333,0.000134361821433104,0.0310426510084597
"Pfkp",1701.6547594634,-1.99090441775491,0.525139081748793,-3.79119453674042,0.000149924461583125,0.0339967598534326
"Pbx1",85.7116861975995,-1.27136555053323,0.337037299204307,-3.77218056735776,0.000161827073317394,0.0357919783358532
"Slamf8",2483.87568155882,-1.3326272698285,0.353746758930829,-3.76717874067951,0.000165102796067072,0.0357919783358532
"Tbc1d7",27.8785253714607,-3.02760064055904,0.804163200442866,-3.76490821625721,0.000166610270734474,0.0357919783358532
"Gpr55",69.624358669703,-2.37319613457777,0.633336408464637,-3.74713359734201,0.000178866832865701,0.0371224469227205
"P2rx5",58.2108589655991,-2.5478570699877,0.679494158955793,-3.74963792757703,0.000177090074160731,0.0371224469227205
"Tor3a",247.916432570755,-2.89070766027282,0.774825659459921,-3.73078462874827,0.000190884353822767,0.0382769207269558
"Uck2",804.688124970162,-1.7106887589246,0.458331064899018,-3.73243031061293,0.000189641173296042,0.0382769207269558
