"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mrc1",1440.50037894905,-10.3719237858925,0.525628078647703,-19.7324385953213,1.13558087337419e-86,1.48942787351759e-82
"Ms4a7",1292.49144056897,-10.1735673555989,0.541888846362543,-18.7742697121181,1.22622425986002e-78,8.04157869616204e-75
"Ifitm2",1414.25275021625,-10.6936465482223,0.610885999735762,-17.5051426171951,1.30898766368809e-68,5.72289406564433e-65
"Ifi203",456.140113722037,-10.669781082758,0.619486865224034,-17.2235791938855,1.76713982720067e-66,5.79445149339099e-63
"Pf4",607.979546843619,-10.8441392046882,0.635560277264355,-17.0623300300716,2.83037040943217e-65,7.42462765802246e-62
"Pla2g7",1854.80758085187,-11.9658715790667,0.702739411007192,-17.0274662152743,5.13813065845671e-65,1.12319536193864e-61
"Anpep",860.121382228638,-11.5851727282938,0.687810736765261,-16.8435473728983,1.17006998427125e-63,2.19237684481454e-60
"Cytip",873.941974297333,-11.6081524433145,0.690504082974262,-16.8111278840145,2.02285619612435e-63,3.31647273354588e-60
"Sh3bgrl",467.581653161987,-8.39056909566676,0.502553508889579,-16.6958720758038,1.40451903689379e-62,2.04685240976654e-59
"S100a11",1106.01391422176,-11.7072182516412,0.704453790408096,-16.6188590522866,5.08919485693828e-62,6.67498797436025e-59
"Klf10",1550.32880584735,1.74638995073318,0.106527549058633,16.3937870172152,2.11826756969813e-60,2.52574522219642e-57
"Adgre5",867.751649529376,-11.5978887368119,0.722109981240077,-16.061111240832,4.77911931803607e-58,5.22357741461343e-55
"Clec12a",536.954038935126,-10.9053713458731,0.680382587423311,-16.0282928273827,8.10797217936795e-58,8.18032023881461e-55
"Cd163",354.0882817101,-10.0643305814634,0.63493807733779,-15.8508852133451,1.3861446209964e-56,1.29861948921348e-53
"Stom",393.026245027645,-7.68472800787044,0.488801511384275,-15.7215716991289,1.07620498221977e-55,9.41033636452963e-53
"Plbd1",816.669695162489,-10.7791602909262,0.6862388273368,-15.7075931316196,1.34177151186433e-55,1.09991719685079e-52
"Mgst1",610.956008274602,-11.0916077065569,0.71556534941202,-15.500481843721,3.44300362220654e-54,2.65637855934476e-51
"Myof",800.662184634574,-10.0122473332856,0.646466639891262,-15.4876473362487,4.20394980279053e-54,3.06327808963337e-51
"Iqgap2",409.588097354595,-10.0306709864683,0.655351409414164,-15.3057899050449,6.99475846156079e-53,4.82859220957007e-50
"Kcna7",103.382688665646,3.59033280356692,0.238562432818928,15.0498666581424,3.45930847582609e-51,2.26861449844675e-48
"Ms4a4a",280.281291346596,-9.96760424542571,0.662677300595752,-15.0414149337313,3.93058078929657e-51,2.45492845868637e-48
"Gpx3",554.476958303696,-7.47026710448876,0.50206955199883,-14.8789486929615,4.51539048976501e-50,2.691993711989e-47
"Lyz1",1634.19457442015,-9.26948815931056,0.626914666926743,-14.7858849829617,1.8066691420202e-49,1.03027271594508e-46
"Lgals3",5884.52175578446,-10.2515969678289,0.693760582710052,-14.7768512990215,2.06601325787866e-49,1.12907624543069e-46
"S100a4",613.840570651054,-11.0985266744374,0.75199322058891,-14.7588121416119,2.69994281308327e-49,1.41649799745601e-46
"Msrb1",1383.23576025884,-9.36494558532065,0.635338126193424,-14.7400969644777,3.56272860641431e-49,1.7972595539127e-46
"Pltp",831.376450754916,-11.5360896522861,0.783619247031805,-14.7215496505255,4.68793250417422e-49,2.27729343424997e-46
"Sash1",209.718140480583,-6.39337767705784,0.437216913418508,-14.6228965093536,2.00677753555393e-48,9.40031934154475e-46
"Anxa1",424.517576212946,-10.5663620058855,0.723160869948803,-14.6113575069868,2.3773334892063e-48,1.0752105532562e-45
"Stap1",173.312725651999,-9.27333234286224,0.634975733586303,-14.6042310790163,2.63943334731378e-48,1.15396025944558e-45
"Fabp5",2967.49820574048,-9.17857118452968,0.628840863797535,-14.59601580136,2.97744588272731e-48,1.25974774831779e-45
"Cfp",474.997293035377,-10.4879722619747,0.721864202927486,-14.5290100540257,7.93589992549648e-48,3.25272698196287e-45
"Cd93",267.083525769245,-9.8980277879884,0.690437062164907,-14.3358871219232,1.30567377485798e-46,5.189459766981e-44
"Mgl2",236.038055981124,-9.47915947029109,0.663255344849869,-14.2918704596896,2.45914609501182e-46,9.48651770063972e-44
"Emb",221.549702496315,-9.62821213267333,0.675381835560162,-14.2559536335289,4.1164038668614e-46,1.54259294622155e-43
"S100a10",415.343050751742,-10.5350212468402,0.739154796178193,-14.252794274368,4.30696781294337e-46,1.56917193984904e-43
