"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ifi203",331.590368347424,-7.03364729883516,0.431542724918605,-16.2988434115343,1.00577377802814e-59,1.80113968169279e-55
"Anpep",611.292532731646,-8.2522673480114,0.554179624743235,-14.8909613048926,3.77305333792971e-50,3.37839195878227e-46
"Cytip",621.740010815078,-8.62371204131744,0.585144368026186,-14.7377510791175,3.68864901243138e-49,2.20187755048737e-45
"Plbd1",578.238384373359,-8.92826962586963,0.635752698297772,-14.0436204986233,8.42938290153963e-45,3.77383472501929e-41
"Mgst1",443.000488961266,-7.92946116212026,0.595903079613448,-13.3066289358061,2.11825624588484e-40,7.58674657026115e-37
"Adgre5",616.835706323354,-7.1566049042207,0.553171857816614,-12.9373987542823,2.76845340044684e-38,8.26291058253368e-35
"Wfdc17",925.130376208806,-6.32965382676861,0.49187078910132,-12.8685296362756,6.7678251781287e-38,1.73140304699898e-34
"Cacnb4",81.0484950691147,8.23790243221714,0.645467651540771,12.7626882812063,2.64898700964015e-37,5.92975742107947e-34
"Chil3",566.124988086459,-10.2519831426529,0.805822746103723,-12.722379943012,4.44123796520955e-37,8.83707660899696e-34
"Anxa1",306.562481733427,-8.90550894476059,0.700602215017267,-12.7112200816281,5.12288583691872e-37,9.17406395675404e-34
"Pacsin1",29.6924541482977,7.03724990394238,0.559194153689496,12.5846271058298,2.56551384420636e-36,4.17665653836796e-33
"Stap1",127.028536582865,-6.24267206800758,0.498300696928519,-12.5279216073484,5.25210604219646e-36,7.83789291697119e-33
"Mmp12",471.585287266454,-9.14248881422952,0.743394852737744,-12.2982944804634,9.25067913842867e-35,1.2743166308537e-31
"S100a4",429.414920351896,-8.66000818428449,0.709480951140101,-12.2061179660543,2.88320863232765e-34,3.62535215828892e-31
"Mpp1",548.094605868606,-2.36745054968882,0.194023149862336,-12.2018973064224,3.03664744105058e-34,3.62535215828892e-31
"Dse",275.047661386255,-2.01168095826414,0.165215151319625,-12.176128776303,4.16590514843785e-34,4.66268933738907e-31
"Cd44",462.409645705512,-6.23491807973748,0.51392790795178,-12.131892398267,7.15760157776533e-34,7.53990170909539e-31
"Clec4n",168.403058554317,-6.4411856607693,0.533160723700893,-12.0811330888336,1.32875905241729e-33,1.32196761726049e-30
"Crip1",181.985938344158,-6.996694254925,0.583357194166908,-11.9938424088812,3.82730442926503e-33,3.6073351431199e-30
"Il10",119.066936788515,-6.95652042058103,0.582897201557163,-11.9343863755003,7.83344155322642e-33,7.01406356675894e-30
"Emb",161.348537671176,-7.55632071532041,0.634447784943124,-11.910075020591,1.04882854130212e-32,8.94401024649444e-30
"Cd93",192.183617855947,-7.47269324509711,0.627860136551383,-11.9018437547923,1.15760927928368e-32,9.42293953336917e-30
"Acp5",359.944718971891,-8.52339234358293,0.716963764865058,-11.8881772849248,1.36349730304496e-32,1.06163085664909e-29
"Lgals3",4188.42327361531,-7.79893394756517,0.658203722098951,-11.8488147145311,2.18256003565453e-32,1.62855354660422e-29
"Clec9a",112.050987067607,-7.91733343987684,0.675394830013844,-11.7225259774561,9.77142657146288e-32,6.99946828167029e-29
"Ifitm2",1006.5869572882,-6.80335652272715,0.582505926693301,-11.679463179624,1.62317371698997e-31,1.11799211245601e-28
"Astn1",19.7126209817384,7.37773870138812,0.632517202300306,11.6640917821004,1.94467167748433e-31,1.28982149631072e-28
"Runx3",183.073922859069,-7.10261253371642,0.613619044286553,-11.5749545256936,5.5200520989031e-31,3.53046760668417e-28
"Thbd",129.665289948009,-6.5500096934495,0.568303229539413,-11.5255542340627,9.80790199118997e-31,6.05654858131827e-28
"Ntrk3",58.6362802912472,7.67983544553168,0.669326538931704,11.4739742096425,1.78279316514903e-30,1.06420866671629e-27
