"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sparc",3140.99628188314,-12.2224582527322,0.55098122453541,-22.1830757718436,5.00384620272376e-109,7.66839430567416e-105
"Adamts1",1047.01343674366,-10.5148241937768,0.606521333072521,-17.3362808864624,2.50425400191427e-67,1.91888462896681e-63
"Ighm",574.083609676079,-7.59843660915112,0.488711010618988,-15.5479136832361,1.64373727160282e-54,8.3967578957711e-51
"Cd34",377.099713471223,-9.04330215769408,0.605634835454697,-14.9319385680722,2.04240964088227e-50,7.82498193663021e-47
"Nav3",246.310752605091,-8.50178081630476,0.571399539107539,-14.8788723728822,4.5205438800967e-50,1.38554669924964e-46
"Whrn",229.585075470363,-8.2062883913685,0.561126088228631,-14.6246780599245,1.95493411257866e-48,4.993227545878e-45
"Golm1",344.03695548058,-6.55564132273236,0.450847340263077,-14.5407119822578,6.68932660860811e-48,1.4644847182417e-44
"Capn3",175.689766727662,-7.64440816341651,0.535539091133527,-14.274230004828,3.16767194982806e-46,6.06807157888937e-43
"Cd163",134.60899911263,-7.68637164429276,0.547705837108391,-14.0337588601811,9.68776312719079e-45,1.64961077693554e-41
"Myc",221.351837362076,-7.86141201774142,0.581364793900223,-13.5223393301842,1.15445442309574e-41,1.76920140339422e-38
"St3gal6",373.278312977719,-8.30247766917366,0.614661052997367,-13.5074080726069,1.41413064170156e-41,1.9701410985524e-38
"Ppp1r9a",156.071481901493,-7.81686465923444,0.583362273499649,-13.399674635009,6.07287983280634e-41,7.75557361981309e-38
"Slco2b1",589.833656480949,-7.04903244953074,0.531717704263876,-13.2570956223653,4.10487848381227e-40,4.83902021264793e-37
"Mlxipl",233.935685847497,-7.52310306440119,0.568307474903056,-13.2377337913504,5.31278245156453e-40,5.81559936215903e-37
"Rtn4rl1",137.144706203888,-6.92284910624667,0.524704819276783,-13.193797449371,9.5262925964288e-40,9.73269560268476e-37
"Adgrg1",215.390566271154,-7.12540343280226,0.542337891696845,-13.1383101603109,1.98612659103673e-39,1.90233687547737e-36
"Agmo",163.909879762558,-7.23826862978154,0.554206904990041,-13.0605890410398,5.52982486654407e-39,4.98497447528164e-36
"Arsb",216.076692881405,-6.11375709105395,0.470011110633311,-13.0076863136619,1.10641475638962e-38,9.41989230092827e-36
"St3gal5",106.096273246686,-6.77608855355622,0.521529107964305,-12.9927331956705,1.34535175226796e-38,1.08513240018455e-35
