"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fam83g",276.748583827114,4.64843805353036,0.139794129541416,33.2520261671874,1.90820110184261e-242,2.57320918583476e-238
"Fosl1",429.759626346551,3.97076603067454,0.209516676874408,18.9520284967805,4.24884864095451e-80,2.86478619616358e-76
"Dennd4a",3397.7101910851,2.79738939871672,0.151538792129728,18.4598897708116,4.34226870069317e-76,1.95184978096158e-72
"Mrc1",1247.87511048659,-11.2458565363544,0.627552243162459,-17.9201917591474,8.20448370439645e-72,2.76593656884465e-68
"Wfdc17",1110.45613592034,-11.7633787896622,0.659283053261877,-17.8426833989765,3.29486266956728e-71,8.88624461982296e-68
"Abl2",1642.52152399006,2.53401468050995,0.142291348477226,17.808634942521,6.05690481496528e-71,1.36128935716345e-67
"Lyz2",3716.3456933202,-12.154581575065,0.689969667735418,-17.6161100167753,1.8531804580554e-69,3.57001978241101e-66
"Ppard",1129.94513445652,1.65592907054406,0.094274708336665,17.564934432155,4.57222223688115e-69,7.7070521080428e-66
"Lonrf1",413.017018400622,2.09430781618058,0.119893404031705,17.468082027488,2.50784534639687e-68,3.7575882773513e-65
"Ms4a7",1131.13791213085,-9.60201108075035,0.553057351897019,-17.3616914191899,1.60912219672688e-67,2.1699012822862e-64
"Ifitm2",1232.90684567411,-11.1907876617589,0.647659466099996,-17.278814326835,6.79301322087198e-67,8.32761666213261e-64
"Btaf1",744.712559321634,1.75177641314961,0.102363228086729,17.1133369462068,1.18039014790308e-65,1.32646342870609e-62
"Fabp5",2608.54430752399,-9.55665120842199,0.573734828802261,-16.6569131394247,2.69583801473283e-62,2.79641350989786e-59
"Ifi203",398.2878043403,-10.2838497962844,0.62178218147201,-16.5393124838964,1.9119193758486e-61,1.84158805595131e-58
"Chd2",1325.01689900776,1.89844176117089,0.115229272188059,16.475342811092,5.5174913621875e-61,4.96022473460656e-58
"Pla2g7",1634.31582096487,-11.6083539786572,0.708931662570285,-16.3744329553151,2.91208779214677e-60,2.4543439923187e-57
"Pf4",528.953120323951,-10.2170965341183,0.625306965624964,-16.3393294746154,5.18196377108412e-60,4.1105165560629e-57
"Msrb1",1209.1029677343,-11.6434005687792,0.714853825029685,-16.2878062075078,1.20473824646238e-59,9.02549736308068e-57
"Sh3bgrl",409.111652295526,-8.38004608796264,0.524931892077761,-15.964063556499,2.27429490375669e-57,1.61415088300836e-54
"Cytip",765.063863570137,-10.9834164245224,0.691497325441562,-15.8835269789494,8.24112243050472e-57,5.29197790358839e-54
"Bach1",4535.74302344204,1.96603369421742,0.123771743892594,15.8843499524697,8.13367688184819e-57,5.29197790358839e-54
"Plbd1",713.910528924111,-11.1260470134024,0.705157526923612,-15.7781014717973,4.40231482026316e-56,2.69841887960221e-53
"Edn1",1136.59333145726,4.38548495809546,0.279211532524252,15.7066755747796,1.3613282880984e-55,7.98152694130733e-53
"Tpbg",94.9405940512514,4.43871892705599,0.282923706104157,15.6887487025279,1.80580180239792e-55,1.01463488772233e-52
"Anpep",752.258332882052,-10.7141702800347,0.683602493247548,-15.6731000630725,2.31030562633564e-55,1.24617885484544e-52
"Cd163",306.83757649318,-9.9081149087065,0.634083302048779,-15.6258883914661,4.85112809885386e-55,2.51605624665555e-52
"S100a11",967.032106470829,-10.5865849455629,0.693832491623408,-15.2581279680241,1.45359010819544e-52,7.25987504037612e-50
"Myof",702.101973683647,-11.1019688680485,0.728246923630584,-15.244786497279,1.78314864949924e-52,8.58777126374901e-50
