"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cd244a",385.631032044784,3.93682880303324,0.138227432600479,28.480806804912,2.02529956845064e-178,3.10377158865061e-174
"Treml4",261.682466523607,5.80904352420199,0.267042431257479,21.7532603221433,6.43408887479333e-105,4.93012060031039e-101
"Pi16",192.876697759607,6.80831108184498,0.371515637545416,18.3257725753541,5.15442803974998e-75,2.63305365697228e-71
"Cdk2ap2",339.507325433129,2.45724586051162,0.134810000820851,18.2274745608603,3.12418516677266e-74,1.19695344201977e-70
"Sell",439.738024927238,6.43063069486469,0.36665776609117,17.5385094482513,7.28122598844685e-69,2.23169576545896e-65
"Ifitm6",473.362163881454,6.51468348402604,0.377405448194568,17.2617632182868,9.12805813860829e-67,2.33145818290287e-63
"Cdkn2d",89.4533281002569,3.26513225175009,0.190458282434747,17.143556111133,7.02215617978469e-66,1.53735062078858e-62
"Grk5",264.885520353855,4.63193118061088,0.274776043094481,16.8571143555561,9.30210702780527e-64,1.78193487751395e-60
"Plac8",2502.19802845863,5.21166521734176,0.309914791970816,16.8164455274937,1.84926207284432e-63,3.14888236292657e-60
"Arhgap26",296.521058532244,4.32666760883253,0.260884813645696,16.5845897596344,9.00786852854577e-62,1.38045585199964e-58
"Skint3",47.8218761984887,4.5423171591902,0.29555203196528,15.3689254950675,2.6451975836024e-53,3.68524117897334e-50
"Krt80",464.065751422414,4.51766465420458,0.296424396051198,15.2405291682682,1.90322661586694e-52,2.43057899068007e-49
"Gsr",643.267970362143,4.06947549393832,0.268100640077034,15.1789100271041,4.87820604062475e-52,5.75065442865956e-49
"Gramd4",100.627680561717,3.35424463955223,0.225773083072205,14.8567074245937,6.29435826537101e-50,6.89007431548648e-47
"Adgre4",222.774629435907,6.2018213280386,0.417762179193775,14.8453393746827,7.45764422956172e-50,7.61922652120223e-47
"Arhgef37",153.513203218675,6.72782526055204,0.460795931275042,14.6004441530893,2.79021647796434e-48,2.67250422030022e-45
"Ctsz",5751.95882125611,-2.1784433829485,0.150441815819282,-14.4803050341093,1.61379412236776e-47,1.45478793678152e-44
"Ppp2r5a",871.96164416519,2.18843472792005,0.152826710857489,14.319713586984,1.64800995617013e-46,1.40309736546151e-43
"Ccr2",428.026748171515,3.62628740699682,0.255269496547909,14.2057216237595,8.44284454998058e-46,6.80982066991855e-43
"Arhgef10l",439.029577173989,2.9294182510627,0.2084711852756,14.0519096065483,7.49844671313515e-45,5.74568479393981e-42
"Stk24",479.357301876081,1.87331125660699,0.135907185883093,13.7837542910969,3.19229449449588e-43,2.32961491086426e-40
"Rasgrp4",230.944124800707,2.80891307515044,0.205832834712931,13.6465743138987,2.11594027634293e-42,1.47394476067979e-39
"Ceacam1",488.058320183063,3.43798818448842,0.252456868098685,13.6181210294683,3.1250480637944e-42,2.08223311207171e-39
"Lap3",282.87178155685,-3.1627858330679,0.23390768309223,-13.5215132365738,1.16749297163627e-41,7.4549290793024e-39
"Ctsl",883.072838981542,-3.32162499628778,0.246061333908339,-13.4991749558065,1.5813712201404e-41,9.69380557946064e-39
"Lsp1",976.712044230531,2.49069492746776,0.185389821937919,13.434906519851,3.77544791461444e-41,2.22533612659486e-38
"Nfe2",122.237478920632,5.99819405992236,0.446986586242706,13.4191813457808,4.66841746940078e-41,2.64975917476174e-38
"Hlcs",82.107957095127,3.18746030088157,0.241783372266512,13.1831245093567,1.09749509015308e-39,6.00682580592715e-37
"Ccdc88c",29.9664049262021,5.15734654378606,0.393287452148224,13.1134276357293,2.75844014171496e-39,1.45769293695799e-36
"Slk",235.077091393557,1.8451154072419,0.140962165350145,13.0894371738594,3.78401328428853e-39,1.93300011939072e-36
"Bcl2a1b",239.686934751502,-2.13475835402817,0.164006784152277,-13.0162807902269,9.88705000438025e-39,4.88771101022991e-36
"Tpp1",581.625632645008,-2.54731971534862,0.198528541431258,-12.8310000012298,1.09935976768479e-37,5.26490263742793e-35
"Gns",1159.89095358899,-2.30149528228163,0.181003111739542,-12.7152249492451,4.86706902942218e-37,2.23045117865799e-34
"Stk38",613.996182828856,1.58843066174086,0.124936260722122,12.7139283068011,4.9484724355218e-37,2.23045117865799e-34
