"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fscn1",362.612156591724,-9.6569800117713,0.618141769357691,-15.6225974209862,5.10815937501486e-55,6.88733128533253e-51
"Adgrg1",399.754629012647,-9.5608772745257,0.628921556443093,-15.2020187201054,3.42889278196836e-52,2.31158806896397e-48
"Capn3",321.38975556076,-9.4743341081233,0.626432399506335,-15.1242721730064,1.12032430309772e-51,5.03511085955553e-48
"Crybb1",467.9739294866,-9.53673695853355,0.638624588713027,-14.9332442362613,2.00280085319926e-50,5.40075278073713e-47
"Cd163",254.944407586589,-9.38436791343188,0.628009913192468,-14.9430251279422,1.72942560196557e-50,5.40075278073713e-47
"Tmem256",802.115966367256,1.47425079605997,0.104955090219047,14.0464916278299,8.09459046839095e-45,1.81898938808859e-41
"Tjp1",212.300080381653,-9.11732550228638,0.658187205063985,-13.8521767547883,1.23414637662749e-43,2.37714222800978e-40
"Mycbp2",527.838334993761,-2.73142297766683,0.198151602070904,-13.7845111980949,3.15898976185004e-43,5.32408236987801e-40
"Fabp5",16143.0565037625,3.63919107764589,0.264567082172928,13.7552678426836,4.73523776707135e-43,6.38452108134231e-40
"Sgce",211.215567364843,-8.62608907664975,0.626817409596106,-13.7617254157124,4.33066419743863e-43,6.38452108134231e-40
"Lrrc3",155.908453266966,-8.43835781624772,0.61812537558949,-13.6515311447945,1.97680889942483e-42,2.423028580995e-39
"St3gal5",196.832077614272,-7.3357438435853,0.538056897107759,-13.6337697426005,2.52208200717991e-42,2.83376930856723e-39
"Nav3",452.302239276388,-9.69780815847299,0.716736907580718,-13.5304992053599,1.03319624194204e-41,1.07158345616189e-38
"Epha2",153.617965389657,-8.40280873713931,0.62255675931204,-13.4972572563904,1.62306835630113e-41,1.36773941550051e-38
"Usp35",238.402483064567,-5.5233428902842,0.409200770069589,-13.4978799999445,1.60940933128875e-41,1.36773941550051e-38
"Lipa",6331.40885632754,2.78515248294463,0.206267437071029,13.502628056534,1.50895796460163e-41,1.36773941550051e-38
"Sall3",158.099644918702,-8.44859605866717,0.630341440567734,-13.4032058102633,5.79067843926897e-41,4.59268925862727e-38
"Atp6v1a",1766.38500576022,1.59606325012686,0.120168434499674,13.2818843548402,2.94878978270315e-40,2.20880736889925e-37
"Cables1",123.77483491943,-8.34158486946712,0.629084987874452,-13.25986954108,3.95583333996202e-40,2.80718425908989e-37
"Lrp12",1423.77729400019,2.15115591549396,0.163684942014738,13.14205136414,1.89031730685666e-39,1.27435741241742e-36
"Gpr84",159.714821621317,-6.89675523329039,0.532594709486574,-12.949349872324,2.36952236185021e-38,1.52134619070602e-35
"Cmtm6",1285.61831337487,-1.81001532091944,0.139819150950448,-12.9454034630843,2.49449254026752e-38,1.52878376911032e-35
"Nceh1",618.491314961623,2.11319168762503,0.163308250516451,12.9398954488963,2.67993958074094e-38,1.57102718987522e-35
"Plekhg5",101.841760322992,-7.59612797150535,0.587638199530304,-12.926538774329,3.18852927795438e-38,1.79128917727746e-35
"Anpep",4924.09495893574,3.76333797339292,0.294010916019262,12.7999940422156,1.63963813012026e-37,8.84289636336461e-35
