"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cpne8",173.161226246486,5.571713215354,0.228851400776956,24.346423908431,6.32564679034761e-131,9.92747007277154e-127
"Cd163",3014.44604522853,4.88700491006127,0.214835534037559,22.7476563965758,1.51374705856016e-114,1.18783731685216e-110
"Rgl1",1471.97479503006,2.70329849169077,0.119062629803622,22.7048444684071,4.01251914094767e-114,2.09908251326776e-110
"Timd4",476.097324636042,5.03026072647025,0.248669261588693,20.2287194417719,5.47052505908699e-91,2.14636050693278e-87
"Sparc",3960.1014241238,-12.5098480967714,0.629994335092421,-19.8570802941207,9.57156821011895e-88,3.00432382979214e-84
"Plekhg5",592.219027505913,3.30591441073116,0.174389609425202,18.9570606966071,3.86128856218999e-80,8.67292549866043e-77
"Ccl7",12939.9512639225,5.20379944543701,0.274505950802239,18.9569640666404,3.8683878227745e-80,8.67292549866043e-77
"Mrc1",8799.8344081492,4.11587868517194,0.220150396007551,18.6957587168308,5.36025429411088e-78,9.34709232130846e-75
"Zfp64",641.686801393402,2.7788203231652,0.148600193291148,18.699977850774,4.95252838518261e-78,9.34709232130846e-75
"Fgd6",310.75618321206,3.00033811795923,0.163757623621592,18.3218225301825,5.54252565139991e-75,8.69843975730702e-72
"Asgr2",168.555152970905,3.46674918310363,0.18964759144367,18.2799536588543,1.19527593983954e-74,1.7053327818038e-71
"Pla2g2d",220.270372923709,4.14773810093609,0.232064178401427,17.8732371773522,1.9060555691253e-71,2.49280300848771e-68
"Ccl2",5809.57153261697,3.72059384551045,0.224447866429297,16.5766505367181,1.0280111636163e-61,1.24104670783033e-58
"Lhfpl2",685.269597244649,-7.18258771923942,0.436993045500249,-16.4363890757509,1.0499112573762e-60,1.17695051951872e-57
"Spats2l",80.1810337872912,4.45479451162755,0.278514759048935,15.994823853643,1.38850472928568e-57,1.45274621476063e-54
"Trpv4",406.962067272201,3.6226410711199,0.228567206078654,15.8493474775786,1.42048134594057e-56,1.39331464019946e-53
"Pf4",3309.2360014454,3.83643135983608,0.243660358461457,15.744995961019,7.43358642763624e-56,6.86251208207783e-53
"Lyve1",1425.94775207517,5.24328568453169,0.333836174031297,15.7061639582538,1.37235588117207e-55,1.19654184439525e-52
"Pdlim5",166.424881767188,2.39561411278199,0.152772089721229,15.6809671004264,2.04122516056396e-55,1.68605198262583e-52
"Sgk1",3581.43032161679,-4.92245405287704,0.315685989799704,-15.5928809384294,8.13792217415571e-55,6.38582753005999e-52
"Rnasel",394.084257995857,2.24796333198763,0.146021299754376,15.3947632007724,1.77473009116117e-53,1.32631495479444e-50
"Ednrb",818.887298957614,5.83554627157006,0.379282006370965,15.3857714670031,2.0393129305244e-53,1.45477168780227e-50
"Chp2",97.2027958769693,3.93064630796755,0.255659518315462,15.3745353737132,2.42577315122016e-53,1.65522103631518e-50
"Ccr1",1112.22397869541,3.91763132653448,0.257434756613763,15.2179580491232,2.68790294204747e-52,1.75766453218721e-49
"Bmp2",1022.28787941907,5.78704178424974,0.381187053827869,15.1816325505718,4.67987345705782e-52,2.93783736140261e-49
"Pomk",97.687425427561,3.58188325638437,0.236274623920033,15.1598305266868,6.52374506493924e-52,3.93783288650602e-49
"Il10",1217.68676947623,4.44236272517005,0.295586433277763,15.0289804437525,4.74248888300208e-51,2.75661557517906e-48
"Lrp6",935.987099707201,2.59705744120867,0.172884685985217,15.0219056500512,5.27685755789878e-51,2.95767866120227e-48
"Ifi203",1887.48539897046,3.28686920615471,0.22077909311023,14.8875926603868,3.96801317026023e-50,2.14737926531256e-47
