"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cd163",3710.48980578128,5.48395214556448,0.2145548177861,25.5596784176233,4.28594344301132e-144,6.72678823380626e-140
"Stab1",3705.54083084758,3.11135760483569,0.127273970252826,24.4461424331704,5.53096433630425e-132,4.34042426291476e-128
"Pla2g2d",297.656309323377,4.87126174172151,0.2094966889851,23.2522135090544,1.35104281356309e-119,7.06820565295759e-116
"Lrp6",979.779568834273,2.64986001049231,0.116344684068845,22.7759440123993,7.94114991724376e-115,3.11590869877852e-111
"Slc15a2",118.421350766168,5.90269710760195,0.262912268628181,22.4512044964693,1.24550849204041e-111,3.90965115651485e-108
"Cpne8",116.436484198027,4.53591491027661,0.209899626058645,21.6099237309231,1.44887692512137e-103,3.79002055662998e-100
"Chp2",174.345684264166,5.40699300744683,0.255718916089683,21.1442825197591,3.11490083171202e-99,6.98405265053144e-96
"Plekhg5",725.113811665724,3.6672222169996,0.173550531701458,21.1305732171882,4.16460910319355e-99,8.17044248432785e-96
"Tslp",419.410826151145,6.22731106859272,0.301596679219723,20.6478104623159,1.02145458030219e-94,1.78130329309366e-91
"Sparc",4176.8774773382,-12.2055007961457,0.597336353640896,-20.4332127481452,8.47387664792453e-93,1.32997493989175e-89
"Dse",1001.40747721304,2.68181466960916,0.135035872402869,19.8600166154973,9.02807221315513e-88,1.28814175804972e-84
"Nfxl1",1271.87157878186,2.63023114260756,0.133406459717192,19.7159204148238,1.57425960159232e-86,2.05900037058262e-83
"Mrc1",10358.1211342737,4.49203800450738,0.231340131783867,19.4174610771993,5.4939720817791e-84,6.63291475565562e-81
"Cmah",68.0471044799501,5.06148643553963,0.271588832001812,18.6365779411205,1.62296899998787e-77,1.81946417534354e-74
"Clec10a",768.205151449042,4.43334136620811,0.245911928101792,18.0281672403178,1.1710953074763e-72,1.2253560567227e-69
"B3galnt1",394.780322738616,2.5991455190087,0.152346054196407,17.0607997215198,2.90550186919415e-65,2.85011573981264e-62
"Igfbp4",1402.76135234764,4.45044946281136,0.267063492225508,16.6643872800608,2.3791413140123e-62,2.1965072307896e-59
"Wwp1",1132.21772601151,2.91115472585406,0.175741647042209,16.5649678084266,1.24846932667798e-61,1.08859589345616e-58
"Smad7",466.22865573445,-5.10474109635088,0.308444559200505,-16.5499469648046,1.60243754392941e-61,1.32369775010379e-58
"Arhgef5",33.6817967004227,5.27480651954555,0.320950655471704,16.4349454647261,1.07521382602984e-60,8.43774049976917e-58
"Fgd6",218.118415555481,2.24764188694735,0.138144964382563,16.270168782432,1.60714154551944e-59,1.20114697890132e-56
"Spats2l",86.8674364865117,4.65162716353539,0.286352705547198,16.2443974630743,2.44734127413247e-59,1.74595551352314e-56
"Sorbs3",237.348066922104,3.3509282103747,0.206553449338735,16.2230561682821,3.46514966478205e-59,2.36458799951106e-56
"Asgr2",189.65529955603,3.62213063865341,0.224094895988308,16.1633785663837,9.14114788429655e-59,5.9779298351681e-56
"Trpv4",410.713873243696,3.56666770000138,0.221989899854263,16.0668016983787,4.36009340487124e-58,2.73726663957816e-55
