"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Itpr1",66.5339337355223,-8.68629899328793,1.81270411496024,-4.79190118321018,1.65208273161549e-06,0.0228383916818525
"Grin2c",23.8846895585202,4.71026898929335,1.04236844500854,4.51881387224338,6.21870324461455e-06,0.0286557845511839
"Retnlg",214.642255433032,5.36813145595998,1.18346366225695,4.53594954130028,5.73448904374434e-06,0.0286557845511839
"Il12rb1",278.657805797432,-5.0189771481827,1.13758451250594,-4.41195980870608,1.02439132117171e-05,0.0354029640596942
"mt-Nd5",712.62061701246,-12.1087877972946,2.8230274563857,-4.28929154404944,1.79243957047885e-05,0.0495573692445992
"Gca",215.843332781308,-1.42323753212343,0.342589017701449,-4.15435830860088,3.26201676461351e-05,0.0563676496925215
"Kifc3",102.719683949311,2.11625561110118,0.505667856751802,4.18507046244765,2.85077657295881e-05,0.0563676496925215
"Lsmem1",279.986075830779,3.37275838733265,0.807106743098295,4.1788256834349,2.9301816110813e-05,0.0563676496925215
"Plaat3",1861.66324063222,-2.5883223471597,0.638896940238862,-4.05123609794096,5.09477666907531e-05,0.0782557696369968
"Lbp",61.2140737483,-2.6386113231814,0.656535487850548,-4.01899268510226,5.84474852310473e-05,0.0807978035833998
"Retnla",726.287899978168,4.67525934901398,1.18063375706195,3.95995737124148,7.49631436013892e-05,0.0878131742371282
"mt-Cytb",1006.23984382844,-9.03336484298923,2.28348017538935,-3.95596376984046,7.62267137475071e-05,0.0878131742371282
"Cfap45",30.6249262277379,4.87282530644448,1.24715108685744,3.90716518455113,9.33853136213409e-05,0.0993045058078013
"Il12b",408.755990445602,-1.5029643468089,0.388231967804694,-3.87130497085956,0.000108254251688231,0.106893341095579
"Tsc22d1",63.4717078354307,3.7752282095589,0.997722356195285,3.78384646401565,0.000154423106599289,0.142316335041905
"Crhr1",13.4655375813139,4.56373588809317,1.22182993946459,3.73516455988387,0.000187592477850708,0.162079900863012
"Sparcl1",46.0456914229136,-6.83910684032549,1.85128832974077,-3.69424185874014,0.000220543812302765,0.179341038898437
"Fabp5",20809.0252399143,-1.59702302099908,0.434446778182812,-3.67599232218741,0.000236926648115094,0.181959665752392
"Creg2",170.086220409205,-1.14998910384998,0.320721349748047,-3.58563315087504,0.000336261379783493,0.209860418302854
"Syce2",180.828587743434,-1.11690545338928,0.311590923171466,-3.58452499842128,0.000337692221264666,0.209860418302854
"Slc36a2",448.86969346803,-2.99629846360204,0.837938216724772,-3.57579879255728,0.000349160128831427,0.209860418302854
