"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lgals3",7658.25998699291,-13.3402633001105,0.594797860795872,-22.4282301255431,2.08778159082502e-111,2.7383343345261e-107
"Fabp5",3917.43600142586,-11.2579187766745,0.517747055281467,-21.7440517755417,7.86407870244487e-105,5.15726281306335e-101
"Tnfaip2",736.658986174687,-7.39502533906384,0.356234887453835,-20.7588464788479,1.01985368435632e-95,4.45880030800585e-92
"Ms4a7",1700.60320652379,-9.83592787474092,0.485991323582993,-20.2388960408287,4.45026092428263e-91,1.45924055707227e-87
"Gramd1b",663.42688441313,-5.57733880942327,0.279576491590953,-19.94924100265,1.52180981824939e-88,3.48850665659058e-85
"Lyz2",5542.74064866679,-12.0062878483194,0.601913503422305,-19.9468657540579,1.59584019057209e-88,3.48850665659058e-85
"Ifitm2",1852.14454753158,-11.4608275526307,0.575186637715717,-19.9254064700564,2.45048661042155e-88,4.59151176889843e-85
"Pf4",809.998290956043,-9.81401416302766,0.497397696529541,-19.730718962919,1.17487537034027e-86,1.92620816967287e-83
"Sh3bgrl",618.226141635675,-8.91675812239193,0.462348877916657,-19.2857786582523,7.0717177292746e-83,1.03058499707962e-79
"Iqgap1",637.467772346852,-9.89210713256212,0.51608612696248,-19.1675509488773,6.90854603343482e-82,9.06124897745311e-79
"Fam20c",532.692414213726,-6.93148091155038,0.366687994855252,-18.9029393075346,1.07872204093303e-79,1.28622893535251e-76
"Ms4a6c",468.880363896224,-8.18844565559337,0.435159384430834,-18.8171183905489,5.46785938422281e-79,5.97637030695554e-76
"Tgfbi",1391.52957350729,-10.3370502240941,0.558143773335777,-18.5204076761695,1.41362562853239e-76,1.42623951875622e-73
"Lyz1",2146.52341590676,-11.3197401401345,0.612837933177567,-18.4710174212645,3.53361244985846e-76,3.31049006373883e-73
"Msrb1",1796.48915240147,-11.3478677880334,0.615653831559056,-18.4322214957983,7.24461736311118e-76,6.33469342230441e-73
"Wfdc17",1692.18488210818,-10.0795381701685,0.548958701678673,-18.3611957317483,2.6862663580635e-75,2.20206684702256e-72
"Cytip",1143.29488677416,-12.4281712816162,0.678193904520179,-18.3253951396233,5.19030968090357e-75,4.00447657498419e-72
"Ifi203",607.041424946948,-11.0344556038728,0.604433140090207,-18.2558745905725,1.85811353747907e-74,1.35394539764308e-71
"Cd44",844.73623567972,-9.72656585460752,0.533432082883425,-18.2339348657684,2.77609517910343e-74,1.91638233521688e-71
"Fxyd5",1161.06027538683,-9.20279135707682,0.506357953336219,-18.1744777512485,8.22075134651626e-74,5.39116873304537e-71
"Crem",585.919595496054,-8.93897316399632,0.494911082679921,-18.06177609843,6.37384203897744e-73,3.98091962777277e-70
"Dnase1l1",445.361183080665,-8.51213253952301,0.471775545546813,-18.042759146528,8.99391834153304e-73,5.36201058943397e-70
"Anpep",1125.32149592648,-11.9215136761274,0.66532261259585,-17.9183954527173,8.47371457988215e-72,4.83222784477106e-69
"Rab7b",743.337795252336,-6.5586662376881,0.366188911967794,-17.9106084956088,9.7464238593107e-72,5.32642063911329e-69
"Antxr2",675.744374091969,-9.85873768824371,0.550901258073096,-17.8956528847418,1.27493835303596e-71,6.68883657536786e-69
"Iqgap2",535.229612166601,-9.20620427208357,0.521252943658512,-17.6616830352421,8.27354723771967e-70,4.17368636807428e-67
"Gpx3",734.242259111028,-9.40778550086923,0.536159213418,-17.546626571788,6.31194778169422e-69,3.06620396684079e-66
"S100a11",1446.26417674928,-11.8198470088038,0.674902931697848,-17.5134029705111,1.13218856359328e-68,5.30349471431767e-66
"Plbd1",1061.36124742751,-11.8362576602726,0.677766104438117,-17.4636317496064,2.71123710840626e-68,1.22622710047781e-65
"Rell1",228.940450164429,-7.7810279766198,0.447019853817278,-17.4064483046436,7.37178039673105e-68,3.22294238945082e-65
"Adgre5",1125.10817842427,-11.9192944084494,0.695726831542053,-17.1321470842668,8.54424358522311e-66,3.61504189883182e-63
"Sash1",273.104901587893,-8.41836200156274,0.491484191854152,-17.1284491771831,9.10495221278621e-66,3.73189228821575e-63
"Clec12a",702.936912407965,-11.2429020467784,0.660450185173537,-17.0230886434292,5.5371176244486e-65,2.20075256855357e-62
"Eps8",254.661240319907,-7.19316058615293,0.423814882060753,-16.9724115188617,1.31422508181103e-64,5.06981652148045e-62
"Uhrf1bp1l",125.485320677077,-5.8012127950998,0.347023839550095,-16.7170440008412,9.84844692321192e-63,3.69063513842422e-60
"Hilpda",788.50859625422,-6.46730700291511,0.387021016554688,-16.7104801193691,1.09946730091602e-62,4.00572586633738e-60
"Myof",1047.12453622679,-11.1271881008283,0.669514767876744,-16.6197799282551,5.01162537663725e-62,1.77655347135065e-59
"Mgst1",803.425110748165,-11.6776536506398,0.703106726580905,-16.6086501652833,6.03356284998372e-62,2.0825318510628e-59
"Ndufb7",449.079343750802,-4.3742888176001,0.264508674149064,-16.5374116053939,1.97320510043126e-61,6.63604053775805e-59
"Cxcr4",765.089105726744,-8.60975996975816,0.523691370449189,-16.4405229025891,9.80691119418795e-61,3.21568618057423e-58
"Anxa5",2909.44831980133,-9.03608858241329,0.550550635835309,-16.4128201735768,1.54842776715171e-60,4.95345819364921e-58
"Vat1",740.45126466915,-9.76611062307672,0.596103962133442,-16.3832338710248,2.51982169879254e-60,7.86904319080069e-58
"Fgr",358.362426234631,-8.77307607070841,0.537491967070007,-16.3222459277531,6.85659018529975e-60,2.09141946210213e-57
"Ms4a4a",367.723303783963,-9.45981141909776,0.585840035360767,-16.1474307799266,1.18391121083505e-58,3.52913169120739e-56
"S100a4",801.191222305622,-11.9152280814557,0.741847088420752,-16.0615688427394,4.74398885511663e-58,1.35265560486326e-55
"Spp1",2002.77664686318,-10.9022616224608,0.678722915141417,-16.0629048750906,4.64288573485635e-58,1.35265560486326e-55
"Lilrb4a",3098.13660425964,-6.05758668183921,0.377911821969701,-16.0291007840577,8.00324658785007e-58,2.23341664353705e-55
"Anxa1",557.669731991541,-11.3923615585944,0.714228829786974,-15.9505764587973,2.82279263884015e-57,7.71328088563072e-55
"Cfp",618.309837190967,-11.2998043016108,0.708804639906305,-15.9420574660805,3.23524079157376e-57,8.65988126985336e-55
"Plac8",391.834499455259,-10.883294227359,0.685743263360123,-15.8708000630311,1.00945858562747e-56,2.64801176181798e-54
"Siglec1",399.477048064503,-8.91073022491743,0.562789217422325,-15.8331573332733,1.83763972355239e-56,4.72597698315944e-54
"Il10",219.582057840411,-10.0484691996373,0.635928443626514,-15.8012576734795,3.04970995160556e-56,7.69230687024203e-54
"Rftn1",286.660253482426,-8.13220489574695,0.516782520862166,-15.7362228160885,8.53910355177096e-56,2.11318645632128e-53
"Stap1",231.148419504272,-9.8799810638692,0.628248294299107,-15.7262361927964,9.99802619318768e-56,2.42840947314536e-53
"Mdfic",214.725949610109,-7.78514386904576,0.495176725357641,-15.7219503065758,1.06979247493766e-55,2.55116329114224e-53
"Cd163",474.349503897761,-8.86949665820148,0.56429225129013,-15.7179132584637,1.14017478987326e-55,2.67045223999601e-53
"Pim1",5127.577086494,-6.27602740196131,0.400919781084143,-15.6540727049937,3.11622250698244e-55,7.17059200027748e-53
"Emb",294.725154115717,-10.4723827685841,0.670186216543818,-15.6260790062062,4.83664177681258e-55,1.09374816456334e-52
"Adam9",1602.66780930896,-2.33896473625204,0.149912870837458,-15.6021609297847,7.03712604516241e-55,1.56438890183644e-52
"Itga4",286.475242304687,-9.49917138663125,0.609045763077003,-15.596810555975,7.65227627490823e-55,1.67278759369494e-52
"F13a1",395.718724075248,-9.36535921680869,0.601876264872152,-15.5602733708033,1.35518848536017e-54,2.91387740557114e-52
