"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ccr1",264.784355806257,-5.48160292235907,0.331394769438179,-16.5410061590657,1.85891377772408e-61,2.43815131086291e-57
"Cd163",457.668625578225,-8.14359967989307,0.520662604368941,-15.640838446163,3.83643295079185e-55,2.5159327291293e-51
"Cst7",2027.88567910247,5.87154855497276,0.382521952390399,15.3495727977993,3.56526435022181e-53,1.55873357391698e-49
"Rasgrp4",112.66043610756,-6.06593753956224,0.413990742389307,-14.6523506891803,1.30134345276891e-48,4.26710518162926e-45
"Plac8",377.542261016696,-7.80147501162831,0.563311766844549,-13.8493024126393,1.28453491137598e-43,3.36959197952147e-40
"Igf2bp3",108.764837969844,3.41500051618313,0.249267058684275,13.7001677406103,1.01290027835287e-42,2.21420000847937e-39
"Afp",77.1478370855978,2.78676205635775,0.205895110483114,13.5348627260689,9.73641607068818e-42,1.82432618833066e-38
"Ccr2",141.871434872782,-6.88544564392038,0.514871785784951,-13.3731267356651,8.68133576078095e-41,1.42330499798004e-37
"Cbfa2t3",133.18567304814,-5.55137836938595,0.416070103761525,-13.3424110965872,1.31148108975591e-40,1.91126510813762e-37
"Clec9a",198.167954927377,-8.60057010125712,0.647640280166056,-13.2798566807054,3.02973486647048e-40,3.61254568260243e-37
"Lyve1",196.547906437457,-8.88788631009673,0.668954791465995,-13.2862286412796,2.78253302246088e-40,3.61254568260243e-37
"Xcr1",139.764331741115,-9.32114800111529,0.704233654423851,-13.2358741201329,5.44594195675961e-40,5.95241455873825e-37
"St14",258.249883676411,2.97160884439809,0.230069695865437,12.9161245387838,3.65071177430979e-38,3.68328735629593e-35
"Plekhg3",77.0893350097813,-6.39331907294145,0.508531541175386,-12.572119043323,3.00558457748121e-36,2.81580337987454e-33
"Krt80",94.5740164200336,-6.98480611936328,0.577744947879314,-12.0897744670929,1.1961462545527e-33,1.04591028498088e-30
"Ch25h",443.02420805622,3.78582540848259,0.314795405878786,12.0263045069354,2.58473219317965e-33,2.11883421535902e-30
"Rxrg",59.057294200068,3.94337914309853,0.334857609851143,11.7762864784573,5.17219371316754e-32,3.99049957305326e-29
"Chst1",355.784446291189,3.03749137187199,0.259020256725136,11.7268487425494,9.28514574223654e-32,6.76577619750969e-29
"Ahnak",236.236540239879,-5.80080041859541,0.500642163936555,-11.5867196901349,4.81210944967895e-31,3.3218751337889e-28
"Mycl",69.5760605114996,-5.91295655674375,0.510563609415101,-11.5812338515814,5.13022814961371e-31,3.36440362051667e-28
"Btla",88.6403788112705,-6.49245708923093,0.561438083445666,-11.5639770095134,6.27345008606935e-31,3.91821768232788e-28
"Ednrb",95.3594912886108,-7.81411511571157,0.677070717484098,-11.5410619805679,8.19076794003185e-31,4.88318692279354e-28
"Speg",639.893868117804,2.10101844276578,0.183197469933347,11.4685996675074,1.8970421311613e-30,1.08180889531789e-27
"Cd209f",62.8764771018264,-7.92679875202995,0.702010022582881,-11.2915749021149,1.44425351063639e-29,7.89284543562786e-27
"Hepacam2",45.7412401363332,-6.76904752231045,0.604546708313965,-11.1968974923192,4.22263634694284e-29,2.21536393306009e-26
"Cd209a",115.813695683935,-6.7965084936334,0.615623128579987,-11.0400473570745,2.44904054516438e-28,1.23544676116831e-25
"Grk5",53.7551549278536,-5.13250934400924,0.466930962792938,-10.9920089970244,4.17527390311229e-28,2.02825527826744e-25
"Tfpi",529.98542600518,1.23806183619501,0.112876139375275,10.9683219416184,5.42702239845726e-28,2.54217234922019e-25
"Itgae",66.3248411002745,-7.75539414637263,0.716176097941915,-10.8288927383355,2.51174131229982e-27,1.13599996731464e-24
"Arhgap26",71.9095866973862,-5.08027661972837,0.472039409893604,-10.7623993108403,5.18035527279965e-27,2.26485132526801e-24
"Apoc1",6811.85465207338,4.69461404728632,0.436350789731704,10.7588072664492,5.38627734594543e-27,2.2789165699813e-24
"Gpr171",79.5935137158297,-8.01000480990638,0.750667041117871,-10.670516182485,1.39847320398155e-26,5.73199204481937e-24
"Gramd4",39.6294158716436,-4.39695412845689,0.418864182901027,-10.4973265988127,8.88611454041874e-26,3.53182661551916e-23
"Masp1",93.6381978303936,3.00732254011497,0.288200186925974,10.4348389645126,1.71904983213925e-25,6.63148752892305e-23
"Kit",73.5423817660674,-6.78437743410263,0.651391007663747,-10.4152150617418,2.11319425818921e-25,7.80992633655052e-23
"Ccnd2",60.9349154009635,-5.81234730683511,0.558136009589084,-10.4138547002447,2.14362113537526e-25,7.80992633655052e-23
"Plbd1",1037.02719861442,-6.34961088319607,0.609905949589481,-10.410803317249,2.21345889837049e-25,7.84641267865604e-23
"Lap3",2381.51656596847,1.48517281137072,0.143567547865508,10.3447668602797,4.41990766266354e-25,1.52556602377619e-22
"Gpr141",52.7661032928054,-7.17729019174265,0.695390174085502,-10.3212418857966,5.64877313214011e-25,1.89972585643973e-22
"Ifitm6",45.0102262624079,-7.44377874788214,0.723361341417169,-10.2905399026422,7.77392444465965e-25,2.5490698254039e-22
"Cd209g",45.5080212486343,-7.21189198740349,0.702873397801969,-10.2605846372285,1.0606263606822e-24,3.392969596758e-22
"Fbxw4",822.250964464386,1.00959788867049,0.0992433723969114,10.1729502362407,2.61854940316999e-24,8.1773557076137e-22
"Fabp3",342.587890577929,3.24602021272617,0.319455334819725,10.1611081704363,2.95696192613923e-24,9.01942154028888e-22
"Tslp",46.2529317180032,-6.81139738661868,0.670674313352959,-10.156043329833,3.11460794644832e-24,9.28436314218548e-22
"Hcar2",1077.064289755,2.14910134432436,0.212129256716492,10.1310935492345,4.02126736229569e-24,1.17206539386378e-21
"Gda",197.933108084657,-5.61755983990515,0.554936878715453,-10.1228807371903,4.37350193641551e-24,1.24701850865273e-21
"Cpne8",20.1993991830083,-6.2837568745835,0.629900369102116,-9.97579487616527,1.94537467468776e-23,5.42883707089461e-21
"Cldn1",30.5648180691259,-6.88239287728135,0.691673262603207,-9.95035264393266,2.51291151400951e-23,6.86653071203098e-21
"Grap2",28.3491982462313,-6.30367051929517,0.634119741161108,-9.94082049512101,2.76539870489953e-23,7.40223865580861e-21
