"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Itgae",730.623614382382,7.9306813037086,0.244552802346535,32.4293208976223,1.06007693848042e-230,1.66368474725117e-226
"Septin6",760.671681362914,5.97191188955179,0.195978296492211,30.4723124776684,6.0663749316504e-204,4.76028440886607e-200
"Gpr141b",243.495325951421,9.16372594622292,0.301782738700378,30.3653084523202,1.57780766514092e-202,8.25403783224054e-199
"Gcsam",278.681138058759,9.14894295498978,0.316491657181443,28.9073747992818,9.64478143982759e-184,3.78412999791635e-180
"Hepacam2",456.478517989869,6.32087249135694,0.223356336380836,28.2994993281922,3.50526108555287e-176,1.10023134953334e-172
"Xcr1",1818.60241233348,9.44805823657943,0.339579752002133,27.8227962087683,2.29914350163464e-170,6.013793019109e-167
"Clec9a",2459.8814430449,7.84994858645031,0.28454613899401,27.587612378798,1.56684541862712e-167,3.512867428562e-164
"Btla",808.138418160863,6.19011109426402,0.23699336662675,26.1193432642065,2.19853161336594e-150,4.31296939252064e-147
"Cldn1",315.183336438754,6.76424090656851,0.263750183904889,25.6463931377116,4.63849088771084e-145,8.08849733241487e-142
"Ap1s3",173.931874966199,5.67900411030202,0.223671277445752,25.389956972367,3.25579134492894e-142,5.10963893673148e-139
"Snx22",441.233883309189,8.29216812783016,0.347744534263247,23.8455742960805,1.1255692148027e-125,1.60588029610124e-122
"Tlr11",114.45361764183,6.79096476280775,0.287247065140787,23.6415462051085,1.44200539700263e-123,1.8859027250466e-120
"Camk1d",1143.552803169,1.90713574045586,0.0809716104307306,23.5531407898497,1.1656929543526e-122,1.40726040196998e-119
"Mycl",449.97713098006,5.2332068928307,0.23360613081931,22.4018388322115,3.77664694453953e-111,4.23362122482881e-108
"Jaml",521.135591747921,5.95750348258308,0.273211183407267,21.8054891029201,2.05795336203076e-105,2.15316800424739e-102
"Clnk",65.3554770674115,9.49007301237975,0.435975821750059,21.767429611774,4.72389268699917e-105,4.63354823936031e-102
"Ffar4",53.851586390925,7.25320476898501,0.33511781348087,21.6437458028445,6.96120211330014e-104,6.42641799800779e-101
"Tbc1d10c",228.535616463472,5.32389961821504,0.246469145559214,21.6006738130878,1.77014643935745e-103,1.54337101218199e-100
"Flt3",44.566793242236,5.75885098930694,0.268074712691111,21.4822611632995,2.28127150609984e-102,1.88433026403847e-99
"Bloc1s2",503.300279099696,2.75815117121654,0.12855387135568,21.4552167284434,4.08204130075122e-102,3.20317780869948e-99
"Snx18",874.677698513662,-1.99780430764045,0.0935586884805252,-21.3534877421492,3.61896239159293e-101,2.70457122731712e-98
"Wdfy4",2763.64327463359,4.17960253077567,0.196821933653223,21.2354510150257,4.49358413407185e-100,3.20555951818744e-97
"Rab30",95.4584051369069,6.1828732078708,0.292350576352164,21.1488319435463,2.82859035374481e-99,1.93008247876831e-96
"Sod1",2094.18358555959,2.44912398747079,0.115834414429907,21.1433191036053,3.17914711696944e-99,2.0788972855716e-96
"Sparc",3895.74920048616,-12.6999509235041,0.631102300579118,-20.1234426048681,4.59999900306761e-90,2.88769537416572e-87
"Zdhhc23",123.55406281737,5.33958513777159,0.267380791772697,19.9699653156493,1.00523170649052e-88,6.06773323140857e-86
"Ppt1",7565.04470683126,3.41297627151163,0.171407213017598,19.9115090399447,3.23424733697476e-88,1.87993621135118e-85
"Macroh2a1",1814.13291886921,2.24716024741992,0.113966448303029,19.7177351832959,1.51878703956678e-86,8.51280135677182e-84
"Naaa",2265.83112244145,4.68297503784248,0.238120935310922,19.666372600661,4.1868211483463e-86,2.26579210697058e-83
"Tbrg1",283.338656864605,3.0018766632808,0.154430192299944,19.438405266312,3.65346777726067e-84,1.9112507765443e-81
"Cbfa2t3",411.980794359197,3.28317539875727,0.175586711377482,18.6983136309158,5.10952384356103e-78,2.58673765164022e-75
"Srebf2",787.568299712751,3.07459283335039,0.165198009847228,18.6115609757872,2.58961835605359e-77,1.27004595249703e-74
"Gpr33",205.98666714101,8.1554263002692,0.43912260416686,18.5720940413495,5.40531999149305e-77,2.57063914989369e-74
"Ahr",306.750046321586,4.08475480525972,0.220146091218581,18.5547459991193,7.46594361541421e-77,3.44619173824443e-74
"Stx17",241.714856416038,2.09234124369955,0.112884822518317,18.5351865469784,1.07416624387842e-76,4.81656143755082e-74
"Rala",355.863830323096,2.13384635514561,0.116542310473966,18.3096280352385,6.93418267857108e-75,3.02291841548596e-72
"Nup210",633.019966846912,4.8992778361528,0.272322551560473,17.9907165531418,2.30359816432103e-72,9.77099178131197e-70
"Cd244a",259.404556208066,2.7403696373389,0.15277430283895,17.937372885463,6.02363981771841e-72,2.4877632447177e-69
"Ece1",411.480628388766,5.20017233451706,0.291553827647371,17.8360626457169,3.70930085727e-71,1.4926607090768e-68
"Rab3il1",759.795360721335,-3.64342264443397,0.205916301571562,-17.6937066984363,4.68871558123735e-70,1.83961755829847e-67
"Txndc15",570.059328738197,1.95506965135396,0.110508592466822,17.6915623275261,4.8706075918187e-70,1.8643735499025e-67
"Rnase6",319.969978192588,3.78140119851829,0.215750564428262,17.5267267946158,8.95800690425701e-69,3.3473085798907e-66
"Slc11a1",1534.41093959854,-2.76124891512275,0.15848237666987,-17.4230660414352,5.51414913041383e-68,2.01253619657476e-65
"Gpr68",192.740116154927,4.86622304640422,0.284978618562851,17.0757478962619,2.24924976085522e-65,8.02266494246859e-63
"Abhd12",3024.84938478232,-3.07719847744252,0.18124955700921,-16.9776882670458,1.20125327149575e-64,4.1894375206343e-62
"Ncoa7",617.426097854638,4.69206851166256,0.278056834087576,16.8744944790128,6.93158012882854e-64,2.36487431612685e-61
"Lsp1",1658.51223809215,3.05022114728081,0.181442073521411,16.8109914535389,2.02751736384536e-63,6.77018244855088e-61
"Erlin1",352.198926434088,2.35400214041464,0.141899311542619,16.5892428569509,8.33646625011436e-62,2.72567711102698e-59
"Tbc1d8",1046.50379465444,2.51408246114589,0.153415514370857,16.3874069154995,2.35268835408928e-60,7.53532469981166e-58
"Acap1",87.4855187445476,3.95409635843304,0.243394861682117,16.2456032600936,2.39969199689393e-59,7.53215323985068e-57
