"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sgms2",547.763880449512,-5.24297696956239,0.613708352344889,-8.54310838288211,1.30658747412354e-17,1.71071497986995e-13
"Apoc2",1227.69517118946,-2.52050669898764,0.319150754153908,-7.89754266966934,2.84455642539868e-15,1.86218886388725e-11
"Scgb1a1",938.145307853799,-10.4821725541603,1.47843570404218,-7.09004289161919,1.3407044113588e-12,5.85128095264027e-09
"Ldlrad3",432.094576011188,-3.98159478751352,0.570729141611485,-6.97632992117989,3.02990739036893e-12,9.91764436552511e-09
"Slc7a2",1656.64265893366,-6.38814400242773,0.94718555152555,-6.74434274481795,1.53721277503043e-11,3.35445447724557e-08
"Stx3",658.938216046601,-2.20701447706771,0.325975860267375,-6.77048440107635,1.2835192319358e-11,3.35445447724557e-08
"Ecm1",1250.95194209142,-3.60861034412195,0.546137442011228,-6.6075131762304,3.908294094931e-11,7.31018494070451e-08
"Dmxl2",592.416617938776,-2.0168342078884,0.315279741913365,-6.39696732701145,1.58493224205695e-10,2.59393973065646e-07
"Hpse",5180.00814612937,-2.7157296303958,0.428105557535752,-6.34359816776964,2.24459829034229e-10,3.26539171282796e-07
"F10",703.984231367646,-4.5360225110454,0.721390909921004,-6.28788420905126,3.21821795987262e-10,4.21361277486123e-07
"Gpat3",524.37303795938,-4.25593299759427,0.686339258834246,-6.20091732013554,5.61350000400995e-10,6.3971387008623e-07
"Flt1",221.555365565062,-24.061739038264,3.88464264847416,-6.19406756699105,5.86310734059021e-10,6.3971387008623e-07
"Mapkapk3",1281.36037834153,-2.01810886407852,0.32788896962059,-6.15485438992881,7.5146505968504e-10,7.05759265965444e-07
"Aifm2",503.012098270053,-3.01105471697457,0.489269522208331,-6.15418410569311,7.54649791760193e-10,7.05759265965444e-07
"Cd24a",2848.49506321077,-2.96995756739152,0.483610979722251,-6.14121203182201,8.18941814477836e-10,7.14827011797221e-07
"Gstm2",156.661724251047,-4.62102208569213,0.7604434429494,-6.07674657272258,1.22645358501223e-09,1.00362229928532e-06
"Bst1",1761.08714879812,-3.6371519541094,0.618678485101793,-5.87890486204796,4.1298963668825e-09,3.18074900774074e-06
"Vegfa",10433.8344772214,-3.23057872262381,0.552046635328658,-5.85200328356408,4.85687037029733e-09,3.53283354212794e-06
"Vdr",398.990537784243,-3.80267483140951,0.661779828196181,-5.74613288195032,9.13075606399276e-09,6.29205206030827e-06
"Lbp",59.0597921873913,-8.53110375109827,1.52355658505388,-5.59946629799548,2.15012727693612e-08,1.40758082184623e-05
"F7",663.500473839475,-4.36799642289456,0.789403783089,-5.53328539394914,3.1428746291615e-08,1.95950750093388e-05
"Papss2",306.481796200828,-2.75315426210185,0.500308606952495,-5.50291205036827,3.73568804621863e-08,2.22324379950639e-05
