"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",8.22895459262998e-17,4.11447729631499e-15,1.05746357275086,-0.560757165477056,-2.48850652393329,183,"Fam120a;Pgk1;Snrpg;Psma7;Tomm70a;Acp1;Hnrnpc;Psma1;Usp1;Psma6;Mcm4;Clns1a;Ranbp1;Psma2;Ywhaq;Ube2e1;Ran;Eef1b2;Snrpb2;Etf1;Aimp2;Prdx3;Canx;Cbx3;Abce1;Cct3;Ndufab1;Eif1ax;Mcm6;Eif3j1;Pwp1;Pabpc1;Impdh2;Nap1l1;Hnrnpa1;Orc2;Stard7;H2az1;C1qbp;Psma4;Prps2;Eif2s2;Hnrnpr;Serbp1;Eif2s1;Pa2g4;Xrcc6;Lsm2;Ctps;Snrpa1;Txnl4a;Eif3d;Hddc2;Vdac1;Uba2;Eprs;Xpo1;Erh;Hnrnpa2b1;Ptges3;Ywhae;Cul1;Eif4g2;Dut;Srsf3;Prdx4;Kpnb1;Cct4;Ncbp1;Srm;Trim28;Mcm2;Nop16;Psmc6;Dek;Hsp90ab1;Ddx18;Psmb2;Kars;Snrpd3;Rrm1;Smarcc1;Ccna2;Hprt;Xpot;Iars;Eif4e;Phb"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.65940642491524e-12,6.64851606228809e-11,0.898671232061694,-0.511293310628924,-2.26902334406556,186,"Ndufv2;Uqcrc2;Fh1;Ndufv1;Slc25a5;Ndufb4;Glud1;Dld;Acat1;Tomm70a;Ndufs3;Slc25a11;Decr1;Etfdh;Mdh1;Ndufa5;Uqcrb;Uqcrfs1;Mpc1;Abcb7;Ndufa6;Prdx3;Ndufab1;Sdha;Sucla2;Echs1;Retsat;Eci1;Phyh;Idh3b;Mtrr;Tomm22;Vdac2;Ndufs6;Atp5o;Idh3g;Atp6v1h;Atp5g3;Ndufa9;Timm9;Cyb5a;Vdac1;Cox7b;Ndufs8;Sdhc;Pmpca;Hspa9;Atp6v1c1;Cox7a2l;Mdh2;Lrpprc;Fdx1;Ndufb8;Aco2;Ech1;Idh3a;Dlat;Polr2f;Oat;Hccs;Ndufs4;Aldh6a1;Atp6v0b;Atp5j;Pdp1;Opa1;Ndufc1;Ndufb3;Rhot1;Ndufa4;Timm8b;Slc25a20;Ldhb;Hadhb;Gpi1;Iscu;Cox11;Atp5b"
"HALLMARK_ALLOGRAFT_REJECTION",2.09357747793271e-09,3.48929579655452e-08,0.774939030136436,-0.471080250161398,-2.08727677397314,191,"B2m;Cd8b1;Klrd1;Hif1a;Flna;Cd80;Tlr1;Il1b;Ccr2;Cd79a;Mmp9;Abce1;Eif3j1;Lyn;H2-Aa;H2-Q7;Ptprc;Ifnar2;Igsf6;Ccl11;Il2rg;Bcl10;Cd86;Fyb;Icosl;Ifngr2;Ube2n;Wars1;Cd7;Gcnt1;Eif3a;Eif3d;Cd4;St8sia4;Ccl2;Lif;Degs1;Gzmb;Il6;Map3k7;Ly86;Tlr2;Tlr6;Irf4;Thy1;Ccl5;Gpr65;Il12a;Ptpn6;Gzma;Galnt1;Abi1;Ifng;Cd47;Tgfb2;Il10;Il15;Cd8a;Prkcb;Cxcl9;Ccnd3;Egfr;Fasl;Spi1;Tlr3;Cd1d1;Cd3d;Cd40;Sit1;Ccr5;Il27ra;Inhbb;F2;Bcat1"
"HALLMARK_FATTY_ACID_METABOLISM",1.04527675750178e-07,1.30659594687723e-06,0.704975715167238,-0.465278275029729,-2.02266764602579,155,"Fh1;Adsl;Dld;Acsl5;Ywhah;Grhpr;Decr1;Serinc1;Elovl5;Etfdh;Mdh1;Nsdhl;Sdha;Sucla2;Echs1;Retsat;Lgals1;Pts;Eci1;Aldh3a2;Idh3b;H2az1;Gstz1;Suclg2;Nbn;Mcee;Idi1;Idh3g;Hmgcs1;Maoa;Sdhc;Psme1;Mdh2;Aco2;Ech1;Rdh11;Hsd17b4;Hsd17b7;Ehhadh;Acsl4;Hccs;Hsd17b11;Bmpr1b;Sms;Crat;Erp29;Me1;Cidea;Cel;Prdx6;Acsl1;Car4;Car2;Cd1d1;Hadhb;Urod;Slc22a5;Aldoa;Acads;Metap1;Hadh"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",7.1308913244208e-07,7.1308913244208e-06,0.659444398037935,-0.420885421147625,-1.87862922895318,198,"Mthfd2;B2m;Ptgs2;Fpr1;Isoc1;Hif1a;Psma3;Cd38;Pde4b;Psma2;Gpr18;Nampt;Ddx60;H2-Aa;H2-Q7;Plscr1;Tdrd7;Ifnar2;Gbp9;Sri;Ifitm3;Tnfaip3;Cd86;Wars1;Bpgm;Eif2ak2;Lap3;Arid5b;St8sia4;Ccl2;Psme1;Casp4;Marchf1;Il6;Klrk1;Irf4;Sppl2a;Samhd1;Parp14;Ccl5;Ptpn6;Gzma;Fcgr1;Il15;Cmklr1;Parp12;Cxcl9;Ifitm2;Ncoa3;Psmb2;Rapgef6;Slamf7;Gch1;Cd40;Isg20;H2-M2;Casp1;Ifi30;Itgb7;Tnfaip6;Samd9l;Ripk2;C1s1;Ccl7;Ptpn2;Il7;Cfh;Cfb;Peli1;Lcp2;Vcam1;Rnf213;Ifi27;Cxcl10;Nup93;Stat4;Sp110"
"HALLMARK_MTORC1_SIGNALING",2.21287942160593e-06,1.84406618467161e-05,0.627256739718528,-0.411194319712222,-1.83537283302562,198,"Mthfd2;Uchl5;Pgk1;Eef1e1;Actr3;Psma3;Elovl5;Mcm4;Pitpnb;Etf1;Actr2;Canx;Nampt;Lta4h;Glrx;Add3;Sqle;Ube2d3;Psma4;Tpi1;Calr;Eif2s2;Cacybp;Idi1;Hmgcs1;Wars1;Ufm1;Scd1;Niban1;Lgmn;Hspa9;Psme3;Eprs;Ppa1;Elovl6;Sdf2l1;Tbk1;Cxcr4;Psmc2;Gga2;Slc2a3;Tubg1;Vldlr;Rdh11;Ero1a;Fads1;Tmem97;Egln3;Ddit4;Pno1;Mcm2;Nup205;Psmc6;Cyp51;Ccng1;Abcf2;Ctsc;Me1;Ssr1;Psmd12;Qdpr;Nupr1;Hspa4;Hprt;Psmg1;Gpi1;Arpc5l;Serp1;Aldoa;Cdc25a;Cct6a;Ak4;Ifi30;Bcat1;Dhfr;Tfrc;Rpn1;Skap2;Tcea1;Stip1;Sytl2"
"HALLMARK_COMPLEMENT",5.89218448259965e-06,4.2087032018569e-05,0.610526878385931,-0.415330899736412,-1.84026084777735,191,"Spock2;Kif2a;Hpcal4;Psen1;Ctsh;Adra2b;Itgam;Cxcl2;Cp;Prcp;Klk1;Lamp2;Lta4h;Cd55;Lyn;Plscr1;Dpp4;Usp14;Dock10;Itih1;Vcpip1;Tnfaip3;S100a9;Dock4;Lap3;Ltf;Adam9;Gnb2;Lgmn;Pik3ca;C1qa;Casp4;Gzmb;Il6;Mmp8;F5;Mmp14;Zfpm2;Fdx1;Usp15;Ccl5;Gzmk;Prdm4;Pik3cg;Atox1;Olr1;Gzma;Cxcl1;Cpq;Serpinb2;Rasgrp1;Rhog;Pla2g7;Pdp1;Cxcl3;Ctsc;Me1;Kcnip3;Cr2;Car2;C3;Lipa;Casp1;F2;Usp16;Plat;Calm1;Calm3;Fn1;Gpd2;C1s1;Timp2;Fyn;Ctsd;Apoc1;Cfh;Cfb;Mmp12;Xpnpep1;Lcp2"
"HALLMARK_INFLAMMATORY_RESPONSE",1.87718480384632e-05,0.000117324050240395,0.575610261071129,-0.391033051395944,-1.74797343586061,199,"Marco;Fpr1;Ifnar1;Hif1a;Cd48;Slc31a1;Msr1;Psen1;Clec5a;Tlr1;Il1b;Pde4b;Calcrl;Ptafr;Cxcr6;Adgre1;Nampt;Cd55;Lyn;Ahr;Cybb;Sri;Il18r1;Osm;Icosl;Ifngr2;Eif2ak2;Ccl2;Lif;Il6;Mmp14;Tlr2;Sell;Tnfrsf1b;Pcdh7;Best1;Ccl5;Ifitm1;Itgb8;Olr1;Atp2b1;Abi1;Il10;Il15;Cmklr1;Adora2b;Gpr132;Pdpn;Ffar2;Rasgrp1;Rhog;Cxcl9;P2rx7;Rgs1;Il7r;Gch1;Tlr3;Cd40;Il1a;Slc31a2;Tnfaip6;Pvr;Ripk2;Cxcl5;Ccl7;Slamf1;Ereg;Lcp2;Atp2a2;Prok2;Ptger4;Met;Sgms2;Slc11a2;Lck;Ccl24;Cxcl10;Tnfsf9;Gp1ba;Dcbld2;Ly6e;Il12b;Aplnr;Il1r1;Nod2;Cd82;Mefv;Ccl20;Il18rap;Lta;Gpr183;P2rx4;Lamp3;Nmi;Ebi3"
"HALLMARK_E2F_TARGETS",6.89096668951469e-05,0.000382831482750816,0.538434096309916,-0.374817994209804,-1.67261002449729,197,"Mthfd2;Ing3;Usp1;Nudt21;Rfc1;Cks2;Mcm4;Ranbp1;Ran;Mki67;Asf1a;Mcm6;Nap1l1;Cse1l;Orc2;Trip13;Atad2;Smc1a;H2az1;Paics;Rpa3;Nbn;Naa38;Rbbp7;Ipo7;Dck;Eif2s1;Pa2g4;Xrcc6;Msh2;Rfc3;Ctps;Smc6;Rad51c;Xpo1;Dscc1;Nup153;Eed;Smc4;Dut;Hus1;Rfc2;Tubg1;Prdx4;Ezh2;Mcm2;Ssrp1;Nup205;Plk4;Hmmr;Dek;Rad50;Stag1"
"HALLMARK_ANDROGEN_RESPONSE",7.8671368281145e-05,0.000393356841405725,0.538434096309916,-0.438695771556854,-1.8125510262236,107,"B2m;Tnfaip8;Dbi;Elovl5;Elk4;Klk1;Slc26a2;Plpp1;Stk39;Selenop;Idi1;Pa2g4;Srp19;Xrcc6;H1f0;Hmgcs1;Ell2;Scd1;Arid5b;Spcs3;B4galt1;Ndrg1;Fads1;Herc3;Dnajb9;Abcc4;Pdlim5;Fkbp5;Ccnd1;Zmiz1;Bmpr1b;Sms;Uap1;Ccnd3;Iqgap2"
