"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",4.44636981007862e-23,2.22318490503931e-21,1.24623277191648,0.600939598628345,2.6820113151521,186,"Hccs;Cyb5r3;Tomm22;Atp5l;Slc25a3;Atp5d;Polr2f;Por;Ndufa2;Gpi1;Ndufb7;Hsd17b10;Atp6v0c;Grpel1;Ndufb1;Cpt1a;Uqcrfs1;Sdhb;Sdhd;Glud1;Atp5j2;Cox5a;Dlst;Ndufc1;Atp5k;Etfa;Atp6v1e1;Slc25a20;Ndufb2;Nqo2;Cox17;Eci1;Acaa2;Atp5pb;Ndufb5;Atp5e;Cox6b1;Hspa9;Cox5b;Ndufa7;Idh1;Ndufb8;Vdac3;Uqcr10;Timm17a;Phb2;Timm13;Pdp1;Mtx2;Cox7a2l;Idh3b;Sdha;Etfb;Bax;Uqcrh;Sdhc;Mpc1;Ldha;Ndufc2;Cox4i1;Dld;Ndufa8;Ndufs4;Ndufa6;Ndufs3;Atp6v1g1;Ndufv2;Uqcrb;Ndufa3;Atp5g3;Ndufb6;Dlat;Atp6v1f;Vdac1;Cox7a2;Ndufb4;Uqcrq;Ndufa1;Atp5j;Cox7b;Mdh2;Atp5g1;Oat;Atp5o;Ogdh;Cox6c;Cyc1;Pdha1;Atp5a1;Casp7;Timm8b;Ndufs7;Ndufab1;Echs1"
"HALLMARK_MYC_TARGETS_V1",1.23188332141905e-08,3.07970830354763e-07,0.747739663149885,0.420706363230086,1.89793321856736,183,"Eprs;Snrpd1;Serbp1;Slc25a3;Eif4e;Psma2;Pole3;Rack1;Snrpb2;Psma6;Cox5a;Nme1;Ssb;Vbp1;Psmd14;Psmd8;Psmd1;Psmb2;Rad23b;Acp1;Etf1;Ube2l3;Psmb3;Vdac3;Psmc6;Phb2;Ppm1g;Psma4;Srpk1;Kars;Psma1;Cct4;Fam120a;Ldha;Eef1b2;Snrpg;Ppia;Hnrnpa1;Impdh2;Psma7;Eif3d;Snrpd2;Nap1l1;Hdgf;Cdk2;Ptges3;Tfdp1;Vdac1;Snrpd3;Psmc4;Cops5;Pgk1;Ilf2;Ywhaq;H2az1;Cct2;Eif2s1;Cyc1;Ndufab1;Dhx15;Cdc20;Cct7;Hprt;Npm1;Cnbp;Lsm7;Pa2g4;Eif2s2;Bub3;Cct5;Eif1ax;Tcp1;Eif3b;Snrpa1;U2af1;Xpo1;Mad2l1;Mcm4"
"HALLMARK_ADIPOGENESIS",8.20991342503997e-06,0.000136831890417333,0.593325476396405,0.365233784008972,1.68616991526179,197,"Dgat1;Tank;Abca1;Atp1b3;Cmpk1;Map4k3;Dnajc15;Scp2;Ddt;Riok3;Plin2;Tob1;Pparg;Pqlc3;Stom;Apoe;Por;Ndufb7;Grpel1;Tkt;Gpd2;Arl4a;Slc25a1;Sdhb;Esyt1;Slc1a5;Ppp1r15b;Adipor2;Ucp2;Hadh;Acaa2;Aldh2;Atl2;Slc27a1;Cat;Idh1;Scarb1;Uqcr10;Sod1;Ak2;Gpx3;Etfb;Cd36;Bcl2l13;Sdhc;Taldo1;Dhrs7;Dld;Ndufs3;Reep5;Dlat;Baz2a;Uqcrq;Aldoa;Cox7b;Mdh2;Atp5o;Cyc1;Ndufab1;Echs1;C3;Adipoq;Bcl6;Cd302"
"HALLMARK_DNA_REPAIR",3.70523853622459e-05,0.000463154817028073,0.557332238758646,0.374985784581123,1.71175518592336,146,"Ell;Snapc5;Sdcbp;Gtf2b;Eloa;Stx3;Pde4b;Pola1;Bola2;Polr2f;Rfc5;Aprt;Gtf2h5;Nme1;Nudt21;Supt4a;Edf1;Cetn2;Pold3;Cox17;Nt5c3;Nt5c;Polr2k;Rev3l;Mpc2;Nelfe;Dad1;Gtf2f1;Taf10;Polr2d;Polr2c;Rfc2;Dctn4;Tmed2;Impdh2;Rbx1;Polr1d;Polr3c;Adrm1;Tsg101;Pole4;Polr2g;Prim1;Gtf3c5;Clp1;Supt5;Polr2j;Hprt"
"HALLMARK_UV_RESPONSE_DN",9.3804376688313e-05,0.00093804376688313,0.538434096309916,-0.503782461694753,-1.65827718921015,141,"Tjp1;Bmpr1a;Kcnma1;F3;Dbp;Smad7;Prkca;Itgb3;Ptprm;Kit;Prkce;Tfpi;Atp2c1;Cdon;Scn8a;Vav2;Cacna1a;Igf1r;Mgll;Pias3;Smad3;Kalrn;Tgfbr2;Myc;Ptpn21;Nr3c1;Amph;Arhgef9;Pmp22;Insig1;Schip1;Cdc42bpa;Ica1;Inpp4b;Map1b;Cap2;Add3;Gcnt1;Dlc1;Ccn1;Mapk14;Bckdhb;Gja1;Sipa1l1;Syne1;Celf2"
"HALLMARK_MTORC1_SIGNALING",0.000150438307301294,0.0010969927299706,0.518848077743792,0.338651884414074,1.56552241424023,198,"Nfil3;Got1;Nufip1;Cdkn1a;Cxcr4;Eprs;Ldlr;Ccng1;Bhlhe40;Tes;Prdx1;Gpi1;Nampt;Slc6a6;Txnrd1;Psmd12;Tpi1;Ufm1;Cfp;Slc1a5;Psmd14;Adipor2;Ero1a;Hmgcr;Pdap1;Etf1;Hspa9;Idh1;G6pdx;Psmc6;Glrx;Elovl5;Psma4;Map2k3;Gsr;M6pr;Ldha;Sec11a;Actr3;Trib3;Ppia;Gmps;Slc7a11;Fgl2;Lta4h;Hspa4;Aurka;Uchl5;Psme3;Psmc4;Cops5;Pgk1;Aldoa;Tuba4a;Niban1;Rit1;Psmd13;Atp5g1;Ebp;Gsk3b;Tcea1;Hprt;Cacybp;Tbk1;Pno1;Eif2s2;Itgb2;Rdh11;Slc2a1;Nfyc;Eef1e1;Psmb5;Egln3;Gga2"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.000153578982195884,0.0010969927299706,0.518848077743792,0.530191647322846,1.97776406308067,46,"Msra;Prdx6;Abcc1;Prdx1;Prdx2;Mgst1;Txnrd1;Txn1;Srxn1;Atox1;Cat;G6pdx;Glrx;Pdlim1;Sod1;Gpx3;Pfkp;Gsr;Lamtor5;Ndufa6;Gclm;Hmox2;Ndufb4"
"HALLMARK_APICAL_JUNCTION",0.000195889394992615,0.00122430871870385,0.518848077743792,-0.460601243465799,-1.54463541090662,196,"Tjp1;Plcg1;Sgce;Fscn1;Nrap;Myh10;Actn2;Adam23;Epb41l2;Icam4;Nectin2;Egfr;Cd34;Map4k2;Vav2;Layn;Bmp1;Nexn;Ppp2r2c;Wasl;Mpzl2;Icam5;Nlgn2;Icam1;Taok2;Tmem8b;Speg;Insig1;Madcam1;Itga3;Rhof;Rasa1;Ptk2;Amigo1;Cadm3;Nfasc;Cd209b;Cx3cl1;Cadm2;Src;Nf2;Mapk11;Mmp9;Cntn1;Mapk14;Jam3;Nectin4;Itga10;Tro;Nf1;Tial1"
"HALLMARK_IL2_STAT5_SIGNALING",0.00023918277595356,0.00124104212123992,0.518848077743792,0.335124767673546,1.54921723311156,198,"Gpr65;Cd44;Emp1;Ahnak;Plec;Snx9;Il10;Nfil3;Myo1c;Tgm2;Lrrc8c;Pim1;Nt5e;St3gal4;Capg;Alcam;Furin;Plscr1;Bhlhe40;Smpdl3a;Plin2;Tnfrsf1b;P2rx4;Ptger2;Uck2;Cish;Ckap4;Ahr;Anxa4;Arl4a;Galm;Gsto1;Ecm1;Ndrg1;Slc1a5;Igf2r;Mxd1;Myo1e;Cdc42se2;Rnh1;Twsg1;Dhrs3;Traf1;Itgav;Hipk2;Adam19;Prkch;Glipr2;Etfbkmt;Ifitm3;Fgl2;Ttc39b"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000248208424247985,0.00124104212123992,0.49849310876659,0.330598830187962,1.52627118818228,197,"Atp2b1;Cd44;Fosl2;Sik1;Cxcl2;B4galt5;Ets2;Tank;Nfil3;Vegfa;Litaf;Jag1;Abca1;Ninj1;Tnfaip2;Cxcl1;Nr4a2;Nfe2l2;Cdkn1a;Plaur;Il1b;Ldlr;Tnip1;Pde4b;Serpinb8;Tiparp;Bhlhe40;Trip10;Cd80;Gch1;Cxcl3;Dusp5;Tnfaip6;Nampt;Ehd1;Areg;Ptgs2;Nr4a3;Dram1;Pdlim5;Il7r;Tnfaip8"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000275459002953014,0.00125208637705916,0.49849310876659,0.425715072901235,1.79205660668277,86,"Cd44;Cxcl2;Ccr1;Cxcl1;Ptpn2;Il1b;Pim1;Cd14;Ifnar1;Tnfrsf1a;Tnfrsf1b;Grb2;Cxcl3;Il10rb;Itga4;Pdgfc;Hax1;Cd38;Bak1;Csf2rb2;Pf4;Cd36;Cbl;Il2rg;Pik3r5;Acvrl1;Tlr2;Il3ra;Crlf2;Tgfb1;Ccl7"
"HALLMARK_PROTEIN_SECRETION",0.000437328195670802,0.00182220081529501,0.49849310876659,0.397860816581517,1.67607733153789,94,"Sgms1;Galc;Ocrl;Abca1;Cav2;Stx12;Tpd52;Atp7a;Vamp4;Tmed10;Gosr2;Tmx1;Arfgef2;Rab9;Ap2b1;Igf2r;Rab2a;Pam;Mapk1;Sod1;Atp1a1;Arfgap3;Copb1;M6pr;Tmed2;Ap1g1;Ap2s1;Ap2m1;Tsg101;Rab5a;Lamp2;Rab22a;Cope;Snap23;Arf1;Cd63;Copb2"
"HALLMARK_MYOGENESIS",0.00138624015468904,0.00533169290265014,0.45505986738723,-0.433968333711743,-1.45305956996459,199,"Ak1;Ache;Ephb3;Large1;Mybph;Sparc;Actn2;Bin1;Pde4dip;Ppfia4;Myom1;Col6a3;Ptp4a3;Tpm2;Mras;Col15a1;Camk2b;Adcy9;Vipr1;Clu;Dtna;Speg;Schip1;Fabp3;Mef2c;Col4a2;Ncam1;Tsc2;Pick1;Fgf2;Lpin1;Eno3;Myl2;Ckb;Pkia;Kcnh1;Itgb5;Sorbs1;Nav2;Dmd;Mef2a;Hbegf;Gadd45b;Mapk12;Eif4a2;Pcx;Plxnb2;Gaa;Sh2b1;Tnnt2;Pvalb;Gnao1;Pfkm;Crat;Itga7;Smtn;Dmpk;Cox6a2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00157554913177454,0.00562696118490908,0.45505986738723,0.316654932055428,1.46383474159664,198,"Trim25;Tnfaip2;Ptpn2;St8sia4;Cdkn1a;Pim1;Slc25a28;Pde4b;Ifitm2;Plscr1;Slamf7;Gch1;Sri;Tnfaip6;Psma2;Nampt;Ptgs2;H2-Aa;Arl4a;H2-Eb1;Cd74;Psmb2;Il18bp;Cd40;Cd38;Vamp8;Ifnar2;Ripk1;Csf2rb2;Samd9l;Pfkp;Bst2;H2-D1;Ifitm3;Fgl2;Jak2;H2-DMa;Ifih1;Samhd1;Epsti1;Lats2;Psmb8;Ccl7;Helz2;Casp7;Ifi27;Mvp;Psmb10;C1rb;Oas3;Itgb7;Il7;Rtp4;B2m;Btg1;Oasl1;Cd86;Rnf213"
"HALLMARK_GLYCOLYSIS",0.00192142883550282,0.00640476278500941,0.45505986738723,0.299649307812461,1.38590059340604,199,"Cd44;Vegfa;Got1;Adora2b;Tgfbi;Cxcr4;Nt5e;Pgm2;Slc16a3;Mxi1;Aldh9a1;Xylt2;Ndufv3;Cenpa;Hax1;Met;Cln6;Txn1;Bpnt1;Tpi1;Me2;Pygl;Ero1a;Akr1a1;Idh1;Pkm;G6pdx;Pam;Glrx;Sod1;Gale;Srd5a3;Pfkp;Pgls;Sdhc;Taldo1;Ldha;Mif;Dld;Ppia;Ugp2;Galk2;Aurka;Lhpp;Psmc4;Pgk1;Aldoa;Mdh2;B3gnt3;Ldhc;Fam162a;Glce;Pgam1;Ext1;Sdc3;Polr3k;Homer1;Capn5;Casp6;Pdk3;Rars;Gfus;Egln3;Sdc1;Copb2;B4galt7"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0023669783975074,0.00739680749221063,0.431707695803346,0.29889168570762,1.38423167155815,201,"Ets2;Arg2;Ninj1;Ugdh;Ddt;Xdh;Npc1;Tnfrsf1a;Gch1;Aldh9a1;Apoe;Por;Slc6a6;Sertad1;Blvrb;Papss2;Aqp9;Gsto1;Pdlim5;Esr1;Ssr3;Slc1a5;Pgrmc1;Slc12a4;Acp1;Aldh2;Cat;Idh1;Ptgr1;Elovl5;Kars;Cd36;Gsr;Pgd;Gstm4;Smox;F10;Dhrs1;Dhrs7"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00454452349156274,0.0133662455634198,0.407017918923954,0.38901664825026,1.57357530426984,74,"Antxr2;Nfil3;Jag1;Ethe1;Anxa5;Plaur;Ldlr;Alcam;Plscr1;Pparg;Lgals3;Fbxo6;Hmgcr;Fabp5;Cxcl16;S100a11;Errfi1;Trib3"
