"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",5.0485727709988e-21,1.73028919177322e-19,1.18665095279281,-0.654505832548704,-2.26944051322484,197,"Il1a;Fosl1;Snn;Pfkfb3;Clcf1;Dusp5;Sphk1;F3;Edn1;Kdm6b;Gem;Nfkb1;Klf10;Csf1;Smad3;Slc16a6;Icam1;Nr4a3;Map2k3;Hbegf;Rcan1;Rela;Cxcl3;Tnip2;Nfkb2;Nfat5;Il6st;Nfkbia;Olr1;Relb;Fjx1;Cd83;Plek;Btg3;Egr3;Birc2;Maff;Ehd1;Bcl3;Rel;Inhba;Per1;Nfkbie;Ripk2;Serpine1;Cd80;Btg1;Tnfsf9;Pdlim5;Gch1;Ccl4;Phlda2;Birc3;Zbtb10;Tnf;Cxcl1;Dnajb4;Sdc4;Areg;Gadd45b;Rhob;Il12b;Phlda1;Pde4b;Il7r;Egr1;Csf2;Gpr183;Spsb1;Rnf19b;Ccnl1;Myc;Socs3;Dusp4;Tnfrsf9;Bmp2;Plaur;Ppp1r15a;Hes1;Tsc22d1;Il6;Dennd5a;Ier3;Zc3h12a;Tiparp;Tnfaip3;Fosl2;Nr4a1;Tubb2a;Il23a;Cflar;Junb;Icosl;Id2;Trib1;Vegfa;Nr4a2;Sgk1;Ier5;Il1b;Traf1;Klf2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",6.92115676709289e-21,1.73028919177322e-19,1.1778932614942,0.560358263685438,2.71032567921219,186,"Idh3b;Echs1;Mtrf1;Polr2f;Tomm22;Nqo2;Ndufs3;Hsd17b10;Ndufb7;Eci1;Ndufc2;Atp5k;Atp5l;Mtx2;Ndufa7;Gpi1;Idh1;Uqcr10;Acaa2;Ndufb1;Ndufb8;Abcb7;Ndufb5;Cpt1a;Cox4i1;Ndufa6;Oxa1l;Ndufa2;Ech1;Atp5j2;Ndufc1;Sdhd;Surf1;Phyh;Ndufb2;Sdhb;Pdha1;Cox7a2l;Ndufa3;Atp5e;Cox6b1;Timm13;Slc25a12;Sdha;Atp6v1g1;Timm9;Cox5a;Sdhc;Atp5o;Ndufa8;Uqcrb;Glud1;Pdhx;Ndufab1;Ndufb4;Timm10;Atp5pb;Cox17;Pdp1;Ndufv2;Ndufs7;Etfb;Cox5b;Uqcrfs1;Atp5d;Atp5g3;Uqcrq;Uqcrh;Uqcr11;Cox7c;Dlat;Atp5j;Ndufb3;Phb2;Aifm1;Ndufb6;Cox8a;Cox6c;Timm8b;Fh1;Etfa;Timm50;Atp6v1e1;Cox7b;Ndufs2;Atp5g1;Ogdh;Acadm;Casp7;Bax;Mdh1;Atp5c1;Vdac1;Cox15;Cox7a2;Acaa1a;Cox10"
"HALLMARK_UV_RESPONSE_DN",2.43311274224797e-10,4.05518790374661e-09,0.814035837847908,-0.597402426469615,-2.03465092392701,141,"Itgb3;Tjp1;Bmpr1a;Kit;Ptprm;Kcnma1;Smad7;F3;Nfkb1;Prkca;Smad3;Dyrk1a;Mgll;Atp2c1;Prkce;Sipa1l1;Pmp22;Tfpi;Cdon;Igf1r;Sfmbt1;Scn8a;Kalrn;Syne1;Dbp;Serpine1;Amph;Pdlim5;Ica1;Inpp4b;Arhgef9;Cacna1a;Cdc42bpa;Vav2;Ptpn21;Slc7a1;Cap2;Insig1;Schip1;Map1b;Myc;Dlc1;Gja1;Apbb2;Runx1;Add3;Tgfbr2;Wdr37;Nr1d2;Nr3c1;Cdk13;Gcnt1;Plcb4;Atp2b4;Adora2b"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.40290873607697e-09,1.75363592009621e-08,0.788186810800237,0.522815045709814,2.39736603011761,96,"Samd9l;Pnpt1;Rtp4;Trim21;Epsti1;Lpar6;Ifi44;Ddx60;Rsad2;Ifit3;Ifi27;Mvb12a;Bst2;Oas1g;Cmpk2;Trim14;Ifit2;Parp14;Oas1a;Usp18;Batf2;Cd74;Gbp3;Sp110;Ifih1;Cd47;Il15;Trafd1;Isg20;Irf7;Dhx58;Psmb8;Herc6;Ube2l6;Ogfr;Tent5a;Parp12;Parp9;Tmem140;Eif2ak2;Ly6e;Casp1;Stat2;Irf2;Ifitm3;Nmi;Psmb9"
"HALLMARK_INFLAMMATORY_RESPONSE",7.16824587957784e-09,7.16824587957784e-08,0.761460801445585,-0.534657518734087,-1.85113028992788,199,"Il1a;Itgb3;Gabbr1;Ccl22;Sphk1;Slamf1;F3;Tpbg;Edn1;Ccr7;Nfkb1;Csf1;Icam1;Ccl17;Hbegf;Chst2;Ccl24;Rela;Scn1b;Icam4;Atp2c1;Nfkbia;Olr1;Gna15;Itga5;Pvr;Cd55;Sell;Nlrp3;Tlr3;Kcnj2;Dcbld2;Inhba;Hpn;Slc11a2;Ripk2;Serpine1;Cd82;Tnfsf9;Gch1;Slc4a4;Hif1a;Ifitm1;Csf3r;P2ry2;Pik3r5;Selenos;Il12b;Slc7a1;Csf3;Pdpn;Rgs16;Il10ra;Pde4b;Il7r;C5ar1;Ahr;Gpr183;Myc;Cd14;Tnfrsf9;Cx3cl1;Il1r1;Plaur;Gpr132;Cd70;Il6;P2rx7;Nod2;Adm;Ffar2;Sema4d;Lck;Icosl;Prok2;Adora2b;Sgms2;Il1b;Slc1a2;Lcp2;Cdkn1a;Lta"
"HALLMARK_APICAL_JUNCTION",7.64310607932691e-08,6.36925506610576e-07,0.704975715167238,-0.520363367496175,-1.80232444992927,196,"Plcg1;Tjp1;Fscn1;Epb41l2;Adam23;Nrap;Nectin2;Layn;Icam1;Sgce;Icam4;Actn2;Myh10;Cdh1;Map4k2;Wasl;Cd209b;Cd34;Egfr;Nectin1;Rhof;Mpzl2;Baiap2;Itga3;Cd86;Ppp2r2c;Icam5;Thy1;Bmp1;Jup;Cadm3;Vav2;Tmem8b;Speg;Nlgn2;Insig1;Nexn;Nfasc;Mapk13;Mapk11;Nf1;Vcam1;Tro;Cadm2;Actg1;Cx3cl1;Jam3;Madcam1;Cntn1;Cd276;Src;Ptk2;Itga10;Vcl;Thbs3;Nrxn2;Negr1;Cnn2;Mpzl1;Traf1;Pcdh1;Nf2;Adam15;Taok2;Cdh11;Mmp9;Ywhah"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.87905610930855e-07,1.3421829352204e-06,0.690132458796796,0.362549154174032,1.81513621233647,198,"Samd9l;Oas2;Pnpt1;Nod1;Slamf7;Rtp4;Trim21;Epsti1;Ifi44;Ddx60;Rsad2;Ifit3;Vamp8;Ifi27;Ciita;Nampt;Bst2;Ifit1bl1;Rigi;Cmpk2;Trim14;Ifit2;Cd69;Sri;Sectm1a;Parp14;Ptpn6;Usp18;Zbp1;Rnf213;Batf2;Oas3;Il18bp;Casp3;Cd74;H2-Aa;Gbp3;Xaf1;Cd40;Sp110;Ifih1;Il15;Trafd1;H2-Eb1;Samhd1;Isg20;Pml;Irf7;Gbp8;Dhx58;Psmb8;Pnp2;Stat1;Nlrc5;Herc6;Fgl2;Ube2l6;Ogfr;St8sia4;Parp12;Gpr18;Eif2ak2;H2-DMa;Fpr1;Ly6e;Gbp9;H2-D1;Casp1;Stat2;Psmb10;Psma2;Irf2;Isoc1;Ifitm3;Psmb2;Arl4a;Nmi;Znfx1;Ripk1;Psmb9;C1rb;Psme1;Casp7;B2m;Cd38;Ifnar2"
"HALLMARK_TGF_BETA_SIGNALING",5.87956331091609e-07,3.67472706932255e-06,0.659444398037935,-0.671319229582508,-2.07453753390231,54,"Tjp1;Bmpr1a;Smad7;Klf10;Smad3;Cdkn1c;Skil;Cdh1;Smurf1;Acvr1;Serpine1;Smad1;Hdac1;Eng;Bmp2;Ppp1r15a;Slc20a1;Arid4b;Tgfbr1;Sptbn1;Ski;Junb;Id2;Tgfb1;Bmpr2;Apc;Map3k7"
"HALLMARK_DNA_REPAIR",1.12663840115919e-06,6.25910222866215e-06,0.643551836150722,0.389975684086507,1.94093286402746,146,"Snapc5;Nt5c3;Rfc2;Bola2;Polr3c;Mpc2;Polr2f;Sdcbp;Aaas;Pold3;Cmpk2;Eloa;Pola1;Nt5c;Nudt21;Polr2g;Cetn2;Rfc5;Gtf2h5;Rpa3;Polh;Stx3;Surf1;Supt4a;Taf6;Polr2k;Polr1d;Dguok;Polr2j;Xpc;Nelfe;Edf1;Polr2i;Ada;Rev3l;Pnp2;Cox17;Tarbp2;Aprt;Hprt;Polr2c;Sac3d1;Taf10;Ercc4;Polr3gl;Taf1c;Mpg;Dad1;Prim1;Ercc1;Umps;Pole4;Pold4;Nme4"
"HALLMARK_HYPOXIA",1.45211808996716e-06,7.2605904498358e-06,0.643551836150722,-0.497018907340555,-1.7233686669606,197,"Slc2a5;Ets1;Pfkfb3;Pdgfb;F3;Tpbg;Hk2;Prkca;Cdkn1c;Large1;Pdk1;Chst2;Tes;Mxi1;Egfr;Wsb1;Ppfia4;Eno2;Klf7;Maff;Ccng2;S100a4;Serpine1;Dtna;Bcan;Btg1;Eno3;Lox;Ddit4;Errfi1;Sdc4;Slc2a1;Kif5a;Kdm3a;Col5a1;Tpst2;Ero1a;P4ha1;Plaur;Ppp1r15a;Pfkp;Il6;Hspa5;Noct;Aldoc;Ier3;Pgf;Tiparp;Tnfaip3;Adm;Hdlbp;Has1;Fosl2;Nr3c1;Tgm2;Ndrg1;Gcnt2;Hmox1;Adora2b;Rragd;Vegfa;Rbpj;Inha;Cdkn1a;Mt1;Ccn1"
