"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",3.64016458528516e-18,1.82008229264258e-16,1.0959292864312,0.576058546767029,2.61700079809781,197,"Lmnb1;H2az1;Smc4;Cdkn1b;Mthfd2;Ezh2;Prps1;Lbr;Plk4;Nudt21;Pold1;Dck;Hnrnpd;Gins3;Tcf19;Lyar;Tmpo;Orc6;Mcm4;Ube2s;Anp32e;Nap1l1;Psip1;Cdca8;Ranbp1;Rpa3;Dlgap5;Cks1b;Rpa2;Depdc1a;Espl1;Phf5a;H2ax;Dut;Nup153;Mki67;Dek;Diaph3;Birc5;Rad21;Dctpp1;Paics;Ncapd2;Hmmr;Pold2;Tubb5;Ppm1d;Rbbp7;Timeless;Melk;Smc6;Cenpe;Racgap1;Mcm5;Jpt1;Lig1;Mms22l;Cdkn1a;Aurkb;Snrpb;Kif2c;Usp1;Exosc8;Bard1;Tbrg4;Mcm6;Nasp;Rrm2;Kif4;E2f8;Dscc1;Rpa1;Kif22;Brca1;Mcm7;Ctps;Pole;Pa2g4;Xrcc6;Cks2;Tipin;Ccnb2;Kif18b;Ssrp1;Smc3;Hells;Gins4;Nbn;Cdca3;Suv39h1;Mcm2;Mybl2;Aurka;Ppp1r8;Eif2s1;Ddx39a"
"HALLMARK_ALLOGRAFT_REJECTION",1.76467062353556e-14,4.41167655883891e-13,0.97599468306432,0.542256418733825,2.45194039031914,191,"Stat4;Ltb;Klrd1;Ccl22;Cd7;Il2ra;Ccnd2;St8sia4;Cd80;Ccnd3;Jak2;H2-Oa;Irf4;H2-Ob;Cd47;Il18rap;Map4k1;Cd40;Ikbkb;H2-DMb1;Icosl;Ccr2;Cd8a;Ccr1;Srgn;H2-DMa;H2-Aa;Il27ra;Cd2;Fgr;Cd74;Il12b;Il1b;Itk;Lck;Ly75;Cd8b1;Cd3d;Cfp;Cd1d1;Cd3e;Bcl3;Traf2;Flna;Eif5a;Trat1;Il2rb;Sit1;Cd247;Dyrk3;Ptprc;Il2rg;Ifng;Il7;Cd96;Eif3d;Cd79a;Il13;Tap2;Timp1;Zap70;Prf1;Npm1;Il2;H2-Q7"
"HALLMARK_MYC_TARGETS_V1",1.99917723371981e-12,3.33196205619969e-11,0.898671232061694,0.525653993654996,2.37082431037315,183,"H2az1;Hnrnpa1;Snrpd1;Hnrnpd;Stard7;Snrpd3;Rack1;Psma4;Lsm7;Eef1b2;Dhx15;Vbp1;Sf3b3;Rad23b;Snrpg;U2af1;Mcm4;Lsm2;Serbp1;Nap1l1;Psmb3;Got2;Ranbp1;Snrpd2;Pcbp1;Kars;Srpk1;Psma7;Hsp90ab1;Cct2;Snrpa1;Psma2;Cct4;Ppm1g;Tcp1;Eif3d;Impdh2;Dut;Psma6;Dek;Hddc2;Cox5a;Psmd14;Fbl;Psmb2;Psmc4;Npm1;Pold2;Cct5;Psma1;Ssb;Mcm5;Ccna2;Txnl4a;Cyc1;Ilf2;Cnbp;Cops5;Ncbp1;Usp1;Erh;Ptges3;Rfc4;Mcm6;Cstf2;Pole3;Bub3;Cct7;Ppia;Rrm1;Vdac3;Hnrnpr;Ywhaq;Mcm7;Ctps;Nop16;Clns1a;Pa2g4;Xrcc6;Prpf31;Set;G3bp1;Tufm;Snrpa;Iars;Ywhae;Phb2;Eif1ax;Mcm2;Eif2s1;Psmc6;Eif2s2;Exosc7;Srsf7;Ddx21;Slc25a3;Snrpb2;Tomm70a;Tfdp1;Ube2e1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.84685085894863e-12,3.55856357368579e-11,0.898671232061694,0.510644239397384,2.32081639671332,198,"Stat4;St8sia4;Klrk1;Jak2;Plscr1;Irf4;Ifitm2;Cd40;Ciita;Ifi30;Isg20;Itgb7;Mthfd2;Pfkp;Gpr18;Cmtr1;H2-Eb1;Selp;Samhd1;Sri;Ifit1bl1;Cd69;Lats2;H2-DMa;H2-Aa;Epsti1;Samd9l;Cd74;Ifitm3;Ptpn2;Psme1;Pde4b;Casp3;Nmi;Ifi35;Xcl1;Psmb8;Arl4a;Il2rb;Pim1;Usp18;Helz2;Psmb9;Myd88;Ifih1;Slamf7;Btg1;Gch1;Isg15;Ube2l6;Psma2;Stat3;Il7;Ifi44;Gbp8;Ifit3;Psmb2;Pml;Parp14;Nfkb1;Irf9;Il15ra;H2-Q7;Sp110;Rbck1;Gbp4;Csf2rb2;Irf5;Cdkn1a;Ifit2;Nlrc5;Mvp;Cxcl9;Ogfr;Tap1;Herc6;Zbp1;Oas3;Mettl7b;Ido1;Stat2;Xaf1;Cd86;Rtp4;Socs1;Sectm1a;Psmb10"
"HALLMARK_G2M_CHECKPOINT",1.90453020842836e-11,1.90453020842836e-10,0.863415391606693,0.503523352145067,2.28058045742447,193,"Lmnb1;H2az1;Slc38a1;Smc4;Uck2;Tle3;Cdkn1b;Ccnd1;H2az2;Ezh2;Snrpd1;Lbr;Plk4;Cenpa;Hnrnpd;Sqle;Tmpo;Nup98;Stil;Bcl3;Rad23b;Orc6;Kif23;Ube2s;Slc7a1;Knl1;Tpx2;Cks1b;Rpa2;Espl1;E2f2;Ube2c;H2ax;Prc1;Mki67;Dr1;Birc5;Rad21;Pml;Kif11;Bub1;Hmmr;Arid4a;Casp8ap2;Nusap1;Troap;Cenpe;Racgap1;Mcm5;Ccna2;Jpt1;Rad54l;Notch2;Fancc;Aurkb;Kif2c;Exo1;Ccnt1;Cdc7;Bard1;Mcm6;Nasp;Kif4;Ndc80;Bub3;Egf;Ttk;Atrx;Cul3;Kif22;Wrn;Pole;Cks2;Ccnb2;Nek2;G3bp1;Rbl1;Kif15;Nup50;Hoxc10;Chaf1a;Suv39h1;Pbk;Mcm2;Mybl2;Aurka;Polq;Cenpf;Ddx39a;Gins2;Atf5;Lig3"
"HALLMARK_COAGULATION",5.0646474643329e-07,4.22053955361075e-06,0.659444398037935,-0.499724508796432,-2.00523896416047,138,"Sparc;Pdgfb;Ctsl;Ang;Hpn;Ctso;Lgmn;Plau;Pros1;Gp9;Pf4;C1qa;F3;Gng12;Lrp1;Msrb2;Dusp6;Lamp2;Serpine1;Sirt2;Comp;Ctsb;Cd9;Trf;Cfh;Sh2b2;Thbd;C2;F9;Cpq;Adam9;Htra1;Plek;S100a1;Mmp14;Klk8;Klf7;Apoc1;Mmp2;Olr1;Apoc2;Thbs1;C3;Bmp1"
"HALLMARK_IL2_STAT5_SIGNALING",1.12748104136832e-06,8.05343600977372e-06,0.643551836150722,0.419365085102831,1.90596366437873,198,"Ltb;Il2ra;Ccnd2;Il1r2;St3gal4;Traf1;Ccnd3;Tnfrsf18;Syngr2;Slc1a5;Plscr1;Alcam;Irf4;Glipr2;Tnfrsf4;Rabgap1l;Uck2;Ahr;Tiam1;Bhlhe40;Sell;Flt3l;Selp;Ikzf4;Adam19;Lrrc8c;Muc1;Mxd1;Il18r1;Batf3;Slc2a3;Ifitm3;F2rl2;Casp3;Ndrg1;Tnfrsf9;Eomes;Arl4a;Il2rb;Pim1;Irf6;Icos;Ctla4;Cdcp1;Dennd5a;Hipk2;Il13;Bcl2;Itgae;Plagl1;Socs2;Swap70;Eno3;Cish;Ahnak;Il1rl1;Cd44;Prnp"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.51207115706722e-06,1.57004447316701e-05,0.627256739718528,0.510485122589266,2.10887544612367,96,"Ifitm1;Plscr1;Cd47;Ifitm2;Ifi30;Isg20;Sell;Cmtr1;Ncoa7;Epsti1;Samd9l;Cd74;Ifitm3;Psme1;Nmi;Ifi35;Psmb8;Usp18;Helz2;Psmb9;Cnp;Ifih1;Nub1;Isg15;Ube2l6;Il7;Ifi44;Ifit3;Parp14;Irf9;H2-Q7;Sp110;Procr;Trim12c;Mvb12a;Ifit2;Parp9;Ogfr;Tap1;Herc6;Stat2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",8.3174780705089e-06,4.62082115028272e-05,0.593325476396405,-0.42671434314109,-1.76761956055616,199,"Serpine2;Sparc;Ccn1;Rhob;Itgav;Plod1;Gem;Itgb5;Pmepa1;Sat1;Pmp22;Efemp2;Fzd8;Plod3;Cadm1;Lox;Lrp1;Serpine1;Comp;Vcam1;Id2;Spp1;Dst;Gadd45a;Htra1;Nid2;Postn;Eno2;Jun;Fuca1;Sgcb;Mmp14;Pdlim4;Fgf2;Inhba;Mmp2;Lamc1;Slc6a8;Col6a3;Thbs1;Tpm2;Bmp1;Itgb3;Anpep;Cxcl2;Capg;Tgm2;Col4a2;Sdc1;Ecm1;Cxcl1;Cap2;Fn1;Pfn2;Sdc4;Igfbp4;Vegfa"
"HALLMARK_HEME_METABOLISM",1.62391009696437e-05,8.11955048482186e-05,0.575610261071129,-0.424523507237671,-1.75365821195952,191,"Lmo2;Sec14l1;Fech;Abcg2;Tns1;Sdcbp;Gde1;Tal1;Mpp1;Nnt;Tmem9b;Blvrb;Hebp1;Lpin2;Optn;Slc25a37;Marchf8;Slc11a2;Arhgef12;Lamp2;Ctsb;Hagh;Epor;Ncoa4;Blvra;Adipor1;Smox;Tent5c;Nr3c1;Aldh6a1;Rap1gap;Bmp2k;Icam4;Abcb6;Ranbp10;Atp6v0a1;Dmtn;Nek7;Mxi1;Ank1;Btrc;Slc30a1;Cdr2;Slc6a8;Slc2a1;Daam1;Cpox;C3;Ppox;Acp5;Bach1;Bsg;Rbm5;Gclm;Slc10a3;Bnip3l;Add1;Ctns;Nudt4;Htatip2;Klf3;Btg2;Foxj2;Add2;Ezh1;Narf;Mocos;Gapvd1;Ell2;Ppp2r5b;Pigq;Cat;Aldh1l1;Ypel5;Acsl6"
