"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.83581332958088e-15,9.17906664790441e-14,1.00731795687447,0.488942809596274,2.45453371338662,198,"Isg20;Dhx58;Stat2;Parp12;Sectm1a;Adar;Nmi;Gbp8;Ube2l6;Trim25;Socs1;Nlrc5;Cxcl9;C1s1;Usp18;Pfkp;Trim21;Ifi35;Oas3;Tnfaip6;Ifit2;Psmb9;Oas2;Epsti1;Tap1;Cd69;Zbp1;Irf7;Trim14;Lap3;Isg15;Xaf1;Helz2;Cd40;Fgl2;Rtp4;Trafd1;Rsad2;Cmtr1;Serping1;Oasl1;Gbp3;H2-D1;Herc6;Pml;Lgals3bp;Gbp4;Ifit3;Ido1;Il15ra;Cdkn1a;Ogfr;H2-DMa;Ripk2;Cd274;Cmpk2;Ciita;Ifi44;Cxcl10;Nod1;Ifi30;Psmb10;Vamp5;H2-M3;Tapbp;Itgb7;Bst2;Slamf7;Samhd1;Znfx1;Rbck1;Sp110;Stat1;Cd74;Psme1;H2-Eb1;Casp7;Psmb8;Il4ra;Irf1;Rigi;Pnpt1;Eif2ak2;Rnf213;Arl4a;Il18bp;Irf8;Gzma;Xcl1;Ifih1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",7.63193084615682e-15,1.90798271153921e-13,0.986546283587582,0.618286850289349,2.80990117661053,96,"Isg20;Dhx58;Stat2;Parp12;Oas1a;Adar;Nmi;Ube2l6;Trim25;C1s1;Usp18;Mov10;Trim21;Ifi35;Ifit2;Psmb9;Uba7;Epsti1;Tap1;Irf7;Trim14;Lap3;Isg15;Helz2;Rtp4;Trafd1;Rsad2;Cmtr1;Oasl1;Gbp3;Herc6;Lgals3bp;Oas1g;Ifit3;Tmem140;Gbp2;Ogfr;Ripk2;Cmpk2;Ifi44;Cxcl10;Ifi30;Ncoa7;Nub1;Bst2;Sp110;Cd47;Cd74;Psme1"
"HALLMARK_UV_RESPONSE_DN",5.05993371856038e-06,8.4332228642673e-05,0.610526878385931,-0.453654530499845,-1.90890104805741,141,"Gcnt1;Ptprm;Cdk13;Rasa2;Inpp4b;Igf1r;Dyrk1a;Prdm2;Myc;Atrx;Ptpn21;Dab2;Nr1d2;Nek7;Atrn;Nipbl;Gja1;Tgfbr2;Pik3r3;Phf3;Nr3c1;Zmiz1;Pmp22;Ddah1;Sfmbt1;Nrp1;Pten;Mgll;Vav2;Mmp16;Prkca;Pdlim5;Tjp1;Kcnma1;Mios;F3;Smad3;Ccn1;Fhl2;Add3;Atp2c1;Dmac2l;Mapk14;Sipa1l1;Bmpr1a;Atxn1"
"HALLMARK_MYC_TARGETS_V1",1.60677529486811e-05,0.000200846911858513,0.575610261071129,-0.413883677188426,-1.79682840022946,183,"Abce1;Cbx3;Hnrnpr;Prps2;Xpot;Cul1;Hnrnpc;Nap1l1;Srm;Eif2s1;Eif3j1;Myc;Ddx18;Ncbp1;Srsf3;Ube2e1;Smarcc1;Eif1ax;Psma7;Hnrnpa2b1;Ran;Pabpc1;Snrpb2;Eif2s2;Etf1;Cct3;Fam120a;Txnl4a;Hdac2;Eif4g2;Dhx15;Xrcc6;Syncrip;Eif4a1;Iars;Pwp1;Usp1;H2az1;Lsm2;Kpnb1;Canx;Ruvbl2;Hprt;Uba2;Ptges3;Psma6;Mcm4;Orc2;Impdh2;Prdx3;Vdac1;Cct5;Tomm70a"
"HALLMARK_ANDROGEN_RESPONSE",2.53945810984592e-05,0.000253945810984592,0.575610261071129,-0.465127687348428,-1.89303496472091,107,"Selenop;Acsl3;Adamts1;Xrcc5;Lifr;Inpp4b;Hpgd;Pias1;Ptpn21;Dnajb9;Ank;Appbp2;Camkk2;Zmiz1;B4galt1;Slc26a2;Itgav;Fads1;Mertk;Xrcc6;Plpp1;Ncoa4;Sec24d;Ccnd1;Scd2;Srp19;Uap1;Steap4;Pdlim5;Arid5b;Tnfaip8;Cdk6;Sgk1;Idi1"
"HALLMARK_PROTEIN_SECRETION",0.00027418259159068,0.00228485492992233,0.49849310876659,-0.440908699429815,-1.76848645587803,94,"Scamp1;Egfr;Arcn1;Atp6v1h;Gbf1;Ap1g1;Arfgef1;Cltc;Vps45;Dnm1l;Rab2a;Stx7;Rab14;Copb1;Rer1;Rab22a;Snap23;Tmed2;Vamp3;Stx12;Tspan8;Dst;Sec24d;Golga4;Vps4b;Zw10;Atp7a;Dop1a;Tom1l1;Ppt1;Snx2"
"HALLMARK_MITOTIC_SPINDLE",0.00234961702730242,0.0167829787664458,0.431707695803346,-0.34274968438828,-1.49246529743972,199,"Rasal2;Ckap5;Ppp4r2;Rasa2;Smc1a;Arhgap5;Tubgcp5;Lats1;Ssh2;Arfgef1;Numa1;Dock2;Dock4;Rapgef6;Fbxo5;Rasa1;Rictor;Arhgef12;Nf1;Rock1;Trio;Wasf2;Kif20b;Cttn;Rabgap1;Smc3;Stau1;Fscn1;Kif3b;Pcm1;Rapgef5;Arap3;Sos1;Abi1;Hook3;Lrpprc;Tubd1;Epb41l2;Dst;Abl1;Fgd4;Itsn1;Pdlim5;Mapre1;Rfc1;Ophn1;Nck1;Tubgcp3;Katnb1;Wasl;Llgl1;Myo9b;Arhgef7;Cdc42;Cep192;Dync1h1;Tuba4a;Cdc27;Cntrl;Tsc1;Bin1;Dynll2;Capzb"
"HALLMARK_APICAL_JUNCTION",0.00443770786882665,0.0277356741801666,0.407017918923954,-0.33500998271568,-1.45910629544045,196,"Ywhah;Arhgef6;Egfr;Crat;Tubg1;Cd276;Cd209b;Calb2;Itga9;Cd34;Cd86;Jam3;Pik3r3;Arpc2;Lama3;Rasa1;Tial1;Sorbs3;Nf1;B4galt1;Col17a1;Pard6g;Nexn;Ptprc;Exoc4;Sirpa;Gamt;Cdk8;Fscn1;Epb41l2;Sgce;Amigo1;Pten;Ctnna1;Inppl1;Cap1;Vav2;Nrap;Mmp9;Nrxn2;Tjp1;Icam1;Cntn1;Pals1;Wasl;Dhx16;Fyb;Cldn14;Layn;Mapk14;Akt2;Myl12b;Tsc1;Actn3"
"HALLMARK_COMPLEMENT",0.0053855780297476,0.0299198779430422,0.407017918923954,0.284728355590808,1.424745237253,192,"C2;Gnb4;Stx4a;Kynu;Mmp12;Cd36;C1s1;Ppp4c;Gmfb;Psmb9;Lck;Irf7;Lap3;Cblb;Gnai2;Serping1;Anxa5;Ctsl;Tfpi2;S100a13;Sirt6;Pfn1;Fcer1g;Hpcal4;F10;Ctss;Pdp1;F5;Csrp1;Raf1;Mmp8;Cebpb;F7;F8;Rnf4;Mmp13;Usp8;Gca;Casp7;Src;Cr1l;C1qc;Gpd2;Rhog;Spock2;Casp9;Dgkg;Actn2;Irf1;Cd40lg;Fcnb;Pla2g7;Hnf4a;Gzma;Plaur;Serpinc1;Ltf;Msrb1"
"HALLMARK_P53_PATHWAY",0.0105173326022324,0.0525866630111621,0.380730400722792,0.26431158356676,1.32197074131853,193,"Ccnd2;Mxd1;Socs1;H2aj;Ndrg1;Tspyl2;Coq8a;Tsc22d1;Tap1;Hspa4l;Slc3a2;Slc19a2;Trafd1;Foxo3;Fdxr;Cdkn2b;Nupr1;Ccng1;Cdkn1a;Mdm2;Trib3;Tchh;Cdkn2a;H2ac25;Ifi30;Gm2a;Iscu;Dram1;Sfn;Pcna;Ddit4;Ier5;Sertad3;Vdr;Rap2b;Def6;Bak1;Apaf1;Bax;Cebpa;Osgin1;Tprkb;Tgfb1;Sdc1;Aen;Jag2;Mapkapk3;Eps8l2;Zmat3;Rhbdf2"
