"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.08567823860367e-27,5.42839119301833e-26,1.36517960216169,-0.653893414452428,-2.64377382887299,198,"Gbp4;Oasl1;Rsad2;Tnfaip6;Socs1;Isg15;Pfkp;Gbp8;Ccl5;Helz2;Cd274;Cxcl9;Nlrc5;Fgl2;C1s1;Il18bp;Tap1;Trafd1;Zbp1;Serping1;Irf7;Stat2;Ciita;Trim25;Cmpk2;Cd40;Oas3;Ifit2;Dhx58;Sectm1a;H2-Eb1;Cfb;Stat1;Gbp3;Il2rb;Rtp4;Klrk1;Cd74;Itgb7;Oas2;Cmtr1;Ifi44;Upp1;Arl4a;Psmb9;H2-D1;Ube2l6;Adar;Isg20;H2-M2;Samhd1;Xaf1;H2-DMa;Batf2;Irf1;Ifit3;Nmi;Cxcl10;Pml;Il15ra;Tapbp;Herc6;Ifih1;Vcam1;Ifi35;Nod1;Il4ra;Psmb10;Pim1;Usp18;Cd69;Slamf7;Gpr18;Cdkn1a;Xcl1;Stat4;Fpr1;Lgals3bp;Mettl7b;Epsti1;Tnfaip2;Pnp2;Trim14;Trim21;Ido1;Znfx1;Nampt;Psme1;Parp12;Jak2;Ifi30;Samd9l;Irf2;Vamp8;Vamp5;Rnf213;Tnfsf10;Ogfr;Psmb8;H2-M3;Rbck1;Ifitm2;Mvp;H2-Aa;Rnf31"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",5.25778089452343e-15,1.31444522363086e-13,0.996986217533181,-0.671419686065522,-2.50659721826594,96,"Oasl1;Rsad2;Isg15;Helz2;Gbp2;C1s1;Tap1;Trafd1;Irf7;Stat2;Trim25;Cmpk2;Ifit2;Dhx58;Oas1g;Uba7;Gbp3;Oas1a;Ncoa7;Rtp4;Sell;Cd74;Cmtr1;Ifi44;Psmb9;Ube2l6;Adar;Isg20;Tmem140;Mov10;Batf2;Irf1;Ifit3;Nmi;Cxcl10;Herc6;Ifih1;Ifi35;Cnp;Il4ra;Usp18;Lgals3bp;Procr;Epsti1;Trim14;Trim21;Psme1;Tent5a;Parp12;Ifi30;Samd9l;Irf2;Ogfr;Psmb8;Ifitm2;Rnf31;Ripk2;Parp14;Cd47;Slc25a28;Bst2;Plscr1"
"HALLMARK_ALLOGRAFT_REJECTION",3.71444220996777e-07,6.05973943637902e-06,0.674962860011025,-0.466272407570297,-1.88156333386067,191,"Cxcl13;Nos2;Il12rb1;Socs1;Inhba;Itk;Ccl5;Ccnd2;Cxcl9;Cd3e;Gbp2;Il12a;Tap1;Cfp;Irf7;Cd40;Cd2;Ly75;Stat1;Il2rb;Lck;Ltb;Zap70;Cd74;Cd3g;Cd79a;Ccl22;H2-DMa;Trat1;Timp1;Cd96;Dyrk3;Tapbp;Fasl;Sit1;Il2rg;Il4ra;Psmb10;Tap2;Stat4;C2;H2-Ob;Cd3d;Cd7;Cd247;Rars;H2-DMb1;Tgfb2;Map4k1;Cd8a;Jak2;Cdkn2a;Cd8b1;Srgn;Tgfb1;H2-M3;Il2ra;Ctss;H2-Aa;Thy1;Itgal;Elane;Ripk2;H2-Oa;Cxcr3;Ikbkb;Cd47"
"HALLMARK_INFLAMMATORY_RESPONSE",4.84779154910321e-07,6.05973943637902e-06,0.659444398037935,-0.452574555262856,-1.82981610000048,199,"Mefv;Tnfaip6;Inhba;Ccl5;Cxcl9;Met;Mxd1;Tnfsf15;Nod2;Irf7;Cd40;Slc7a2;Slc28a2;Ccr7;Rasgrp1;Il2rb;Rtp4;Lck;Sell;Aqp9;Scarf1;Marco;Ccl22;Sgms2;Irf1;Timp1;Ccl17;Nmi;Cxcl10;Kcna3;Ffar2;Il15ra;Tapbp;Hpn;Il4ra;Cd69;Gpr132;Cxcl5;Cdkn1a;Best1;Ptger2;Fzd5;Fpr1;Ldlr;Tnfrsf9;Cd55;Lta;Cxcr6;Aplnr;Chst2;Plaur;Oprk1;Nampt;Il18r1;Slc7a1;Pdpn;Ahr;Adora2b;Slc31a2;Tnfsf10;Hrh1;Lpar1;Il1r1;Raf1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",2.74757451411828e-06,2.74757451411828e-05,0.627256739718528,-0.440022037257022,-1.7765442122425,192,"Mast4;Slc2a1;Sfn;Fdft1;Cish;Wfs1;Tgm2;Rara;Tiam1;Nxt1;Slc7a2;Plaat3;Tsku;Rasgrp1;Pmaip1;Krt8;Med13l;Celsr1;Ttc39a;Ppif;Fasn;Tob1;Mreg;Slc37a1;Blvrb;Itpk1;Anxa9;Flnb;Abhd2;Gab2;Ncor2;Amfr;Slc16a1;Dlc1;Fcmr;Aqp3;Gla;Cd44;Mill2;Pex11a;Cyp26b1;Mindy1;Nbl1;Lad1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",3.3455279117218e-05,0.000278793992643483,0.557332238758646,-0.500343601184309,-1.8455962667378,86,"Cxcl13;Il12rb1;Socs1;Cxcl9;Stat2;Csf2ra;Stat1;Ltb;Il3ra;Tnfrsf12a;Irf1;Acvrl1;Cxcl10;Il15ra;Itga4;Crlf2;Il2rg;Il4ra;Pim1;Cd44;Il1r2"
"HALLMARK_PROTEIN_SECRETION",7.7218303510622e-05,0.000529119639945885,0.538434096309916,0.39585832922047,1.76711747210335,93,"Egfr;Rab14;Golga4;Vps45;Scamp1;Snx2;Rer1;Zw10;Arcn1;Dnm1l;Lamp2;Sec31a;Copb1;Cltc;Cope;Arfgef1;Dop1a;Stx7;Rab2a;Mapk1;Gbf1;Dst;Sh3gl2;Atp7a;Atp6v1h;Sec24d;Ap1g1;Vamp3;Lman1;Ppt1;Adam10;Tom1l1;Clcn3;Stam;Rab22a;Tmed2;Stx12"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",8.46591423913416e-05,0.000529119639945885,0.538434096309916,-0.40493198708236,-1.63944257632546,197,"Tnfaip6;Traf1;Inhba;Ccl5;Dram1;Tap1;Mxd1;Ackr3;Ifit2;Relb;Cebpb;Tubb2a;Nfkb2;Cflar;Klf9;Irf1;Kynu;Cxcl10;Tsc22d1;Cebpd;Slc2a6;Il15ra;Dusp2;Gfpt2;Ier5;Ifih1;Kdm6b;Plpp3;Cd69;Cd44;Cxcl5;Cdkn1a;Nfil3;B4galt5;Tnfaip2;Ldlr;Tnfrsf9;Sik1;Sdc4;Fut4;Plaur;Nampt;Nfat5;Plk2;Jag1;F2rl1;Zc3h12a;Sqstm1;Vegfa;Nr4a2;Ehd1;Tnip2;Mcl1;Ripk2;Rigi;G0s2;Klf4;Nr4a3;Zbtb10;Lamb3;Egr3;Ets2;Irs2;Marcks;Maff;Bhlhe40;Dusp5;Fosl2;Abca1"
"HALLMARK_IL2_STAT5_SIGNALING",0.000165974136085537,0.000922078533808537,0.518848077743792,-0.404480773043507,-1.63536695494972,198,"Traf1;Socs1;Uck2;Itgae;Ccnd2;Cish;Fgl2;Tgm2;Plec;Irf6;Tiam1;Rabgap1l;Mxd1;Ndrg1;Gbp3;Il2rb;Ltb;Sell;Ahnak;Tnfsf11;Il3ra;Gabarapl1;Arl4a;Adam19;Batf3;Cxcl10;Mapkapk2;Socs2;Rnh1;Syngr2;Tnfrsf4;Etv4;Twsg1;Tnfrsf8;Il4ra;Pim1;Ager;Cd44;Il1r2;Ptger2;Nfil3;Flt3l;Pnp2;Tnfrsf9;Myo1c;Plin2;Ikzf4;Ccr4;Odc1;Il18r1;Ahr;Spred2;Xbp1;Anxa4;Bcl2"
"HALLMARK_MYC_TARGETS_V1",0.000564942180397554,0.00282471090198777,0.477270815362862,0.29993741548891,1.50132287402124,183,"Prps2;Xrcc6;Srm;Ncbp1;Fam120a;Abce1;Cbx3;Ran;Canx;Srsf3;Eif3j1;Hnrnpc;Prdx4;Eif4g2;Pwp1;Iars;Hnrnpr;Xpot;Lsm2;Prdx3;Cul1;Smarcc1;Usp1;Mcm4;Ddx18;Kpnb1;Hprt;Hnrnpa2b1;Pabpc1;Eif2s1;Uba2;Cct3;Snrpa1;Aimp2;Txnl4a;Snrpg;Eif1ax;Ube2e1;Orc2;Rrm1;Snrpb2;Etf1;Mcm6;Ndufab1;Serbp1;Cad;Eif2s2;Psma1;Trim28;Stard7;Vdac1;Snrpd3;Myc;Ywhae;Psma6;Ptges3;Psma7;Bub3;Clns1a;Syncrip;Hdac2;Nap1l1;Ruvbl2"
