"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",9.29208442081175e-21,4.64604221040587e-19,1.1778932614942,-0.676520093198979,-2.21022280579392,186,"Ndufb7;Ndufc1;Idh1;Slc25a20;Atp5k;Tomm22;Atp5d;Acaa2;Gpi1;Atp5j2;Uqcr10;Atp5b;Echs1;Sdhd;Por;Idh3b;Atp5e;Nqo2;Ndufa7;Cox5a;Atp5l;Fh1;Ndufv2;Ndufb2;Atp5j;Etfb;Cyb5r3;Idh3a;Ndufa2;Cox7b;Ndufs3;Hsd17b10;Cox17;Cox5b;Ndufc2;Timm13;Uqcrb;Cox4i1;Ndufb8;Uqcrfs1;Ndufa1;Cpt1a;Sdhb;Casp7;Ldha;Cox6b1;Polr2f;Glud1;Ndufab1;Mtx2;Cox7a2;Sdhc;Ndufb1;Ndufa3;Ndufb6;Eci1;Cox7c;Ndufs8;Ndufa8;Atp1b1;Sdha;Alas1;Uqcr11;Vdac3;Ndufb4;Ndufb5;Mdh2;Atp5pb;Ech1;Ndufs4;Slc25a3;Atp5g3;Sucla2;Vdac1;Cyc1;Atp5g1;Got2;Grpel1;Atp5o;Ogdh;Timm17a;Uqcrc1;Ndufs7;Etfa;Pdha1;Mdh1;Ndufa5;Cox6c;Phb2;Phyh;Dlat;Pdp1;Atp6v0e;Prdx3;Cyb5a;Dld;Uqcrh;Ndufa4;Atp5c1;Slc25a4;Uqcrq;Acat1;Pdhx;Tomm70a;Cox11;Retsat;Timm50;Mtrf1;Atp6v1e1;Uqcrc2;Timm8b;Ndufs6;Atp6v1g1;Bax;Slc25a12"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",8.58210911082844e-10,2.14552727770711e-08,0.801215574617779,0.443175399835319,2.03221581927095,197,"Klf10;Gem;Gadd45b;Tnf;Nfkbia;Per1;Pfkfb3;Atf3;Btg3;Phlda1;Icam1;Egr1;Ier2;Maff;Socs3;Id2;Ccnl1;Ppp1r15a;Il1a;Slc16a6;Zfp36;Ccl4;Cd83;Btg2;Rhob;Birc3;Tnfaip3;Smad3;Egr3;Rnf19b;Ier3;Icosl;Csf1;Map3k8;Plek;Junb;Rela;Spsb1;Jun;Ier5;Tnfsf9;Dusp2;Sgk1;Zc3h12a;Myc;Gpr183;Birc2;Irf1;Kdm6b;Dusp4;Rel;Clcf1;Snn;Pnrc1;Tgif1;Ccrl2;Dnajb4;Btg1;Plau;Sat1;Zbtb10;Tnip2;Klf2;Pmepa1;Il6st;Dusp1;Phlda2;Ripk2;Irs2;Nr4a1;Eif1;Ifngr2;Marcks;Klf6;Bcl3;F3;Fos;B4galt1;Trib1;Nfkbie"
"HALLMARK_ADIPOGENESIS",2.03496197405285e-09,3.39160329008808e-08,0.774939030136436,-0.558702925741636,-1.82717816783463,197,"Stom;Gpx3;Fabp4;Ddt;Pqlc3;Ndufb7;Aldh2;Slc1a5;Idh1;Plin2;Itsn1;Dnajc15;Apoe;Acaa2;Slc27a1;Taldo1;Uqcr10;Echs1;Lpl;Por;Cat;Cmpk1;Riok3;Esyt1;Aldoa;Etfb;Idh3a;Aplp2;Tkt;Arl4a;Cox7b;Ndufs3;Abca1;Gpd2;Scp2;Pparg;Cd36;Hadh;Angptl4;Sdhb;C3;Ndufab1;Sdhc;Gadd45a;Qdpr;Uqcr11;Dgat1;Mdh2;Ech1;Tst;Tank;Cyc1;Coq3;Grpel1;Cdkn2c;Atp1b3;Dhrs7;Atp5o;Uqcrc1;Adcy6;Sparcl1;Araf;Ndufa5;Phldb1;Phyh;Dlat;Reep5;Ucp2;Sod1;Prdx3;Scarb1;Dld;Ak2;Chchd10;Ywhag;Uqcrq;Slc25a1;Pgm1;Coq9;Stat5a;Cd302;Retsat;Tob1;Mtarc2;Adipor2"
"HALLMARK_GLYCOLYSIS",2.89568652143925e-08,3.61960815179906e-07,0.73376198835648,-0.541081192903098,-1.7683188575676,199,"Tgfbi;Pfkp;Cd44;Sdc1;Cxcr4;Idh1;Akr1a1;Ndufv3;Taldo1;Vegfa;Pgk1;Met;Adora2b;Cenpa;Pygl;Txn1;Polr3k;Lhpp;Pkm;Fam162a;Aldoa;Egfr;Galk2;G6pdx;Ero1a;Glrx;Ddit4;Tpi1;Aldh9a1;Nt5e;Angptl4;Gale;Ldha;Hax1;Slc16a3;Casp6;Sdhc;B3gnt3;Got1;Slc25a13;Mdh2;Gpc1;Cdk1;Xylt2;Gfus;Vcan;Got2;Isg20;Me2;Egln3;Gys1;Pam;Psmc4;Mdh1;Cln6;Pgam1;Pgls;Ppp2cb;Ppia;Sod1;Cyb5a;Dld;Aldh7a1;Col5a1;P4ha2;Pygb;Capn5;Pmm2;Mxi1;Ugp2;Cog2;Mif;B4galt7;B3gat1;Sdc3;Arpp19;Aurka;Kif2a;Slc25a10;Rpe;Galk1;Glce;Homer1;Ak4;Bpnt1;Nanp;Copb2;Pkp2;Agl;Pdk3;Tpst1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.71940730833241e-07,6.71940730833241e-06,0.659444398037935,-0.525325531234268,-1.7170447539244,198,"Ifitm2;Cd38;Pfkp;Itgb7;Il18bp;Klrk1;Tnfaip2;Samd9l;Sri;Stat4;Tnfaip6;Gch1;Ifitm3;Nampt;Slamf7;Psma2;Psmb8;Ifi44;H2-Aa;Plscr1;Psmb2;Vamp8;St8sia4;Arl4a;Csf2rb2;Samhd1;Ciita;Cmpk2;Ccl7;Jak2;Pim1;H2-Eb1;Casp7;H2-M2;Pde4b;Usp18;Fpr1;Ifit3;Ptgs2;Bst2;Epsti1;Psmb9;Isoc1;Ifit1bl1;Ddx60;Trim25;Stat1;Isg20;Psme1;Ifih1;Irf7;Slc25a28;Wars1;Psmb10;Isg15;Fgl2;Rtp4;Rsad2;Gpr18;Cfb;Batf2;Cd74;Ccl2;Nup93;Sectm1a;Oas3;Ccl5;Mthfd2;Ifit2;Ifnar2;Zbp1;Ube2l6;Cd40;Mvp;Parp14;Oasl1;Casp3;Eif4e3;Nfkb1;Auts2;Rnf213;Trafd1;B2m;Pml;H2-D1;Gbp3;Nmi;Casp1;Helz2;Nod1;Pnp2;C1rb;Ly6e;Xaf1;Oas2;Lysmd2;Ptpn2;Cd69;H2-DMa;Il2rb;Cdkn1a;Ifi27;Cmtr1;Ripk1;Cxcl9;Dhx58;Vcam1;Socs1"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1.92480586998307e-06,1.51355144001535e-05,0.627256739718528,-0.688222582487743,-1.96745184875963,46,"Mgst1;Gpx3;Pfkp;Gclm;Gsr;Atox1;Prdx4;Prdx1;Pdlim1;Txn1;Cat;Prdx2;Msra;G6pdx;Glrx;Srxn1;Prdx6;Txnrd1;Lamtor5;Ndufb4;Glrx2;Abcc1;Lsp1;Sod1;Hmox2;Cdkn2d;Ptpa;Prnp"
"HALLMARK_IL2_STAT5_SIGNALING",2.1189720160215e-06,1.51355144001535e-05,0.627256739718528,-0.516795408418191,-1.68916375107791,198,"Il10;Emp1;Alcam;Ahnak;S100a1;Cd44;Plec;Ecm1;Serpinb6a;Smpdl3a;Spp1;Ahr;Ndrg1;Slc1a5;Ptger2;Sell;Bmp2;Plin2;Igf2r;Adam19;Bhlhe40;Ccnd2;St3gal4;Capg;Traf1;Gpr65;Ccnd3;Anxa4;Snx9;P2rx4;Rabgap1l;Sh3bgrl2;Ifitm3;Itgae;Uck2;Hopx;Lrrc8c;Twsg1;Nfil3;Myo1e;Etfbkmt;Plscr1;Arl4a;Il2ra;Rnh1;Ltb;Nt5e;Glipr2;Pim1;Cish;Gsto1;Il1r2;Dhrs3;Cd48;Tiam1;Rgs16;Cst7;Ahcy;Eef1akmt1;Il3ra;Tnfrsf18;Lif;Fgl2;Hipk2;Plagl1;Tnfrsf4"
"HALLMARK_XENOBIOTIC_METABOLISM",7.08902637669932e-06,4.43064148543707e-05,0.610526878385931,-0.501258482870565,-1.63927723969217,201,"Xdh;Ddt;Igf1;Arg2;Aldh2;F10;Papss2;Slc1a5;Idh1;Cyfip2;Arg1;Gsr;Apoe;Ugdh;Blvrb;Kynu;Por;Gch1;Cdo1;Cat;Aqp9;Maoa;Aldh9a1;Ninj1;Cd36;Gsto1;Casp6;Npc1;Pdlim5;Ptgr1;Alas1;Dhrs1;Ech1;Slc6a6;Hmox1;Ahcy;Gss;Adh5;Ssr3;Hprt;Upb1;Psmb10;Dhrs7;Kars;Cyp2s1;Pgd;Ets2;Pgrmc1;Cfb;Spint2;Igfbp4;Acp1;Cyb5a;Entpd5;Gstm4;Nfs1;Rap1gap;Retsat;Sar1b;Ephx1;Elovl5;Gabarapl1;Arpp19;Tnfrsf1a;Pts;Ccl25;Bphl;Esr1;Mpp2;Ptges;Pmm1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.49441422750374e-05,8.30230126390965e-05,0.593325476396405,-0.565553569269213,-1.77348364531885,96,"Ifitm2;Sell;Procr;Samd9l;Mvb12a;Ifitm1;Ifitm3;Ncoa7;Psmb8;Ifi44;Plscr1;Cmpk2;Cd47;Usp18;Ifit3;Bst2;Epsti1;Psmb9;Ddx60;Trim25;Gbp2;Isg20;Psme1;Ifih1;Irf7;Slc25a28;Wars1;Isg15;Rtp4;Rsad2;Batf2;Oas1a;Cd74;Ifit2;Ube2l6;Oas1g;Parp14;Oasl1;Trafd1;B2m;Gbp3;Nmi;Casp1;Helz2"
"HALLMARK_ALLOGRAFT_REJECTION",1.89103086104498e-05,8.72484947043612e-05,0.575610261071129,-0.504309558256993,-1.64822969809709,191,"Pf4;Cfp;Il10;Ccr1;Ccr2;Cd4;Fgr;Nos2;Ccnd2;Inhba;Cd7;Capg;Gpr65;Ccnd3;Itgal;Map4k1;Klrd1;Ly75;Stat4;Cxcr3;Ccl22;Cd28;Egfr;H2-Aa;Mmp9;St8sia4;H2-DMb1;Il2ra;Ltb;Ccl7;Jak2;Cd47;Il12rb1;Il2rg;H2-T23;Nme1;Srgn;Flna;Igsf6;Thy1;Itk;Gbp2;Lif;Stat1;Irf7;Wars1;Psmb10;Eif3d;Dyrk3;Timp1;Fcgr2b;Cd74;Ccl2;Il1b;Degs1;Ccl5;Ifnar2;C2;Cd40;Dars;Cd2;Zap70;Il12a;Apbb1;B2m;Cd8a;Prkcg;Lck;Eif5a;Cd3d;Ikbkb;H2-DMa;Il27ra;Stab1;Il2rb;Cd80;Cxcl9;Itgb2;Socs1;Brca1;Abi1;Cdkn2a;Il12b;Cd79a;Ube2d1;Cxcl13;Cd3e;Ncf4;Akt1;Il18rap;Hcls1"
