"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1e-50,5e-49,NA,-0.739205829389141,-4.07409299314941,197,"Cd44;Bhlhe40;Serpinb8;Tnfaip2;Jag1;Ninj1;Vegfa;Atp2b1;Cxcl3;Olr1;Fosl2;Bmp2;Nr4a2;Traf1;Sik1;Nfil3;Areg;Cxcl1;Dram1;Nfe2l2;Litaf;Abca1;Ptgs2;Gch1;Dusp5;Plaur;Cd80;Tiparp;Cxcl2;B4galt5;Ets2;Nampt;Nr4a3;Il1b;Inhba;Tnfaip8;Pdlim5;Tnip1;Tank;Kynu;Pde4b;Cdkn1a;Phlda1;Ehd1;Ccn1;Sdc4;Ptger4;Tnfaip6;Rnf19b;Rel;Trib1;Tlr2;Map2k3;Bcl6;Ldlr;Fosl1;Il7r;Nfkbie;Bcl3;Gadd45a;Ier3;Birc3;Btg1;Cflar;Tgif1;Ccrl2;Plau;Egr2;Cebpb;Plek;Mcl1;Il12b;Rela;Relb;Dusp1;Nfkb2;Stat5a;Id2;Hbegf;Nfkb1;Sqstm1;Klf6;Btg3;Mxd1;Plk2;Rcan1;Sphk1;Gadd45b;Il1a;Cd83;Nfkbia;Klf10;Ccl2;Nr4a1;Tnf;Ifih1;Ripk2;Zc3h12a;Kdm6b;Trip10;Maff;Ccl5;Fut4;Serpine1;Lif;Tnfaip3;Ptpre;Tubb2a;Cd69;Ifngr2;Edn1;Yrdc;Panx1;Slc2a6;Tnfrsf9;Sat1;Irf1;B4galt1;Csf2;Fosb;Egr3;Tnip2;Icam1;Pnrc1;Tnfsf9;Nfat5;Cxcl10;Zfp36;Eif1;Il6;Junb;Sgk1;Klf4"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.48157213352099e-46,6.20393033380247e-45,1.77414997679975,-0.67944864404791,-3.75676652581767,198,"Ifitm2;Itgb7;Plscr1;Tnfaip2;Cd38;Il18bp;Ptgs2;Gch1;Klrk1;Ripk1;H2-Aa;Ccl7;Slamf7;Pim1;Nampt;Stat4;St8sia4;Cd40;Jak2;Pde4b;Cdkn1a;Trim25;Csf2rb2;Samd9l;Tnfaip6;Irf5;H2-M2;Sri;H2-Eb1;Ifi44;Psma2;Cd74;Ifitm3;Rsad2;Ptpn2;Ciita;Myd88;Gpr18;Ifnar2;Stat3;Btg1;Samhd1;Vamp8;Psmb2;Fpr1;Casp7;Psmb8;Cd86;Arid5b;Isg20;Irf4;Cd274;Cmpk2;Ifi30;Cfb;Nfkb1;Batf2;Casp4;Ptpn1;Mvp;Hif1a;Oas3;Epsti1;H2-D1;Nfkbia;Vcam1;Il4ra;Psmb9;Fgl2;Casp3;Ccl2;Ifih1;Psma3;Ripk2;Fas;Ccl5;Bst2;Slc25a28;Tnfaip3;Casp1;Rtp4;H2-DMa;Irf7;Psme1;Cd69;Sppl2a;Isg15;Oasl1;Helz2;Isoc1;Arl4a;Irf1;Tapbp;Pfkp;Ube2l6;Psmb10;Lcp2;C1rb;Peli1;Icam1;B2m;Stat1;Socs1;Ncoa3;H2-Q7;Zbp1;Irf9;Ifi27;Cxcl10;Trafd1;Cmklr1;Il6;Cxcl9;Mthfd2;Ly6e;Mt2;Il2rb;Rnf213;Irf2;Sectm1a;Gbp3;Nmi;Socs3;Lgals3bp;Parp14;Pml;Ptpn6;Irf8;Tap1;Ogfr;Cmtr1;Usp18;Ifit3;Rigi;Dhx58;Gbp8;Sp110;Ddx60"
"HALLMARK_INFLAMMATORY_RESPONSE",1.14817874398601e-35,1.91363123997669e-34,1.55654423323138,-0.632087855073773,-3.49008901884099,199,"Il10;Gpr132;Msr1;Pdpn;Ccl17;Ahr;Emp3;Atp2b1;Ccl24;Olr1;Ifitm1;Mefv;C3ar1;Gnai3;Sgms2;Abca1;Cd14;Ccl22;Ptger2;Gch1;Ccr7;Ptgir;Tnfrsf1b;Plaur;Slc7a2;P2rx4;Ccl7;Slc28a2;Pvr;Cybb;Nampt;Il1b;Cd40;Inhba;Adora2b;C5ar1;Sell;Pde4b;Cdkn1a;Ifnar1;Nlrp3;Nod2;Ptger4;Mmp14;Tnfaip6;Itga5;Sri;Met;Tlr2;Kcna3;Ldlr;Osm;Stab1;Pik3r5;Il7r;Slc31a2;Fpr1;Ccrl2;Abi1;Aqp9;Il12b;Rela;Marco;Ffar2;Cd48;Hbegf;Nfkb1;Klf6;Mxd1;Hif1a;Sphk1;Ebi3;Ptafr;Il1a;Nfkbia;Il4ra;Best1;Ccl2;Cd55;Slc11a2;P2ry2;Ripk2;Axl;Slc31a1;Csf3;Ccl5;Bst2;Serpine1;Lif;Rtp4;Ptpre;Tnfsf15;Irf7;Cd69;Irak2;Ifngr2;Edn1;Raf1;Scarf1;Tnfrsf9;Psen1;Adgre1;Adrm1;Irf1;Tapbp;Timp1;Rhog;Lcp2"
"HALLMARK_ALLOGRAFT_REJECTION",4.45643970379297e-34,5.57054962974121e-33,1.51610760180865,-0.623980618317446,-3.3872247232855,191,"Il10;Ccr1;Cfp;Ccr2;Srgn;Pf4;Degs1;Gpr65;Cd4;Fgr;Ccl22;Cd7;Klrd1;Capg;Cd47;H2-Aa;Map4k1;Cd80;Ccl7;Stat4;Il1b;St8sia4;Cd40;Ly75;Jak2;Inhba;Cd28;H2-DMb1;Itgal;Flna;Nlrp3;Mmp9;Igsf6;Tlr2;Cd74;Stab1;Bcl3;Ifnar2;Il2ra;Ncf4;Tgfb1;Cxcr3;Abi1;Tpd52;Cd86;Bcl10;Fcgr2b;Il12b;Ccnd2;Irf4;Itk;Il2rg;Nos2;Eif5a;Hcls1;Hif1a;H2-T23;Itgb2;Ptprc;Ltb;Nme1;Il4ra;Ccl2;Elf4;Tnf;Ripk2;Fas;Ccl5;Lif;Gbp2;Rars;H2-DMa;Irf7;Ifngr2;C2;Eif3d;Spi1;Tapbp;Timp1;Psmb10;Lcp2;Ikbkb;Icam1;Cd2;Npm1;B2m;Ube2n;Stat1;Cd8a;Socs1;Tap2;Il27ra;Ctss;H2-Q7;Il18rap;Was;Il12rb1;Il6;Cxcl9;H2-Ob;Ccnd3;Galnt1;Il2rb"
"HALLMARK_IL2_STAT5_SIGNALING",2.85488401618845e-27,2.85488401618845e-26,1.3575740855908,-0.567946443008965,-3.1402552705703,198,"Cd44;Il10;Alcam;Bhlhe40;Ahr;Emp1;Il1r2;Lrrc8c;Ecm1;Plscr1;Plin2;Smpdl3a;Ahnak;Spp1;Bmp2;Anxa4;Traf1;Gpr65;Nfil3;Ndrg1;Gsto1;Ptger2;Capg;Tnfrsf1b;Serpinb6a;Snx9;P2rx4;Itgae;Adam19;Pim1;Tgm2;Igf2r;Rnh1;St3gal4;S100a1;Sell;Furin;Myo1c;Phlda1;Dhrs3;Cish;Plec;Enpp1;Ifitm3;Mapkapk2;Myo1e;Il2ra;Glipr2;Cd86;Uck2;Slc1a5;Ccnd2;Irf4;Il3ra;Cd48;Syngr2;Klf6;Prkch;Mxd1;Swap70;Gadd45b;Cd83;Tnfrsf18;Ckap4;Ltb;Nt5e;Il4ra;Nrp1;Cdc42se2;Fgl2;Casp3;Cst7;Odc1;Itgav;Ctsz;Twsg1;Nfkbiz;Tnfrsf4;Galm;Maff;Lif"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.42422295672111e-23,1.18685246393426e-22,1.25451347943706,-0.689377510028704,-3.44266643920064,96,"Ifitm2;Plscr1;Ifitm1;Cd47;Procr;Sell;Trim25;Samd9l;Mvb12a;Ifi44;Cd74;Ifitm3;Rsad2;Psmb8;Ccrl2;Isg20;Cmpk2;Ifi30;Batf2;Epsti1;Il4ra;Psmb9;Ifih1;Psma3;Ripk2;Bst2;Gbp2;Slc25a28;Casp1;Rtp4;Irf7;Psme1;Isg15;Oasl1;Helz2;Nub1;Irf1;Ube2l6;Tent5a;B2m;Oas1a;H2-Q7;Irf9;Ifi27;Cxcl10;Tmem140;Trafd1;Ly6e;Parp9;Irf2;Ncoa7;Gbp3;Nmi;Lgals3bp;Parp14;Trim12c;Oas1g;Tap1;Ogfr;Cmtr1;Usp18;Ifit3;Elf1;Dhx58;Sp110;Ddx60;Ifi35;Il15"
"HALLMARK_COMPLEMENT",1.61937828546276e-22,1.15669877533054e-21,1.22950405660873,-0.536070828827526,-2.92229479903957,192,"Mmp12;Lgals3;Lipa;Msrb1;Plscr1;Cxcl3;Olr1;F10;F7;Anxa5;Gnai3;Grb2;Cxcl1;Pla2g7;Mmp8;Fn1;Adam9;Dusp5;Mmp13;Gngt2;Plaur;Cd36;Atox1;Cxcl2;Pim1;Jak2;Kynu;Ehd1;Dpp4;Apoc1;Ctsb;Mmp14;Fcer1g;Gpd2;Pfn1;Pik3r5;C3;Cpq;S100a13;Casp7;Ppp4c;F5;Cebpb;Plek;Calm1;Cp;Ctsd;Cfb;Casp4;Ctsc;Rnf4;Hspa5;Cblb;Lamp2;Psmb9;Ctsh;Casp3;Cd55;Maff;Ccl5;Fyn;Serpine1;Gng2;Lta4h;Tnfaip3;Casp1;Prcp;Gca;Prkcd;Dyrk2;Irf7;Raf1;C2;S100a9;Psen1;Irf1;Prep;Timp1;Rhog;Lcp2;Stx4a;C1rb;Timp2;Usp16;Ctss;Ctsl;Prdm4;Xpnpep1;Was;Il6;Lrp1;Gnb4;Usp14;Serpinb2;Vcpip1;Irf2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",3.81413015900664e-21,2.38383134937915e-20,1.18665095279281,-0.526647029622733,-2.87286529941681,186,"Atp6v0c;Idh1;Cox5a;Atp6v1e1;Ndufb7;Atp6v1g1;Slc25a20;Cpt1a;Atp6v1f;Cyb5r3;Alas1;Ndufb1;Por;Gpi1;Nqo2;Ndufa1;Hccs;Atp6v0e;Atp5l;Grpel1;Atp6v1c1;Ndufb2;Uqcr10;Hsd17b10;Atp5e;Casp7;Acaa2;Etfa;Atp5d;Ndufc1;Tomm22;Atp6v1d;Ldha;Sdhd;Atp5k;Ndufa2;Cox5b;Polr2f;Hspa9;Cox7b;Cox6b1;Cox17;Uqcrfs1;Echs1;Atp5pb;Slc25a3;Atp5j2;Timm13;Cyb5a;Cox7a2;Sdhb;Phb2;Mpc1;Uqcrb;Bax;Uqcrq;Atp6ap1;Ndufb6;Etfb;Atp6v1h;Ndufb8;Ndufa6;Ndufa7;Sdhc;Ndufa3;Ndufb5;Got2;Vdac3;Atp6v0b;Mtx2;Atp5g3;Ech1;Atp5j;Iscu;Atp5g1;Cox4i1;Phyh;Pdhb;Ndufs6;Mdh2;Atp5o;Tcirg1;Hadha;Vdac2;Cox7c;Atp5a1;Ndufc2;Ndufv2"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",6.55241954298018e-21,3.64023307943343e-20,1.18665095279281,-0.690381977016034,-3.35959912320987,86,"Cd44;Ccr1;Il1r2;Pf4;Cxcl3;Itga4;Cd38;Grb2;Cxcl1;Cd14;Tnfrsf1b;Il10rb;Cd36;Ccl7;Cxcl2;Pim1;Pdgfc;Il1b;Csf2rb2;Ifnar1;Bak1;Cbl;Tlr2;Pik3r5;Ptpn2;Myd88;Il2ra;Stat3;Tgfb1;Il3ra;Tnfrsf1a;Il2rg;Hmox1;Hax1;Ptpn1;Ebi3;Acvrl1;Ltb;Il4ra;Tnf;Crlf2;Fas;Il17ra;Tnfrsf12a;Ifngr2;Csf2ra;Irf1;Csf2;Stat1;Socs1;Irf9;Cxcl10;Il12rb1;Il6;Cxcl9"
"HALLMARK_MYC_TARGETS_V1",3.11573932663072e-19,1.55786966331536e-18,1.13308993200902,-0.510187318818321,-2.74324564455975,183,"Psma4;Psmd8;Cox5a;Pgk1;H2az1;Psma2;Eif4e;Pcbp1;Snrpd1;Prdx4;Psmb2;Etf1;Psmc6;Ifrd1;Psma6;Psma7;Ldha;Ube2l3;Pwp1;Psmb3;Psma1;Cct4;Dhx15;Pabpc1;Snrpg;Slc25a3;Nme1;Hnrnpa1;Psmd14;Eif4a1;Eprs;Rad23b;Rack1;Odc1;Pole3;Phb2;Hprt;Prpf31;Nap1l1;Dek;Snrpb2;Psmd1;Ppia;Eif2s1;Ptges3;Snrpd2;Syncrip;Cct2;Impdh2;Tra2b;Tcp1;Eif3d;Eef1b2;Fam120a;Serbp1;Cnbp;Got2;Vdac3;Npm1;Snrpd3;Ranbp1;Cct5;Xpo1;Mcm4;G3bp1;Pcna;Acp1;Kars;Eif2s2;Nhp2;Hnrnpc;U2af1;Ssb;Pa2g4;Cyc1;Psmd7;Vbp1;Ppm1g;Eif4g2;Ndufab1;Canx;Txnl4a;Eif3b;C1qbp;Snrpa;Cct7;Ube2e1;Rfc4;Srsf3;Mcm5;Cdk4;Cops5;Psmd3;Mcm6"
