"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MITOTIC_SPINDLE",3.7450303867412e-12,1.79761458563578e-10,0.887074988399873,-0.518142492217224,-2.0760698357101,199,"Arhgap5;Arap3;Bin1;Rapgef5;Fscn1;Epb41l2;Ophn1;Tubgcp5;Dock4;Ssh2;Taok2;Cd2ap;Trio;Mid1ip1;Rasa1;Mapre1;Nf1;Tubgcp6;Numa1;Lrpprc;Flnb;Sun2;Pcm1;Dst;Apc;Dock2;Rab3gap1;Rapgef6;Cep250;Wasf2;Arhgef12;Abl1;Fgd4;Als2;Wasl;Clip1;Smc1a;Arhgef7;Pkd2;Arhgef2;Marcks;Rasal2;Cntrl;Kptn;Stau1;Cep131;Tiam1;Cntrob;Tubgcp3;Rabgap1;Arfip2;Arhgap27;Tsc1;Hook3;Arhgap4;Itsn1;Myh10;Sass6;Cdc27;Prex1;Plekhg2;Clip2;Clasp1;Kif3b;Cep192;Map1s;Smc3;Dync1h1;Dynll2;Tbcd;Akap13;Ckap5;Klc1;Hdac6;Mark4;Dlg1;Kif1b;Pcnt;Rictor;Rhot2;Ranbp9;Sac3d1;Cdk5rap2;Ywhae;Rhof;Map3k11;Lmnb1;Cyth2;Rfc1;Cep57;Arhgdia;Arhgef11;Sos1;Sptbn1;Farp1;Cenpj;Csnk1d;Pafah1b1;Tubgcp2;Pdlim5;Brca2"
"HALLMARK_MYC_TARGETS_V1",1.13469482853775e-08,1.83442026645964e-07,0.747739663149885,-0.482659052903171,-1.93128250693758,183,"Myc;Hspd1;Gnl3;Hnrnpu;Kpnb1;Srm;Hsp90ab1;Cad;Ddx21;Tardbp;Srsf3;Pabpc4;Srsf7;Ifrd1;Pcna;Sf3a1;Hnrnpd;Xrcc6;Srsf2;Xpot;Ncbp2;Syncrip;Prps2;Nhp2;Dhx15;Hspe1;Mcm7;Uba2;Iars;Hnrnpr;Cul1;Tra2b;Sf3b3;Ssbp1;Eif4a1;Dek;Odc1;Hnrnpa2b1;Fbl;Ncbp1;Smarcc1;Txnl4a;U2af1;Pold2;Orc2;Pcbp1;Ddx18;Trim28;Gspt1;Rrp9;Nop56;Mcm2;Exosc7;Ilf2;Apex1;Eif3j1;H2az1;Mcm4;Snrpa;Canx;Ran;Hdac2;Vbp1;Pwp1;Ywhae;G3bp1;Lsm2;Rrm1;Nolc1;Cdk2;Ssb;Snrpa1;Srsf1;Hnrnpc;Cstf2;Tomm70a;Pa2g4;Cnbp;Ruvbl2;Pabpc1;Abce1;Xpo1;Prdx4;Bub3;Eef1b2;Stard7;Cbx3;Nop16;Tfdp1;Cops5;Eif4g2;Cct4;Impdh2;Serbp1;Ptges3;Ranbp1;Snrpg;Hnrnpa1;Eif2s1;Tcp1;Hprt;Cct3;Kars;Cdk4;Cct2;Tufm;Prdx3;Ube2e1;Rnps1;Cct7;Rack1;Fam120a;Glo1;Lsm7;Eif2s2;Psmd8;Usp1;Etf1;Phb;Ppm1g"
"HALLMARK_G2M_CHECKPOINT",1.14651266653727e-08,1.83442026645964e-07,0.747739663149885,-0.477013854094565,-1.91026257889444,193,"Myc;Slc12a2;Ccnd1;Slc7a5;Smad3;Foxn3;Dkc1;Ilf3;Hnrnpu;Pura;Numa1;Hspa8;Kpnb1;Pds5b;Cdkn2c;Lbr;Abl1;Smc1a;Meis1;Marcks;Rasal2;Hnrnpd;Srsf2;Ctcf;Arid4a;Tmpo;H2az2;Syncrip;Ncl;Atrx;Rbm14;Slc38a1;E2f3;Cul4a;Mapk14;Cul5;Rbl1;Pola2;Tle3;Cul1;Cdc27;Sap30;Tra2b;Dtymk;Orc5;Odc1;Ddx39a;Fancc;Nsd2;Srsf10;Stag1;Prpf4b;Smarcc1;Hus1;Lig3;Mcm3;Cks2;Ss18;Tacc3;Cbx1;Sfpq;Gspt1;Mcm2;Tnpo2;Upf1;Prmt5;Hira;Cdc25a;Slc7a1;Mtf2;Smc2;Ezh2;H2az1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",9.20901975534671e-08,1.1050823706416e-06,0.704975715167238,-0.527422824159799,-2.05154871081473,110,"Slc7a5;Herpud1;Dkc1;Hspa5;Edem1;Pdia5;Nfya;Nop14;Fus;Atf3;Parn;Atf6;Ccl2;Dnajb9;Dnaja4;Bag3;Cnot2;Arfgap1;Xpot;Eif4a2;Fkbp14;Eif2ak3;Nhp2;Tars;Dctn1;Sdad1;Iars;Aldh18a1;Eif4a1;Tspyl2;Psat1;Preb;Calr;Exosc5;Ddx10;Hyou1;Atf4;Rrp9;Srpr;Nop56;Pdia6;Shc1;Sec31a;Mtrex;Exosc9;Hsp90b1;Nfyb;Exosc10;Cebpg;Ssr1;Tubb2a;Nolc1;Dnajc3;Eif4g1;Cnot4;Zbtb17;Cxxc1;Chac1;Gosr2;Exoc2;Lsm1;Slc30a5;Eif4a3;Exosc1;Spcs3;Paip1;Khsrp"
"HALLMARK_MYC_TARGETS_V2",1.27084445068786e-07,1.22001067266035e-06,0.690132458796796,-0.61367991431896,-2.2425840409238,56,"Myc;Hspd1;Gnl3;Ppan;Nop2;Srm;Sord;Prmt3;Las1l;Hspe1;Ipo4;Imp4;Tbrg4;Hk2;Supv3l1;Utp20;Mybbp1a;Exosc5;Ddx18;Dctpp1;Pprc1;Tcof1;Rrp9;Grwd1;Nop56;Wdr43;Slc19a1;Mcm4;Ndufaf4;Dusp2;Nolc1;Farsa;Mrto4;Tfb2m;Nip7;Pa2g4;Bysl;Pus1;Plk4;Cbx3;Nop16"
"HALLMARK_UV_RESPONSE_DN",6.4670588841191e-07,4.68165656548389e-06,0.659444398037935,-0.484892222948354,-1.91983149184783,141,"Myc;Tjp1;Inpp4b;Ccn1;Smad7;Itgb3;Bmpr1a;Smad3;Kit;Ptprm;Tgfbr2;Gcnt1;Celf2;Dbp;Vav2;Ptpn21;Kcnma1;Tfpi;Mgll;Atp2c1;Nek7;Nr3c1;F3;Insig1;Nr1d2;Sipa1l1;Igf1r;Pmp22;Prkca;Pias3;Prkce;Dmac2l;Atrx;Scn8a;Pik3cd;Dyrk1a;Runx1;Mapk14;Sfmbt1;Nrp1"
"HALLMARK_TGF_BETA_SIGNALING",6.827415824664e-07,4.68165656548389e-06,0.659444398037935,-0.601472020101209,-2.18033588477394,54,"Tjp1;Smad7;Bmpr1a;Bmp2;Smad3;Skil;Acvr1;Ppp1r15a;Tgfbr1;Apc;Rab31;Bmpr2;Pmepa1;Cdkn1c;Klf10;Id2;Eng;Ski;Slc20a1;Map3k7;Smurf1;Smad1;Fnta;Hdac1"
"HALLMARK_E2F_TARGETS",1.60484182717917e-06,9.629050963075e-06,0.643551836150722,-0.442888663997041,-1.77540381408496,197,"Myc;Donson;Ilf3;Msh2;Trp53;Pds5b;Cdkn2c;Shmt1;Lbr;Psip1;Pcna;Nup205;Smc1a;Luc7l3;Hnrnpd;Xrcc6;Srsf2;Ctcf;Tmpo;Tcf19;Nbn;Syncrip;Mlh1;Anp32e;Nup107;Mcm7;Rad50;Pola2;Nup153;Tra2b;Gins1;Mre11a;Dek;Tbrg4;Ddx39a;Ppm1d;Stag1;Tipin;Ppp1r8;Hus1;Pold2;Mcm3;Eed;Pan2;Cks2;Orc2;Zw10;Tacc3;Smc3;Dctpp1;Pold1;Gspt1;Nop56;Mcm2;Exosc8;Wee1;Cdc25a;Cbx5;Chek2;Cse1l;Ezh2;H2az1;Mcm4;Rbbp7;Ran;Gins4;Timeless;Brms1l;Lmnb1;Gins3;Nolc1;Srsf1;Pms2;Chek1;Rnaseh2a;Rfc1;Prim2;Pa2g4;Orc6;Pnn;Ssrp1;Brca2;Wdr90;Cdk1;Smc6;Ubr7;Xpo1;Nasp;Lyar;Prdx4;Lig1;Plk4;Rpa1;Rad21;Cdkn3"
"HALLMARK_P53_PATHWAY",8.31620517177381e-05,0.000443530942494603,0.538434096309916,-0.408202387517116,-1.63469831912834,193,"Epha2;Ctsf;Tgfa;Cdk5r1;Ak1;Cd81;Ldhb;Klk8;Sesn1;Bmp2;Sat1;Ppp1r15a;Cyfip2;Plxnb2;St14;Tcn2;Mxd4;Btg2;Trp53;Prkab1;Atf3;Ercc5;Ddit3;Pdgfa;Irag2;Rab40c;Pcna;Jun;Dcxr;Wwp1;Vwa5a;Cgrrf1;Txnip;Elp1;Rrad;S100a4;Ier5;Fdxr;Nol8;Zfp36l1;Notch1;Pom121;Abcc5;Zbtb16;Ccnd2;Ccnd3;Tspyl2;Tnfsf9;Csrnp2;Irak1;Ppm1d;Tm7sf3;Ephx1;Cd82;Ccnk;Jag2;Dgka;Pitpnc1;Ctsd;Rb1;Hexim1;Polh;Fbxw7;Cebpa;Rad9a;Coq8a;Ddb2;Il1a;Rchy1;Cdkn2aip;Apaf1;Tsc22d1"
"HALLMARK_APICAL_JUNCTION",0.000101163734745239,0.000485585926777145,0.538434096309916,-0.404406764993263,-1.62233090407783,196,"Cd34;Sgce;Tjp1;Speg;Fscn1;Jup;Plcg1;Epb41l2;Taok2;Nf2;Map4k2;Rasa1;Nf1;Exoc4;Vav2;Nrap;Tial1;Icam4;Arhgef6;Itga9;Insig1;Wasl;Icam1;Tsc1;Nectin4;Adam15;Adam23;Mapk14;Actn2;Myh10;Nectin2;Skap2;Vcam1;Inppl1;Dhx16;Ywhah;Fyb;Cd276;Sirpa;Ctnnd1;Tspan4;Shc1;Egfr;Pals1;Lima1;Pbx2;Dlg1;B4galt1;Crat;Cd209b;Ppp2r2c;Mmp9;Akt2"
