"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",6.65434074879746e-21,3.32717037439873e-19,1.18665095279281,0.587223868289697,2.72847295457508,197,"Fosl1;Edn1;Il1a;Map2k3;Pfkfb3;Klf10;Sphk1;Btg3;Trib1;Hbegf;Kdm6b;Nfkb2;Clcf1;Rcan1;Smad3;Relb;Rela;Nfat5;Plau;Gadd45b;Tnip2;Nfkb1;Birc3;Tnf;Maff;F3;Rel;Dusp5;Rnf19b;Gch1;Id2;Ehd1;Cd83;Icam1;Dnajb4;Bcl3;Fjx1;Egr3;Csf1;Pdlim5;Nfkbie;Slc16a6;Tubb2a;Tank;Map3k8;Tgif1;Ccl4;Btg1;Dennd5a;B4galt1;Bcl6;Tnip1;Socs3;Ccnl1;Dusp2;Phlda1;Tlr2;Ccnd1;Pmepa1;Stat5a;Nfkbia;Plek;Sqstm1;Ppp1r15a;Zc3h12a;Cflar;Ptger4;Panx1;Tnfsf9;Gem;Nr4a3;Icosl;Il6st;Il6;Spsb1;Ripk2;Tnfaip3;Nr4a1;Yrdc;Sdc4"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",4.63638261748321e-18,1.1590956543708e-16,1.0959292864312,-0.61809042148288,-2.34553961898132,186,"Mtx2;Ndufs3;Idh1;Atp5k;Uqcr10;Hsd17b10;Atp5j2;Ndufv2;Ndufa2;Uqcrb;Idh3b;Acaa2;Ndufa1;Echs1;Sdhd;Atp5l;Nqo2;Ndufc1;Tomm22;Ndufb4;Cox5b;Ndufab1;Ndufb7;Fh1;Atp5e;Atp5d;Atp5o;Idh3a;Cox7a2;Gpi1;Sdhc;Prdx3;Cox5a;Ndufa7;Atp5j;Uqcrfs1;Ndufb5;Ndufb8;Eci1;Cox7b;Cyb5a;Mtrf1;Ndufa3;Ndufc2;Ndufs4;Ndufb1;Ndufa8;Uqcr11;Casp7;Atp6v1g1;Ndufs2;Slc25a12;Atp5b;Slc25a20;Ndufa6;Etfb;Atp5pb;Polr2f;Timm13;Ndufa5;Ndufs7;Idh2;Cox6b1;Glud1;Atp1b1;Sdhb;Dlat;Cox15;Abcb7;Timm8b;Cox7c;Vdac1;Ndufb2;Cox17;Ndufa4;Ech1;Decr1;Cox7a2l;Uqcrh;Ndufs8;Cox6c;Phb2;Surf1;Sdha;Mdh1;Idh3g;Retsat;Pdhx;Ndufb6;Timm50;Cox4i1;Ldha;Acat1;Atp5g3;Timm9;Uqcrc1;Mdh2;Pdha1;Ndufs1;Mgst3;Phyh;Ndufb3;Sucla2;Slc25a11;Ogdh;Cpt1a;Atp6v1e1;Uqcrq;Opa1;Rhot2;Cyc1;Ndufs6;Bax;Cycs;Suclg1;Got2;Timm10;Atp5c1;Vdac3;Uqcrc2;Cyb5r3;Acadsb;Slc25a3;Nnt;Iscu;Etfdh;Cox8a;Atp6v0e;Acaa1a;Oxa1l;Cox10;Ndufv1;Immt;Aifm1"
"HALLMARK_ADIPOGENESIS",7.9139413231218e-10,1.3189902205203e-08,0.801215574617779,-0.527586028207481,-2.00715198617944,197,"Fabp4;Gpx3;Pqlc3;Stom;Dnajc15;Apoe;Ndufs3;Idh1;Slc27a1;Esyt1;Aldh2;Uqcr10;Coq9;Ddt;Coq3;Gadd45a;Cd36;Acaa2;Cat;Echs1;Lpl;Araf;Tst;Reep5;Ndufab1;Ndufb7;Plin2;Atp5o;Idh3a;Angptl4;Dhrs7;Sdhc;Mtarc2;Prdx3;Pparg;Gpam;Hadh;Ifngr1;Cox7b;Qdpr;C3;Tkt;Arl4a;Uqcr11;Ak2;Dgat1;Etfb;Ndufa5;Cpt2;Itsn1;Jagn1;Sdhb;Dlat;Ccng2;Cd302;Mccc1;Ech1;Sod1;Decr1;Adcy6;Scarb1;Scp2;Chchd10;Idh3g;Cmpk1;Retsat;Pfkl;Slc25a1;Taldo1;Hibch;Abca1;G3bp2;Ucp2;Sparcl1;Rtn3;Slc25a10;Cdkn2c;Abcb8;Uqcrc1;Baz2a;Mdh2;Lipe;Samm50;Mgst3;Phyh;Pgm1;Slc1a5;Aldoa;Adipor2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.40883031637876e-08,1.76103789547344e-07,0.747739663149885,-0.594930646930771,-2.11905002441826,96,"Ifitm2;Sell;Ncoa7;Cd47;Lpar6;Trim21;Ifi44;Ifitm3;Cmpk2;Psmb8;Txnip;Mvb12a;Procr;Plscr1;Usp18;Pnpt1;Batf2;Psmb9;Ifit3;Bst2;Trim14;Oas1a;Samd9l;Casp1;Ifit2;Epsti1;Parp9;Slc25a28;Ddx60;Trim5;Psme1;Rsad2;Parp12;Cmtr1;Cd74;Irf7;Rtp4;Il15;Nmi;Ly6e;Herc6;Ube2l6;Oas1g;Wars1;Ifitm1;Tent5a;Ifi27;Isg15;Cnp;B2m;Dhx58;Isg20;Eif2ak2;Ccrl2;Lgals3bp;Irf1;Stat2;Uba7;Gbp2;Parp14;Ifi30;Cxcl10;Trim25;Ifi35;Trafd1"
"HALLMARK_FATTY_ACID_METABOLISM",1.53652654733921e-06,1.53652654733921e-05,0.643551836150722,-0.488451961077276,-1.82790637041921,155,"S100a10;Hsph1;Idh1;Ugdh;Hsp90aa1;Hsd17b10;Cd36;Ostc;Idh3b;Maoa;Acaa2;Prdx6;Aldh9a1;Echs1;Blvra;Sdhd;Mcee;Fh1;Pts;Alad;Sdhc;Hadh;Auh;Idi1;Eci1;Ccdc58;Gcdh;Erp29;Mif;Hmgcs1;H2az1;Cpt2;Hsd17b11;Psme1;Ech1;Decr1;Fasn;Acsl1;Grhpr;D2hgdh;Sdha;Mdh1;Ube2l6;Idh3g;Retsat;Hibch;Hmgcl;Ldha;Eci2;Acot2;Cpox;Mdh2;Pdha1;Aldoa;Adipor2;Bphl;Sucla2;Uros;Dhcr24;Nthl1;Cpt1a;Hsdl2;Gstz1;Ncaph2;Suclg1;Acsl5;Acot8;Gpd1;Mgll;Acox1;Rdh11;Nsdhl;Cryz;Urod;Etfdh;Ephx1"
"HALLMARK_TGF_BETA_SIGNALING",2.82532174181227e-06,2.35443478484356e-05,0.627256739718528,0.583668847206826,2.24356934517754,54,"Skil;Klf10;Smad3;Smad7;Id2;Smurf1;Rab31;Tgif1;Furin;Tjp1;Smad1;Pmepa1;Ppp1r15a;Hdac1;Ski;Map3k7;Bmpr1a;Tgfb1;Arid4b;Eng;Ube2d3;Acvr1;Tgfbr1"
"HALLMARK_GLYCOLYSIS",6.24427224396355e-06,4.46019445997397e-05,0.610526878385931,-0.455098168090898,-1.73238396070378,199,"Cxcr4;Sdc1;Pfkp;Txn1;Ddit4;Tgfbi;Polr3k;Idh1;Akr1a1;Galk2;Gpc1;Pgls;Ankzf1;Agl;B3gnt3;Aldh9a1;Vegfa;Casp6;Egfr;Xylt2;Nt5e;Gmppa;Ndufv3;Egln3;Angptl4;Sdhc;Fam162a;Me2;Pygl;Ero1a;Pmm2;Gfus;Cyb5a;Adora2b;Met;G6pdx;Mif;Rpe;Pgk1;Phka2;Pygb;Tpi1;Gusb;Cln6;Chst12;Vcan;Pgam1;Pam;Sod1;Nanp;Bpnt1;Capn5;Ugp2;Mdh1;B3gat1;Aldh7a1;Cdk1;B3gat3;Galk1;Taldo1;Ak3;Ldha;B4galt7;Rbck1;Slc25a10;Stmn1;Mdh2;Arpp19;Gys1;Paxip1;Aldoa;Kif2a;Ext2;Sdc3;Cd44;Gnpda1;Isg20;Prps1;Got1;Lhpp;Pkm;Fkbp4;Got2;Cenpa;Srd5a3;Ecd"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",5.77065025593991e-05,0.000360665640996245,0.557332238758646,-0.536544110444663,-1.84802348162329,74,"Fabp5;S100a11;Lgals3;Alcam;Fdps;Ethe1;Stard4;Lpl;Anxa5;Pparg;Plscr1;Idi1;Tm7sf2;Cyp51;Trp53inp1;Tmem97;Hmgcs1;Ldlr;Antxr2;Gusb;Nfil3;Acss2;Ech1;Ctnnb1;Lss;Fasn;Ebp;Aldoc;Mvk;Abca2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000141038400603181,0.000783546670017674,0.518848077743792,-0.415743302809029,-1.58094865996371,198,"Ifitm2;Cd38;Itgb7;Pfkp;Klrk1;Stat4;St8sia4;Tnfaip6;Vamp8;Sri;Nampt;Il18bp;Trim21;Ifi44;Ifitm3;Ifit1bl1;Cmpk2;Psmb8;Txnip;H2-Aa;Samhd1;H2-M2;Plscr1;Fpr1;Usp18;Pnpt1;Batf2;Psmb9;Ifit3;Bst2;Arl4a;Trim14;Casp7;Samd9l;Psma2;H2-Eb1;Rigi;Psmb2;Casp1;Slamf7;Stat1;Ifit2;Epsti1;Nod1;Isoc1;Slc25a28;Cd69;Ddx60;Eif4e3;Psme1;Psmb10;Rsad2;Parp12;Mthfd2;Cmtr1;Cd74;Oas2;Cfb;Sectm1a;Xaf1;Irf7;Rtp4;Ccl5;Il15;Ccl7;Nmi;Ly6e;Herc6;Fgl2;Zbp1;Ube2l6;Pml;Wars1;Casp3;H2-DMa;Rbck1;Nup93;Auts2;Cmklr1;Oas3;Bpgm;Ifi27;Pnp2;Znfx1;Marchf1;Ciita;Isg15;Ptpn6;B2m;Dhx58;Cxcl9;H2-M3;Isg20;Lysmd2;Eif2ak2;C1rb;Vamp5;Tnfaip2;Lgals3bp;Il2rb;Fcgr1;Irf1;Stat2;Gpr18;Rnf213;Parp14;Ccl2;Sppl2a;Gbp4;Gbp9;Ifi30;Gbp8;Tapbp;Cxcl10;Trim25;Ifi35;Trafd1"
"HALLMARK_COMPLEMENT",0.00018398201445495,0.000855812605522748,0.518848077743792,-0.418466961908438,-1.59174385535334,192,"Pla2g7;Msrb1;Lipa;Lgals3;Apoc1;F10;F7;Cp;Cxcl1;Hspa1a;Mmp8;Ctsd;Mmp13;Gngt2;Atox1;Dpp4;Rasgrp1;Kynu;Ctsc;Cd55;Cd36;Fn1;S100a9;Calm3;S100a13;Gnb4;Ctsb;Mmp14;Akap10;Raf1;Anxa5;Ctsh;Plscr1;Fcer1g;F5;Cpq;Mmp12;Psmb9;C3;Casp7;Timp1;Mt3;Casp1;Cxcl3;Adam9;Dock9;Gca;Timp2;Pfn1;Prcp;Cfb;Dusp6;Irf7;Scg3;C2;Rabif;Cblb;Sirt6;Ccl5;Calm1"
"HALLMARK_MITOTIC_SPINDLE",0.000188278773215005,0.000855812605522748,0.518848077743792,0.342955603446786,1.59368726607683,199,"Wasl;Mapre1;Cdc27;Sun2;Epb41l2;Dst;Clip1;Katna1;Ppp4r2;Pdlim5;Pafah1b1;Bin1;Stk38l;Dock4;Clip2;Plekhg2;Myo1e;Trio;Rapgef5;Nf1;Flnb;Ophn1;Mid1;Rapgef6;Lmnb1;Arf6;Arhgef2;Kptn;Cdc42ep2;Cyth2;Akap13;Hdac6;Arl8a;Lats1;Rasa2;Abr;Arap3;Tsc1;Csnk1d;Map1s;Bcl2l11;Prex1;Myh10;Arhgdia;Fscn1;Stau1;Wasf2;Smc1a;Dock2;Pxn;Abi1;Cntrob;Als2;Ywhae;Espl1"
"HALLMARK_KRAS_SIGNALING_UP",0.000486870289850488,0.00202862620771037,0.49849310876659,-0.406247710408948,-1.54655886137205,202,"Spp1;F13a1;Tlr8;Gpnmb;Bmp2;Cxcr4;Slpi;Arg1;Kcnn4;Inhba;Map4k1;Emp1;Fuca1;Ammecr1;Rabgap1l;Pdcd1lg2;Gypc;Ace;Etv1;Nin;Ptcd2;Cdadc1;Mmp9;Satb1;Mmd;Psmb8;Clec4a3;Aldh1a2;Cbr4;Angptl4;Adam8;Ccnd2;Ero1a;Fcer1g;Spon1;Ccser2;Usp12;Mpzl2;Kif5c;Spry2;Snap25"
"HALLMARK_DNA_REPAIR",0.000544451828617251,0.00209404549468174,0.477270815362862,-0.435801712184597,-1.61475953095608,146,"Nt5c3;Snapc5;Rfc2;Pold3;Gtf2h3;Pola1;Bola2;Rpa2;Cmpk2;Rpa3;Polr2g;Rfc5;Polr2k;Edf1;Nt5c;Nme1;Polr3gl;Guk1;Nudt9;Polr2i;Nme4;Aaas;Taf6;Supt4a;Polh;Mpc2;Nudt21;Eloa;Polr2f;Polr2e;Gtf2h5;Mpg;Bcap31;Umps;Cetn2;Zfp707;Cox17;Upf3b;Nelfe;Ccno;Polr2j;Adcy6;Lig1;Ercc4;Gmpr2;Surf1;Polr3c;Ago4;Dguok;Ercc3;Polb;Hprt;Ak3;Rfc3;Pold1;Ada;Dut;Prim1;Snapc4;Pnp2;Dad1;Polr1h;Pde6g;Itpa;Ssrp1;Nelfcd;Dgcr8;Xpc;Tyms;Polr2c;Rfc4;Taf12;Aprt;Npr2;Tmed2;Clp1;Vps28;Ncbp2"
"HALLMARK_NOTCH_SIGNALING",0.00104986774784278,0.00374952767086707,0.45505986738723,0.558612025330825,1.90956830940938,31,"Ppard;Fbxw11;Notch1;Sap30;Lfng;Dtx2;Fzd5;Ccnd1;St3gal6;Dtx4;Prkca;Tcf7l2"
"HALLMARK_E2F_TARGETS",0.00173538105035339,0.00578460350117798,0.45505986738723,-0.395351657505384,-1.50407861879389,197,"Gins4;Dnmt1;Dck;Rfc2;Prdx4;Cdkn1b;Pold3;Tcf19;Prim2;Dclre1b;Rpa2;Rpa3;Naa38;Gins3;Zw10;Psip1;Paics;Orc6;Mms22l;Nme1;Exosc8;Mcm5;Mcm7;Nudt21;H2az1;Ak2;Mre11a;Rad50;Cbx5;Rfc1;Dscc1;Tubb5;E2f8;Mthfd2;Tipin;Trip13;Smc4;Tmpo;Tacc3;Lig1;Brms1l;Cdc25a;Ddx39a;Dctpp1;Msh2;Atad2;Cdc25b;Cdk1;Rfc3;Cnot9;Pms2;Xrcc6;Pold1;Cdk4;Stmn1;Cdkn2c;Dut;Timeless;Ezh2;Hells;Cdkn3;H2ax;Mad2l1;Bard1;Cks1b;Ccp110;Usp1;Prps1;Racgap1;Rpa1;Ssrp1;Tubg1;Smc6;Chek2;Mcm6;Lyar;Ung;Spag5;Rnaseh2a;Pole;Rad21;Ccnb2;Pold2;Pa2g4;Cit;Mki67;Pnn;Suv39h1;Gins1;Asf1a;Ube2t;Smc3;Mlh1;Ppm1d;Srsf1;Aurka;Psmc3ip;Phf5a"
"HALLMARK_IL2_STAT5_SIGNALING",0.0020905842056328,0.0065330756426025,0.431707695803346,-0.376938966344108,-1.43338726012757,198,"Spp1;Il10;S100a1;Ecm1;Bmp2;Ptger2;Alcam;Ndrg1;Itgae;Ccnd3;Adam19;Sell;Serpinb6a;Smpdl3a;Ahnak;Emp1;Rabgap1l;Dhrs3;P2rx4;Ltb;Hopx;Ahr;Anxa4;Gsto1;Bhlhe40;Ifitm3;Il1r2;Cd48;Il2ra;Nt5e;Plin2;Sh3bgrl2;Glipr2;St3gal4;Cst7;Ccnd2;Etfbkmt;Plscr1;Ifngr1;Uck2;Arl4a;Flt3l;Tnfrsf18;Capg;Eef1akmt1;Plec;Nfil3;Tnfrsf4;Umps;Ahcy;Pdcd2l;Fgl2;Ctsz;Casp3;Csf2;Map6;Galm;Dcps;Rgs16;Amacr;Wls;Gpr65;Pnp2;Ncs1;Lrrc8c;Slc1a5"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.00224245571895941,0.00659545799693945,0.431707695803346,-0.548184440396928,-1.73040327356066,46,"Mgst1;Gpx3;Pfkp;Txn1;Pdlim1;Atox1;Msra;Prdx4;Prdx6;Cat;Ndufb4;Hhex;Glrx2;Prdx2;Hmox2;G6pdx;Ndufs2;Lamtor5;Ndufa6;Prdx1"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00397789689609362,0.0110497136002601,0.407017918923954,0.307245376175862,1.42774469538134,199,"Edn1;Tpbg;Il1a;Slc11a2;Nlrp3;Sphk1;Itga5;Hbegf;Rela;P2ry2;Slamf1;Nfkb1;F3;Lcp2;C3ar1;Gch1;Cd82;Icam1;Hpn;Gnai3;Csf1;Pvr;Slc7a1;Dcbld2;Fzd5;Pik3r5;Itgb3;C5ar1;Sema4d;Tlr2;Nfkbia;Il10ra;Ptger4;Tnfsf9;Icosl;Osm;Ifnar1;Ptafr;Il6;Il4ra;Lyn;Ripk2"
"HALLMARK_ALLOGRAFT_REJECTION",0.00570312429230795,0.0143250472498283,0.407017918923954,-0.378642258163869,-1.44073652667046,191,"Pf4;Cfp;Il10;Ccr2;Cd4;Ccnd3;Inhba;Cd7;Map4k1;Klrd1;Ly75;Stat4;St8sia4;Cxcr3;Ltb;Ube2d1;Cd28;Itgal;Cd47;Mmp9;H2-Aa;H2-DMb1;Egfr;Il2ra;Ccnd2;Nme1;Ifngr1;Ccr1;Fcgr2b;Itk;H2-T23;Mtif2;Fgr;Timp1;Thy1;Stat1;Capg;Psmb10;Cd74;Il2rg;Irf7;C2;Ccl5;Dyrk3;Il16;Il15;Ccl7;Wars1;Ccl22;H2-DMa;Dars;Cd2;Zap70;Gpr65;Was;Il12a;Nos2;Lck;Cd8a;Ptpn6;Cd3d;B2m;Il12rb1;Cxcl9;H2-M3"
"HALLMARK_G2M_CHECKPOINT",0.00573001889993134,0.0143250472498283,0.407017918923954,0.300008488341295,1.38852707743794,193,"Syncrip;Smad3;Foxn3;Cdc27;Ilf3;Tra2b;Bcl3;Top1;Odc1;Katna1;Sap30;Slc7a1;Pafah1b1;Nup98;Tle3;Hnrnpu;G3bp1;Cul3;Ccnf;Lmnb1;Nolc1;Ccnd1;Sfpq;Fancc;Tgfb1;Gspt1;Srsf2;Nup50;Xpo1;Pola2;E2f3;Stag1;Ythdc1;Ewsr1;Hnrnpd;Hif1a;Slc38a1;Chek1;Smc1a;Pura;Slc7a5;Knl1;Srsf10;Upf1"
