"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.32073140802137e-14,6.60365704010685e-13,0.986546283587582,-0.529783573056292,-2.4595695726059,197,"Abca1;Sgk1;Id2;Pfkfb3;Ccn1;Rhob;Gem;Edn1;Icosl;Gadd45b;Plek;Cd83;Csf1;Ccl4;Il1a;Il12b;Serpine1;Tnf;Plau;Ccnd1;Egr2;Pmepa1;Spsb1;Icam1;Tnip2;Hbegf;Maff;Atf3;Marcks;Ccrl2;Snn;Rnf19b;B4galt1;Cxcl1;Sdc4;Egr1;Jun;Nfat5;Ppp1r15a;Egr3;Tnfaip3;Klf6;Btg2;Gpr183;F3;Il7r;Slc16a6;Fosb;Ccl5;Myc;Irs2;Jag1;Rcan1;Il6;Relb;Il6st;Ptgs2;Sphk1;Clcf1;Pnrc1;Sqstm1;Zbtb10;Dnajb4;Per1;Zc3h12a;Nfe2l2;Tgif1;Inhba;Plpp3;Ier5;Klf2;Btg3;Junb;Ccl2;Nfkbia;Rel;Dusp4;Bmp2;Socs3;Phlda1;Tlr2;Tnfsf9;Vegfa;Plk2;Tnfaip8;Nfkb1"
"HALLMARK_G2M_CHECKPOINT",3.17072497867503e-08,7.92681244668757e-07,0.719512826338911,0.392343869438397,2.12301801760665,193,"Lbr;Uck2;Kif23;Tmpo;E2f2;Cdkn1b;Smc4;Notch2;Tle3;Cenpa;Ccnb2;H2az1;Bcl3;Slc38a1;Kif15;H2az2;Cks2;Map3k20;Exo1;Ttk;Lmnb1;Dr1;Racgap1;Jpt1;Top2a;Aurkb;Cenpf;Ccnt1;Birc5;Cdc20;Cenpe;Prc1;Ezh2;Stil;Incenp;Rad21;Pole;Knl1;Espl1;Nek2;Ccna2;Aurka;Hnrnpd;Nusap1;Troap;Kif11;Kif4;Wrn;Ube2s;Bub1;Tgfb1;Polq;Mapk14;Pbk;Kif22;Ndc80"
"HALLMARK_P53_PATHWAY",6.69337389155443e-08,1.11556231525907e-06,0.704975715167238,-0.440140555102469,-2.04181528086501,193,"Ldhb;Tgfa;Ak1;Zfp36l1;Pdgfa;Wwp1;Ctsf;Kif13b;Pitpnc1;Ralgds;Il1a;Cdk5r1;Ctsd;Cebpa;Baiap2;Hbegf;Atf3;Procr;Rnf19b;St14;Cd81;Klk8;Tspyl2;Jun;Rrad;Ppp1r15a;Tcn2;Fuca1;Btg2;Abcc5;Plk3;Sesn1;Epha2;Ephx1;Prmt2;Plxnb2;Rab40c;Ddit3;Slc3a2;Cd82;Txnip;Prkab1;Rxra;Sphk1;Sdc1;Retsat;Ier5;Trp53;Bmp2;Ercc5;Tnfsf9;Vamp8;Plk2;Csrnp2;Cgrrf1;Trib3;Jag2;Irak1;Abhd4;Fam162a;Tsc22d1;Ddb2"
"HALLMARK_INFLAMMATORY_RESPONSE",2.62063192499309e-07,3.27578990624137e-06,0.674962860011025,-0.424762621845773,-1.9720146323132,199,"Abca1;Stab1;Scn1b;Gna15;Hpn;Ccl17;Edn1;Icosl;Gabbr1;Slc11a2;P2rx4;Csf1;Il1a;Il12b;Tlr3;Serpine1;Rgs1;Icam1;Hbegf;P2rx7;Ccl22;Ccrl2;C3ar1;Ccl24;Mmp14;Csf3r;Icam4;Clec5a;Dcbld2;Chst2;Il10;Klf6;Slamf1;Btg2;Gpr183;Cmklr1;Pdpn;F3;Bst2;Axl;Il7r;Rnf144b;Ccl7;Ccl5;Myc;Cd82;Cxcl9;Slc7a2;Slc1a2;Nlrp3;Il6;Tpbg;Sphk1;Adgre1;Itgb3;Selenos;Inhba;Ccl2;Nfkbia;Kif1b;Adm;Kcnj2;Tlr1;Tlr2;Tnfsf9"
"HALLMARK_E2F_TARGETS",4.00486619947976e-07,4.00486619947976e-06,0.674962860011025,0.368424441394893,2.00389882158342,197,"Lbr;Tmpo;Cdkn1b;Dck;Smc4;Ccnb2;Nudt21;H2az1;Dclre1b;Cks2;Cdca3;Cdca8;Nup107;Smc6;Lmnb1;Ing3;Snrpb;Racgap1;Jpt1;Rpa3;Phf5a;Dlgap5;Top2a;Aurkb;Birc5;Cdc20;Cenpe;Kif18b;Ezh2;Rad21;Diaph3;Mxd3;Pole;Ppm1d;Espl1;E2f8;Usp1;Aurka;Hnrnpd;Nme1;Depdc1a;Kif4;Melk;Ube2s;Spc24;Ctps"
"HALLMARK_UV_RESPONSE_UP",7.63998556613384e-07,6.36665463844487e-06,0.659444398037935,-0.450863339165145,-2.03201332627228,155,"Ctsl;Creg1;Arrb2;Atp6v1c1;Rhob;Cdo1;Sult1a1;Icam1;Slc6a8;Gpx3;Atf3;Plcl1;Chka;Mmp14;H2-M3;Cxcl1;Grina;Hyal2;Rrad;Alas1;Btg2;Ykt6;Ephx1;Tgfbrap1;Cebpg;Fosb;Cltb;Ppt1;Il6;Dnajb1;Il6st;Sqstm1;Eno2;Hnrnpu;Btg3;Junb;Mgat1;Nfkbia;Polg2;Nxf1;Bmp2;Cdkn1c;Stk25;Bsg;Gls;Rpn1;Tst;Parp2;Maoa;Clcn2;Rxrb;E2f5;Stard3"
"HALLMARK_COAGULATION",1.61020284520973e-06,1.15014488943552e-05,0.643551836150722,-0.457755224879008,-2.05200927083503,138,"Ctsl;Sparc;Lgmn;Pf4;Ctsb;Ang;Hpn;Pros1;Cd9;Plek;Ctso;Serpine1;Plau;C2;Trf;Maff;Mmp2;C1qa;Pdgfb;Gp9;S100a1;Apoc1;Cpq;Mmp14;Cfh;Klk8;Gng12;Ctsk;Comp;Msrb2;Usp11;F3;Klf7;Ctsh;Dusp6;F9;Itgb3;Sirt2;Htra1"
"HALLMARK_TGF_BETA_SIGNALING",6.72301277053883e-06,4.20188298158677e-05,0.610526878385931,-0.567276694893886,-2.16041240011642,54,"Id2;Tjp1;Bmpr1a;Eng;Skil;Smad7;Serpine1;Pmepa1;Bcar3;Smurf1;Tgfbr1;Ski;Ctnnb1;Acvr1;Ppp1r15a;Smad1;Apc;Tgif1;Junb;Hipk2;Bmp2;Cdkn1c;Bmpr2;Cdk9"
"HALLMARK_PROTEIN_SECRETION",1.55948365862659e-05,8.66379810348106e-05,0.575610261071129,-0.484674864613381,-2.06358799578765,94,"Abca1;Cd63;Igf2r;Dst;Tom1l1;Adam10;Scamp1;Cltc;Galc;Cln5;Clta;Ykt6;Lman1;Gnas;Tmx1;Ap3b1;Ppt1;Ergic3;Bnip3;Mon2;M6pr;Kif1b;Sec31a;Stx7;Golga4;Egfr;Arfgef2;Lamp2;Napa;Clcn3;Gla;Rab14;Ica1;Ap2m1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.81537880738044e-05,9.07689403690222e-05,0.575610261071129,-0.390584433996024,-1.81333803724753,199,"Sparc;Id2;Vcam1;Anpep;Ccn1;Itgav;Rhob;Itgb5;Gem;Gadd45b;Pdlim4;Basp1;Serpine2;Serpine1;Spp1;Pmepa1;Dst;Slc6a8;Fzd8;Pmp22;Dab2;Mmp2;Igfbp4;Plod1;Colgalt1;Mmp14;Cxcl1;Sdc4;Jun;Efemp2;Comp;Tnfaip3;Fuca1;Cadm1;Il6;Tnfrsf12a;Sdc1;Nid2;Eno2;Itgb3;Sgcb;Htra1;Inhba;Lrp1"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.000107407275844966,0.000488214890204391,0.538434096309916,0.514272722990088,2.15420342061699,46,"Cdkn2d;Gsr;Lsp1;Pdlim1;G6pdx;Msra;Prdx6;Atox1;Sod1;Prdx2;Pfkp;Mgst1;Ndufa6;Sbno2;Egln2;Mpo"
"HALLMARK_COMPLEMENT",0.000130620643803606,0.000544252682515025,0.518848077743792,-0.370637220385267,-1.71803055318174,192,"Lap3;Ctsl;Lgmn;Timp2;Ctss;C1qc;Ctsb;Dyrk2;Lipa;Ang;Plek;Ctso;Mmp12;Src;Dock4;Serpine1;C2;Cdk5r1;Ctsd;Pla2g4a;Maff;C1qa;Pdgfb;Gp9;Apoc1;Cpq;Mmp14;Cfh;Cp;Cxcl1;F7;Tnfaip3;F3;Ccl5;Ctsh;Usp8;Il6;Dusp6;Stx4a"
"HALLMARK_KRAS_SIGNALING_UP",0.000174027422737494,0.000655093300163361,0.518848077743792,-0.366976809783085,-1.70449915237721,202,"Id2;Tfpi;Gpnmb;Ctss;Tspan7;Epb41l3;Scn1b;Eng;Cd37;Lat2;Il1rl2;Plau;Spp1;Etv5;Hbegf;C3ar1;Cfh;Dcbld2;Usp12;Etv1;Adam17;Dnmbp;Ppp1r15a;Tnfaip3;Fuca1;Cmklr1;Irf8;St6gal1;Mafb;Il7r;Laptm5;Dusp6;Hdac9;Ptgs2;Atg10;Tmem100;Tor1aip2;Gadd45g;Galnt3;Ero1a;Inhba;Crot;Tmem176b;Nrp1;Bmp2;Snap25;Kif5c;Prdm1;Ank;Cbr4;Arg1;Tmem176a;Pdcd1lg2;Btbd3;Cfb;Vwa5a"
"HALLMARK_ALLOGRAFT_REJECTION",0.000183426124045741,0.000655093300163361,0.518848077743792,0.308133706617813,1.67008738963217,191,"Ccr2;Ccnd3;Fgr;Flna;Ikbkb;Itgal;Ptprc;Srgn;Cd47;Ccr1;Ncf4;St8sia4;Map4k1;Cd40lg;Bcl3;Tpd52;Il18rap;Degs1;Fas;Itk;Igsf6;Cd3d;Was;Il27ra;Cd2;Hcls1;Cd96;Lif;Cd247;Lck;Eif3d;Eif5a;Il2;Zap70;Eif4g3;Ifngr1;Gzmb;Elane;Fasl;Il2rb;Cd80;Csk;Akt1;Itgb2;Ube2d1;Trat1;Ltb;Nme1;Ptpn6;Bcl10;Ifng;F2;Cd79a;Tgfb1;Mmp9;Il13;Elf4;Irf7;Sit1;Cd3g;Il7;Il11;Lyn;Stat4"
