"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",4.12348495122727e-39,2.06174247561363e-37,1.62807167569582,0.715996595569463,3.32447247191764,186,"Atp6v1e1;Atp6v0c;Idh1;Atp6v1g1;Ndufb7;Cyb5r3;Atp6v0e;Atp6v1c1;Echs1;Ndufc1;Hsd17b10;Ndufa1;Sdhd;Mtx2;Atp6v1f;Atp5j2;Atp6ap1;Ech1;Ndufs3;Acaa2;Tomm22;Uqcr10;Nqo2;Mpc1;Cyb5a;Bax;Atp5l;Sdhc;Atp5e;Cox5a;Sdhb;Polr2f;Atp6v1d;Etfa;Ndufb1;Timm13;Ndufa2;Alas1;Por;Ndufa8;Ndufa3;Cox5b;Ogdh;Ndufa7;Grpel1;Pdp1;Atp5pb;Ndufc2;Ndufb6;Etfb;Atp5d;Sdha;Hadhb;Ndufb8;Ndufb5;Cpt1a;Casp7;Timm17a;Ndufab1;Atp5k;Ldha;Phb2;Timm8b;Eci1;Ndufb2;Cox4i1;Ndufs7;Uqcrfs1;Hspa9;Ndufb4;Mdh2;Atp6v0b;Idh3b;Cox7a2l;Dlat;Cox6c;Cox6b1;Cox17;Atp6v1h;Uqcrb;Phyh;Cox7b;Ndufv2;Gpi1;Uqcrh;Hadha;Slc25a3;Prdx3;Uqcr11;Vdac1;Slc25a20;Uqcrq;Timm10;Abcb7;Atp5g1;Hccs;Cox7c;Timm50;Glud1;Cox7a2"
"HALLMARK_ADIPOGENESIS",9.2782185210649e-15,2.31955463026622e-13,0.986546283587582,0.507470023497955,2.37201807806753,197,"Idh1;Fabp4;Stom;Plin2;Ndufb7;Cd36;Cat;Echs1;Taldo1;Gadd45a;Pparg;Cmpk1;Pqlc3;Dnajc15;Ddt;Dhrs7;Slc27a1;Lpl;Ech1;Acadl;Tst;Ndufs3;Acaa2;Uqcr10;Reep5;Rtn3;Aldh2;Sdhc;Sdhb;Vegfb;Gpx3;Scp2;Tkt;Aldoa;Por;Angptl4;Hadh;Apoe;Aplp2;Esyt1;Orm1;Dhcr7;Cd151;Grpel1;Cd302;Etfb;Slc25a1;Mtarc2;Ndufab1;Riok3;Dgat1;Abca1;Pfkl;Atp1b3;Dram2;Mdh2;Coq3;Ak2;Dlat;Ucp2;Phyh;Cox7b;Prdx3;Cpt2;Uqcr11;Uqcrq;Qdpr;Ywhag;Map4k3;Gbe1;Scarb1;Uqcrc1;Atp5o;Fah;Tob1;Sod1;Retsat;Acadm;Mtch2;Cyc1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.13015188760322e-14,3.55025314600536e-13,0.97599468306432,-0.588269855301926,-2.12862615967496,197,"Ccn1;Pfkfb3;Snn;Bmp2;Pmepa1;Il12b;Cxcl10;Smad3;Ppp1r15a;Hes1;Cd83;Relb;Slc16a6;Birc2;Kdm6b;Gem;F3;Tnf;Ptger4;Edn1;Rcan1;Ccnl1;Zbtb10;Traf1;Tnfsf9;Birc3;Ier2;Maff;Rel;Nfat5;Cflar;Atf3;Ccl4;Icosl;Nr4a3;Icam1;Rhob;Egr1;Nfkbia;Nfkb2;Dnajb4;Tlr2;Socs3;Per1;Phlda1;Map3k8;Rela;Slc2a6;Ccnd1;Nfkb1;Klf10;Btg2;Zfp36;Ehd1;Egr3;Gpr183;Il1a;Ier5;Spsb1;Plek;Tnfaip3;Tnip2;Il18;Pnrc1;Jun;Map2k3;Clcf1;Il23a;Il15ra;Cebpd;Bcl6;Marcks;Trib1;Csf1;Il6st;Fjx1;Ccl2;Il6;Zc3h12a;Eif1;Cd80;Dusp2;Cd69;Mxd1;Dennd5a;Klf2;Ifih1;Klf6;Il1b;Irf1;Gadd45b;Bcl3;Fosl1;Nfkbie;Phlda2"
"HALLMARK_XENOBIOTIC_METABOLISM",1.57937887307467e-08,1.97422359134333e-07,0.73376198835648,0.410498678817044,1.90620919402727,201,"Npc1;Idh1;Gsto1;Ptgr1;Cdo1;Cd36;Cat;Ugdh;Ninj1;Gsr;Gstm4;Ddt;Dhrs7;Pgd;Ech1;Adh5;Slc6a6;Blvrb;Cyb5a;Aldh2;Pgrmc1;Papss2;Alas1;Por;Xdh;Sar1b;Apoe;Aldh9a1;Dhrs1;Hmox1;Gabarapl1;Acp1;F10;Ssr3;Cndp2;Igf1;Arg1;Hprt;Casp6;Arg2;Gss;Pts;Tmbim6;Tmem97;Asl;Gart;Gch1;Gsta3;Acp2;Slc6a12;Hnf4a;Psmb10;Ephx1;Fah;Angptl3;Tkfc;Bphl;Retsat;Nfs1;Fmo3"
"HALLMARK_MITOTIC_SPINDLE",1.02507456647237e-07,1.02507456647237e-06,0.704975715167238,-0.498577360902386,-1.80529070342782,199,"Fscn1;Cd2ap;Ophn1;Arap3;Arhgap4;Dock4;Arhgap27;Cntrl;Ssh2;Flnb;Epb41l2;Arhgef12;Rapgef5;Cep131;Stk38l;Rasal2;Tiam1;Tubgcp5;Abl1;Arhgap5;Myh10;Lmnb1;Pkd2;Apc;Clip2;Wasl;Plekhg2;Taok2;Kif1b;Rhof;Pcnt;Hook3;Nf1;Rapgef6;Kif3c;Trio;Stau1;Kptn;Dst;Cep192;Tubgcp6;Rasa1;Clip1;Prex1;Rictor;Numa1;Arhgef2;Marcks;Sun2;Farp1;Bin1;Tubgcp3;Klc1;Kif23;Sptbn1;Cep250;Dlg1;Cdc27;Mapre1;Clasp1;Tubgcp2;Smc1a;Atg4b;Pcm1;Cdc42bpa;Wasf2;Rabgap1;Epb41;Mid1;Synpo;Pafah1b1;Cyth2;Wasf1;Rab3gap1;Bcar1;Rasa2;Kifap3;Katna1;Hdac6;Akap13;Dock2;Als2;Lrpprc;Cdk5rap2;Notch2;Arfip2;Cdc42ep2;Cntrob;Map3k11;Sass6;Arhgef7;Alms1"
"HALLMARK_GLYCOLYSIS",4.53986802206777e-07,3.78322335172314e-06,0.674962860011025,0.389845985144833,1.80821489177153,199,"Idh1;Txn1;Akr1a1;Taldo1;Ndufv3;B3gnt3;Galk2;G6pdx;Cyb5a;Ugp2;Sdhc;Srd5a3;Sdc1;Gusb;Pgls;Aldoa;Angptl4;Gfus;Chst12;Pkm;Gpc1;Slc25a13;Aldh9a1;Pam;Met;Pgam1;Gmppa;Hax1;Tpi1;Cd44;Ppia;Pygl;Lhpp;Ldha;Ero1a;Polr3k;Fam162a;Vegfa;Sdc3;Agl;Cln6;B4galt7;Pgk1;Mdh2;Casp6;Mif;Idua;Me2"
"HALLMARK_MTORC1_SIGNALING",1.04211856022141e-06,7.44370400158148e-06,0.643551836150722,0.383744434898973,1.7969598228644,198,"Idh1;Prdx1;Gsr;Gga2;Ccng1;Rpn1;Rit1;G6pdx;Slc6a6;Gla;Tes;Itgb2;Atp6v1d;Aldoa;Ufm1;Psmb5;Dhcr7;Trib3;Psmd14;Tpi1;Pdap1;Fkbp2;Ppia;Cfp;Cacybp;Lta4h;Nampt;Ldha;Psma4;Cd9;Sord;Ero1a;Sdf2l1;Psmd12;Rab1a;Bhlhe40;Hspa9;Pfkl;Pgk1;Hprt;Pno1;Hmbs;Ebp;Sec11a;M6pr;Nufip1;Actr3;Gpi1;Slc7a11;Cops5;Tmem97;Calr;Psmd13;Ssr1;Qdpr;Cxcr4;Txnrd1;Atp5g1;Tfrc;Actr2;Nfil3;Gbe1;Eef1e1;Psmc2;Psme3;Psmc6;Slc2a1;Mthfd2;Polr3g"
"HALLMARK_FATTY_ACID_METABOLISM",2.30516321844565e-06,1.44072701152853e-05,0.627256739718528,0.418010410181876,1.89240425654845,155,"Idh1;Blvra;Cd36;Ugdh;Echs1;Hsd17b10;Sdhd;Ech1;Acadl;Acaa2;Mcee;Sdhc;Aldoa;Kmt5a;Hsd17b11;Hadh;Aldh9a1;Ostc;Hmgcl;Gabarapl1;Sdha;Hadhb;S100a10;Cpt1a;Ldha;Eci1;Alad;Lgals1;Mdh2;Idh3b;Mif;Urod;Pts;Sms;Cbr3;Cpt2;Prdx6;Acsl5;Hccs"
"HALLMARK_G2M_CHECKPOINT",4.62552236388037e-06,2.56973464660021e-05,0.610526878385931,-0.475288095348459,-1.71915795105972,193,"Smad3;Slc7a5;Slc12a2;Foxn3;Meis1;Lbr;Hnrnpu;Fancc;Rasal2;Arid4a;Abl1;Ilf3;Hspa8;Lmnb1;Syncrip;Ccnd1;Pola2;Slc7a1;Slc38a1;Ctcf;Srsf2;Pura;Mapk14;Tacc3;Rpa2;Sfpq;Upf1;Odc1;Plk4;Orc6;Numa1;Marcks;Stag1;H2az2;Kif23;Ccnf;Sap30;Cdc27;Rad54l;Pds5b;Tra2b;Egf;Smc1a;Cul5;Mcm2;Srsf10;Rbm14;Bcl3;G3bp1;Tent4a;Hnrnpd;Mcm5;Mki67;Prpf4b;Stmn1;Ccnt1;Cks2;Cul1;Pafah1b1;Gspt1;Ythdc1;Atrx;Efna5;Kpnb1;E2f3;Katna1;Cks1b;Nup98;Ncl;Myc;Notch2;Ss18;Dkc1;Meis2;Nolc1;Casp8ap2;Hus1;Lig3;Dmd;Chaf1a;Tnpo2;Tmpo;Uck2;Sqle;Top1;Tle3;Ddx39a;Pole;Rad21;Cdkn1b;Rbl1;Chek1;Racgap1"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",2.83926637166844e-05,0.000132000290710368,0.575610261071129,0.574531578820212,2.15082349538787,46,"Txn1;Prdx1;Msra;Mgst1;Cat;Hmox2;Gsr;Gclm;G6pdx;Prdx4;Gpx3;Prdx2;Lamtor5;Atox1;Ndufb4;Glrx2;Prdx6;Txnrd1;Abcc1"
