"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",5.78709437063171e-18,2.89354718531585e-16,1.0959292864312,0.554359427026522,2.76108603869078,197,"Ccl2;Pdlim5;Bmp2;Serpinb8;Hbegf;Tank;Atp2b1;Phlda1;Ehd1;Cd80;Rcan1;Birc3;Sdc4;Ier3;Cxcl1;Fosl1;Ccn1;Tubb2a;Tiparp;Cxcl2;Csf2;Nfat5;Map2k3;Areg;Rel;Ifih1;Trib1;Fosl2;Ets2;Cxcl3;Sphk1;Plau;Nr4a3;Jag1;Gch1;Il6;Plek;Klf9;Nfkb2;Nr4a2;Kdm6b;Abca1;Dusp5;Nfkb1;Egr3;Bcl3;Litaf;Tnip2;Cxcl5;Lif;Dnajb4;Relb;Ptger4;Rela;Pde4b;Cebpd;Zbtb10;B4galt5;Cdkn1a;Cflar;Klf6;Ninj1;Il1b;Ldlr;Plk2;Nfe2l2;Nfil3;Nr4a1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.56682058920155e-15,3.91705147300388e-14,1.01754479730988,-0.540343920462206,-2.52613018368044,186,"Ldhb;Echs1;Ndufs3;Htra2;Mpc1;Tcirg1;Ndufa1;Ndufa8;Uqcr10;Sdhb;Atp5e;Timm10;Ndufs8;Ndufb6;Gpi1;Ldha;Idh3a;Ndufb1;Atp6v1f;Ndufb5;Idh3g;Atp1b1;Oxa1l;Atp5g1;Ndufb7;Atp6v1g1;Acaa2;Cox7b;Ndufab1;Abcb7;Tomm22;Ndufs1;Hsd17b10;Idh3b;Mtx2;Aifm1;Ndufc1;Phb2;Mtrf1;Got2;Ndufb2;Cox5b;Immt;Uqcrq;Cyc1;Atp5k;Atp5l;Cox4i1;Ndufa3;Lrpprc;Ndufb8;Ndufa6;Ndufs2;Grpel1;Etfb;Timm13;Timm50;Atp5pb;Mtrr;Prdx3;Timm9;Mdh2;Atp5j2;Uqcrfs1;Ndufa2;Acadm;Slc25a12;Sdhd;Pdhb;Ndufc2;Vdac1;Alas1;Iscu;Bax;Bckdha;Etfdh;Acaa1a;Slc25a5;Sucla2;Cox6b1;Uqcrh;Vdac2;Surf1;Eci1;Etfa;Ndufa7;Uqcrc2;Mdh1;Cox7a2;Cox5a;Ndufv2;Uqcrb;Pdhx;Hadha;Acadvl;Polr2f;Ndufs4;Atp5o;Ndufs6;Timm8b;Uqcrc1;Atp5j;Phyh;Atp5g3;Cox15;Dlat;Hadhb;Cox7c;Cox6c;Tomm70a;Fdx1;Atp6v0e"
"HALLMARK_MYC_TARGETS_V1",4.15105749294921e-12,6.91842915491536e-11,0.887074988399873,-0.501704633259872,-2.33967591912927,183,"Myc;Psmd8;Bub3;Hspd1;Pgk1;Psma4;Serbp1;Eef1b2;Iars;Nop56;Ssb;Ldha;H2az1;Hspe1;Pabpc4;Tufm;Sf3a1;Hsp90ab1;Npm1;Pa2g4;Exosc7;Cops5;Nhp2;Kars;Cct2;Psmb3;Apex1;Gnl3;Srm;Ncbp1;Ndufab1;Cct4;Srpk1;Psma1;Ruvbl2;Sf3b3;Rack1;Aimp2;Cbx3;Ranbp1;Xrcc6;Snrpa1;Phb2;Orc2;Got2;Ilf2;Cyc1;Hnrnpa1;Ncbp2;Pole3;Prdx3;Xpot;Dek;Vbp1;Hnrnpr;Hddc2;Cad;Cct7;Mcm4;Snrpa;Vdac1;Cdk2;Psmd14;Rrp9;Erh;Prpf31;Smarcc1;Mcm7;Ppm1g;Ube2l3;Abce1;Fbl;Cct3;Lsm2;Uba2;Snrpg;Lsm7;Snrpd2;Tfdp1;Cox5a;Psmc6;C1qbp;Psma2;Psma6;Glo1;Txnl4a;Nop16;Psma7;Prdx4;Pabpc1;Clns1a;Ddx18;Eif3b;Mad2l1;Psmd7;Mcm6;Srsf1;Usp1;Mcm5;Nme1;Tomm70a;Hdac2;Psmd3;Gspt1;Tardbp;Set;Ssbp1"
"HALLMARK_MTORC1_SIGNALING",3.02758676395824e-09,3.7844834549478e-08,0.774939030136436,-0.447315721207753,-2.09512043662879,198,"Cd9;Nmt1;Slc7a5;Coro1a;Mthfd2;Ifi30;Egln3;Arpc5l;Pfkl;Psat1;Phgdh;Hspd1;Pgk1;Tpi1;Sla;Aldoa;Pdk1;Slc7a11;Ero1a;Psma4;Lgmn;Cxcr4;Slc2a3;Bhlhe40;Trib3;Abcf2;Ccng1;Gpi1;Ldha;Hspe1;Ssr1;Rpn1;Edem1;Dapp1;Ddit4;Tes;Sec11a;Cops5;Calr;Cct6a;Gla;P4ha1;Fkbp2;Atp5g1;Sdf2l1;Gsr;Acaca;Insig1;Shmt2;Hk2;Slc2a1;Rdh11;Eef1e1;Immt;Cdc25a;Ung;Nufip1;Pno1;Fdxr;Hsp90b1;Cacybp;Nup205;Slc1a5;Tubg1;Skap2;Ddx39a;Mcm4;Psmd14;Ddit3;Pdap1;Rrp9;Asns;Psmd13;Hmbs;Dhcr7;Dhcr24;Psme3;Pgm1;Btg2;Polr3g;Slc1a4;Tomm40;Lta4h"
"HALLMARK_MYC_TARGETS_V2",8.32827517274363e-08,8.32827517274363e-07,0.704975715167238,-0.618132152933887,-2.39106215267746,56,"Myc;Hspd1;Exosc5;Tfb2m;Tbrg4;Nop56;Hspe1;Wdr74;Farsa;Npm1;Pa2g4;Ndufaf4;Gnl3;Srm;Rabepk;Hk2;Noc4l;Aimp2;Dctpp1;Cbx3;Rcl1;Pus1;Ung;Dusp2;Mphosph10;Mcm4;Grwd1;Rrp9;Mybbp1a;Pprc1;Prmt3;Nip7;Sord;Mrto4;Wdr43;Slc19a1;Bysl;Ppan;Nop16;Ddx18;Utp20;Mcm5"
"HALLMARK_INFLAMMATORY_RESPONSE",7.30447975957915e-06,6.08706646631596e-05,0.610526878385931,0.373678067299959,1.86557523818703,199,"Ccl7;Ccl2;Il10;Hbegf;Stab1;Ccl24;Atp2b1;C5ar1;P2rx7;Cd55;C3ar1;Pvr;Sphk1;Csf3;Gch1;Il6;Nlrp3;Ifitm1;Gnai3;Ahr;Msr1;Hrh1;Abca1;Nfkb1;Fzd5;Cd14;Slc11a2;Atp2a2;Cxcl5;Lif;Ptger4;Il4ra;Rela;Pde4b;Abi1;Cd40;Itga5;Cdkn1a;Klf6;Adgre1;Il1b;Calcrl;Ldlr;Fpr1;Marco;Tacr3"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.03219509332417e-05,7.37282209517267e-05,0.593325476396405,-0.458564284360242,-2.00889662208857,110,"Slc7a5;Aldh18a1;Mthfd2;Psat1;Dnaja4;Exosc5;Ero1a;Pdia5;Eif2ak3;Tars;Iars;Bag3;Nop56;Eif4a2;Cnot2;Exosc1;Eif4ebp1;Sdad1;Cebpg;Ssr1;Lsm4;Edem1;Npm1;Exosc4;Chac1;Ddit4;Sec11a;Calr;Ddx10;Nhp2;Dkc1;Imp3;Nfya;Spcs1;Sec31a;Hsp90b1;Srpr;Exosc9;Xpot;Ifit1bl1;Exoc2;Herpud1;Banf1;Rrp9;Asns;Parn;Pdia6;Vegfa;Hyou1;Lsm1;Slc1a4;Arfgap1;Dcp2;Tatdn2;Cxxc1;Spcs3"
"HALLMARK_E2F_TARGETS",1.79633795195108e-05,0.000112271121996942,0.575610261071129,-0.385614453288901,-1.80810748819988,197,"Lmnb1;Mthfd2;Rfc2;Myc;Chek2;Trp53;Naa38;Exosc8;Ak2;Tbrg4;Cks2;Nop56;H2az1;Tubb5;Mre11a;Pa2g4;Eed;Cdkn1b;Rad50;Rfc1;Tmpo;Dctpp1;Zw10;Ranbp1;Timeless;Xrcc6;Msh2;Orc2;Tcf19;Cdc25a;Ung;Psip1;Shmt1;Rpa2;Dek;Nup205;Tubg1;Ddx39a;Mcm4;Mlh1;Cdkn3;Paics;Nudt21;Pola2;Hus1;Hells;Brms1l;Mcm7;Asf1a;Atad2;Tipin;Pold3;Gins4;Tacc3;Prps1;Lyar;Gins1;E2f8;Stmn1;Bard1;Hmgb3;Prdx4;Mms22l;Cbx5;Ccp110;Ctcf;Mad2l1;Cse1l;Mcm6;Srsf1;Usp1;Mcm5;Tk1;Pan2;Nme1;Ssrp1;Lig1;Cdkn2a;Mcm3;Pop7;Gspt1;Mki67;Cdc25b;Phf5a"
"HALLMARK_DNA_REPAIR",2.4706192475881e-05,0.000137256624866005,0.575610261071129,-0.41535672073645,-1.86880843936044,146,"Rfc2;Ak1;Supt4a;Trp53;Vps28;Rfc5;Aprt;Gmpr2;Bola2;Dad1;Cetn2;Polr2e;Edf1;Rnmt;Polr3c;Polr2g;Sac3d1;Mpc2;Gtf2h5;Pold4;Polr1h;Snapc4;Ercc3;Fen1;Guk1;Bcap31;Nelfe;Ncbp2;Taf12;Rpa2;Itpa;Tsg101;Ercc4;Nudt21;Stx3;Pola2;Ercc2;Ddb2;Polr2i;Cant1;Polr1d;Sec61a1;Nt5c;Polr2h;Snapc5;Zfp707;Pold3;Polr2c;Surf1;Polr1c;Nelfb;Polh;Upf3b;Polr2f;Xpc;Eloa;Gtf3c5;Dguok;Arl6ip1;Tmed2;Taf10;Nelfcd;Nme1;Ssrp1;Taf6;Lig1;Hcls1;Gtf2h3;Gtf2h1;Aaas;Ddb1;Cox17;Brf2;Rae1;Mpg;Impdh2;Eif1b;Pole4;Rad52;Npr2;Adrm1;Tyms;Polr3gl;Rev3l;Rala;Rfc3;Nt5c3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",2.88970131228503e-05,0.000144485065614251,0.575610261071129,0.354347717128492,1.7684007919879,198,"Ccl7;Ccl2;Vcam1;Cd86;St8sia4;Bank1;Ifih1;Ifitm2;Ddx60;Peli1;Slc25a28;Ripk1;Gch1;Casp4;Il6;Cd38;Stat3;Pim1;Nfkb1;Rapgef6;Mt2;Arid5b;Trim25;Il4ra;Oasl1;Irf4;Pde4b;Cd40;Ptpn2;Cdkn1a;Oas2;Ncoa3;Parp14;Arl4a;Fas;Samd9l;Fpr1;Ptpn1;Cfh;Epsti1;Ifitm3;Tdrd7;Gbp9;Bst2;Psma3;Lats2"
