"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",5.4981290003333e-28,2.74906450016665e-26,1.37274298193398,-0.661081703684482,-2.89680252684516,197,"Bhlhe40;Id2;Pfkfb3;Clcf1;Csf1;Spsb1;Il1a;Il7r;Sgk1;Tgif1;Cd44;Map2k3;Gadd45b;Olr1;Icam1;Cd69;Gem;Dusp5;Fosl1;Nfkbie;Il12b;Vegfa;Klf10;Nr4a3;Tnfaip2;Serpine1;Btg1;Traf1;Rel;Inhba;Zc3h12a;Nfe2l2;Ccl4;Plaur;Btg3;F3;Gadd45a;Cd83;Rnf19b;Nfkb1;Kdm6b;Ptgs2;Smad3;Edn1;Ptpre;Il1b;Tnf;Relb;Nfil3;Sphk1;Bcl3;Ripk2;Nfkb2;Maff;Ccrl2;Slc2a6;Pde4b;Tlr2;Gch1;Jag1;Nfkbia;Il6st;Litaf;Per1;Tank;Trib1;Cxcl3;Tnfaip6;Tnip1;Nr4a2;Stat5a;Rela;Ccnl1;Ifngr2;Ccl5;Dusp2;Sik1;Socs3;Cflar;Il6;Birc3;Myc;Icosl;Yrdc;Bcl6;Fosl2;Sqstm1;Kynu;Cdkn1a;Tnfaip3;Slc16a6;Plpp3;Areg;Pmepa1;Rcan1"
"HALLMARK_MTORC1_SIGNALING",9.40736316404949e-18,2.35184079101237e-16,1.0864405425825,-0.581317900579834,-2.54901306697812,198,"Bhlhe40;Tes;Slc2a1;Slc7a5;Map2k3;Cd9;Nmt1;Egln3;Txnrd1;Coro1a;Sla;Ifi30;Edem1;Mthfd2;Ifrd1;Hk2;Itgb2;Pdk1;Pgk1;Pfkl;Psat1;Aldoa;Phgdh;Tpi1;Psmc6;Nfkbib;Gsr;Slc7a11;Nfil3;Gla;Ykt6;Got1;Ero1a;Slc1a5;Trib3;M6pr;Cxcr4;Eprs;Prdx1;Nufip1;Ldha;Gclc;Psmd12;Arpc5l;Lgmn;Dapp1;Psma4;Cct6a;Etf1;Psmd14;Sqstm1;Cdkn1a;Glrx;Pno1;Ddit4;Atp6v1d;Cops5;Ddit3;Ddx39a;Ssr1;Ufm1;Abcf2;Ccnf;P4ha1;Nupr1;Psme3;Gtf2h1;Hspa4;Calr;Acaca;Ppa1;Sdf2l1;Psmb5;Ccng1;Gpi1;Fdxr;Elovl5;Uso1;Slc1a4;Asns;Nampt;Eef1e1;Atp5g1;Psmd13;Acly;Shmt2;Insig1;Nup205;Tuba4a;Sec11a;Rpn1;Hspa9"
"HALLMARK_MYC_TARGETS_V1",2.64499865560063e-14,4.40833109266772e-13,0.97599468306432,-0.562414033426524,-2.45823708310751,183,"Psmd8;Gnl3;Ifrd1;Pgk1;Pabpc4;Syncrip;Psmc6;Dhx15;Nop56;Nhp2;Ddx21;Eprs;Ldha;H2az1;Hnrnpa1;Pabpc1;Psmd1;Psma4;Etf1;Myc;Pcbp1;Psmd14;Cct4;Ssb;G3bp1;Eif4a1;Eif4g2;Impdh2;Vbp1;Npm1;Srpk1;Cnbp;Psma1;Eif3j1;U2af1;Apex1;Srm;Ube2l3;Cops5;Eef1b2;Tra2b;Sf3b3;Gspt1;Txnl4a;Pa2g4;Rack1;Cct2;Snrpd1;Eif2s1;Eif4e;Cul1;Fbl;Snrpa1;Serbp1;Bub3;Phb2;Hnrnpd;Tufm;Got2;Kars;Iars;Prpf31;Usp1;Psmd7;Eif3b;Psma2;Psmb3;Nolc1;Abce1;Psma6;Hnrnpu;Sf3a1;Ptges3;Tomm70a;Odc1;Cad;Nap1l1;Rnps1;C1qbp;Ranbp1;Ppm1g;Eif3d;Snrpa;Tcp1;Nme1;Ncbp1;Erh;Orc2;Nop16;Eif2s2;Cct3;Snrpg;Prdx3;Exosc7;Ncbp2;Slc25a3;Psmc4;Ddx18;Cct5;Snrpd3;Hnrnpc;Fam120a;Vdac3;Vdac1;Ywhae;Xpo1;Set;Srsf3"
"HALLMARK_IL2_STAT5_SIGNALING",1.29692295779205e-13,1.62115369724007e-12,0.943632225232838,-0.537347698345564,-2.35620871682646,198,"Bhlhe40;Capn3;Igf2r;Cd81;Cst7;Myo1e;Csf1;Gsto1;Itgav;Il1r2;Alcam;Uck2;Cd44;Gadd45b;Tnfrsf21;Furin;Itgae;Hk2;Ckap4;Traf1;Sell;Ctsz;Capg;Cd83;Emp1;Tiam1;Anxa4;Ptger2;Socs2;Nfil3;Plpp1;Tgm2;Ttc39b;Maff;Spp1;Lrrc8c;Pim1;Slc1a5;Plscr1;Il10ra;Tnfrsf1b;Rhoh;Ltb;Rnh1;Batf3;Syngr2;Smpdl3a;Cish;Plec;Myc;Itga6;Plin2;S100a1;Ndrg1;Glipr2;Cyfip1;Nt5e;Batf;Ager;Irf8;Tnfrsf8;Nop2;Hopx;Il2ra;Socs1;P4ha1;Pus1;Rgs16;Syt11;Ahnak;Cxcl10;Rragd;Mapkapk2;Bcl2l1"
"HALLMARK_INFLAMMATORY_RESPONSE",1.23911875369309e-12,1.23911875369309e-11,0.910119734774459,-0.528199702041768,-2.32160805198757,199,"Csf1;Itga5;Hif1a;Il1a;Il7r;Pdpn;Itgb3;Csf3r;Olr1;Pik3r5;Icam1;Cd69;Rgs1;Il12b;Ccl22;Gpr132;Serpine1;Sema4d;Slc7a2;Inhba;Ccl17;Sell;Irak2;Nlrp3;Chst2;Plaur;F3;Nfkb1;Edn1;Ptpre;Sgms2;Ptger2;Il1b;Osm;Pvr;Kcnj2;Ptgir;Sphk1;Ccr7;Ripk2;Tlr3;Ccrl2;Best1;Pde4b;Tlr2;P2ry2;Gch1;Nfkbia;Il10ra;Mefv;Tnfrsf1b;Slc7a1;Atp2c1;Tnfaip6;Gnai3;Slc1a2;Kcna3;Rela;Ifngr2;Ccl5;Tpbg;Il6;Slc11a2;Myc;Icosl;Cd82;Nod2;Icam4;Cdkn1a;Slamf1;Mmp14;Adora2b;Gna15;Selenos;Met;Aqp9;Lyn;Cxcl9;Cd14;Clec5a;Rgs16;Adrm1;Rasgrp1;Ffar2"
"HALLMARK_HYPOXIA",4.36231262451466e-12,3.63526052042889e-11,0.887074988399873,-0.519153492552294,-2.27488545011033,197,"Pdgfb;Bhlhe40;Plac8;Tes;Gcnt2;Pfkfb3;S100a4;Slc2a1;Anxa2;Slc2a5;Ets1;Vegfa;Serpine1;Hk2;Ccng2;Btg1;Mif;Pdk1;Pgk1;Pfkp;Pfkl;Noct;Aldoa;Chst2;Plaur;F3;Tpi1;Lox;Gpc1;Vhl;Nfil3;Tgm2;Maff;Ero1a;Pim1;Errfi1;Cxcr4;Ldha;Tpbg;Eno2;Il6;Mxi1;Fosl2;Plin2;Ndrg1;Cdkn1a;Tnfaip3;Kdm3a;Glrx;Adora2b;Pdk3;Ddit4;Aldoc;Isg20;Fam162a;Angptl4;Hdlbp;Kif5a;Large1;Ddit3;Cdkn1b;P4ha1;Ppfia4;Myh9"
"HALLMARK_COMPLEMENT",6.16111303050838e-09,4.4007950217917e-08,0.761460801445585,-0.481324782108118,-2.10730420936571,192,"Pdgfb;Mmp12;Ctsd;Jak2;Olr1;Pik3r5;Dusp5;Gp9;Prkcd;F10;Lrp1;F7;Msrb1;Gngt2;Serpine1;Fn1;Ctss;Plaur;Mmp8;Lap3;Grb2;F3;Dock10;Lgals3;Ctsl;Zeb1;Maff;Cdk5r1;Pim1;Plscr1;Csrp1;Dpp4;Usp16;Cxcl3;Gca;Gnai3;S100a9;Ccl5;Lgmn;Il6;Dock4;Apoc1;Kynu;Fyn;Atox1;Tnfaip3;Pfn1;Mmp14;Src;Mt3;Dyrk2;Itgam;Rnf4;Gnb4;Lyn;Lipa;Clu;Rasgrp1;Plek;F5;Cblb;Rabif;Ctsh;Cxcl2;Casp4;Anxa5;Pla2g4a;Xpnpep1;Gpd2;Timp1;Cebpb;Usp8;Prep;Klkb1;Ctsb;Col4a2;Raf1;Lcp2;Timp2;Calm1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",9.57764139989109e-09,5.98602587493193e-08,0.747739663149885,-0.47224550629844,-2.07567131465498,199,"Sparc;Serpine2;Id2;Basp1;Tnfrsf12a;Itga5;Itgav;Itgb3;Glipr1;Cd44;Anpep;Cadm1;Itgb5;Gadd45b;Gem;Sdc1;Slc6a8;Lrp1;Vegfa;Serpine1;Tpm4;Thbs1;Fn1;Inhba;Plaur;Capg;Gadd45a;Mmp2;Dst;Lox;Pvr;Gpc1;Tgm2;Comp;Spp1;Vim;Cxcl3;Htra1;Ppib;Eno2;Il6;Flna;Wipf1;Tnfaip3;Mmp14;Nt5e;Areg;Pmepa1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1.18219799410745e-07,6.4535578302148e-07,0.704975715167238,-0.542047273106933,-2.22798661197424,110,"Tatdn2;Slc7a5;Vegfa;Edem1;Nfya;Mthfd2;Gosr2;Aldh18a1;Psat1;Pdia5;Nop56;Ero1a;Nhp2;Sdad1;Herpud1;Cebpg;Chac1;Exosc1;Eif4a1;Ddit4;Npm1;Ifit1bl1;Cnot2;Ssr1;Sec31a;Dkc1;Zbtb17;Eif2s1;Eif4e;Calr;Exosc5;Eif4g1;Tars;Preb;Exosc9;Ywhaz;Nop14;Ern1;Iars;Dcp1a;Eif4a3;Slc1a4;Asns;Nolc1;Cebpb;Atf4;Srpr;Spcs3;Cks1b;Lsm4;Banf1;Sec11a;Hspa9;Pdia6;Dnaja4;Fus;Pop4;Atp6v0d1;Wipi1;Mtrex;Hsp90b1;Ddx10"
"HALLMARK_COAGULATION",1.29564872268672e-07,6.4535578302148e-07,0.690132458796796,-0.501652260592535,-2.12630255740078,138,"Sparc;Pdgfb;Itgb3;Olr1;Klk8;Cd9;Sh2b2;Gp9;Furin;F10;Lrp1;Serpine1;Thbs1;Fn1;Ctsk;Anxa1;Mmp8;F3;Mmp2;F9;Ctsl;Apoc2;Comp;Maff;Csrp1;Gda;Dpp4;Lgmn;Htra1;Gsn;Capn2;Apoc1;Fyn;Ctse;S100a1;Mmp14"
