"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.45317165756281e-25,3.2265858287814e-23,1.29512308741004,-0.604222545261885,-2.8597653995754,198,"Slamf7;Ccl5;Il18bp;Cxcl9;Gbp8;H2-M2;Cd274;Nampt;Batf2;Cxcl10;Cfb;H2-D1;Oasl1;Fgl2;Tnfaip6;Klrk1;Ptgs2;Serping1;Il2rb;Plscr1;Vamp5;Sectm1a;Stat1;Cd38;Il15ra;Psme1;Psmb9;Nlrc5;Zbp1;Sspn;Stat4;Ifi30;Ptpn2;Gbp4;Casp1;Isg15;Vamp8;Tap1;Trafd1;Bst2;Vcam1;Psmb8;Oas3;Epsti1;Jak2;Rsad2;Ube2l6;Tnfaip2;Nfkb1;Cd69;C1s1;Lgals3bp;Psma2;Trim25;Cd74;Psmb10;Isoc1;Ifih1;Stat2;H2-Eb1;Dhx58;H2-DMa;Sri;Helz2;Nod1;Ifi44;Pml;Tapbp;Ciita;Pim1;Irf5;Ifit2;Il7;Socs1;Arl4a;Samhd1;Upp1;Gzma;Cmtr1;Hif1a;Xaf1;B2m;Irf7;Oas2;Parp12;Nmi;Ifi35;Slc25a28;Ifnar2;Ly6e;Pde4b;Pfkp;H2-Aa;Casp7;Gpr18;Ogfr;C1rb;Usp18;Rtp4;Rnf213;H2-Q7;Csf2rb2;Herc6;Mthfd2;Gbp9;Adar"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",3.61650286450725e-18,9.04125716126812e-17,1.0959292864312,-0.55872474430895,-2.62502554578629,186,"Ndufa5;Ndufb1;Atp5l;Atp5k;Ndufab1;Ndufa7;Ndufa3;Cox8a;Ndufa2;Atp5e;Alas1;Cox7b;Fxn;Aco2;Iscu;Ndufb6;Ndufa1;Atp5j;Cox7c;Ndufa6;Cox5b;Ndufs3;Ndufs7;Etfa;Timm8b;Polr2f;Cox6b1;Cox17;Ndufb5;Cox6c;Atp6v0e;Slc25a12;Bax;Atp6v1g1;Grpel1;Uqcrb;Timm13;Atp6v1e1;Uqcr10;Cox5a;Uqcr11;Uqcrq;Vdac3;Atp5pb;Timm10;Atp5o;Ndufb7;Etfb;Sdhb;Ndufc2;Por;Mpc1;Hccs;Atp6v1d;Atp5g3;Sdhd;Sdha;Mtx2;Tomm70a;Eci1;Atp6v1c1;Ndufs6;Vdac2;Cox6a1;Dld;Ndufa8;Atp6v1f;Suclg1;Atp5c1;Casp7;Ndufb8;Uqcrfs1;Cox7a2l;Ndufa4;Ndufc1;Echs1;Mtrr;Got2;Cyc1;Cpt1a;Surf1;Tcirg1;Atp5d;Dlat;Ndufb2;Ogdh;Fdx1;Hsd17b10;Cyb5a;Phb2;Uqcrh;Nqo2;Sdhc;Prdx3;Tomm22;Idh3b;Cyb5r3;Atp5g1;Immt;Sucla2;Atp5j2;Slc25a3;Oxa1l"
"HALLMARK_ALLOGRAFT_REJECTION",2.20512610777644e-13,3.6752101796274e-12,0.943632225232838,-0.504238430777836,-2.37699957387148,191,"Il12rb1;Il12b;Ccl5;Cxcl9;Ly75;Cxcl13;Cd8b1;Cd3e;Il2ra;Ifng;Lck;Il2rg;Gbp2;Il2rb;Inhba;Prf1;Itgal;Stat1;Gpr65;Il12a;Stat4;Tlr1;Cd79a;Tap1;H2-T23;Cd3d;Tpd52;Cd96;Jak2;Cd2;Npm1;Cd40lg;Ctss;Ccl22;Cd74;Ltb;Cxcr3;Psmb10;H2-DMa;Ube2d1;Tapbp;Nos2;Itk;Gzmb;Il7;Socs1;Cd3g;Igsf6;Tap2;C2;Ccnd2;Cdkn2a;H2-Oa;Gzma;Hif1a;Cd47;B2m;Fgr;Irf7;Lif;Degs1;Tlr2;Ccl19;Ifnar2;Cd247;Map4k1;H2-Aa;Cd8a;Ncr1;Ncf4;H2-Q7;Sit1;Rars;Il10;Srgn;Tgfb2;Ccl7"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.80432703459154e-10,3.50540879323943e-09,0.814035837847908,-0.564452734445284,-2.38149970987563,96,"Procr;Batf2;Cxcl10;Oasl1;Gbp2;Plscr1;Psme1;Psmb9;Ifi30;Casp1;Ncoa7;Isg15;Tap1;Trafd1;Bst2;Psmb8;Epsti1;Rsad2;Ube2l6;C1s1;Lgals3bp;Trim25;Cd74;Oas1g;Oas1a;Ifih1;Stat2;Dhx58;Helz2;Ifi44;Ifit2;Il7;Cmtr1;Cd47;B2m;Irf7;Parp12;Nmi;Ifi35;Slc25a28;Ly6e;Ccrl2;Ogfr;Usp18;Rtp4;H2-Q7;Herc6;Adar;Mvb12a;Trim21;Pnpt1;Lap3"
"HALLMARK_COMPLEMENT",6.00464169138764e-09,6.00464169138764e-08,0.761460801445585,-0.441385816000065,-2.08070990330233,191,"Gca;Clu;Mt3;Ccl5;Pla2g7;Gnb4;Csrp1;Msrb1;Cfb;Gngt2;Hpcal4;Lck;Serping1;F7;Itih1;Mmp8;Plscr1;Cpm;Cpq;Psmb9;Rnf4;Car2;Kynu;Casp1;Cblb;Mmp14;Gpd2;Fcnb;Cebpb;Jak2;C3;C1s1;Cr2;Cd40lg;Src;Grb2;Ctss;Fcer1g;Fyn;Usp15;Ltf;Gzmk;Atox1;Pim1;Klk1;Gzmb;Plaur;C2;Anxa5;Gzma;Lgals3;Lipa;Irf7;Calm1;Raf1;Stx4a;Gnai2;Casp7;Dusp5;Rabif;F10;Serpina1b;C1rb"
"HALLMARK_ADIPOGENESIS",1.47339372036191e-06,1.08961288891496e-05,0.643551836150722,-0.395076950365685,-1.87302971050498,197,"Sparcl1;Tst;Ndufa5;Fabp4;Chchd10;Acadl;Ndufab1;Dgat1;Coq5;Sod1;Pfkl;Cox8a;Cox7b;Reep6;Aco2;Dnajc15;Adcy6;Riok3;Sspn;Gphn;Retn;Gpd2;Slc25a10;Ndufs3;Ak2;Tank;Aldoa;C3;Grpel1;Angptl4;Plin2;Pqlc3;Uqcr10;Sncg;Uqcr11;Uqcrq;Phldb1;Slc27a1;Esyt1;Apoe;Atp5o;Ndufb7;Chuk;Etfb;Map4k3;Sdhb;Qdpr;Por;Baz2a;Cmpk1;Vegfb;Arl4a;Ddt;Ucp2;Coq3;Cox6a1;Dld;Pim3;Tkt;Suclg1;Rmdn3;Taldo1;Ppp1r15b;Cd302;Ghitm"
"HALLMARK_MYC_TARGETS_V1",1.52545804448095e-06,1.08961288891496e-05,0.643551836150722,-0.407851816326146,-1.91427380627525,183,"Ndufab1;U2af1;Erh;Psmb3;Psmc6;Snrpd2;Eif4e;Snrpd1;Srpk1;Tfdp1;Psmd8;Eprs;Npm1;Ube2l3;Cct2;Pole3;Psma2;Cox5a;Vdac3;Psmd14;C1qbp;Srsf1;Hdgf;Psmd1;Cdc45;Gnl3;Ifrd1;Eif3b;Eif1ax;Ssb;Pwp1;Tomm70a;Fbl;Eef1b2;Snrpd3;Rfc4;Pold2;Tufm;Nhp2;Vbp1;Hnrnpd;Snrpg;Ranbp1;Dek;Kars;Cct5;Ddx21;Got2;Cyc1;Hspd1;Ncbp2;Stard7;Ssbp1;Lsm7;Snrpa1;Ywhaq;Hspe1;Phb2;Cdk2;Hddc2;G3bp1;Prdx3;Serbp1;Dhx15;Srsf2;Etf1;Pa2g4;Slc25a3;Ptges3;Eif4g2;Cnbp;Sf3b3;Ldha;Rack1;Psmb2;Eif2s2;Fam120a;Psma1;Cbx3;Hprt"
"HALLMARK_INFLAMMATORY_RESPONSE",1.33471167433496e-05,8.34194796459348e-05,0.593325476396405,-0.376789721542153,-1.78597171668725,199,"Il12b;Ccl5;Cxcl9;Slc7a2;Irak2;Nampt;Marco;Cxcl10;Tnfsf15;Ccr7;Tnfaip6;Lck;Il2rb;Ptger2;Inhba;Slc7a1;Ffar2;Il15ra;Cxcr6;Tlr1;Cybb;Mmp14;Mxd1;Bst2;Ptgir;Axl;Lpar1;Scarf1;Nfkb1;Cd69;Slc31a2;Ccl22;Tnfrsf1b;Best1;Kcna3;Tpbg;Sri;Tapbp;Cd70;Il7r;Plaur;Il18r1;Kcnmb2;Ptpre;Scn1b;Hif1a;Irf7;Lif;Tlr2;Ccl17;Raf1;Nmi;P2rx4;Ly6e;Pde4b;Ifnar1;Ccrl2;Msr1;Slc31a1;Rtp4;Sema4d;Nod2;Il10;Ccl7;Met;Ebi3;Ccl2;Ros1;Cdkn1a;Pvr;Pdpn;Tnfsf10;Gpr132;Sphk1;Nmur1;Gnai3;Il4ra;Cd55;Has2;Adrm1;Edn1;Abca1;Acvr1b;Cd40;Osm"
"HALLMARK_E2F_TARGETS",2.89867868231577e-05,0.000161037704573098,0.575610261071129,-0.366511384291788,-1.73760253890138,197,"Hells;Kif22;Naa38;Suv39h1;Rad1;Diaph3;Mms22l;Pnn;Asf1b;Lyar;Prps1;Ak2;Dlgap5;Hmmr;Ezh2;Lmnb1;Atad2;Dnmt1;Ubr7;Bard1;Smc4;Cenpe;Melk;Aurkb;Stmn1;Gins3;Spc24;Hmgb3;Tubb5;Rpa3;Srsf1;Timeless;Tcf19;Exosc8;Tk1;Ube2t;Top2a;Ipo7;Cdkn2a;Dck;Pola2;Tacc3;Aurka;Pold3;Phf5a;Shmt1;Rrm2;Bub1b;Pold2;E2f8;Pole4;Ube2s;Pop7;Cdkn1b;Hnrnpd;Nudt21;Ranbp1;Dek;Tmpo;Mthfd2;Nup205;Rfc2;Rpa2;Chek2;Cks1b;Anp32e;Plk4;Kif4;Cdkn1a"
"HALLMARK_MTORC1_SIGNALING",0.000161704517938748,0.000808522589693738,0.518848077743792,-0.354472793621499,-1.6777080534958,198,"Prdx1;Nampt;Ero1a;Tuba4a;Igfbp5;Gsr;Cacybp;Fgl2;Pfkl;Ppa1;Psme3;Ccng1;Ifi30;Psmc6;Fads2;Nufip1;Slc2a1;Got1;Aldoa;Eprs;Psmd12;Pno1;Polr3g;Slc7a11;Tes;Psmd14;Pdap1;Nfil3;Qdpr;Txnrd1;Tcea1;Atp6v1d;Ifrd1;Cxcr4;Ak4;Bub1;Aurka;Rrm2;Glrx;Skap2;Hmgcr;Abcf2;Hk2;Psmb5;Mthfd2;Nup205;Pgm1;Slc37a4;Hspd1;Cct6a;Ufm1;Bhlhe40;Gmps;Gsk3b;Cdkn1a;Xbp1;Hspe1;Slc6a6;Egln3;Trib3;Etf1;Stard4;Cfp;Idi1;Atp5g1;Nfkbib;Immt;Elovl5"
