"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.46185282022687e-18,1.23092641011343e-16,1.10533657731401,-0.677777039300778,-2.04782357936033,186,"Ndufb7;Uqcr10;Atp5k;Ndufc1;Gpi1;Ndufa1;Tomm22;Ndufb1;Cox7b;Ndufs3;Acaa2;Echs1;Atp5j;Atp5l;Uqcrb;Idh1;Sdhd;Atp5j2;Slc25a20;Ndufb8;Atp5e;Ndufa2;Cox7a2l;Hsd17b10;Cox4i1;Cox5a;Uqcrfs1;Atp6v1c1;Cox7c;Timm13;Ndufa8;Atp6v1f;Ndufa7;Atp5d;Polr2f;Cox5b;Atp6v0c;Etfa;Ndufb5;Cyb5r3;Atp5o;Cox17;Ndufa3;Cpt1a;Cox6b1;Atp5g3;Atp6v1e1;Ndufv2;Cox7a2;Atp5b;Ldha;Slc25a3;Timm8b;Sdhb;Idh3b;Atp6v1g1;Mdh2;Hccs;Atp5pb;Alas1;Nqo2;Eci1;Uqcrq;Hspa9;Phb2;Uqcrh;Ndufb6;Sdhc;Bax;Por;Casp7;Grpel1;Etfb;Glud1;Uqcr11;Ndufs8;Phyh;Got2;Ndufb4;Ndufa6;Ndufb2;Ndufc2;Vdac1;Ndufab1;Sdha;Prdx3;Timm17a;Mpc1;Ndufa4;Atp5g1;Idh3a;Ndufs7;Ndufs6;Vdac3;Atp6v0e;Ogdh;Cox8a;Atp1b1;Uqcrc1;Cox6c;Dld;Ndufs4;Pdp1;Atp5c1;Cox6a1;Fh1;Mtx2;Dlst;Atp6v1d;Cyb5a;Atp5a1;Mgst3;Atp6ap1;Dlat"
"HALLMARK_INFLAMMATORY_RESPONSE",1.64790108080162e-14,4.11975270200406e-13,0.97599468306432,-0.639116001329446,-1.93205902860372,199,"Il10;Msr1;Gpr132;Pdpn;Ccl17;Ahr;Ifitm1;Cybb;Atp2b1;Mefv;Ptger2;Sphk1;Ccl22;Itga5;Abca1;Olr1;Sell;Plaur;P2rx4;Cd40;Inhba;Slc28a2;Ifnar1;Adora2b;Gnai3;Ptgir;Sgms2;Gch1;Sri;Pde4b;Met;Ccr7;Tlr2;Il1b;Pvr;Emp3;Tnfaip6;C3ar1;Rasgrp1;Ccl24;Ldlr;Mxd1;Tpbg;Slc7a2;Cd55;Slc31a2;Aqp9;Il12b;C5ar1;Cd14;Ptger4;Nampt;Cdkn1a;Slc11a2;Il1a;Cxcl10;Fpr1;Mmp14;Hif1a;Pik3r5;Nfkb1;Osm;Ccl5;Nlrp3;Bst2;Tnfsf15;F3;Ffar2;Hrh1;Axl;Timp1;Tnfrsf1b;Cd48;Nfkbia;Slc31a1;Nod2;Hbegf;Irf7;Tnfsf9;Rtp4;Csf3;Edn1;Dcbld2;Icam1;Lif;Ly6e;Abi1;P2ry2;Cd69;Cxcl9;Ccl7;Scarf1;Tnfrsf9;Rela;Kcna3;Lck;Il1r1;Cx3cl1;Cd70;Raf1;Adrm1;Ccrl2;Rhog;Tapbp;Slc1a2;Rgs16;Il2rb;Ccl2;Il18rap;Lta;Il7r;Adgre1;Marco;Slc7a1;Ebi3;Best1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.39472178266393e-13,1.88194879898188e-12,0.943632225232838,-0.632882790542276,-1.91286135418491,198,"Tnfaip2;Ifitm2;Pim1;Slamf7;Cd38;Itgb7;Plscr1;Samd9l;Pfkp;Cd40;H2-Aa;Fas;Il18bp;Ifitm3;Oas3;Ptpn2;Klrk1;Gch1;Sri;Pde4b;H2-M2;Stat4;Cmpk2;Psma2;Ciita;Vamp8;Stat3;Isg20;Tnfaip6;H2-Eb1;Psmb8;Ptgs2;Trim25;Ifih1;Cd274;Rsad2;Ripk1;Jak2;Psme1;Ifi44;Mt2;Nampt;Ifit3;Cdkn1a;Cxcl10;Fpr1;Hif1a;Cd74;Cfb;Nfkb1;Gpr18;Csf2rb2;Ccl5;Bst2;Ube2l6;Isg15;Psmb2;Epsti1;Vcam1;B2m;Ogfr;Ifi30;Rnf213;Casp7;Mvp;Nfkbia;Samhd1;Parp14;St8sia4;Psmb9;Irf5;Casp4;H2-DMa;Arl4a;Irf7;Rtp4;Psmb10;Sectm1a;Batf2;Icam1;Ly6e;Stat1;Helz2;Cd69;Isoc1;Cd86;H2-D1;Cxcl9;Psma3;Ccl7;Arid5b;Ifit2;Fgl2;Myd88;Gbp3;Ptpn1;Ifnar2;Oasl1;Usp18;Lgals3bp;Mthfd2;Zbp1;Auts2;Tapbp;Pml;Slc25a28;Ddx60;Btg1;Il2rb;Tnfaip3;Ccl2;Ifi35;Lap3;Nlrc5;Xaf1;Wars1;Dhx58;Stat2;Sp110"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.5055590391855e-13,1.88194879898188e-12,0.943632225232838,-0.628424502698962,-1.90016923246062,197,"Tnfaip2;Cd44;Nr4a3;Bhlhe40;Serpinb8;Jag1;Nr4a2;Vegfa;Ehd1;Fosl1;Nfe2l2;Dram1;Trib1;Atp2b1;Cxcl2;Bmp2;Cxcl3;Traf1;Sphk1;B4galt5;Abca1;Cxcl1;Fosl2;Olr1;Plaur;Areg;Inhba;Gch1;Tank;Pde4b;Dusp5;Tlr2;Map2k3;Il1b;Ninj1;Nfkbie;Birc3;Tnfaip6;Cd80;Tnip1;Litaf;Ldlr;Gadd45b;Mxd1;Sdc4;Bcl3;Kynu;Ptgs2;Klf10;Ifih1;Il12b;Relb;Nfkb2;Ptger4;Nampt;Tnfaip8;Cdkn1a;Plpp3;Il1a;Slc2a6;Cxcl10;Ier3;Bcl6;Nfil3;Rel;Nfkb1;Tgif1;Il23a;Ccl5;Sik1;Phlda1;F3;Plau;Rnf19b;Tnf;Klf9;Rcan1;Nfkbia;Cd83;Ets2;Trip10;Hbegf;Tnfsf9;Edn1;Pdlim5;Kdm6b;Tubb2a;Icam1;Lif;Tnip2;Cebpb;Tiparp;Id2;Cd69;Ifit2;Csf2;Mcl1;Tnfrsf9;Rela"
"HALLMARK_IL2_STAT5_SIGNALING",7.85448065508304e-12,7.85448065508304e-11,0.875325132024659,-0.614568973986468,-1.85750862148187,198,"Cd44;Spp1;Il10;Pim1;Anxa4;Bhlhe40;Emp1;Serpinb6a;Alcam;S100a1;Plscr1;Ecm1;Ahnak;Ahr;Lrrc8c;Bmp2;Igf2r;Ptger2;Plec;Traf1;Ndrg1;Ccnd2;St3gal4;Capg;Sell;Slc1a5;Adam19;P2rx4;Enpp1;Smpdl3a;Cish;Snx9;Ifitm3;Cst7;Plin2;Furin;Sh3bgrl2;Uck2;Twsg1;Myo1e;Gsto1;Tgm2;Glipr2;Rnh1;Gadd45b;Mxd1;Mapkapk2;Il3ra;Gpr65;Batf;Il2ra;Rabgap1l;Swap70;Myo1c;Nt5e;Cxcl10;Nfil3;Gabarapl1;Ctsz;Hipk2;Il1r2;Phlda1;Bcl2;Hopx;Tnfrsf18;Tnfrsf1b;Itgae;Cd48;Cd83;Rragd;Arl4a;Ccnd3;Dhrs3;Plagl1;Ahcy;Tnfrsf4;Lif;Cd86;Tnfrsf8;Csf2;Fgl2;Gbp3;Tnfrsf9"
"HALLMARK_ALLOGRAFT_REJECTION",2.13293023431e-11,1.777441861925e-10,0.863415391606693,-0.615093616338891,-1.86144618552236,191,"Pf4;Fgr;Cfp;Il10;Ccr2;Itgal;Cd4;Ccl22;Ccnd2;Capg;Degs1;Cd40;H2-Aa;Fas;Nos2;Il2rg;Cd7;Inhba;Stat4;Ly75;Tlr2;Il1b;Cd80;Srgn;Nme1;Bcl3;Klrd1;Cd28;Gpr65;Il12b;Flna;Ccr1;Mmp9;Jak2;Il2ra;Cxcr3;Map4k1;Egfr;H2-DMb1;Igsf6;C2;Hif1a;Cd74;Cd47;Eif5a;Itk;Ccl5;Nlrp3;Tpd52;B2m;H2-T23;Timp1;Itgb2;Tnf;Eif3d;Thy1;St8sia4;Akt1;Il12rb1;H2-DMa;Ccnd3;Irf7;Psmb10;Gbp2;Icam1;Lif;Ncf4;Abi1;Stat1;Cd86;Cxcl9;Ccl7;Fcgr2b;Dyrk3;Zap70;Il27ra;Lck;Cd2;Ifnar2;Cxcl13;Npm1;Cd3d;Cd8a;Apbb1;Brca1;Prkcg;Bcl10;Ube2n;Il4;Il12a;Tapbp;Hcls1;Ctss;Il2rb;Ccl2;Il18rap;Cd79a;Wars1;Rars;Tgfb1;Ccl11;Cd3e;Ltb;Cdkn2a;F2r"
"HALLMARK_COMPLEMENT",1.49425368769898e-10,1.06732406264213e-09,0.826657301178302,-0.601974716196155,-1.82156388704109,192,"Lgals3;Msrb1;Anxa5;Pim1;Adam9;Mmp12;Pla2g7;Cd36;Ehd1;Plscr1;Cxcl2;Cxcl3;Fyn;Cp;F10;F7;Cxcl1;Olr1;Atox1;Plaur;Gpd2;Lipa;Calm1;Mmp8;Fn1;Grb2;Gnai3;Mmp13;Dpp4;Apoc1;Fcer1g;Ctsb;Dusp5;Cpq;Rasgrp1;Rnf4;Kynu;Cd55;Jak2;C3;Gca;Gngt2;Ctsd;Gnb4;S100a13;S100a9;C2;Pfn1;Timp2;Mmp14;Pik3r5;Cfb;F5;Ccl5;F3;Timp1;Casp7;Psmb9;Calm3;Casp4;Irf7;Ppp4c;Cblb;Cebpb;Prdm4;Dgkh;Usp14;Rabif;Csrp1;Gmfb;Ctsh;Lck;Kcnip2;Pdp1;Raf1;Rhog;Gng2;Lta4h;Usp16;Maff;Ctss;Dock9;Tnfaip3;Lap3;Lamp2;Klk1"
"HALLMARK_GLYCOLYSIS",1.90685490094052e-08,1.19178431308783e-07,0.73376198835648,-0.566676203724271,-1.71307223324549,199,"Tgfbi;Cd44;Cxcr4;Txn1;Vegfa;Pfkp;Ndufv3;Pgk1;Sdc1;Akr1a1;Ero1a;Adora2b;Aldoa;Pkm;Met;Idh1;Homer1;Galk2;Gale;Got1;Isg20;Tpi1;Glrx;Taldo1;Fam162a;Tpbg;Pygl;Aldh9a1;Slc25a10;B3gnt3;Sod1;Cenpa;Mif;Lhpp;Egfr;Me2;Pgls;Hax1;Nt5e;Ldha;Cdk1;Ier3;G6pdx;Mdh2;Slc16a3;Angptl4;Ppia;Sdhc;Egln3;Cln6;Mxi1;Pgam1;Psmc4;Got2;Rragd;Pam;Casp6;Eno2;Polr3k;Xylt2;Gpc1;Pgm2;P4ha2;Gfpt1;Sdc3;Gfus;Ext1;Capn5;Hdlbp;Dld;Gusb;Slc25a13;Pdk3;Arpp19;Tpst1;Stmn1;Gys1;Cyb5a;B3gat1;Aurka;Copb2;Ugp2;Pkp2;Srd5a3;Rars;Col5a1;Vcan;Nasp;Spag4"
"HALLMARK_MTORC1_SIGNALING",4.52432615817219e-08,2.51351453231788e-07,0.719512826338911,-0.568248700246217,-1.71750756144819,198,"Cxcr4;Cfp;Bhlhe40;Gsr;Pgk1;Gpi1;Prdx1;Slc1a5;Ero1a;Txnrd1;Aldoa;Ccng1;Idh1;Map2k3;Got1;Elovl5;Tpi1;Glrx;Ldlr;Psma4;M6pr;Slc6a6;Ufm1;Slc7a11;Nampt;Pdap1;Cdkn1a;Actr3;Gga2;Psmd14;Ldha;Psmd12;G6pdx;Nfil3;Psmb5;Stard4;Psmc6;Ifrd1;Acaca;Mcm4;Ppa1;Psme3;Hspa9;Ppia;Nufip1;Egln3;Itgb2;Ifi30;Eprs;Psmc4;Hprt;Etf1;Dhfr;Tes;Hmgcr;Sdf2l1;Asns;Rab1a;Acsl3;Atp5g1;Trib3;Slc2a1;Hmgcs1;Psma3;Qdpr;Idi1;Fgl2;Tcea1;Psat1;Pfkl;Ung;Serp1;Cops5;Pno1;Psmd13;Sqle;Ccnf;Nfkbib;Dhcr24;Mthfd2;Mcm2;Eef1e1;Niban1;Atp6v1d;Lta4h;Hspa4;Cyb5b;Stip1;Cct6a;Rit1;Cacybp;Aurka;Pgm1;Sqstm1;Ube2d3;Actr2;Wars1;Eif2s2;Hmbs;Tfrc;Ssr1;Abcf2;Uchl5;Polr3g;Sytl2;Psmc2;Nup205;Tmem97;Ak4"
"HALLMARK_MYC_TARGETS_V1",6.12786065049196e-08,3.06393032524598e-07,0.704975715167238,-0.569191574865534,-1.71835924442134,183,"Pgk1;Ube2l3;Prdx4;Psma2;Eif4e;Cox5a;Lsm7;Eef1b2;Nme1;Psma4;Rad23b;Hdgf;Psmd8;Pole3;Rack1;Hnrnpa1;Pwp1;Psma6;Psma1;Psma7;Psmd14;Ldha;Slc25a3;Ranbp1;Ywhaq;Psmc6;Ifrd1;Mcm4;Psmb2;Kars;Ppia;Phb2;Mcm6;Nap1l1;Snrpd1;Psmd1;Eprs;Srpk1;Pabpc1;Eif3d;Psmc4;Hprt;Etf1;Got2;Snrpd2;Snrpg;Eif1ax;Vdac1;Vbp1;Ndufab1;Eif2s1;Acp1;Cct2;Prdx3;Serbp1;Mcm5;Snrpb2;Snrpd3;Vdac3;Fam120a;Ptges3;Dek;Cdc45;Txnl4a;Cops5;H2az1;Impdh2;Cct4;Npm1;Psmb3;Xpo1;Mcm2;Tcp1;Pcbp1;Ssb;Pa2g4;Lsm2;Ube2e1;Dut;Cct3;Erh;Mad2l1;Eif4g2;Glo1;Cct5;G3bp1;Syncrip;Cct7;C1qbp;Ywhae;Eif2s2;Psmd3;Tfdp1"
