"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",8.69367340336299e-34,4.3468367016815e-32,1.50926283727233,0.681535598236133,3.12116695914259,186,"Ndufs3;Atp6v1f;Echs1;Ndufa2;Ldhb;Fdx1;Gpi1;Atp6v1g1;Ndufa1;Mtrr;Prdx3;Phyh;Uqcr10;Phb2;Atp6v1c1;Ndufc2;Bax;Sdhb;Uqcrq;Ndufs8;Alas1;Cox4i1;Acadsb;Atp5j2;Atp5j;Ndufab1;Atp6v0c;Ndufc1;Timm13;Ndufb2;Sdhc;Oxa1l;Tomm22;Ndufb7;Timm50;Cox7a2l;Eci1;Cox17;Ndufa7;Ldha;Polr2f;Idh3b;Ndufb5;Mdh2;Retsat;Atp5e;Pmpca;Slc25a3;Ndufa8;Ndufs2;Ndufs6;Atp5d;Grpel1;Casp7;Uqcrfs1;Vdac2;Mtrf1;Atp5pb;Immt;Atp6v0e;Atp5g1;Vdac1;Hadha;Cox7b;Cox7a2;Timm9;Timm10;Mtx2;Uqcrh;Timm17a;Tomm70a;Dld;Aifm1;Atp5g3;Atp6v0b;Cox6b1;Atp5o;Slc25a4;Sdhd;Slc25a5;Cox5b;Timm8b;Hspa9;Uqcrc2;Atp6ap1;Atp5k;Cox7c;Cyc1;Mdh1;Atp5c1;Cox15;Ndufa3;Hadhb;Hsd17b10;Surf1;Pdk4;Ndufb8;Cox8a;Etfa;Uqcrb;Cox6a1;Decr1;Ndufb1;Ndufb4;Mpc1;Atp5l;Lrpprc;Pdhb;Ndufv2;Vdac3;Uqcr11;Slc25a11;Ndufs4;Uqcrc1;Ndufs7;Ogdh"
"HALLMARK_MYC_TARGETS_V1",1.02155297597733e-27,2.55388243994333e-26,1.36517960216169,0.645227806164503,2.95901858441061,183,"Prdx4;Pwp1;Eef1b2;Pgk1;Hnrnpa1;Bub3;Pabpc1;Prdx3;Sf3a1;Npm1;Phb2;Serbp1;Cct2;Ywhae;Ube2l3;Prps2;Kars;Srm;C1qbp;Snrpd2;Hprt;Odc1;Tcp1;Ndufab1;Lsm2;Dek;Psmc6;Psma1;Psmb2;Eprs;Rack1;Phb;Psmd1;Canx;Tufm;Psmd8;Psma4;Rrp9;Psmd7;Psmb3;Cops5;Ppia;Ldha;Cct3;Psmc4;Ranbp1;Prpf31;Pole3;Slc25a3;Ruvbl2;Snrpd3;Erh;Impdh2;Vdac1;Cct4;Psma6;Acp1;Lsm7;Ssb;Tomm70a;Nop16;Eif2s2;Psma7;Nme1;Cct7;Ube2e1;Psma2;Tfdp1;Mcm2;Snrpg;Eif2s1;Snrpa1;Rad23b;Pabpc4;Cyc1;Psmd3;Ptges3;Ssbp1;Cbx3;Xrcc6;Apex1;Pold2;Txnl4a;Fam120a;Ncbp2;Cdk4;Nhp2;Snrpd1;Ran;Cad;Psmd14;Snrpb2;Rrm1;Aimp2;Hddc2;Vdac3;Hsp90ab1;Pa2g4;Glo1;Snrpa;Eif3d;Ddx18;Mcm6;Kpnb1;Eif4g2;Mcm7;Cox5a;Orc2"
"HALLMARK_MTORC1_SIGNALING",8.11034443900988e-13,1.35172407316831e-11,0.921426003494898,0.481223879366849,2.25758464485157,198,"Sdf2l1;Cd9;Aldoa;Fkbp2;Psat1;Nmt1;Pgm1;Acaca;Calr;Egln3;Pdk1;Gpi1;Sord;Ero1a;Tpi1;Hspa5;Pgk1;Phgdh;Pfkl;M6pr;Dhcr7;P4ha1;Hsp90b1;Gga2;Psmd12;Abcf2;Nup205;Ufm1;Tmem97;Glrx;Hmbs;Wars1;Ung;Cct6a;Acly;Hprt;Rpn1;Psmc6;Mthfd2;Ccng1;Eprs;Ssr1;Slc2a1;Canx;Serp1;Psma4;Psmc2;Rrp9;Cops5;Shmt2;Ppia;Ldha;Pdap1;Psmc4;Lgmn;Prdx1;Cdc25a;Ddx39a;Pno1;Ykt6;Asns;Ak4;Immt;Atp5g1;Trib3;Tomm40;Eef1e1;Ppa1;Eif2s2;Edem1;Psmg1;Mcm2;Ctsc;Hspa9;Ebp;Sqstm1;Psme3;Hspa4;Ifi30;Bub1;Rab1a;Tubg1;Serpinh1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.70448395786963e-08,3.38060494733703e-07,0.73376198835648,0.530040759653434,2.27818750919116,96,"Lap3;Cxcl10;Csf1;Parp9;Eif2ak2;Lgals3bp;Ifit3;B2m;Ifit2;Ifih1;Gbp2;Psme1;Mov10;Wars1;Parp12;Usp18;Herc6;Ube2l6;Gmpr;H2-Q7;Trim14;Isg15;Ripk2;Oas1a;Ogfr;Dhx58;Ly6e;Parp14;Ifi35;Ddx60;Cmpk2;Oas1g;Adar;Bst2;Irf1;Stat2;Rtp4;Psmb8;Casp1;Ifi30;Isg20;Tmem140;Rsad2;Batf2;Sp110;Uba7;Pnpt1;Trim21;Gbp3;Oasl1;Tap1;Psmb9;Rnf31;Trim12c;Nmi;Nub1;Ifi27l2b"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",1.84553903719825e-07,1.84553903719825e-06,0.690132458796796,-0.511940425846968,-1.77564905768062,195,"Cbfa2t3;Rara;Tiam1;Rasgrp1;Olfm1;Mill2;Add3;Deptor;Tbc1d30;Papss2;Nav2;Svil;Hes1;Abhd2;Adcy9;Slc1a4;Rbbp8;Cd44;Igfbp4;Inpp5f;Unc119;Klf10;Klf4;Myof;Mapt;Adcy1;Slc24a3;Aqp3;Med13l;Myb;Slc7a2;Dlc1;Tgif2;Tubb2b;Tob1;Fasn;Farp1;Ugcg;Slc22a5;Nrip1;Tjp3;Siah2;Rapgefl1;Hr;Mast4;Tpbg;Gja1;Wwc1;Tiparp;Mindy1;Wfs1;Aldh3b1;Celsr2;Bhlhe40;Ttc39a;Itpk1;Lad1;Celsr1;Slc7a5;Tsku;Ablim1;Sfn;Mreg;Areg"
"HALLMARK_MYC_TARGETS_V2",1.15796978245583e-06,9.6497481871319e-06,0.643551836150722,0.580698630467452,2.28392599449292,56,"Sord;Ipo4;Npm1;Dctpp1;Tmem97;Srm;Ung;Nip7;Grwd1;Phb;Rrp9;Ppan;Noc4l;Imp4;Mybbp1a;Nop16;Cbx3;Slc19a1;Mrto4;Nop2;Hk2;Cdk4;Aimp2;Ndufaf4;Pa2g4;Farsa;Ddx18;Bysl;Rabepk"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",6.56018443320259e-06,4.68584602371613e-05,0.610526878385931,0.368009406181917,1.72645710277376,198,"Lap3;Cxcl10;Hif1a;Eif2ak2;Lgals3bp;Ifit3;B2m;Ifit2;Ifih1;Psme1;Wars1;H2-M3;Parp12;Ptpn6;Usp18;Herc6;Cxcl9;Ube2l6;Serping1;Vamp8;Sppl2a;Mthfd2;Ptgs2;Psmb2;H2-Q7;Trim14;Ifnar2;Isg15;Ripk2;Ogfr;Dhx58;Nlrc5;Ly6e;Nod1;Xaf1;Parp14;Zbp1;Ccl5;H2-M2;Rnf213;Fcgr1;Casp7;Cd69;Stat1;Ifi35;Sri;Rigi;Ddx60;Znfx1;Cmpk2;Adar;Bst2;Lcp2;Cd274;Isoc1;Irf1;Il15ra;Stat2;Psma2;Rtp4;Irf8;Psmb8;Tor1b;Casp1;Pla2g4a;Ifi30;H2-D1;Mettl7b;Nfkbia;Isg20;Gch1;Rsad2;Batf2;Sp110;Vcam1;Pnpt1;Csf2rb2;Tapbp;Trim21;Tnfaip2;Gbp4;Gbp3;Oasl1;Tnfaip3;Tap1"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",8.28339343074267e-06,5.17712089421417e-05,0.593325476396405,0.440341976804448,1.94063009164663,110,"Psat1;Spcs1;Calr;Sec31a;Pdia6;Ero1a;Hspa5;Aldh18a1;Npm1;Hsp90b1;Yif1a;Mthfd2;Lsm4;Exosc9;Fkbp14;Ssr1;Arfgap1;Serp1;Rrp9;Shc1;Spcs3;Nfya;Dkc1;Exosc4;Eif4ebp1;Pdia5;Asns;Edem1;Banf1;Cks1b;Wipi1;Hspa9;Eif2s1;Hyou1;Tars;Eif4g1;Srprb;Exosc1;Nhp2;Srpr"
"HALLMARK_UV_RESPONSE_DN",2.92911645887983e-05,0.000162728692159991,0.575610261071129,-0.504796425555835,-1.71431242408356,141,"Grk5;Kit;Rnd3;Sipa1l1;Ccn1;Cdon;Add3;Prkca;Ica1;Prkce;Pdlim5;Dbp;Atp2b4;Mapk14;Met;Mgll;Ldlr;Scn8a;Plpp3;Nr3c1;Cdkn1b;Amph;Acvr2a;Kalrn;Schip1;Cap2;Cdc42bpa;Prkar2b;Dlc1;Arhgef9;Pias3;Syne1;Notch2;Plcb4;Map1b;Anxa2;Abcc1;Nr1d2;Gja1;Tjp1;Celf2;Bhlhe40;Dusp1;Rgs4;Smad3;Ddah1;Cdk13;Dyrk1a;Ptprm;Ythdc1;Scaf8;Atrn;Rasa2;Atrx;Slc22a18;Atp2b1;Insig1;Dlg1;Pparg;Dab2;Pten;Bckdhb;Bdnf;Cited2;Spop;Sfmbt1"
"HALLMARK_GLYCOLYSIS",3.55979389745285e-05,0.000177989694872643,0.557332238758646,0.352378802283155,1.64803937376736,199,"Chst1;Mif;Chst2;Aldoa;Pkp2;Gusb;Egln3;Pkm;Ndufv3;Gmppa;Ero1a;Tpi1;Hspa5;Pgk1;Pdk3;Fam162a;P4ha1;Galk2;Cdk1;Glrx;Slc16a3;Gmppb;Gfus;Akr1a1;Sdhc;Gys1;Ppia;Ldha;Plod1;Psmc4;Galk1;Pgls;Tgfa;Gfpt1;Mdh2;Chpf2;Ak4;Qsox1;Hdlbp;Gnpda1;Sdc3;Dld;Ang;Arpp19;Idua;Slc25a13;Copb2;Mdh1;Slc25a10;Isg20;Abcb6;Bik"
