"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",3.37790138125885e-22,1.68895069062943e-20,1.22105375677186,0.619605711815557,2.86902911168171,197,"H2az1;Tcf19;Cdkn1b;Mthfd2;Dck;Ezh2;Smc4;Lmnb1;Nudt21;Tmpo;Hnrnpd;Dctpp1;Cks1b;Ranbp1;Timeless;Anp32e;Nap1l1;Rbbp7;Pold2;Lyar;Exosc8;Prps1;Dlgap5;Cdc20;Dut;Pold1;Tubb5;H2ax;Diaph3;Lbr;Rpa3;Paics;Racgap1;Dek;Top2a;Ncapd2;Rpa2;Ccne1;Ccnb2;Trp53;Psip1;Ddx39a;Eif2s1;Orc6;Mcm4;Plk4;Mcm7;Dscc1;Rpa1;Hells;Espl1;Hmmr;Rrm2;Pole4;Lig1;Kif22;Melk;Mms22l;Plk1;Depdc1a;Mcm6;E2f8;Cdca8;Tbrg4;Kif18b;Cdca3;Mcm5;Cdkn2c;Birc5;Ube2s;Pa2g4;Mxd3;Naa38;Mcm2;Mybl2;Brca1;Ube2t;Jpt1;Pole;Mki67;Cenpm;Nup153;Snrpb;Spc24;Aurkb;Tipin;Aurka;Stmn1;Kif2c;Phf5a;Tacc3;Rfc1;Ssrp1;Bard1;Spc25;Smc6"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.10980238981684e-20,2.77450597454209e-19,1.1778932614942,-0.621117182763349,-2.51332246000014,197,"Tlr2;Pfkfb3;Plau;Rhob;Gem;Ccn1;Dnajb4;Ppp1r15a;Smad3;Gadd45b;Sdc4;Tnf;Abca1;B4galt1;Sat1;Edn1;Nfkbia;Hbegf;Btg3;Ccl4;Zc3h12a;Bmp2;Ripk2;Ets2;Myc;Sgk1;Plk2;Snn;Irs2;Ccrl2;Hes1;Ier3;Icam1;Klf10;Serpine1;Ninj1;Jag1;Nfat5;Spsb1;Cebpd;Rela;Nfe2l2;Atf3;Csf1;Ptgs2;Plek;Il6st;Rcan1;F3;Ccl2;Jun;Tgif1;Cxcl10;Atp2b1;Cd83;Kdm6b;Cdkn1a;Klf6;Cebpb;Il1a;Il7r;Sqstm1;Socs3;Ptpre;Dusp1;Tnfaip3;Sphk1;Cxcl1;Cxcl2;Pmepa1;Maff;Egr1;Vegfa;Cflar;Junb;Tnfaip2;Dram1;Olr1;Slc16a6;Tnip2;Zfp36;Pnrc1;Tnfaip6;Marcks;Gadd45a;Plaur;Ccnl1;Per1;Tank;Litaf;Rigi;Mcl1;Tsc22d1;Fosl1;Ehd1;Il6;Rnf19b;Ifngr2;Inhba;Il15ra;Bcl3;Ier2;Serpinb8;Nfkbie;Map2k3;Klf2;Plpp3;Map3k8;Nfkb1;Klf4;Fosb;Phlda1;Gpr183"
"HALLMARK_MYC_TARGETS_V1",4.12282988491782e-15,6.87138314152971e-14,0.996986217533181,0.564157170990317,2.57645399393265,183,"H2az1;Eef1b2;Hnrnpa1;Psma4;Snrpd1;Got2;Snrpd3;Hnrnpd;Rack1;Hddc2;Lsm2;Snrpa1;Ranbp1;Lsm7;Fbl;Serbp1;Nap1l1;Pold2;Sf3b3;Psma7;Npm1;Cdc20;Dut;Snrpd2;Srpk1;Hspe1;Cops5;Impdh2;Dek;Cct2;Kars;Cct7;Snrpg;Pcbp1;Psmd14;Phb2;Psma2;Cct3;Eif3d;Eif2s1;Mcm4;U2af1;Tomm70a;Mcm7;Ssb;Ppm1g;Hsp90ab1;Psma1;Ilf2;Cstf2;Iars;Psmb3;Mcm6;Psma6;Mcm5;Bub3;Psmb2;Ube2e1;Ccna2;Pa2g4;Ywhae;Mcm2;Hnrnpr;Snrpa;Cnbp;Txnl4a;Ldha;Stard7;Nop16;Tcp1;Cdc45;Dhx15;Ptges3;Set;Vdac3;Ppia;Prpf31;Cyc1;Vbp1;Exosc7;Rfc4;Ddx21;Erh;Ywhaq;Pole3;Clns1a;Tfdp1;G3bp1;Cox5a;C1qbp;Nhp2;Eif2s2;Cct5;Cbx3;Trim28;Rad23b;Ncbp1;Snrpb2;Ndufab1;Tyms"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",4.80500946046974e-11,5.72419798694361e-10,0.851339057116899,-0.523165352577179,-2.11746728506081,199,"Sparc;Dst;Serpine2;Plod1;Rhob;Vcam1;Pdlim4;Gem;Ccn1;Itgb5;Igfbp4;Gadd45b;Sdc4;Plod3;Lrp1;Dab2;Itgav;Sat1;Fzd8;Mmp2;Tnfrsf12a;Efemp2;Itgb3;Serpine1;Pmp22;Itga5;Basp1;Lox;Jun;Tgm2;Slc6a8;Comp;Capg;Tnfaip3;Cxcl1;Cxcl2;Pmepa1;Vegfa;Lamc1;Mmp14;Ecm1;Htra1;Eno2;Gadd45a;Plaur;Tgfb1;Sdc1;Thbs1;Spp1;Postn;Fas;Il6;Inhba;Nid2;Tgfbi;Fn1;Colgalt1;Gpc1;Tpm2;Col6a3;Fgf2"
"HALLMARK_G2M_CHECKPOINT",5.72419798694361e-11,5.72419798694361e-10,0.851339057116899,0.49318471527529,2.27388721032189,193,"H2az1;Cdkn1b;Arid4a;Ezh2;Snrpd1;Smc4;Lmnb1;Ccnd1;Slc38a1;Tmpo;Hnrnpd;H2az2;Cks1b;Uck2;Kif23;Mapk14;Pml;Nek2;Knl1;Cdc20;H2ax;Lbr;Racgap1;Kif15;Kif11;Top2a;Sqle;Troap;Rpa2;Notch2;Stil;Ccnb2;Ddx39a;Orc6;Tle3;Plk4;Hspa8;Tpx2;Espl1;Rad54l;Hmmr;Kif22;Ttk;Plk1;Mcm6;Slc7a1;Prc1;Mcm5;Cdkn2c;Bub3;Birc5;Ube2s;Ube2c;Ccna2;E2f2;E2f4;Cenpa;Mcm2;Mybl2;Jpt1;Nusap1;Gins2;Pole;Ndc80;Mki67;Cdc45;Chaf1a;Aurkb;Pbk;Aurka;Stmn1;Ccnt1;Rbl1;Kif2c;Polq;Tacc3;Bard1;Bub1;Kif20b;Tfdp1;Atrx;Cdk1;G3bp1;Cdc7"
"HALLMARK_INFLAMMATORY_RESPONSE",7.00644799597321e-11,5.83870666331101e-10,0.839088935621274,-0.521212255399016,-2.10956229028443,199,"Stab1;Tlr2;Csf3r;Lcp2;C3ar1;Cmklr1;Osm;Scn1b;C5ar1;Adgre1;Abca1;Hpn;Nlrp3;Edn1;Nfkbia;Tnfrsf1b;Hbegf;Irak2;Ccl24;Slc11a2;P2rx7;Ccl7;Ripk2;Myc;Slamf1;Clec5a;Kcnj2;Ccrl2;Itgb3;Msr1;Icam1;P2rx4;Dcbld2;Serpine1;Atp2c1;Rela;Itga5;Csf1;Chst2;Cd14;F3;Ccl2;Il10;Cxcl10;Atp2b1;Icam4;Cybb;Rtp4;Tlr1;Cdkn1a;Klf6;Il1a;Il7r;Best1;P2ry2;Ptpre;Slc1a2;Sphk1;Tpbg;Hif1a;Ptafr;Pik3r5;Olr1;Il10ra;Mmp14;Tnfaip6;Gna15;Plaur;Axl;Kif1b;Lyn;Pdpn;Adm;Il6;Ifngr2;Inhba;Il15ra;Slc31a2;Ptgir;Marco;Calcrl;Acvr1b;Sema4d;Nfkb1;Rgs1;Sgms2;Slc7a2;Gpr183;Tnfsf9;Adora2b;Mefv;Slc31a1;Fzd5;Slc28a2;Acvr2a;Ccl5;Cd55;Btg2;Emp3"
"HALLMARK_P53_PATHWAY",2.88505439612062e-10,2.06075314008616e-09,0.814035837847908,-0.512916580516233,-2.07399624015055,193,"Pdgfa;Abcc5;Ldhb;Tcn2;Ctsf;Pitpnc1;Tgfa;Cdk5r1;Ak1;Plxnb2;Cebpa;Ppp1r15a;Notch1;Hmox1;Rhbdf2;Nupr1;Sat1;Cgrrf1;Hbegf;Sesn1;Ralgds;Wwp1;Bmp2;Tm7sf3;Plk2;Ddit3;Kif13b;Ier3;Txnip;Ninj1;Ctsd;Prmt2;Atf3;Csrnp2;Rap2b;Casp1;Retsat;Jun;Mdm2;Prkab1;App;Rxra;Klk8;Cdkn1a;Il1a;Ptpre;Plk3;Epha2;Ephx1;St14;Sphk1;Abhd4;Cd81;Dram1;Vwa5a;Gadd45a;Tgfb1;Dcxr;Rab40c;Slc7a11;Sdc1;Fas;Tsc22d1;Tspyl2;Foxo3;Blcap;Rnf19b"
"HALLMARK_COAGULATION",5.03246160802012e-09,3.14528850501257e-08,0.761460801445585,-0.545496536919522,-2.13847028350133,138,"Sparc;Pdgfb;Ctsl;Ang;Plau;Lgmn;Pros1;Lrp1;Ctso;Hpn;Adam9;Gp9;C2;Dusp6;C1qa;Ctsb;Mmp2;Lamp2;Trf;Itgb3;Serpine1;Msrb2;S100a1;Plek;Usp11;Cd9;F3;Cfh;Apoc1;Comp;Klk8;Klf7;Sh2b2;Maff;Pf4;Ctsh;Sirt2;Olr1;Apoc2;Mmp14;C3;Htra1;Thbd;Ctsk;F9"
"HALLMARK_HYPOXIA",1.56995344062696e-08,8.72196355903866e-08,0.73376198835648,-0.488566492053782,-1.97696211239756,197,"Pdgfb;Pfkfb3;Gaa;Pdk1;Slc2a5;P4ha1;Ccn1;Cp;Ppp1r15a;Hexa;Sdc4;Hmox1;Wsb1;Hk2;Ddit3;Irs2;Ccng2;Ier3;Serpine1;Kdm3a;Large1;Atf3;Chst2;F3;Slc2a1;Pfkl;Lox;Noct;Jun;Tgm2;Tpst2;Cdkn1a;Klf6;Rragd;Klf7;Prkca;Ero1a;Cdkn1c;Dusp1;Tnfaip3;Errfi1;Maff;Nr3c1;Tpbg;Vegfa;Ets1;Zfp36;Pnrc1;Eno2;Plaur;Aldoa;Plin2;Egfr;Mif;Mxi1;Adm;Gbe1;Foxo3;Il6;Aldoc;P4ha2;Ppfia4;Ndst2;Tgfbi;Ndst1;Mt2;Angptl4;Bcan;Kif5a;Mt1;Galk1;Gpc1;Bnip3l;Tpi1;Klhl24;Prdx5;Atp7a;Adora2b"
"HALLMARK_HEME_METABOLISM",8.48744453842371e-08,4.24372226921185e-07,0.704975715167238,-0.482254312715171,-1.95093308444554,191,"Bach1;Lmo2;Sec14l1;Optn;Gde1;Lpin2;Sdcbp;Smox;Atp6v0a1;Tns1;Blvrb;Hebp1;Abcg2;Mpp1;Slc25a37;Nnt;Bmp2k;Slc11a2;Ctsb;Tmem9b;Lamp2;Fech;Tal1;Mfhas1;Ncoa4;Blvra;Daam1;Slc2a1;Marchf8;Arhgef12;Icam4;Slc6a8;Aldh6a1;Ctns;Epor;Nek7;Gclc;Nr3c1;Ranbp10;Acp5;Htra2;Slc30a1;C3;Adipor1;Picalm;Gclm;Nudt4;Slc7a11;Rap1gap;Cdc27;Abcb6;Mxi1;Tnrc6b;Sidt2;Ell2;Foxo3;Bsg;Cdr2;Ppp2r5b;P4ha2;Tent5c;Dmtn;Ppox;Foxj2;Mocos;Ypel5;Map2k3;Ank1;Btrc;Cpox;Minpp1;Bnip3l;Klf3;Hagh;H1f0;Fbxo7;Pdzk1ip1;Dcaf10;Gapvd1;Htatip2;Add2"
"HALLMARK_DNA_REPAIR",7.12558523682714e-07,3.23890238037597e-06,0.659444398037935,0.45467666247562,2.01698083797338,146,"Rala;Polr1h;Hcls1;Nudt21;Mpc2;Supt4a;Gtf2h3;Polr1d;Pold4;Nt5c;Nt5c3;Gtf2h5;Cetn2;Dut;Pold1;Polb;Rpa3;Impdh2;Cox17;Nelfe;Rpa2;Polr3c;Trp53;Taf10;Polr2g;Alyref;Nudt9;Nelfcd;Eloa;Prim1;Pole4;Lig1;Rev3l;Taf13;Polr1c;Rae1;Polr2k;Rbx1;Pola1;Polr2h;Polr2e;Rfc4;Gtf2a2;Rad51;Vps37b;Ssrp1"
"HALLMARK_TGF_BETA_SIGNALING",9.031254523232e-07,3.76302271801333e-06,0.659444398037935,-0.63634868489169,-2.15846681032557,54,"Tjp1;Eng;Bmpr1a;Ski;Ppp1r15a;Smad3;Rab31;Smad7;Tgfbr1;Bmp2;Acvr1;Bmpr2;Ctnnb1;Klf10;Serpine1;Tgif1;Ncor2;Cdkn1c;Pmepa1;Junb;Bcar3;Cdk9;Skil;Tgfb1;Thbs1;Smad1;Ifngr2;Smurf1;Sptbn1;Furin"
"HALLMARK_UV_RESPONSE_DN",2.70816026366145e-06,1.04160010140825e-05,0.627256739718528,-0.485573416164421,-1.90144711330117,141,"Tgfbr2;Tfpi;Tjp1;Ccn1;Bmpr1a;Smad3;Nr1d2;Smad7;Mgll;Dab2;Sfmbt1;Vav2;Ptprm;Inpp4b;Myc;Itgb3;Dbp;Kcnma1;Serpine1;Atp2c1;Pmp22;Gcnt1;Igf1r;F3;Runx1;Atp2b1;Rxra;Rbpms;Prkce;Prkca;Adgrl2;Nek7;Dusp1;Ptpn21;Nr3c1;Apbb2;Atxn1;Mgmt;Lamc1;Scn8a;Atrn;Pias3;Nrp1;Synj2;Dyrk1a;Zmiz1;Anxa4;Ica1;Kalrn;Cacna1a;Dmac2l;Bckdhb;Mt1;Plpp3;Nfkb1;Amph;Arhgef9;Syne1"
"HALLMARK_COMPLEMENT",3.63935462305253e-06,1.29976950823305e-05,0.627256739718528,-0.446679003827964,-1.80524472124592,192,"Pdgfb;Pla2g4a;Fcer1g;Ctsl;Lcp2;Ang;C1qc;Casp4;Cdk5r1;Lgmn;Timp2;Cp;Lrp1;Ctso;Adam9;Gp9;C2;Dusp6;Pla2g7;C1qa;Ctsb;Dock4;Gngt2;Lamp2;Itgam;Ctss;Serpine1;Ctsd;Prkcd;Dyrk2;Lipa;Plek;F3;Cfh;Casp1;Lap3;Src;Apoc1;Cebpb;Mmp12;Tnfaip3;Cxcl1;Cxcl2;Maff;Mmp13;Actn2;Ctsh;Pik3r5;Olr1;Ctsc;Mmp14;C3;Msrb1;Plaur;Lyn;Pik3ca;Akap10;Usp16;Mt3;Ehd1;Il6;Pdp1;F10;Fn1;Cfb;F7;Lgals3"
"HALLMARK_MYOGENESIS",8.45944920829551e-06,2.81981640276517e-05,0.593325476396405,-0.437785473829001,-1.77189948482111,199,"Sparc;Ifrd1;Nav2;Speg;Gaa;Bin1;Ak1;Plxnb2;Itgb5;Mef2a;Gadd45b;Notch1;Ache;Col15a1;Igf1;Hbegf;Crat;Sorbs3;Mef2c;Ephb3;Atp6ap1;Large1;Fabp3;Adcy9;Pde4dip;Ptp4a3;App;Slc6a8;Cdkn1a;Mybph;Foxo4;Sphk1;Hdac5;Actn2;Sirt2;Kifc3;Tgfb1;Lpin1;Gpx3;Mras;Myom1;Agrn;Ppfia4;Vipr1;Tnnt1;Acsl1;Rb1;Camk2b;Tpm2;Col6a3;Fgf2;Agl;Mef2d;Clu"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.51277465481536e-05,4.727420796298e-05,0.593325476396405,0.387239210584319,1.79617767863645,198,"Klrk1;St8sia4;Psme1;Mthfd2;Ciita;Itgb7;Psmb9;Jak2;Cmtr1;Pfkp;H2-DMa;Irf8;Casp3;Sri;Psmb8;Ido1;Samhd1;H2-Eb1;Ifi44;Samd9l;Irf5;Gpr18;H2-Aa;Isg20;Arl4a;Plscr1;Cd74;Irf9;Epsti1;Gzma;Pml;Ifi35;St3gal5;Usp18;Slamf7;Lats2;Psma2;Nmi;Isoc1;Tap1;Stat2;Rbck1;Stat1;Fgl2;Irf7;Il2rb;Stat4;Nlrc5;Ogfr;Tor1b;Casp7;Cd40;Psmb2;Btg1;Ube2l6;Cxcl9;Ifitm2;Upp1;Psma3;Ptpn2;Nup93"
"HALLMARK_ALLOGRAFT_REJECTION",2.79509202824267e-05,8.2208589065961e-05,0.575610261071129,0.37880968561085,1.73699680626959,191,"H2-Ob;Cxcr3;St8sia4;Map4k1;H2-Oa;Tlr3;H2-DMb1;Ccr2;Ccnd3;Cd47;Jak2;Hcls1;Klrd1;H2-DMa;Irf8;Ccnd2;Tap2;Dars;Ly75;H2-Aa;Lif;Ltb;Eif5a;Cd74;Gzma;Npm1;Cd8a;Cd80;Ncr1;Lck;Tap1;Eif3d;Cd2;Il12b;Stat1;Irf7;Dyrk3;Itk;Il2rb;Stat4;Il27ra;Cd3g;Il18rap;Ptprc;Sit1;Cd3d;Prf1;Cd40lg;Flna;Srgn;Cd247;Cd40;Cxcl9;Cd79a;Brca1;Gpr65;Cd3e;Ccl22;Fasl;Ifngr1;Ncf4"
"HALLMARK_KRAS_SIGNALING_UP",5.77811552147153e-05,0.000160503208929765,0.557332238758646,-0.414047086124822,-1.67856096489534,202,"Tfpi;Fcer1g;Prdm1;Plau;C3ar1;Eng;Epb41l3;Cmklr1;Tspan7;Clec4a3;Ppp1r15a;Scn1b;Etv5;Tnfrsf1b;Hbegf;Tmem176b;Dusp6;Mafb;Il1rl2;Bmp2;Adam17;Lat2;Cd37;Tlr8;Ctss;Dcbld2;Etv1;Gadd45g;Ptgs2;Tmem176a;Cfh;Ly96;F13a1;Cxcl10;Il7r;Ero1a;Tnfaip3;Crot;Tmem100;St6gal1;Vwa5a;Ets1;Il10ra;Plaur;Galnt3;Nrp1;Snap25;Spp1;Arg1;Emp1;Strn;Kif5c;Btbd3;Ikzf1;Inhba;Cfb;Angptl4;Sparcl1;Gpnmb;Jup;Peg3;Klf4;Scg3;Atg10;Itgb2;Ank;Mtmr10;Map7;Ace;Laptm5"
"HALLMARK_XENOBIOTIC_METABOLISM",0.000110005265015131,0.000289487539513503,0.538434096309916,-0.409438185442017,-1.66171938500123,201,"Cndp2;Ppard;Acp2;Comt;Man1a;Abcc3;Lpin2;Npc1;Smox;Pros1;Igfbp4;Blvrb;Hmox1;Abcd2;Igf1;Por;Tmem176b;Ets2;Pgd;Alas1;Ptgr1;Serpine1;Ddah2;Ninj1;Nmt1;Idh1;Retsat;Esr1;Dhps;Sertad1;Xdh;Pgrmc1;Epha2;Ephx1;Gclc;Apoe;Crot;Acox1;Arg2;Tmem97;Dcxr;Maoa;Rap1gap;Abhd6;Arg1;Papss2;Fas;Gart;Cdo1;F10;Cfb;Tmbim6;Pink1;Mt2;Hprt;Aldh2;Slc12a4;Jup"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.00021575490076159,0.000539387251903975,0.518848077743792,-0.495803689414007,-1.84043740588567,86,"Tlr2;Csf3r;Il10rb;Tnfrsf21;Tnf;Hmox1;Tnfrsf1b;Il17ra;Ccl7;Ptpn1;Tnfrsf12a;Itgb3;Pdgfc;Csf1;Cd9;Il6st;Cd14;Jun;Cxcl10;Ccr1;Socs3;Cxcl1;Cxcl2;Pf4;Pik3r5;Il13ra1;Tgfb1;Fas;Cd38;Il6;Ltbr;Ifngr2;Il15ra;Stat3"
