"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_E2F_TARGETS",2.1027645147547e-36,1.05138225737735e-34,1.56979165706381,0.658496863007448,3.21487691305986,197,"Stmn1;Birc5;Ccnb2;Cdca3;Cdca8;Diaph3;Ncapd2;Espl1;Hmmr;Cdc20;Dlgap5;Mcm2;Tipin;Mki67;Tacc3;Mcm5;Cbx5;Ccne1;Racgap1;Rrm2;Ctcf;Orc6;Mcm4;Melk;Tubg1;Hells;Plk1;Dut;Pole;E2f8;Cenpm;Plk4;Ezh2;Brca1;Spc24;Rpa2;Ran;Top2a;Tfrc;Trip13;Cks1b;Cenpe;Ung;Kif18b;Gins1;Mad2l1;Cks2;Ube2t;Mcm6;Ctps;Chek1;Cdkn3;Dscc1;Rad51ap1;Rbbp7;Xrcc6;Mybl2;Aurkb;Rad51c;Psmc3ip;Ddx39a;Hus1;Atad2;Bard1;Brca2;Pa2g4;Smc1a;Rpa1;Kif22;Myc;Shmt1;Depdc1a;Tbrg4;Nbn;Rad1;Tk1;Pold2;Smc3;Kif4;Lig1;Eif2s1;Orc2;Kif2c;H2az1;Asf1b;Nup107;Prim2;Donson;Nme1;Mms22l;Ranbp1;Mlh1;Psip1;Smc6;Srsf2;Eed;Rpa3;Stag1;Wee1;Xpo1;Ing3;Cdk1;Rad21;Aurka"
"HALLMARK_G2M_CHECKPOINT",8.63081234423531e-27,2.15770308605883e-25,1.34223377296446,0.605742081091526,2.94458684788954,193,"Stmn1;Birc5;Ccnb2;Ccna2;Espl1;Stil;Hmmr;Cdc20;Mcm2;Mki67;Tacc3;Mcm5;Polq;Dkc1;Knl1;Racgap1;Ctcf;Orc6;Kif15;Plk1;Prc1;Pole;Bub1;Nek2;Plk4;Ezh2;Ncl;Exo1;Ube2c;Mt2;Rpa2;Top2a;Orc5;Troap;Sap30;Cks1b;Cenpe;Chaf1a;Cdc6;Cenpf;Nusap1;Ttk;Smc2;Mad2l1;Dtymk;Cks2;Mcm6;Kif23;Tpx2;Chek1;Kif11;Cdkn3;Hira;Ccnd1;Cdc45;Pbk;Mybl2;Aurkb;Ndc80;Ddx39a;Hus1;Bard1;Slc12a2;Brca2;Smc1a;Kif22;Myc;Wrn;Rasal2;Rad54l;Cdc7;Kif4;Kif2c;Hoxc10;Ewsr1;H2az1;Slc7a5;Hspa8;Prim2;Mapk14;Mtf2;Fancc;Kpnb1;Srsf2;Stag1;Prmt5;Cul1;Xpo1;Cdk1;Rad21;Aurka;E2f3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",3.73886540306835e-22,6.23144233844725e-21,1.22105375677186,-0.590050072696668,-2.67226135217406,198,"Csf2rb2;Cd274;Cfb;Ccl5;Tnfaip2;H2-D1;Itgb7;Slamf7;Helz2;Tnfaip6;Il15ra;Oas3;Lgals3bp;Jak2;Ciita;Rbck1;Tap1;Trim25;Psmb9;Oasl1;Fgl2;Il4ra;H2-Eb1;Gbp8;Stat4;Pfkp;Irf7;Nlrc5;Cd74;Cmpk2;Pim1;Cxcl9;Cdkn1a;Il2rb;Stat1;Isg15;Il18bp;Rsad2;Socs1;H2-DMa;Tapbp;Trafd1;Cd69;Batf2;Ifi44;H2-M3;Nfkb1;Cmtr1;Gbp4;Zbp1;Stat2;Adar;Bst2;Ube2l6;Nampt;Psmb8;Psmb10;Dhx58;Ly6e;Ptpn2;C1s1;Xcl1;Casp7;Ido1;Gzma;Irf8;Samhd1;Ptgs2;Ogfr;Epsti1;Plscr1;H2-Aa;H2-M2;Sectm1a;Lats2;Serping1;Arl4a;Nod1;Xaf1;Mvp;Btg1;Ifi35;Vamp8;Socs3;Pml;Usp18;Gch1;Myd88;Trim21;Pde4b;Oas2;Fpr1;Ifi30;Ifitm2;Ifit2;Nmi;Gbp3;Rtp4;C1rb"
"HALLMARK_INFLAMMATORY_RESPONSE",1.34328384243857e-14,1.67910480304821e-13,0.986546283587582,-0.524840562723591,-2.37797962593351,199,"Slc7a2;Sgms2;Ptgir;Chst2;Pdpn;Ccl5;Mefv;Ptger2;Met;Tnfrsf9;Inhba;Plaur;Abca1;P2ry2;Tnfaip6;Il15ra;Ebi3;P2rx4;Ccl17;Slc31a2;Tnfrsf1b;Kcna3;Ccr7;Tnfsf15;Il4ra;Raf1;Irf7;Axl;Cxcl9;Cdkn1a;Nod2;Mxd1;Gpr132;Il2rb;Pik3r5;Pvr;Sema4d;Adora2b;Tapbp;Acvr1b;Timp1;Il12b;Cd69;Edn1;Rasgrp1;Nfkb1;Cd14;Cybb;Bst2;Olr1;Nampt;Ly6e;Aqp9;Itga5;Irak2;Ffar2;Ccl22;Il1b;Scarf1;Il10;Slc28a2;Sell;Ahr;Hpn;Gch1;Pde4b;Mmp14;Sphk1;Fpr1;Fzd5;Tlr2;Nmi;Ldlr;Adrm1;Rtp4;Rhog;Emp3;Gnai3;Il18r1;Best1;Ccrl2;Serpine1;Ptpre;Aplnr;Cd70;Cd40;Ifitm1;Slc31a1;Lck;Ptger4"
"HALLMARK_MYC_TARGETS_V1",9.50260353368991e-13,9.50260353368991e-12,0.910119734774459,0.482294092358137,2.31830650564843,183,"Ccna2;Cdc20;Mcm2;Mcm5;Mcm4;Dut;Eif3j1;Nop16;Ran;Srm;Srsf3;Rrm1;Glo1;Cad;Mad2l1;Nhp2;Mcm6;Ctps;Tyms;Cdc45;Txnl4a;Cct3;Xrcc6;Hsp90ab1;Eif4g2;Apex1;Tomm70a;Erh;Cbx3;Pa2g4;Stard7;Aimp2;Myc;Ncbp1;Snrpa1;Eif4a1;Ptges3;Hprt;Hnrnpc;Pold2;Ywhaq;Acp1;Eif2s1;Orc2;Ruvbl2;Abce1;H2az1;Lsm2;Prdx3;Eif2s2;Kpnb1;Eif1ax;Prps2;Nme1;Ranbp1;Gnl3;Srsf2;Hnrnpa2b1;Xpot;Cul1;Xpo1;Ndufab1;Srsf7;Ube2e1;Iars;Hnrnpr;Snrpg;Dek;Mcm7;Psma4;Ap3s1;Tra2b;U2af1;Etf1;Psmc6;Psma1;Ywhae;Pgk1;Pwp1;Impdh2;Uba2;Psma7;Fam120a;Odc1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",7.13271414389157e-11,5.94392845324297e-10,0.839088935621274,-0.588275839622188,-2.4615795418877,96,"Procr;Helz2;Lgals3bp;Gbp2;Tap1;Trim25;Psmb9;Oasl1;Il4ra;Irf7;Cd74;Cmpk2;Isg15;Ncoa7;Oas1g;Rsad2;Trafd1;Oas1a;Batf2;Ifi44;Cmtr1;Mov10;Stat2;Adar;Bst2;Ube2l6;Psmb8;Dhx58;Ly6e;C1s1;Uba7;Ogfr;Epsti1;Tmem140;Plscr1;Mvb12a;Sell;Ifi35;Usp18;Trim21;Ifi30;Ifitm2;Ifit2;Nmi;Gbp3;Rtp4;Ccrl2;Cd47;Ifih1;Psme1;Ifitm1;Slc25a28;Tent5a;Nub1;B2m;Lamp3;Sp110;Rnf31;Irf1;Isg20;Trim14;Cxcl10;Csf1;Ifitm3;H2-Q7"
"HALLMARK_COMPLEMENT",1.92741572857347e-10,1.37672552040962e-09,0.826657301178302,-0.47751948336105,-2.16829995254727,192,"F10;F7;C3;Cfb;Gca;Ccl5;Plaur;Src;Pla2g7;Jak2;Cebpb;F5;Psmb9;Ctss;Kynu;Raf1;Dusp5;Irf7;Cpq;Pim1;Gnb4;Mmp8;Fcer1g;Msrb1;Ppp4c;Gpd2;Pik3r5;Ctsd;Fn1;Ehd1;Timp1;Rasgrp1;C1qc;Anxa5;Stx4a;Olr1;Dpp4;Gnai2;Grb2;Fcnb;C1s1;Cxcl3;Casp7;C2;Gzmk;Gzma;Prkcd;Gngt2;Ctsb;Cblb;Lrp1;S100a13;Plscr1;Pfn1;Atox1;Lgals3;Serping1;Mmp15;Rnf4;Rce1;Mmp14;Lipa;Klk1;Timp2;Tfpi2;Cdh13;Rhog;C1rb;Dyrk2;Gnai3;Ltf;Serpinc1;F2;Serpine1;Dgkg;Brpf3;Cr1l"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",2.54941570532306e-10,1.59338481582692e-09,0.814035837847908,-0.465812899626483,-2.1117036680501,197,"Vegfa;Trip10;Ccl5;Tnfaip2;Nfil3;Dram1;B4galt5;Relb;Tnfrsf9;Bhlhe40;Inhba;Stat5a;Plaur;Sik1;Abca1;Tnfaip6;Il15ra;Cebpb;Tap1;Plpp3;Kynu;Dusp5;Cd44;Nfkb2;Tnip1;Cdkn1a;Mxd1;Traf1;Cflar;Ehd1;Ninj1;Il12b;Cd69;Kdm6b;Edn1;Fosl2;Jag1;Nfkb1;Litaf;Slc2a6;Fut4;G0s2;Bcl3;Olr1;Gadd45a;Mcl1;Tnip2;Nampt;Cxcl3;Ptgs2;Il1b;Nr4a2;Zc3h12a;Ets2;Klf4;Phlda2;Btg1;Clcf1;Socs3;Nfat5;Gch1;Sqstm1;Ptx3;Pde4b;Nfkbie;Sphk1;Nr4a3;Ifit2;Tlr2;Ldlr;Ccrl2;Nfe2l2;Sdc4;Serpine1;Ptpre;Ifih1;Trib1;Map2k3;Ackr3;Ptger4;Klf9;Dusp2;Ier5;Nr4a1;Zfp36"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.83413744840844e-09,1.0189652491158e-08,0.788186810800237,-0.582891034359619,-2.37877669316585,86,"Csf2rb2;Il3ra;Cxcl13;Il12rb1;Il15ra;Il2rg;Ebi3;Crlf2;Tnfrsf1b;Csf2ra;Il4ra;Itga4;Cd44;Pim1;Cxcl9;Tgfb1;Stat1;Pik3r5;Socs1;Acvr1b;Acvrl1;Cd14;Stat2;Grb2;Ptpn2;Cxcl3;Il2ra;Ltb;Tnfrsf12a;Il1b;Cbl;Dntt;Socs3;Myd88;Il17ra;Tlr2;Il18r1;Bak1;Il1r2"
"HALLMARK_ALLOGRAFT_REJECTION",8.56012309379682e-09,4.28006154689841e-08,0.747739663149885,-0.453307471509412,-2.05846541872465,191,"Nos2;Ccl5;Fgr;Ly75;Cxcl13;Inhba;Il12rb1;Il2rg;Jak2;Gbp2;Itgal;Tap1;Il4ra;Ctss;Stat4;Irf7;Cd74;Cd8b1;Cxcl9;Ikbkb;Tgfb1;Itgb2;H2-DMb1;Il2rb;Stat1;Srgn;Map4k1;Cfp;Socs1;H2-DMa;Tapbp;Timp1;Fcgr2b;Il12b;Tap2;H2-M3;Npm1;H2-T23;Bcl3;Traf2;Psmb10;Ifng;C2;Il2ra;Gzma;Irf8;Ltb;Ccl22;H2-Aa;Il1b;H2-Ob;Il10;Trat1;Ncr1;Cd3e;Il12a;Tpd52;Cd247;Ccr2;Dyrk3;Cd8a;Capg;Ccnd2;Cd2;H2-Oa;Cd7;Elf4;Tlr2;Gpr65;Akt1;Cd47;Sit1;F2;Itk;Il2;Cd40;Lck;Ccl19"
