compartment	sample	sample_number	condition	n_cells	kdm6b_raw_umis	kdm6b_deseq2_normalized_count	log2_kdm6b_deseq2_normalized_count
All cells	41BB-L_pos_T_D1	D1	41BB-L	13931	25879	52776.89576032504	15.687646211519791
All cells	41BB-L_pos_T_D2	D2	41BB-L	13404	48111	62379.37757129141	15.928804664524758
All cells	B7H3_pos_T_D1	D1	B7H3	17633	16321	37963.830120330436	15.212375932165267
All cells	B7H3_pos_T_D2	D2	B7H3	17000	71694	62236.67267989207	15.925500492637775
All cells	CD28-41BB_pos_T_D1	D1	CD28-41BB	20203	29504	25922.212912705367	14.661956915903517
All cells	CD28-41BB_pos_T_D2	D2	CD28-41BB	21930	43226	23543.61441871412	14.523109475906834
All cells	CD8-41BB_pos_T_D1	D1	CD8-41BB	25585	55000	35646.44929349647	15.121511229759282
All cells	CD8-41BB_pos_T_D2	D2	CD8-41BB	6361	22641	30785.805366315955	14.910024551534695
All cells	STOP_pos_T_D1	D1	STOP	16912	9213	13758.040914925306	13.748092288869637
All cells	STOP_pos_T_D2	D2	STOP	17449	58448	39282.10244679249	15.261621252884652
All cells	Tumor_only_D1	D1	tumor	12017	9932	12550.950389401998	13.615623934840535
All cells	Tumor_only_D2	D2	tumor	24620	40744	11419.171104007006	13.479296645753983
T cells	41BB-L_pos_T_D1	D1	41BB-L	395	614	1349.5397157362413	10.399320350908987
T cells	41BB-L_pos_T_D2	D2	41BB-L	801	2352	1859.8736106024053	10.861764356421727
T cells	B7H3_pos_T_D1	D1	B7H3	1047	838	1194.300628685013	10.223157799074638
T cells	B7H3_pos_T_D2	D2	B7H3	1308	4306	1354.1735967605653	10.404261956273592
T cells	CD28-41BB_pos_T_D1	D1	CD28-41BB	246	190	452.4675003432471	8.824855347422087
T cells	CD28-41BB_pos_T_D2	D2	CD28-41BB	552	1083	664.8647846128603	9.379085432576106
T cells	CD8-41BB_pos_T_D1	D1	CD8-41BB	2386	2177	394.8887267457291	8.628951175810094
T cells	CD8-41BB_pos_T_D2	D2	CD8-41BB	685	2266	996.7129931692808	9.96248105255031
T cells	STOP_pos_T_D1	D1	STOP	399	325	730.554430657155	9.51482140057419
T cells	STOP_pos_T_D2	D2	STOP	691	2321	1318.4409503735735	10.365711071090214
T cells	Tumor_only_D1	D1	tumor	232	171	533.9917455213897	9.063372821873132
T cells	Tumor_only_D2	D2	tumor	145	365	777.6879783275837	9.604901543355915
Myeloid cells	41BB-L_pos_T_D1	D1	41BB-L	8940	22373	34458.907481268805	15.072631207737562
Myeloid cells	41BB-L_pos_T_D2	D2	41BB-L	8178	32725	37065.30888287156	15.177820836181803
Myeloid cells	B7H3_pos_T_D1	D1	B7H3	11229	12737	22230.625040920408	14.440325786879292
Myeloid cells	B7H3_pos_T_D2	D2	B7H3	9565	48974	35725.861543852654	15.124721564281764
Myeloid cells	CD28-41BB_pos_T_D1	D1	CD28-41BB	12931	26503	16000.216090291011	13.965893933459684
Myeloid cells	CD28-41BB_pos_T_D2	D2	CD28-41BB	9141	35114	19036.676578282404	14.216569797610981
Myeloid cells	CD8-41BB_pos_T_D1	D1	CD8-41BB	14636	40639	20665.245394928348	14.334988685964474
Myeloid cells	CD8-41BB_pos_T_D2	D2	CD8-41BB	2594	12561	18830.932501245377	14.200893434037324
Myeloid cells	STOP_pos_T_D1	D1	STOP	7000	7968	14158.666827125235	13.789499699171694
Myeloid cells	STOP_pos_T_D2	D2	STOP	8089	43654	28640.868656969225	14.805837999742314
Myeloid cells	Tumor_only_D1	D1	tumor	5731	7881	15287.75465401116	13.900183276264283
Myeloid cells	Tumor_only_D2	D2	tumor	5797	24807	14333.940498216867	13.807248295770327
