program	gene	n_samples	spearman_rho	p_value	adjusted_p_value
Antigen presentation	Tap1	12	0.7342657342657344	0.006543490146837873	0.06441245844344323
Antigen presentation	Tapbp	12	0.7132867132867134	0.009201779777634747	0.06441245844344323
Antigen presentation	H2-Eb1	12	0.6783216783216784	0.0153173290532817	0.06441937962944427
Antigen presentation	H2-Ab1	12	0.6223776223776225	0.030675895061640132	0.06441937962944427
Antigen presentation	Cd74	12	0.6083916083916084	0.03580599705202927	0.06835690346296497
Antigen presentation	Psmb8	12	0.5454545454545455	0.06661188226688897	0.11657079396705569
Antigen presentation	B2m	12	0.05594405594405595	0.8628980736949712	0.8628980736949712
Inflammatory activation	Irf7	12	0.6573426573426574	0.020185498509854086	0.06441937962944427
Inflammatory activation	Stat1	12	0.6293706293706295	0.02831967129575999	0.06441937962944427
Inflammatory activation	Cxcl10	12	0.6223776223776225	0.030675895061640132	0.06441937962944427
Inflammatory activation	Tnf	12	0.6223776223776225	0.030675895061640132	0.06441937962944427
Inflammatory activation	Il12b	12	0.4265734265734267	0.1666999876249451	0.24432661138208323
Inflammatory activation	Cxcl9	12	0.4195804195804196	0.17451900813005947	0.24432661138208323
Inflammatory activation	Irf1	12	0.2027972027972028	0.5273023541661082	0.5536674718744136
Inflammatory activation	Ifngr1	12	-0.3846153846153847	0.2170202257599775	0.2848390463099705
T-cell recruitment	Xcl1	12	0.8943883753090783	8.645510447269449e-5	0.0018155571939265844
T-cell recruitment	Ccr7	12	0.6363636363636365	0.026096891052703096	0.06441937962944427
T-cell recruitment	Cxcl10	12	0.6223776223776225	0.030675895061640132	0.06441937962944427
T-cell recruitment	Xcr1	12	0.5314685314685316	0.07536233505348364	0.12173915662485818
T-cell recruitment	Cxcl9	12	0.4195804195804196	0.17451900813005947	0.24432661138208323
T-cell recruitment	Ccl19	12	0.3190500648772965	0.3121040651249244	0.3641214093124118
T-cell recruitment	Ccl5	12	0.27272727272727276	0.39109677094189643	0.43226485209367504
T-cell recruitment	Ccl21a	12	-0.34805461622977796	0.2675756659285516	0.3305346461470343
