program	gene	sample	condition	n_cells	kdm6b_mean_expression	gene_mean_expression
Antigen presentation	B2m	41BB-L_pos_T_D1	41BB-L	8940	1.7228531184709492	0.890872064873464
Antigen presentation	B2m	41BB-L_pos_T_D2	41BB-L	8178	1.9897778601069125	1.3528328771464089
Antigen presentation	B2m	B7H3_pos_T_D1	B7H3	11229	1.3668540058535363	1.2135448342126163
Antigen presentation	B2m	B7H3_pos_T_D2	B7H3	9565	1.8843309830605925	1.965718121608979
Antigen presentation	B2m	CD28-41BB_pos_T_D1	CD28-41BB	12931	1.2187367854890294	1.723065813471969
Antigen presentation	B2m	CD28-41BB_pos_T_D2	CD28-41BB	9141	1.2316882867886427	2.002651812211812
Antigen presentation	B2m	CD8-41BB_pos_T_D1	CD8-41BB	14636	1.4749633933967645	1.9748908101968647
Antigen presentation	B2m	CD8-41BB_pos_T_D2	CD8-41BB	2594	1.4381602034214578	2.6103748410892096
Antigen presentation	B2m	STOP_pos_T_D1	STOP	7000	1.1375980270112562	1.2428126330246327
Antigen presentation	B2m	STOP_pos_T_D2	STOP	8089	1.7574555913969632	1.959575671328966
Antigen presentation	B2m	Tumor_only_D1	tumor	5731	1.2916333711289156	1.6478690240544687
Antigen presentation	B2m	Tumor_only_D2	tumor	5797	1.3631584157869483	1.8055289401374783
Antigen presentation	Cd74	41BB-L_pos_T_D1	41BB-L	8940	1.7228531184709492	0.7666256094714854
Antigen presentation	Cd74	41BB-L_pos_T_D2	41BB-L	8178	1.9897778601069125	2.5571231825308005
Antigen presentation	Cd74	B7H3_pos_T_D1	B7H3	11229	1.3668540058535363	2.7110536699719194
Antigen presentation	Cd74	B7H3_pos_T_D2	B7H3	9565	1.8843309830605925	2.934325390184584
Antigen presentation	Cd74	CD28-41BB_pos_T_D1	CD28-41BB	12931	1.2187367854890294	0.4399224630034624
Antigen presentation	Cd74	CD28-41BB_pos_T_D2	CD28-41BB	9141	1.2316882867886427	1.021629412781756
Antigen presentation	Cd74	CD8-41BB_pos_T_D1	CD8-41BB	14636	1.4749633933967645	1.795451672282182
Antigen presentation	Cd74	CD8-41BB_pos_T_D2	CD8-41BB	2594	1.4381602034214578	2.8426237946811943
Antigen presentation	Cd74	STOP_pos_T_D1	STOP	7000	1.1375980270112562	0.8368699354420043
Antigen presentation	Cd74	STOP_pos_T_D2	STOP	8089	1.7574555913969632	1.1446202502911926
Antigen presentation	Cd74	Tumor_only_D1	tumor	5731	1.2916333711289156	0.6734085816042462
Antigen presentation	Cd74	Tumor_only_D2	tumor	5797	1.3631584157869483	0.5196391428351773
Antigen presentation	H2-Ab1	41BB-L_pos_T_D1	41BB-L	8940	1.7228531184709492	0.4567163993488061
Antigen presentation	H2-Ab1	41BB-L_pos_T_D2	41BB-L	8178	1.9897778601069125	1.798524559362997
Antigen presentation	H2-Ab1	B7H3_pos_T_D1	B7H3	11229	1.3668540058535363	1.7428428302763954
Antigen presentation	H2-Ab1	B7H3_pos_T_D2	B7H3	9565	1.8843309830605925	1.9777203225156172
Antigen presentation	H2-Ab1	CD28-41BB_pos_T_D1	CD28-41BB	12931	1.2187367854890294	0.30715825932152546
