subcluster	subtype	kdm6b_rank	kdm6b_group	comparison	comparison_condition	sccomp_reference_condition	effect_41bbl_vs_condition	lower_41bbl_vs_condition	upper_41bbl_vs_condition	c_pH0	c_FDR	significant_direction	status_in_41bbl	c_rhat	c_ess_bulk	c_ess_tail
4	Inflammatory activated microglia	1	Kdm6b-high	41BB-L vs B7H3	B7H3	41BB-L	0.27658459415887476	-0.03199748654750001	0.575004439375	0.126	0.044270833333333336	Enriched in 41BB-L	Enriched in 41BB-L	1.0001716072880396	3923.9338430331263	3600.653030756659
4	Inflammatory activated microglia	1	Kdm6b-high	41BB-L vs CD28-41BB	CD28-41BB	41BB-L	-0.1226432429078811	-0.413825178075	0.16237018755000002	0.43799999999999994	0.17022916666666665	Not significantly different	Not significantly different	1.0003252557481968	3229.902112283049	3674.527122675281
4	Inflammatory activated microglia	1	Kdm6b-high	41BB-L vs CD8-41BB	CD8-41BB	41BB-L	0.03512039316455781	-0.26040277705	0.32410801824999996	0.66525	0.1940625	Not significantly different	Not significantly different	1.000049806332268	3780.6603208369	3811.899558950228
4	Inflammatory activated microglia	1	Kdm6b-high	41BB-L vs STOP	STOP	41BB-L	-0.08892764124452805	-0.3829881674750001	0.21080864267500002	0.52825	0.18084375	Not significantly different	Not significantly different	1.000445550374032	2820.5307597435362	3246.3246450879874
4	Inflammatory activated microglia	1	Kdm6b-high	41BB-L vs tumor	tumor	41BB-L	-0.09009072658873213	-0.384740307825	0.21923031335	0.5215000000000001	0.095828125	Not significantly different	Not significantly different	1.0006034873787002	3463.048861485055	3629.6941022084393
10	Perivascular macrophages (chemokine-producing)	2	Kdm6b-high	41BB-L vs B7H3	B7H3	41BB-L	0.39900267548964674	0.05150659202499993	0.72214483575	0.042749999999999955	0.023749999999999993	Enriched in 41BB-L	Enriched in 41BB-L	1.0004485793758715	1123.9153013002779	2988.06596092513
10	Perivascular macrophages (chemokine-producing)	2	Kdm6b-high	41BB-L vs CD28-41BB	CD28-41BB	41BB-L	-0.14329906356977054	-0.451752291275	0.17267580600000002	0.39049999999999996	0.14588636363636365	Not significantly different	Not significantly different	1.001156591838452	1782.7449869644697	3767.1498449837613
10	Perivascular macrophages (chemokine-producing)	2	Kdm6b-high	41BB-L vs CD8-41BB	CD8-41BB	41BB-L	-0.07799639947117246	-0.3934373262000002	0.2428919365	0.5495	0.16265000000000002	Not significantly different	Not significantly different	0.9997869561838006	2845.2535357507645	3644.5959590538987
10	Perivascular macrophages (chemokine-producing)	2	Kdm6b-high	41BB-L vs STOP	STOP	41BB-L	-0.2772651940217848	-0.5842100224000001	0.035870310002499996	0.123	0.048527777777777774	Enriched in STOP	Depleted in 41BB-L	1.0000940635989168	2516.51941504634	2477.6585737867726
10	Perivascular macrophages (chemokine-producing)	2	Kdm6b-high	41BB-L vs tumor	tumor	41BB-L	-0.862313816505	-1.1530673657500001	-0.5734518217	0	0	Enriched in tumor	Depleted in 41BB-L	0.9999963615799129	1691.6564787248878	3919.1688480814196
0	Early activated microglia	3	Kdm6b-high	41BB-L vs B7H3	B7H3	41BB-L	0.3666795698327375	0.05940712965499995	0.67489125755	0.04225000000000001	0.021035714285714286	Enriched in 41BB-L	Enriched in 41BB-L	1.0029127126774129	2431.010026485096	3309.70066207054
