pathway	pval	padj	log2err	ES	NES	size	leadingEdge	direction
HALLMARK_TNFA_SIGNALING_VIA_NFKB	9.932399102837223e-38	4.966199551418612e-36	1.5959566534683016	0.7571977791029818	2.7961426747043223	191	Egr3;Csf1;Rela;Cd83;Icam1;Klf10;Birc3;Dusp2;Cxcl10;Nr4a3;Kdm6b;Relb;Maff;Ptger4;Rel;Tnf;Slc2a6;Ier2;Cd80;Nfkbia;Nr4a1;Nfkbie;Ccl4;Nfkb2;Egr1;Phlda1;Ccnl1;Per1;Nfat5;Cflar;Trib1;Tnfaip3;Pfkfb3;Gem;Ppp1r15a;Rcan1;Map3k8;Dusp5;Il1b;Edn1;Gadd45b;Tnip2;Fosl1;Il1a;Tlr2;Bcl3;Ehd1;Mxd1;Il12b;Zfp36;Bcl6;Tank;Zc3h12a;Map2k3;Junb;F3;Traf1;Socs3;Rnf19b;Nr4a2;Eif1;Tgif1;Nfkb1;Tnfsf9;Plek;Sdc4;Ifih1;Atf3;Id2;Btg3;Smad3;Dusp4;Pnrc1;Yrdc;Dennd5a;Sphk1;Btg1;Ccrl2;Hbegf;Pde4b;Cdkn1a;Irf1;Ier3;Cd69;Areg;Ldlr;Ripk2;Plau;Zbtb10;Sqstm1;Stat5a;Slc16a6;Clcf1;Birc2;Icosl;Dnajb4;Pdlim5;Gch1;Ier5;Ccl5;Spsb1;Ets2;Fosl2;Ccl2;Klf6;Tubb2a;Nfe2l2;B4galt1;Fjx1;Fosb;Cxcl3;Ccnd1;Tnip1	Enriched in Kdm6b-high
HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.9420861481082638e-15	7.35521537027066e-14	1.0073179568744748	-0.5635861841753204	-2.4228495865484723	183	Idh1;Acaa2;Ndufa1;Sdhd;Sdhc;Echs1;Ech1;Ndufa3;Mtx2;Idh2;Ndufs7;Sdhb;Ndufa8;Ndufb7;Ndufc2;Atp5j2;Nqo2;Eci1;Cyb5a;Retsat;Ndufb4;Ndufc1;Ndufs3;Idh3b;Uqcr10;Ndufb6;Cox5a;Ogdh;Ndufab1;Decr1;Cox5b;Ndufb8;Ndufv2;Ndufa7;Ndufb5;Polr2f;Atp5e;Nnt;Cox15;Ndufs1;Dlat;Ndufa2;Etfb;Uqcrc1;Acadsb;Sdha;Atp6ap1;Abcb7;Prdx3;Uqcr11;Ndufb1;Timm10;Timm13;Hsd17b10;Atp5l;Cox10;Timm50;Uqcrb;Casp7;Cox7c;Aldh6a1;Vdac1;Opa1;Ndufs2;Etfdh;Mtrf1;Atp5k;Sucla2;Slc25a11;Atp6v1g1;Cpt1a;Atp6v1e1;Ndufb2;Atp5pb;Cox7b;Cox6c;Phyh;Tomm22;Timm8b;Pdhx;Immt;Cox6b1;Ldha;Surf1;Aifm1;Acadm;Cyc1;Glud1;Ndufa4;Atp6v0e;Cox7a2;Cyb5r3	Enriched in Kdm6b-low
HALLMARK_INFLAMMATORY_RESPONSE	3.3104243398469723e-11	5.517373899744954e-10	0.851339057116899	0.5683765248452245	2.0890540849478945	179	Csf1;Rela;Icam1;Ccl17;Cxcl10;Ptger4;Nfkbia;Gpr132;Nlrp3;Ccr7;Icam4;Ccl22;Il1b;Edn1;Il1a;Tlr2;Mxd1;Cd40;C5ar1;Ifitm1;Il12b;Tpbg;Slc11a2;F3;Nfkb1;Tnfsf9;Sell;Slamf1;Sema4d;Lcp2;Pvr;Il4ra;Sphk1;Ccrl2;Hbegf;Osm;Pde4b;Cdkn1a;Irf1;Hpn;Cd69;Ldlr;Ripk2;Ffar2;Fzd5;Dcbld2;Nod2;Ahr;Cd82;Slc7a1;Itga5;Icosl;Ccl7;Il18rap;Ifnar1;Gch1;Irak2;Rasgrp1;Ccl5;Hif1a;Ccl2;Klf6;P2ry2;Kcnj2;Cxcl9;Lyn;Il10ra;Adora2b;Cd14;Ptafr;Cd70	Enriched in Kdm6b-high
HALLMARK_ADIPOGENESIS	3.4157783964938828e-9	3.7432397195814454e-8	0.7749390301364363	-0.47148196214181576	-2.0299919079906585	181	Idh1;Slc27a1;Acaa2;Hadh;Cat;Fabp4;Apoe;Aldh2;Gpx3;Sdhc;Lpl;Echs1;Tst;Ech1;Dnajc15;Sdhb;Reep5;Coq9;Pqlc3;Ndufb7;Stom;Mtarc2;Gadd45a;Plin2;Angptl4;Retsat;Cpt2;Jagn1;Ndufs3;Rtn3;Itsn1;Uqcr10;Esyt1;Dhrs7;Qdpr;Dram2;Ndufab1;Gpam;Decr1;Cd302;Hibch;Coq3;G3bp2;Tkt;Sqor;Cd151;Scp2;Dhcr7;Samm50;Dlat;Etfb;Mgll;Uqcrc1;Pparg;Prdx3;Uqcr11;Ifngr1;Cdkn2c;Dbt;Cd36;Scarb1;Ddt;Taldo1;Ak2;Orm1;Mccc1;Lifr;Crat;Araf;Cox7b;Phyh;Gbe1;Abcb8;Immt;Acads;Miga2;Vegfb;Aifm1;Acadm;Sult1a1;Cyc1;Pex14;Pfkl;C3;Cmpk1;Aplp2;Ccng2;Dhrs7b;Nkiras1;Ptger3;Aldoa;Tob1	Enriched in Kdm6b-low
HALLMARK_ALLOGRAFT_REJECTION	3.743239719581446e-9	3.7432397195814454e-8	0.7614608014455848	0.5367225887329194	1.9686565885029013	178	Csf1;Icam1;Tnf;Cd80;Ccl4;Nlrp3;Cd86;Cd7;H2-Oa;Ccl22;Il1b;H2-Q7;Jak2;Klrd1;Tlr2;Bcl3;Cd40;Il12b;Ptprc;Ccnd2;Bcl10;Ccr2;Stat4;Il2ra;Ache;Eif3j1;H2-Ob;Aars;Lcp2;Il4ra;Irf4;Fas;Ripk2;Ltb;H2-Aa;Icosl;H2-DMa;Spi1;Ccl7;Il18rap;Cd74;Ccl5;Srgn;Hif1a;Ccl2;Ccnd3;Cxcl9;Lyn;Elf4;H2-DMb1;Traf2;Gbp2;Ube2n;Map3k7;F2r;Ccr1;Tap1;Il6;Map4k1;Socs1;Itk;Ly86;Hcls1;Irf8;Rars;Fyb;Ifngr2;Abi1;Npm1;Eif3a;Ikbkb;Tap2;Eif4g3;Lif;Cd8a;Tpd52;Il10;Prkcb;Ets1;Eif5a;Tgfb1;Gpr65;Lck;Dyrk3;Abce1;Prkcg;Cd2	Enriched in Kdm6b-high
HALLMARK_INTERFERON_GAMMA_RESPONSE	3.2402352073644334e-8	2.700196006137028e-7	0.7195128263389107	0.5087124669125955	1.8785483491162782	191	Icam1;Cxcl10;Nfkbia;Cd86;Irf5;Tnfaip3;Stat3;H2-Q7;Jak2;Casp4;Cd40;Klrk1;H2-Eb1;Socs3;Ciita;Stat4;Nfkb1;Peli1;Ifih1;Lcp2;Il4ra;Isg20;Irf4;Btg1;Isg15;Pde4b;Cdkn1a;Irf1;Cd69;Fas;Ripk2;Plscr1;H2-Aa;Ifi30;Helz2;Oasl1;Myd88;Arid5b;Pfkp;H2-DMa;Ccl7;Rapgef6;Psma3;Gch1;Cd74;Gpr18;Pim1;Ptpn2;Ccl5;Hif1a;Ccl2;Nlrc5;Ptpn1;Cxcl9;Parp14;Il10ra;Ncoa3;Cmtr1;Ptgs2;Mt2;Ifitm2;Ifi35;Tap1;Rnf31;Vcam1;Il6;Ogfr;Ripk1;Socs1;St3gal5;Irf8;Cd274;Mvp;Itgb7;Ifitm3;Ifit1bl1;Rnf213;Gbp4;Mthfd2;Lats2;Il15ra;Ifi44;Tdrd7;Psme1	Enriched in Kdm6b-high
HALLMARK_G2M_CHECKPOINT	4.854482405612031e-7	3.4674874325800223e-6	0.6594443980379349	0.49124623235376474	1.812488826692579	192	Hnrnpu;Syncrip;Cks2;Lmnb1;Slc38a1;Bcl3;Nup98;Srsf2;G3bp1;Srsf10;Odc1;Hnrnpd;Tra2b;Tle3;Foxn3;Cdc27;Ncl;Smad3;Katna1;Pafah1b1;Ythdc1;Ccnt1;Plk4;Uck2;Smc1a;Top1;Ilf3;Sap30;Ccnf;Slc7a5;Slc7a1;Xpo1;Nolc1;Pola2;Hif1a;Fancc;Notch2;Sfpq;Ccnd1;Chek1;Cul3;Mki67;Mt2;Nup50;Ezh2;Snrpd1;Lbr;Ss18;H2az1;Nasp;Stag1;Ube2s;Cks1b;Slc12a2;Atrx;Efna5;Lig3;Mcm2	Enriched in Kdm6b-high
HALLMARK_IL2_STAT5_SIGNALING	1.5158188938514337e-6	9.47386808657146e-6	0.6435518361507222	0.4818046227366245	1.774360084978725	189	Csf1;Cd83;Nfkbiz;Cxcl10;Maff;Batf;Phlda1;Cd86;Swap70;Map3k8;Gadd45b;Mxd1;Mapkapk2;Odc1;Il1r2;Traf1;Syngr2;Ccnd2;Socs2;Hk2;Il2ra;Sell;Cyfip1;Dennd5a;Il4ra;Uck2;Myo1c;Irf4;Plscr1;Ltb;Tiam1;Pou2f1;Ahr;Bcl2l1;Batf3;Bcl2;Tnfrsf18;Rhoh;Pus1;Huwe1;Pim1;Slc1a5;Ccnd3;Klf6;Ttc39b;Phtf2;Glipr2;Il10ra;Itgae;Ncoa3;Rabgap1l;Cst7;Tnfrsf4;Lrrc8c;Cd81;Adam19;Cish;Tnfrsf9;Tlr7;Xbp1;Tnfrsf8;Socs1;Muc1;Slc2a3;Csf2;Irf8;Rragd;Furin;Itgav;Plpp1	Enriched in Kdm6b-high
HALLMARK_IL6_JAK_STAT3_SIGNALING	3.833352846049532e-6	2.1296404700275174e-5	0.610526878385931	0.5846762215346455	1.9384043107259186	81	Csf1;Cxcl10;Tnf;Stat3;Map3k8;Il1b;Tlr2;Il1r2;Tnfrsf12a;Socs3;Il2ra;Il4ra;Irf1;Fas;Ltb;Il17ra;Myd88;Ccl7;Ifnar1;Pim1;Ptpn2;Ptpn1;Cxcl9;Cxcl3;Cd14;Ccr1;Cxcl2;Il6;Ptpn11;Socs1;Csf2;Itgb3;Ifngr2;Pik3r5;Grb2;Il15ra;Il1r1;Stat2;Tgfb1;Cxcl1	Enriched in Kdm6b-high
HALLMARK_FATTY_ACID_METABOLISM	5.722236796987391e-6	2.8611183984936953e-5	0.610526878385931	-0.4499848013741113	-1.8411650020714416	131	Idh1;Acaa2;Sdhd;Hadh;Hsph1;Sdhc;Echs1;Ech1;Blvra;Ugdh;Mcee;Eci1;Retsat;Cpt2;Pts;Idh3b;Hsp90aa1;Alad;Bphl;Decr1;Hsd17b11;Gcdh;Hibch;Urod;Ostc;Hpgd;Cpox;Mgll;Acot2;Sdha;Gstz1;Nthl1;Auh;Ephx1;Hsd17b10;Mlycd;Cd36;Eci2;Aldh9a1;Etfdh;Sucla2;Acsl1;Cpt1a;Crat;Maoa;D2hgdh;Erp29;Aldh3a2;Acads;Ldha;Hmgcl;Nsdhl;Acadm;Grhpr	Enriched in Kdm6b-low
HALLMARK_MITOTIC_SPINDLE	6.519229112782905e-6	2.963285960355866e-5	0.610526878385931	0.4699719281421299	1.741630564589971	197	Plekhg2;Sun2;Lmnb1;Mapre1;Stk38l;Dst;Wasl;Rhof;Mid1;Cdc27;Katna1;Pafah1b1;Prex1;Akap13;Smc1a;Epb41l2;Ppp4r2;Kptn;Tiam1;Arf6;Flnb;Clip1;Net1;Dock2;Pdlim5;Cyth2;Clip2;Dock4;Rapgef6;Cdc42ep2;Lats1;Ophn1;Epb41;Notch2;Wasf2;Rapgef5;Ccdc88a;Rock1;Arhgdia;Pcgf5;Arhgef2;Nf1;Ywhae;Ezr;Bcl2l11;Cd2ap;Rictor;Trio;Rasa2;Bin1;Csnk1d;Fscn1;Synpo;Arhgef7;Hdac6;Abi1;Pxn;Cntrl;Hook3;Clasp1;Myo1e;Myh10;Myh9;Map1s;Arl8a;Dlg1;Marcks;Sptan1;Vcl;Dync1h1;Tsc1;Ssh2;Racgap1;Stau1;Arhgap5;Als2	Enriched in Kdm6b-high
HALLMARK_TGF_BETA_SIGNALING	2.9126554557886535e-5	1.2136064399119391e-4	0.5756102610711286	0.6224685056647706	1.912925389840825	52	Skil;Klf10;Ppp1r15a;Slc20a1;Junb;Tgif1;Smad7;Id2;Smad3;Cdh1;Ncor2;Arid4b;Id3;Smurf1;Ski;Hdac1;Map3k7;Acvr1;Ube2d3;Tgfbr1;Tjp1;Furin;Ifngr2;Pmepa1;Smad1;Rab31;Bmp2;Bmpr1a;Smurf2;Bmpr2;Tgfb1;Ppm1a	Enriched in Kdm6b-high
HALLMARK_GLYCOLYSIS	6.809788089938699e-5	2.619149265361038e-4	0.5384340963099162	-0.382710808991276	-1.6222491449882144	171	Idh1;Txn1;Xylt2;Galk2;Vegfa;Sdhc;Pgam1;Sdc1;Sdc3;Akr1a1;Ndufv3;Agl;G6pdx;Pygl;Angptl4;Cyb5a;Polr3k;Ext2;Aldh7a1;Chst12;B3gnt3;Gpc1;Pygb;B3gat3;Gmppa;Fam162a;Galk1;Ugp2;Pmm2;Mpi;Pgk1;Gusb;B4galt7;Cxcr4;Met;Hs2st1;Alg1;Gfus;B3galt6;Gys1;Plod1;Aldh9a1;Taldo1;Pam;Tpi1;Pkm;Gne;Nanp;Cln6;Ero1a;Ang;Chpf2;Ankzf1;Gnpda1;Rpe;Ldha;Srd5a3;P4ha1;Nsdhl;Lhpp;Pgls;Cog2	Enriched in Kdm6b-low
HALLMARK_XENOBIOTIC_METABOLISM	1.9234824826195853e-4	6.869580295069948e-4	0.5188480777437918	-0.38435289161874703	-1.6033332879123148	152	Idh1;Cat;Apoe;Aldh2;Dhrs1;Abcc3;Arg1;F10;Cdo1;Blvrb;Ech1;Arg2;Xdh;Ptgr1;Comt;Ugdh;Nfs1;Igf1;Abcd2;Cyb5a;Retsat;Pts;Adh5;Gstm4;Dhrs7;Bphl;Gsr;Papss2;Crot;Pgd;Psmb10;Dcxr;Hprt;Acp2;Cfb;Sar1b;Gsto1;Ephx1;Igfbp4;Tmem97;Cd36;Acp1;Aldh9a1;Ddt;Pgrmc1;Etfdh	Enriched in Kdm6b-low
HALLMARK_UV_RESPONSE_DN	2.3819776504836022e-4	7.939925501612008e-4	0.5188480777437918	0.45974725628043966	1.616113512258033	122	Insig1;Dyrk1a;Pmp22;Runx1;Nr1d2;F3;Nfkb1;Smad7;Smad3;Ythdc1;Ldlr;Fyn;Kit;Slc7a1;Pdlim5;Rbpms;Prdm2;Cdk13;Mt1;Cdon;Notch2;Vav2;Nipbl;Adora2b;Dusp1;Phf3;Kcnma1;Togaram1;Ptprm;Spop;Tjp1;Scaf8;Rasa2;Nek7;Akt3;Itgb3;Sipa1l1;Atrx;Sfmbt1;Atp2b4;Myc;Wdr37;Atp2b1;Bhlhe40;Bmpr1a;Abcc1;Dlg1;Atp2c1	Enriched in Kdm6b-high
HALLMARK_HYPOXIA	3.156662770020451e-4	9.86457115631391e-4	0.49849310876659025	0.4387583212371625	1.5937523710637482	166	Maff;Klf7;Pdgfb;Tnfaip3;Pfkfb3;Ppp1r15a;Rbpj;Tpbg;Zfp36;F3;Plac8;Siah2;Hk2;S100a4;Hdlbp;Wsb1;Sdc4;Atf3;Hspa5;Errfi1;Pnrc1;Isg20;Btg1;Cdkn1a;Ier3;Sap30;Ext1;Gcnt2;Pfkp;Kdm3a;Ddit3;Bcl2;Pim1;Mt1;Fosl2;Klf6;Adora2b;Glrx;Dusp1;Mt2;Pgf;Lox;Noct;Tiparp;Slc2a1;Il6	Enriched in Kdm6b-high
HALLMARK_APOPTOSIS	3.8839926748786686e-4	0.0011423507867290203	0.49849310876659025	0.45023151941793327	1.6034908852448526	141	Egr3;Rela;Birc3;Tnf;Cflar;Slc20a1;Il1b;Gadd45b;Casp4;Il1a;Tnfrsf12a;Ccnd2;Bcl10;Etf1;Pmaip1;Atf3;Smad7;Btg3;Isg20;Cdkn1a;Irf1;Ier3;Cd69;Fas;Bcl2l1;Sqstm1;Sod1;Ddit3;Ifnb1;Gch1;Bik;H1f0;Satb1;Ccnd1;Lmna;Ank;Cd14;Rock1;F2r;Mcl1;Pak1;Tap1;Bcl2l11;Pea15a;Sc5d;Il6;Crebbp;Rara;Wee1	Enriched in Kdm6b-high
