gene	n_samples	median_high_expression	median_low_expression	median_paired_difference	p_value	adjusted_p_value
B2m	12	1.2962425563125555	1.5676394570309486	-0.18612681150880256	0.03763288352014077	0.05268603692819707
Ccl19	12	0	0	0	0.7892680261342813	0.7892680261342813
Ccl21a	12	0	0	0	0.2945073936801101	0.325508171962227
Ccl5	12	0.05220913026882193	0.006495596080845859	0.05220913026882193	0.00419259258389319	0.008004040387432455
Ccr7	12	0.03236884997285872	0	0.03236884997285872	0.0025261742685021692	0.007578522805506508
Cd74	12	0.674395477740795	0.4161677591215077	0.18649511568156835	0.04545875234381971	0.059664612451263366
Cxcl10	12	0.2757353025801849	0.06767455544475948	0.21802576096759332	0.0025261742685021692	0.007578522805506508
Cxcl9	12	0.01785652475897867	0.005383332039262638	0.017114648788159766	0.0025261742685021692	0.007578522805506508
H2-Ab1	12	0.4085543239170071	0.19945267941019262	0.19818874073662085	0.02065837724123902	0.03098756586185853
H2-Eb1	12	0.3302589426294009	0.12130407186786486	0.1718988294041417	0.0025261742685021692	0.007578522805506508
Ifngr1	12	0.7823014595163948	1.2996594410357336	-0.41420837079621153	0.0032637169016702335	0.008004040387432455
Il12b	12	0.022213424408312615	6.426511546582007e-4	0.022213424408312615	0.0025261742685021692	0.007578522805506508
Irf1	12	0.19546055322511502	0.08672563310822948	0.0926265037268284	0.0025261742685021692	0.007578522805506508
Irf7	12	0.09414132885640705	0.10638689124021208	-0.013779621745488684	0.22401538408861227	0.2613512814367143
Psmb8	12	0.5223089524958301	0.577559271647293	-0.07006652227510829	0.00419259258389319	0.008004040387432455
Stat1	12	0.08948457769481848	0.09992075643824189	-0.030623331461247363	0.006801651812875442	0.011902890672532024
Tap1	12	0.28284139616020787	0.264048044059761	0.035009774127213046	0.02065837724123902	0.03098756586185853
Tapbp	12	0.9678136587247047	1.1052402340822058	-0.023054005723994297	0.32679956766896595	0.34313954605241426
Tnf	12	1.7026251321684351	0.2682830970208838	1.3984243221213881	0.0025261742685021692	0.007578522805506508
Xcl1	12	1.885239929181052e-4	0	0	0.05917206782585943	0.07309490731429695
Xcr1	12	0.008914959179296255	0	0.008914959179296255	0.0038572928299425344	0.008004040387432455
