subcluster	gene	mean_log_expression	detection_fraction	program	myeloid_subtype	kdm6b_group
4	B2m	1.2019498271784343	0.4794682422451994	Antigen presentation	Inflammatory activated microglia	Kdm6b-high
10	B2m	1.2532320027015484	0.5181945416375088	Antigen presentation	Perivascular macrophages (chemokine-producing)	Kdm6b-high
0	B2m	1.2708486243356834	0.5240941352259992	Antigen presentation	Early activated microglia	Kdm6b-high
11	B2m	1.7661780139038559	0.6812121212121212	Antigen presentation	Antigen-presenting monocytes	Kdm6b-high
15	B2m	2.021567996923466	0.7618270799347472	Antigen presentation	Inflammatory monocytes	Intermediate
5	B2m	2.1292170315586167	0.772821270310192	Antigen presentation	Angiogenic TAMs	Intermediate
7	B2m	0.9674886478761379	0.38786952089704385	Antigen presentation	Homeostatic microglia	Intermediate
12	B2m	3.0027385867557066	0.9221400608960417	Antigen presentation	Inflammatory TAMs	Intermediate
3	B2m	1.1107345109488138	0.45034519383961763	Antigen presentation	Stress-response microglia	Intermediate
1	B2m	2.67591403257571	0.875893437296946	Antigen presentation	TAM-like phagocytic microglia	Intermediate
14	B2m	1.6484590113472786	0.6749226006191951	Antigen presentation	cDC1	Intermediate
6	B2m	2.1148754425907135	0.7567342073897497	Antigen presentation	Antigen-presenting TAMs	Intermediate
8	B2m	1.5850576769099514	0.60520031838684	Antigen presentation	Perivascular macrophages	Kdm6b-low
13	B2m	2.271514554511998	0.75	Antigen presentation	Homeostatic microglia	Kdm6b-low
2	B2m	1.0341745524840156	0.4242867593269934	Antigen presentation	Stress-response microglia	Kdm6b-low
9	B2m	2.485960569023553	0.8933333333333333	Antigen presentation	Lipid-associated TAMs	Kdm6b-low
4	Cd74	0.30677415986412326	0.08340718857705563	Antigen presentation	Inflammatory activated microglia	Kdm6b-high
10	Cd74	1.4751215279890075	0.31630510846745974	Antigen presentation	Perivascular macrophages (chemokine-producing)	Kdm6b-high
0	Cd74	0.20531631126215238	0.05409039970115801	Antigen presentation	Early activated microglia	Kdm6b-high
11	Cd74	5.502348728507048	0.9733333333333334	Antigen presentation	Antigen-presenting monocytes	Kdm6b-high
15	Cd74	1.3289540430949072	0.3197389885807504	Antigen presentation	Inflammatory monocytes	Intermediate
5	Cd74	3.6908160197725977	0.7332348596750369	Antigen presentation	Angiogenic TAMs	Intermediate
7	Cd74	0.3240347530276974	0.08222901800883452	Antigen presentation	Homeostatic microglia	Intermediate
12	Cd74	5.109833548488212	0.9295345802522836	Antigen presentation	Inflammatory TAMs	Intermediate
3	Cd74	0.09128234336941357	0.02372101256859621	Antigen presentation	Stress-response microglia	Intermediate
1	Cd74	2.1060827352278384	0.47035412605588045	Antigen presentation	TAM-like phagocytic microglia	Intermediate
14	Cd74	5.701264135122958	0.9919504643962849	Antigen presentation	cDC1	Intermediate
6	Cd74	3.668825154127006	0.7284862932061978	Antigen presentation	Antigen-presenting TAMs	Intermediate
8	Cd74	1.4033295829215426	0.30750862297691695	Antigen presentation	Perivascular macrophages	Kdm6b-low
13	Cd74	0.6655395788035288	0.16238532110091744	Antigen presentation	Homeostatic microglia	Kdm6b-low
2	Cd74	0.013270396876556343	0.0036576444769568397	Antigen presentation	Stress-response microglia	Kdm6b-low
9	Cd74	1.8800876626106746	0.4533333333333333	Antigen presentation	Lipid-associated TAMs	Kdm6b-low
4	H2-Ab1	0.0779671679477526	0.025406203840472673	Antigen presentation	Inflammatory activated microglia	Kdm6b-high
10	H2-Ab1	0.8374945486828066	0.21693491952414276	Antigen presentation	Perivascular macrophages (chemokine-producing)	Kdm6b-high
0	H2-Ab1	0.03820132334220236	0.012626073963391857	Antigen presentation	Early activated microglia	Kdm6b-high
11	H2-Ab1	4.719338349659936	0.9595959595959596	Antigen presentation	Antigen-presenting monocytes	Kdm6b-high
15	H2-Ab1	0.7430882098432959	0.21207177814029363	Antigen presentation	Inflammatory monocytes	Intermediate
5	H2-Ab1	2.755124348939889	0.6707040866568194	Antigen presentation	Angiogenic TAMs	Intermediate
7	H2-Ab1	0.13911100918773106	0.04128440366972477	Antigen presentation	Homeostatic microglia	Intermediate
12	H2-Ab1	3.9600272486434833	0.9016963897346673	Antigen presentation	Inflammatory TAMs	Intermediate
3	H2-Ab1	0.014628648486878811	0.004602584528235086	Antigen presentation	Stress-response microglia	Intermediate
1	H2-Ab1	1.1192979070633933	0.3190383365821962	Antigen presentation	TAM-like phagocytic microglia	Intermediate
14	H2-Ab1	4.968748938896921	0.9925696594427245	Antigen presentation	cDC1	Intermediate
6	H2-Ab1	2.638211579760765	0.6475566150178784	Antigen presentation	Antigen-presenting TAMs	Intermediate
8	H2-Ab1	0.7576761634733258	0.20084903157336165	Antigen presentation	Perivascular macrophages	Kdm6b-low
13	H2-Ab1	0.28066912689587337	0.08623853211009175	Antigen presentation	Homeostatic microglia	Kdm6b-low
2	H2-Ab1	0.0029852706840956325	8.940908721450052e-4	Antigen presentation	Stress-response microglia	Kdm6b-low
9	H2-Ab1	1.1284363469156813	0.3617021276595745	Antigen presentation	Lipid-associated TAMs	Kdm6b-low
4	H2-Eb1	0.07472853542347473	0.026193993106843918	Antigen presentation	Inflammatory activated microglia	Kdm6b-high
10	H2-Eb1	0.644584405930326	0.1906927921623513	Antigen presentation	Perivascular macrophages (chemokine-producing)	Kdm6b-high
0	H2-Eb1	0.031197291552559663	0.011505416511019799	Antigen presentation	Early activated microglia	Kdm6b-high
11	H2-Eb1	4.036173166805889	0.9418181818181818	Antigen presentation	Antigen-presenting monocytes	Kdm6b-high
15	H2-Eb1	0.45782094509624754	0.15415986949429036	Antigen presentation	Inflammatory monocytes	Intermediate
5	H2-Eb1	2.08018282009429	0.5802067946824224	Antigen presentation	Angiogenic TAMs	Intermediate
7	H2-Eb1	0.10203235840357866	0.03244988107373428	Antigen presentation	Homeostatic microglia	Intermediate
12	H2-Eb1	3.015791317762287	0.8394954327968682	Antigen presentation	Inflammatory TAMs	Intermediate
3	H2-Eb1	0.013167501218856053	0.004602584528235086	Antigen presentation	Stress-response microglia	Intermediate
1	H2-Eb1	0.8123753404009071	0.2688434048083171	Antigen presentation	TAM-like phagocytic microglia	Intermediate
14	H2-Eb1	4.261087527877982	0.978328173374613	Antigen presentation	cDC1	Intermediate
6	H2-Eb1	1.9708480297003914	0.5584028605482717	Antigen presentation	Antigen-presenting TAMs	Intermediate
8	H2-Eb1	0.5800705911697326	0.1756434067391881	Antigen presentation	Perivascular macrophages	Kdm6b-low
13	H2-Eb1	0.19535617298774846	0.06743119266055046	Antigen presentation	Homeostatic microglia	Kdm6b-low
2	H2-Eb1	0.001534225500244851	4.87685930260912e-4	Antigen presentation	Stress-response microglia	Kdm6b-low
9	H2-Eb1	0.5833418244740365	0.2300709219858156	Antigen presentation	Lipid-associated TAMs	Kdm6b-low
4	Psmb8	0.31649162973506456	0.16838995568685378	Antigen presentation	Inflammatory activated microglia	Kdm6b-high
10	Psmb8	0.4718121831333615	0.2575227431770469	Antigen presentation	Perivascular macrophages (chemokine-producing)	Kdm6b-high
0	Psmb8	0.27596029489875423	0.15353007097497198	Antigen presentation	Early activated microglia	Kdm6b-high
11	Psmb8	1.7410776037577627	0.7345454545454545	Antigen presentation	Antigen-presenting monocytes	Kdm6b-high
15	Psmb8	1.112789951984313	0.5391517128874388	Antigen presentation	Inflammatory monocytes	Intermediate
5	Psmb8	1.1776605812739138	0.6001969473165928	Antigen presentation	Angiogenic TAMs	Intermediate
7	Psmb8	0.34749445398836487	0.15392456676860347	Antigen presentation	Homeostatic microglia	Intermediate
12	Psmb8	1.749922334566398	0.8142670726402784	Antigen presentation	Inflammatory TAMs	Intermediate
3	Psmb8	0.242786731768483	0.11957868649318464	Antigen presentation	Stress-response microglia	Intermediate
