program	sample	kdm6b_group	n_cells	median_ucell_score
Antigen presentation	41BB-L_pos_T_D1	Kdm6b-high	2717	0.09525401069518713
Antigen presentation	41BB-L_pos_T_D1	Kdm6b-low	1668	0.10953017570664625
Antigen presentation	41BB-L_pos_T_D2	Kdm6b-high	2046	0.20659854851031323
Antigen presentation	41BB-L_pos_T_D2	Kdm6b-low	1634	0.266281512605042
Antigen presentation	B7H3_pos_T_D1	Kdm6b-high	1979	0.23920932009167306
Antigen presentation	B7H3_pos_T_D1	Kdm6b-low	1997	0.22903934300993123
Antigen presentation	B7H3_pos_T_D2	Kdm6b-high	2576	0.3007543926661574
Antigen presentation	B7H3_pos_T_D2	Kdm6b-low	1499	0.3476890756302521
Antigen presentation	CD28-41BB_pos_T_D1	Kdm6b-high	3870	0.08599121466768522
Antigen presentation	CD28-41BB_pos_T_D1	Kdm6b-low	3044	0.0983336516424752
Antigen presentation	CD28-41BB_pos_T_D2	Kdm6b-high	2468	0.17441749427043546
Antigen presentation	CD28-41BB_pos_T_D2	Kdm6b-low	2432	0.17329545454545459
Antigen presentation	CD8-41BB_pos_T_D1	Kdm6b-high	4823	0.0936783804430863
Antigen presentation	CD8-41BB_pos_T_D1	Kdm6b-low	3386	0.1159998090145149
Antigen presentation	CD8-41BB_pos_T_D2	Kdm6b-high	626	0.28239591291061883
Antigen presentation	CD8-41BB_pos_T_D2	Kdm6b-low	423	0.3538006111535523
Antigen presentation	STOP_pos_T_D1	Kdm6b-high	1915	0.10451680672268904
Antigen presentation	STOP_pos_T_D1	Kdm6b-low	1402	0.09962280366692128
Antigen presentation	STOP_pos_T_D2	Kdm6b-high	2269	0.21600458365164243
Antigen presentation	STOP_pos_T_D2	Kdm6b-low	1467	0.192131398013751
Antigen presentation	Tumor_only_D1	Kdm6b-high	1834	0.09745034377387318
Antigen presentation	Tumor_only_D1	Kdm6b-low	1130	0.09986153552330024
Antigen presentation	Tumor_only_D2	Kdm6b-high	1750	0.2138798701298701
Antigen presentation	Tumor_only_D2	Kdm6b-low	1695	0.19050802139037437
Inflammatory activation	41BB-L_pos_T_D1	Kdm6b-high	2717	0.10213975259110664
Inflammatory activation	41BB-L_pos_T_D1	Kdm6b-low	1668	0.09405299231026415
Inflammatory activation	41BB-L_pos_T_D2	Kdm6b-high	2046	0.11894015379471751
Inflammatory activation	41BB-L_pos_T_D2	Kdm6b-low	1634	0.10063523905048477
Inflammatory activation	B7H3_pos_T_D1	Kdm6b-high	1979	0.10159645603477097
Inflammatory activation	B7H3_pos_T_D1	Kdm6b-low	1997	0.08090939485122028
Inflammatory activation	B7H3_pos_T_D2	Kdm6b-high	2576	0.16346957539284518
Inflammatory activation	B7H3_pos_T_D2	Kdm6b-low	1499	0.10920260782347047
Inflammatory activation	CD28-41BB_pos_T_D1	Kdm6b-high	3870	0.11024740889334672
Inflammatory activation	CD28-41BB_pos_T_D1	Kdm6b-low	3044	0.0793421932464059
Inflammatory activation	CD28-41BB_pos_T_D2	Kdm6b-high	2468	0.14877967235038447
Inflammatory activation	CD28-41BB_pos_T_D2	Kdm6b-low	2432	0.09169174189234369
Inflammatory activation	CD8-41BB_pos_T_D1	Kdm6b-high	4823	0.11547141424272822
Inflammatory activation	CD8-41BB_pos_T_D1	Kdm6b-low	3386	0.08352139752591103
Inflammatory activation	CD8-41BB_pos_T_D2	Kdm6b-high	626	0.13064192577733202
Inflammatory activation	CD8-41BB_pos_T_D2	Kdm6b-low	423	0.08922601136743569
Inflammatory activation	STOP_pos_T_D1	Kdm6b-high	1915	0.1117101303911735
Inflammatory activation	STOP_pos_T_D1	Kdm6b-low	1402	0.0900200601805416
Inflammatory activation	STOP_pos_T_D2	Kdm6b-high	2269	0.13009862922099635
Inflammatory activation	STOP_pos_T_D2	Kdm6b-low	1467	0.10067703109327986
Inflammatory activation	Tumor_only_D1	Kdm6b-high	1834	0.11816700100300903
Inflammatory activation	Tumor_only_D1	Kdm6b-low	1130	0.08554831160147103
Inflammatory activation	Tumor_only_D2	Kdm6b-high	1750	0.14330491474423268
Inflammatory activation	Tumor_only_D2	Kdm6b-low	1695	0.09758441992644595
T-cell recruitment	41BB-L_pos_T_D1	Kdm6b-high	2717	0
T-cell recruitment	41BB-L_pos_T_D1	Kdm6b-low	1668	0
T-cell recruitment	41BB-L_pos_T_D2	Kdm6b-high	2046	0
T-cell recruitment	41BB-L_pos_T_D2	Kdm6b-low	1634	0
T-cell recruitment	B7H3_pos_T_D1	Kdm6b-high	1979	0
T-cell recruitment	B7H3_pos_T_D1	Kdm6b-low	1997	0
T-cell recruitment	B7H3_pos_T_D2	Kdm6b-high	2576	0
T-cell recruitment	B7H3_pos_T_D2	Kdm6b-low	1499	0
T-cell recruitment	CD28-41BB_pos_T_D1	Kdm6b-high	3870	0
T-cell recruitment	CD28-41BB_pos_T_D1	Kdm6b-low	3044	0
T-cell recruitment	CD28-41BB_pos_T_D2	Kdm6b-high	2468	0
T-cell recruitment	CD28-41BB_pos_T_D2	Kdm6b-low	2432	0
T-cell recruitment	CD8-41BB_pos_T_D1	Kdm6b-high	4823	0
T-cell recruitment	CD8-41BB_pos_T_D1	Kdm6b-low	3386	0
T-cell recruitment	CD8-41BB_pos_T_D2	Kdm6b-high	626	0
T-cell recruitment	CD8-41BB_pos_T_D2	Kdm6b-low	423	0
T-cell recruitment	STOP_pos_T_D1	Kdm6b-high	1915	0
T-cell recruitment	STOP_pos_T_D1	Kdm6b-low	1402	0
T-cell recruitment	STOP_pos_T_D2	Kdm6b-high	2269	0
T-cell recruitment	STOP_pos_T_D2	Kdm6b-low	1467	0
T-cell recruitment	Tumor_only_D1	Kdm6b-high	1834	0
T-cell recruitment	Tumor_only_D1	Kdm6b-low	1130	0
T-cell recruitment	Tumor_only_D2	Kdm6b-high	1750	0
T-cell recruitment	Tumor_only_D2	Kdm6b-low	1695	0
