subcluster	myeloid_subtype	n_sample_profiles	n_conditions	median_log_expression	q25_log_expression	q75_log_expression	median_detection_fraction	total_cells	kdm6b_rank	kdm6b_group
4	Inflammatory activated microglia	12	6	3.503233946677459	3.3667560172710616	3.8452617692290163	0.9804193948859654	10155	1	Kdm6b-high
10	Perivascular macrophages (chemokine-producing)	12	6	2.906487214464945	2.6626426110739807	3.1580693725678812	0.9494524391347633	2858	2	Kdm6b-high
0	Early activated microglia	12	6	2.452970626809722	2.162071003614596	2.711757381909658	0.8671872594911378	13385	3	Kdm6b-high
11	Antigen-presenting monocytes	12	6	2.064098532713276	1.7189261229015418	2.3308361345184014	0.7209116541353384	2475	4	Kdm6b-high
15	Inflammatory monocytes	12	6	1.8978851713564184	1.4989434761166573	2.1424741744159856	0.6939799331103679	1226	5	Intermediate
5	Angiogenic TAMs	12	6	1.8221194636455111	1.636633493907542	2.00928256694579	0.7021500986595904	10155	6	Intermediate
7	Homeostatic microglia	11	6	1.2201728264977074	1.0728654501097168	1.57420446777685	0.43089430894308944	5886	7	Intermediate
12	Inflammatory TAMs	9	5	1.188907502630549	1.0788638650944622	1.7506387545041142	0.5510204081632653	2299	8	Intermediate
3	Stress-response microglia	12	6	1.1447283764110718	0.9354329738458919	1.4798925245522656	0.4951808716945685	11298	9	Intermediate
1	TAM-like phagocytic microglia	12	6	1.1013408183012352	1.024655493161073	1.2703468344246702	0.44167531327320614	12312	10	Intermediate
14	cDC1	12	6	0.9782855750457853	0.8488957249273741	1.221122477364747	0.4280068728522337	1615	11	Intermediate
6	Antigen-presenting TAMs	12	6	0.57500144567875	0.41861386011700874	0.7388997915676936	0.28303649271391207	8390	12	Intermediate
8	Perivascular macrophages	12	6	0.5306635280392887	0.4602934031632013	0.7859609404840764	0.23914318531733425	3769	13	Kdm6b-low
13	Homeostatic microglia	12	6	0.37984896407708607	0.2294469487857922	0.5480283325049136	0.1565582754841067	2180	14	Kdm6b-low
2	Stress-response microglia	12	6	0.3432528823283036	0.16637131073105946	0.4702546304497788	0.16865443425076454	12303	15	Kdm6b-low
9	Lipid-associated TAMs	12	6	0.29722268228522875	0.24050462479683304	0.4640945050475898	0.1923284873242821	3525	16	Kdm6b-low
