cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
0	(Intercept)	NA	0.873307273375	1.04088481400325	1.2059536672500002	0	0	1.0006776627250324	3705.635769763519	2978.3164075558975	-5.51243571	-5.00202393919	-4.477530204499999	0	0	1.0001184988219327	577.1364758588633	2728.4191626522475
0	conditionB7H3	condition	-0.67489125755	-0.3666795698327375	-0.05940712965499995	0.04225000000000001	0.021035714285714286	1.0029127126774129	2431.010026485096	3309.70066207054	NA	NA	NA	NA	NA	NA	NA	NA
0	conditionCD28-41BB	condition	-0.19602828202499997	0.09981066701379591	0.376990845775	0.495	0.21351785714285715	1.000000503752317	3248.864580951568	3588.8040011370863	NA	NA	NA	NA	NA	NA	NA	NA
0	conditionCD8-41BB	condition	-0.49455976282499997	-0.19425074633592904	0.11827400965000018	0.27225	0.057704545454545446	0.99983985690168	3503.4054978422646	3891.901102968894	NA	NA	NA	NA	NA	NA	NA	NA
0	conditionSTOP	condition	-0.1020371186	0.19072034754250017	0.4684509538	0.263	0.08188636363636363	1.001265125940007	3132.522377586087	2794.649856363617	NA	NA	NA	NA	NA	NA	NA	NA
0	conditiontumor	condition	0.119483539925	0.3978669436655805	0.6819737337750001	0.017750000000000044	0.003194444444444438	1.0004428371773866	2804.9960656774715	3623.8117571554253	NA	NA	NA	NA	NA	NA	NA	NA
1	(Intercept)	NA	0.588643062975	0.753146215327	0.9194408074000001	0	0	1.0011050846296228	2092.195639407085	3143.517908393046	-5.8591357332500005	-5.2944279081025	-4.71434524375	0	0	1.0002868095143234	328.15078922259227	1384.2021599278462
1	conditionB7H3	condition	0.002306028518000007	0.27496344712196175	0.5570045309749999	0.10450000000000004	0.03684090909090909	1.0004494879072814	3238.2932398550433	3604.8928122271964	NA	NA	NA	NA	NA	NA	NA	NA
1	conditionCD28-41BB	condition	0.12065958155	0.393717709794225	0.662659947375	0.017249999999999988	0.008874999999999966	0.9998882739041324	3506.6741003501797	3694.471907175054	NA	NA	NA	NA	NA	NA	NA	NA
1	conditionCD8-41BB	condition	-0.47016686495	-0.1650712225113966	0.138396038775	0.33975	0.08120833333333333	0.9998711561016278	2913.9269737424734	3062.041445624842	NA	NA	NA	NA	NA	NA	NA	NA
1	conditionSTOP	condition	0.0687212564375	0.3546427913288435	0.630676662325	0.03874999999999995	0.01804999999999999	0.9997534790904697	3103.2041998108284	3411.171248401955	NA	NA	NA	NA	NA	NA	NA	NA
1	conditiontumor	condition	0.07945226603000001	0.35997403905645	0.6527424710000003	0.03700000000000003	0.0065749999999999975	1.0006880149489479	3912.9257681900635	3665.1989456724564	NA	NA	NA	NA	NA	NA	NA	NA
10	(Intercept)	NA	-0.8019231014499999	-0.611788810840875	-0.411913881875	2.4999999999997247e-4	1.9230769230767114e-5	1.0006795898620582	1189.1618551471038	1858.8545471986808	-6.897106577250001	-6.16675419117	-5.474064974	0	0	1.0025801711678957	210.51136896791803	899.0605725941558
10	conditionB7H3	condition	-0.72214483575	-0.39900267548964674	-0.05150659202499993	0.042749999999999955	0.023749999999999993	1.0004485793758715	1123.9153013002779	2988.06596092513	NA	NA	NA	NA	NA	NA	NA	NA
10	conditionCD28-41BB	condition	-0.17267580600000002	0.14329906356977054	0.451752291275	0.39049999999999996	0.14588636363636365	1.001156591838452	1782.7449869644697	3767.1498449837613	NA	NA	NA	NA	NA	NA	NA	NA
10	conditionCD8-41BB	condition	-0.2428919365	0.07799639947117246	0.3934373262000002	0.5495	0.16265000000000002	0.9997869561838006	2845.2535357507645	3644.5959590538987	NA	NA	NA	NA	NA	NA	NA	NA
10	conditionSTOP	condition	-0.035870310002499996	0.2772651940217848	0.5842100224000001	0.123	0.048527777777777774	1.0000940635989168	2516.51941504634	2477.6585737867726	NA	NA	NA	NA	NA	NA	NA	NA
10	conditiontumor	condition	0.5734518217	0.862313816505	1.1530673657500001	0	0	0.9999963615799129	1691.6564787248878	3919.1688480814196	NA	NA	NA	NA	NA	NA	NA	NA
11	(Intercept)	NA	-0.9296389417750001	-0.68582689188025	-0.42876297357499993	0	0	1.0004778772590273	1104.4353938278634	859.0119705318664	-6.3491674494999994	-5.8151348189325	-5.28254981725	0	0	1.0005632617489668	933.8578773175585	1844.5343220307086
11	conditionB7H3	condition	0.0538687933475	0.39007245343961	0.7340676551250002	0.04525000000000001	0.026138888888888885	1.0000328940744783	1123.6402927264292	1216.8151336239048	NA	NA	NA	NA	NA	NA	NA	NA
11	conditionCD28-41BB	condition	-0.612733007	-0.2576720704520955	0.10211343625000033	0.18174999999999997	0.05867857142857142	1.0016269626474026	969.3702954510184	1291.3472658178225	NA	NA	NA	NA	NA	NA	NA	NA
11	conditionCD8-41BB	condition	0.18794636362500003	0.5107491680759075	0.8267874486500001	0.0050000000000000044	0.0013749999999999873	1.0003285091073	1936.715276365763	3087.179553758894	NA	NA	NA	NA	NA	NA	NA	NA
11	conditionSTOP	condition	-0.1793061203	0.1601143105116427	0.4942800998	0.35950000000000004	0.11986538461538462	1.001159487262275	1259.5750338567636	1976.4144215971626	NA	NA	NA	NA	NA	NA	NA	NA
11	conditiontumor	condition	-0.5569519225749999	-0.2028930512595525	0.15191058185000006	0.27775000000000005	0.046607142857142854	1.0006223878017508	1730.000089036628	2970.378500713069	NA	NA	NA	NA	NA	NA	NA	NA
12	(Intercept)	NA	-1.4096582387499998	-1.079876309589	-0.71767391185	0	0	1.0028728407328624	398.4548777445341	525.7892263395064	-6.042613084500001	-5.27717697461	-4.46936552725	0	0	1.0136521408717436	162.68592512718834	120.97467332562759
12	conditionB7H3	condition	0.1269164383	0.489767160274098	0.854436908575	0.01824999999999999	0.01399999999999999	1.002144424685396	573.6137059782914	1900.676417316003	NA	NA	NA	NA	NA	NA	NA	NA
12	conditionCD28-41BB	condition	-0.90012346815	-0.5377467251677432	-0.11485060302499915	0.024249999999999994	0.016349999999999996	1.0069826248904006	297.6773435388244	173.561213568341	NA	NA	NA	NA	NA	NA	NA	NA
12	conditionCD8-41BB	condition	0.917225544175	1.296061114679	1.67414686475	0	0	1.0000819473094718	528.5561922073093	2304.1460523479313	NA	NA	NA	NA	NA	NA	NA	NA
12	conditionSTOP	condition	-1.33609034375	-0.893386000709825	-0.4271346657249998	0.00924999999999998	0.0050000000000000044	1.0125312554580141	226.10918020387209	120.06151994760522	NA	NA	NA	NA	NA	NA	NA	NA
12	conditiontumor	condition	-1.89606999975	-1.39723295303825	-0.8430292670999997	0.0010000000000000009	3.749999999999957e-4	1.0160352263171912	171.7970342331772	120.01759947987586	NA	NA	NA	NA	NA	NA	NA	NA
13	(Intercept)	NA	-1.335741204	-1.0726902322195	-0.7791177273999998	0	0	1.0017348216864521	238.98196615035192	429.2047438813964	-6.8480916925	-6.21618866509	-5.61203632025	0	0	1.0032040732615237	223.64844162849985	464.14868157971694
13	conditionB7H3	condition	0.06693195573499999	0.423598580352396	0.7759831761000003	0.03500000000000003	0.017499999999999998	1.0005239508805863	408.52411239516186	1054.0041887522334	NA	NA	NA	NA	NA	NA	NA	NA
13	conditionCD28-41BB	condition	0.126591539025	0.4925920928763435	0.857161959	0.019000000000000017	0.012249999999999983	1.0073583133381565	358.47968785280943	970.8286142030765	NA	NA	NA	NA	NA	NA	NA	NA
13	conditionCD8-41BB	condition	0.15753695427500003	0.50194732349269	0.8517507653	0.012499999999999956	0.003958333333333323	1.0068073607287644	393.61431669404067	1477.7820940251231	NA	NA	NA	NA	NA	NA	NA	NA
13	conditionSTOP	condition	0.03225794943000001	0.396197878611535	0.75159687475	0.05425000000000002	0.024083333333333328	1.0050463390947273	344.4004724976364	835.4312001638895	NA	NA	NA	NA	NA	NA	NA	NA
13	conditiontumor	condition	0.0468923616725	0.41459224419738	0.7896566977000001	0.05025000000000002	0.010545454545454545	1.0004436734377868	403.93753647678136	965.7977854387848	NA	NA	NA	NA	NA	NA	NA	NA
14	(Intercept)	NA	-1.2889786627500002	-1.03792693457675	-0.7907706183250001	0	0	1.0004851905462742	2774.117527084929	2761.531955031465	-6.848806918	-6.2290181952225	-5.6054154225	0	0	1.0021406797477408	417.2008015814609	1054.741239104771
14	conditionB7H3	condition	0.148056911625	0.4627747656969575	0.770060636825	0.011499999999999955	0.011499999999999955	1.0008291194358827	2980.781871364991	3629.4578509371645	NA	NA	NA	NA	NA	NA	NA	NA
14	conditionCD28-41BB	condition	-0.800574318925	-0.45888178080140024	-0.113118664625	0.020750000000000046	0.014374999999999999	1.0022491315031754	2020.1135257205087	2550.584607222739	NA	NA	NA	NA	NA	NA	NA	NA
14	conditionCD8-41BB	condition	0.1015813285	0.41344924866438676	0.7313705927499999	0.024499999999999966	0.008843749999999984	0.9998349983321222	3211.230591260268	3266.717074902639	NA	NA	NA	NA	NA	NA	NA	NA
14	conditionSTOP	condition	-0.54609015275	-0.19147264940975076	0.151700679975	0.29800000000000004	0.09989583333333334	1.000362040782013	3425.4674362476094	2802.3167597055717	NA	NA	NA	NA	NA	NA	NA	NA
14	conditiontumor	condition	-0.93275007775	-0.589341262793875	-0.24711319932499962	0.0034999999999999476	8.214285714285603e-4	1.0013483992355394	1348.1193083971218	2119.6733315952692	NA	NA	NA	NA	NA	NA	NA	NA
15	(Intercept)	NA	-1.5738187902499998	-1.29637329687275	-1.00078066625	0	0	1.002051040907929	3194.4257246849998	2761.393362821777	-6.713360584	-6.1306430885875	-5.550016124	0	0	1.0037856658637023	682.9773468048787	1103.7839914951105
15	conditionB7H3	condition	-0.612457577525	-0.2698351047795059	0.06448374562500002	0.15525	0.052807692307692305	0.9998328154955668	3353.5290797478074	3184.120925495223	NA	NA	NA	NA	NA	NA	NA	NA
15	conditionCD28-41BB	condition	-0.41580986312499996	-0.06813808015579664	0.27983760187500006	0.5742499999999999	0.23756666666666668	1.001914326026044	1847.1950524789256	2708.254295319913	NA	NA	NA	NA	NA	NA	NA	NA
15	conditionCD8-41BB	condition	-0.1869809287	0.14705070120037758	0.4772616927500001	0.38125	0.10428846153846154	1.001009612135975	3969.1259445649835	3206.1493433287546	NA	NA	NA	NA	NA	NA	NA	NA
15	conditionSTOP	condition	-0.4724792004	-0.12569747773795772	0.2198188648750001	0.4405	0.15768333333333334	1.0065414314119312	773.5349386048919	2193.1070242341934	NA	NA	NA	NA	NA	NA	NA	NA
15	conditiontumor	condition	-0.5167291287749999	-0.16649523092702126	0.1782361753	0.35924999999999996	0.06745	1.004091765108703	991.3078320723199	1955.963207565773	NA	NA	NA	NA	NA	NA	NA	NA
2	(Intercept)	NA	0.6719054543	0.86691196332025	1.0685603582499998	0	0	1.0005113809355095	1854.2615578377622	3168.488555453682	-5.0166985835	-4.5658268423525	-4.0891616545	0	0	1.00250860675694	952.3379064932773	2601.0815938941923
2	conditionB7H3	condition	-0.785078621175	-0.4635512115640575	-0.15216614189999997	0.01200000000000001	0.011749999999999983	1.0001456792548953	3658.739844556971	3209.625305213067	NA	NA	NA	NA	NA	NA	NA	NA
2	conditionCD28-41BB	condition	-0.03912852763499999	0.2619260803225215	0.576279805875	0.14725	0.03816666666666666	1.0007235280915372	2379.787166883572	3169.160325396505	NA	NA	NA	NA	NA	NA	NA	NA
2	conditionCD8-41BB	condition	-0.758663725775	-0.434669139805435	-0.10814699634999998	0.022499999999999964	0.0066071428571428436	0.9998285595364828	3822.3677035579904	3477.3331806550887	NA	NA	NA	NA	NA	NA	NA	NA
2	conditionSTOP	condition	0.008743315531750007	0.3110983765039563	0.6373809007000001	0.08775	0.03921875	1.000370975372413	1588.5678606746565	2558.84904595508	NA	NA	NA	NA	NA	NA	NA	NA
2	conditiontumor	condition	0.18600219777500002	0.50096431298455	0.811519990725	0.005249999999999977	0.0013749999999999873	1.000660355932919	1165.9353829109273	2585.0515638018683	NA	NA	NA	NA	NA	NA	NA	NA
3	(Intercept)	NA	0.80569371995	0.9910149597615	1.17094026475	0	0	1.0005967941572083	3559.6947916070653	3585.5420626786117	-5.313000305250001	-4.861632677745	-4.386115162	0	0	1.0006071935400185	1223.1919714015678	2188.184818614529
3	conditionB7H3	condition	-0.657624784475	-0.3443240013975345	-0.027027710497499996	0.0655	0.030074999999999998	1.000102478215524	2941.993575602199	3028.52961008565	NA	NA	NA	NA	NA	NA	NA	NA
3	conditionCD28-41BB	condition	-0.4696306319	-0.16481074584935998	0.13695397030000006	0.33225000000000005	0.121425	1.0008416919385976	3224.42602943558	3672.556743508814	NA	NA	NA	NA	NA	NA	NA	NA
