cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Angiogenic TAMs	(Intercept)	NA	0.540768372725	0.767093092175	0.9924985268000001	0	0	1.0059498834341094	1239.5198009265828	3198.897092674561	-4.9331841467499995	-4.426891380005	-3.93094267625	0	0	1.0013943491919766	264.95731203562957	691.791886520439
Angiogenic TAMs	conditionB7H3	condition	-0.06437811845499997	0.24570904007470426	0.5610432676749999	0.17174999999999996	0.05949999999999997	0.9998602694434399	2839.2968039667	2887.3550798679744	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionCD28-41BB	condition	-0.48501214655	-0.15985624740596924	0.17100923877500002	0.36024999999999996	0.17491666666666666	1.0007495066545193	2610.2453522492638	3683.055924973903	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionCD8-41BB	condition	-0.12004839829999998	0.19206399044101025	0.499737944325	0.27975000000000005	0.087175	1.0016033004463418	1615.0158407928066	3125.327989311298	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionSTOP	condition	-0.5220182947	-0.18206744357391902	0.14036322952500008	0.31074999999999997	0.10431818181818181	1.002347533787663	1308.553871521174	3464.4125511585585	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditiontumor	condition	-1.0547861054999998	-0.698871740249925	-0.3482832127749997	0.0010000000000000009	3.749999999999957e-4	1.0002178936794819	1140.3155465922807	1529.2082747344737	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	(Intercept)	NA	0.371128938275	0.5494596457795	0.732910958675	0	0	1.001011474115564	2395.5749450124904	3678.4073708503147	-5.61895486725	-5.1190123972725	-4.635765665749999	0	0	1.0015184630607166	3595.8697184162816	1399.1188934394386
Antigen-presenting TAMs	conditionB7H3	condition	0.14760154902499997	0.4208467690429025	0.696187673675	0.010499999999999954	0.010499999999999954	1.0004703279088707	3708.519616065706	3537.2300491596884	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionCD28-41BB	condition	-0.38355869322499997	-0.08621931750608595	0.21676130055000012	0.5355	0.2513125	1.0006523724355474	3870.62738789072	3448.9743085968003	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionCD8-41BB	condition	-0.2697960146	0.018353921898500776	0.32009896355000006	0.7112499999999999	0.19944230769230767	1.0004398737579228	3634.052632115177	3564.3299721944227	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionSTOP	condition	-0.73546106075	-0.400947281355222	-0.07666929786499999	0.03225	0.013650000000000006	1.0015618506298125	3354.9756661080633	3440.7656897975266	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditiontumor	condition	-0.59550600125	-0.28585747354758845	0.03487391290750014	0.11975000000000002	0.014022727272727272	1.001450847368546	1938.2079156141788	3372.9129037738867	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting monocytes	(Intercept)	NA	-0.9977277041999999	-0.76844241774025	-0.532635309175	0	0	0.9999564301743357	1446.7395024319296	1691.3351883020796	-6.35101828075	-5.830708400675	-5.31621387525	0	0	0.99991756498055	892.5299263013069	2220.727250170385
Antigen-presenting monocytes	conditionB7H3	condition	0.07390736041750003	0.395330395855562	0.7136311528499999	0.03574999999999995	0.02421874999999997	1.0005370512397587	2347.391300234581	3657.6755001411684	NA	NA	NA	NA	NA	NA	NA	NA
