cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Angiogenic TAMs	(Intercept)	NA	0.361676964675	0.5915856101535	0.806921973625	0	0	1.0009927775212621	883.9687087418735	1001.1625477878222	-5.0000248615	-4.4660714256	-3.94176807625	0	0	1.0008955116383365	1156.2588361962103	2947.1169576761326
Angiogenic TAMs	condition41BB-L	condition	-0.165290810575	0.1876451226433405	0.5528578725500001	0.3125	0.16827777777777778	1.002086357550139	1649.3451975676421	2184.1204187590765	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionB7H3	condition	0.07347342284	0.41441650783176326	0.759299899875	0.03374999999999995	0.005416666666666637	1.0005065493444856	3313.8266511372253	3780.1399116938283	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionCD28-41BB	condition	-0.34016950430000004	0.013142822807972925	0.370891334125	0.68725	0.2701875	0.9998453786636828	1425.3624222322005	2950.5077389671624	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionCD8-41BB	condition	0.025345884255000003	0.3594152344637375	0.71357649115	0.06699999999999995	0.019406249999999986	1.001409247905898	1855.2555051409693	3132.3696478238753	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditiontumor	condition	-0.94197075325	-0.5395457423331175	-0.12481650114999991	0.019750000000000045	0.007937499999999986	1.0001026724384243	1171.8157860084393	2216.812711511507	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	(Intercept)	NA	-0.0589246557925	0.14805274701860016	0.351734923425	0.32099999999999995	0.025660714285714276	1.0023093610763425	1564.3687245749434	1757.3020635484354	-5.727657975	-5.218050830745	-4.702855447499999	0	0	0.9998481109782419	3873.6344481974993	3376.310411542203
Antigen-presenting TAMs	condition41BB-L	condition	0.100019033615	0.43858217856604	0.77160033635	0.025000000000000022	0.012500000000000011	0.9999026732885602	3334.923856370646	2947.4650222739674	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionB7H3	condition	0.5022982166750001	0.8162449142817501	1.1299810685000002	0	0	1.0017409941340978	2817.385590045289	2667.6841770541714	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionCD28-41BB	condition	-0.04469489059	0.305836964693748	0.654316753175	0.121	0.0648125	0.9997508491085764	2437.748868602509	3891.102878594755	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionCD8-41BB	condition	0.07152260162500002	0.402326598142251	0.7490040635	0.03749999999999998	0.012607142857142848	1.0005782507639291	2955.916591215247	2609.2949087758457	NA	NA	NA	NA	NA	NA	NA	NA
