cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Angiogenic TAMs	(Intercept)	NA	-0.06039700806499999	0.19767752877507624	0.4540457828750001	0.22250000000000003	0.04296153846153846	1.0000050368502096	3747.4223728285247	3513.499187466884	-5.092790224000001	-4.48618479987	-3.895076978	0	0	1.0011633084970686	3646.3332524087273	3487.211281012053
Angiogenic TAMs	condition41BB-L	condition	0.11672053455	0.546793559395935	0.9681521243	0.02024999999999999	0.00737500000000002	0.9999962268598891	3928.1304993712843	3475.8288781705655	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionB7H3	condition	0.3869209677	0.7852932148404	1.1796913957500001	2.4999999999997247e-4	8.333333333332416e-5	1.000266294825823	3918.600126431447	4044.738060959693	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionCD28-41BB	condition	-0.06397491700499999	0.37811357536096524	0.8160055692250002	0.10724999999999996	0.0665	1.0000895597405248	3561.8069507130235	3614.564709697918	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionCD8-41BB	condition	0.3433659476	0.736227312524075	1.13704648275	0.0010000000000000009	3.7499999999998646e-4	1.0000296108322722	4162.094379726409	3859.027279895026	NA	NA	NA	NA	NA	NA	NA	NA
Angiogenic TAMs	conditionSTOP	condition	-0.08527546507	0.36085288247569425	0.7974126880500001	0.11775000000000002	0.09075	1.0003674436386514	2785.0629335199683	3602.2407857449616	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	(Intercept)	NA	-0.023119623129999996	0.21702762610397547	0.452375626575	0.15774999999999995	0.014340909090909086	1.0002878999346918	3735.6846649978797	3152.998284608677	-5.736862106	-5.19167994912	-4.648903218	0	0	1.000078733093345	3456.949253699234	3310.0750167577035
Antigen-presenting TAMs	condition41BB-L	condition	-0.029959978009999992	0.3673365336565405	0.7598904691250001	0.09424999999999994	0.028916666666666663	1.0003053382351936	3869.1197689256037	3244.766551143325	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionB7H3	condition	0.3748131849	0.73826186506685	1.1146068202500001	7.500000000000284e-4	2.9166666666665303e-4	0.9998182832472525	3867.1802735147107	3663.823019318355	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionCD28-41BB	condition	-0.16688642977499998	0.23669852792242774	0.6377176924000001	0.25749999999999995	0.10469999999999999	0.9999941948548791	3660.7141355536883	3842.1145591561026	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionCD8-41BB	condition	-0.03905739023999999	0.34045377465567583	0.7276908711250001	0.11275000000000002	0.018795454545454556	1.0007373445032446	3971.595395890407	3498.20945402188	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting TAMs	conditionSTOP	condition	-0.518007568125	-0.07599695756342006	0.3365750143250003	0.5569999999999999	0.29145	0.9999488258244131	4066.932379450676	3928.351519039486	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting monocytes	(Intercept)	NA	-1.12108809575	-0.86375305665325	-0.593673911175	0	0	0.9998583650942866	3662.5160673179	3878.544872818917	-6.31364357	-5.6470785883875	-5.00705703275	0	0	1.0016912700544476	2142.391825609547	3170.4796942808352
Antigen-presenting monocytes	condition41BB-L	condition	-0.3938303024	0.05285014690106508	0.4863276120000001	0.58775	0.13520833333333332	0.999800243435062	3687.9225054300196	3870.322614894554	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting monocytes	conditionB7H3	condition	0.0442154325925	0.474311035622341	0.8996785488750001	0.04249999999999998	0.00647727272727271	1.0005838216461427	3875.8572253175744	3797.552559955036	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting monocytes	conditionCD28-41BB	condition	-0.574122099475	-0.12338233891768265	0.33555295955000003	0.4595	0.236975	1.0034378210179218	3526.7590833538156	2763.7669293582367	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting monocytes	conditionCD8-41BB	condition	0.13355987010000003	0.5515887753482738	0.954324433175	0.017249999999999988	0.005083333333333341	1.0001372237227601	3557.0986144830767	3012.9500386484788	NA	NA	NA	NA	NA	NA	NA	NA
Antigen-presenting monocytes	conditionSTOP	condition	-0.098203526595000007	0.328650585913201	0.77191319525	0.14925	0.1179375	0.999812401915514	3934.0803396812976	3759.4854355532434	NA	NA	NA	NA	NA	NA	NA	NA
Early activated microglia	(Intercept)	NA	1.08615343325	1.27011624211075	1.4574476975	0	0	0.9998405003817411	2144.099124269432	1497.0193753747035	-5.6980632802499995	-5.098676165375	-4.517495491499999	0	0	1.0029229454616226	2013.2985942338978	1420.1381832585157
Early activated microglia	condition41BB-L	condition	-0.6067129668499999	-0.26363178592106773	0.07909411807250002	0.17474999999999996	0.07280555555555555	0.9997657996433827	3606.5608774280267	3803.4718105834204	NA	NA	NA	NA	NA	NA	NA	NA
Early activated microglia	conditionB7H3	condition	-1.0494746910000001	-0.68401556594	-0.32445713309999996	2.4999999999997247e-4	1.2499999999998623e-4	1.000171772868539	3593.7316112782364	3518.3211746922293	NA	NA	NA	NA	NA	NA	NA	NA
Early activated microglia	conditionCD28-41BB	condition	-0.4972990215	-0.16859037045784273	0.15567528592500005	0.34775	0.1622142857142857	0.9998831113445789	3854.2715337247605	3968.116900032454	NA	NA	NA	NA	NA	NA	NA	NA
