comparison	cell_group	n_neighborhoods	median_logFC	mean_logFC	q25_logFC	q75_logFC	fraction_positive_logFC	n_nominal	fraction_nominal	median_logFC_nominal	min_p_value	min_spatial_fdr	median_cell_group_fraction	neg_log10_min_p
41BB-L vs STOP	Lipid-associated TAMs	275	2.13366574881022	2.38472755422467	1.25365998161182	3.16260192594665	0.952727272727273	66	0.24	4.36097294623339	0.0021599567603112	0.966287440656911	1	2.66555494280565
41BB-L vs STOP	Antigen-presenting TAMs	639	1.43867387384533	1.44248402396611	0.308352039666347	2.38005204923792	0.810641627543036	91	0.142410015649452	3.51532889660564	0.00227319417883328	0.966287440656911	0.992592592592593	2.64336346476167
41BB-L vs STOP	Angiogenic TAMs	775	0.90556403273139	0.999069384483133	-0.344375155448052	2.1681490701518	0.692903225806452	86	0.110967741935484	4.24697391128865	0.00236068429470407	0.966287440656911	1	2.62696208925996
41BB-L vs STOP	Perivascular macrophages	251	-0.156293592237505	-0.435528080176451	-1.02757564449773	0.584093095621738	0.454183266932271	16	0.0637450199203187	-3.84003460260822	0.0043648252486978	0.966287440656911	1	2.36003313913951
41BB-L vs STOP	Perivascular macrophages (chemokine-producing)	173	-0.179393614310019	-0.261593340171862	-0.97397371644398	0.458062893857136	0.456647398843931	3	0.0173410404624277	-3.39969997781262	0.0092034720342801	0.966287440656911	1	2.03604830299508
41BB-L vs STOP	Homeostatic microglia	535	-0.4392209450631	-0.368708480643614	-1.05777901518923	0.196809229176132	0.330841121495327	10	0.0186915887850467	-2.78477953319598	0.0130803443014151	0.966287440656911	1	1.88338082434228
41BB-L vs STOP	TAM-like phagocytic microglia	919	-0.254336599689067	-0.212709239308979	-0.964999298486933	0.494677665346565	0.410228509249184	8	0.00870511425462459	-0.36627320112667	0.0135828819393573	0.966287440656911	1	1.86700807412247
41BB-L vs STOP	Antigen-presenting monocytes	197	-0.4762238494215	-0.133638308335165	-0.984068113554631	0.226339656525183	0.279187817258883	7	0.0355329949238579	3.99617342938686	0.0148413857637275	0.966287440656911	1	1.82852554639915
41BB-L vs STOP	Inflammatory TAMs	167	1.71061398151989	1.90420061967565	0.753068361586815	3.0614253386118	0.862275449101796	17	0.101796407185629	5.20340446587309	0.0150939002215114	0.966287440656911	1	1.82119852524632
41BB-L vs STOP	cDC1	114	0.743926956938781	0.623723597143588	0.178245661317866	1.16554571828624	0.850877192982456	2	0.0175438596491228	-4.10511984844328	0.0192207419984484	0.966287440656911	1	1.71622985081879
41BB-L vs STOP	Stress-response microglia	1539	-0.207700206346469	-0.25322685612498	-0.660326789999407	0.172980098976659	0.359324236517219	1	0.000649772579597141	-2.47025570663838	0.0364370095504511	0.966287440656911	1	1.4384572735495
41BB-L vs STOP	Early activated microglia	913	0.0821916626389017	0.0487023904150571	-0.426578623047174	0.536779551546277	0.535596933187295	2	0.00219058050383352	-0.383742284979045	0.0370920414948492	0.966287440656911	1	1.43071926304377
41BB-L vs STOP	Inflammatory monocytes	88	-0.061455035486263	-0.0674085051761683	-0.839284074626133	0.643555557159053	0.477272727272727	1	0.0113636363636364	3.45507500174549	0.049727772684056	0.966287440656911	1	1.30340099246065
41BB-L vs STOP	Inflammatory activated microglia	655	0.19453124170871	0.21311428861687	-0.301543849948147	0.695720006138928	0.59236641221374	0	0	NA	0.0514214236697085	0.966287440656911	1	1.28885590351309
B7H3 vs STOP	Antigen-presenting TAMs	639	2.17298970629913	2.31249671082847	1.18034815731081	3.35050620186632	0.928012519561815	234	0.366197183098592	3.73915847493398	0.000281988768106427	0.393381575509421	0.992592592592593	3.54976818971803
B7H3 vs STOP	Angiogenic TAMs	775	1.4183851776233	1.53756787879799	0.163759670674396	2.58621194133664	0.781935483870968	151	0.194838709677419	3.85184822736461	0.00080074627860797	0.393381575509421	1	3.09650507100167
B7H3 vs STOP	Lipid-associated TAMs	275	2.35539128993192	2.70411654518265	1.38010985275586	3.76578218129006	0.963636363636364	96	0.349090909090909	4.30450891994812	0.00142014429345124	0.393381575509421	1	2.84766752697894
B7H3 vs STOP	Perivascular macrophages	251	-0.532313087935028	-0.557982263640212	-1.2091978187127	0.0331751183216169	0.262948207171315	8	0.0318725099601594	-3.46172937320178	0.00245739152615691	0.393381575509421	1	2.60952564364078
B7H3 vs STOP	Inflammatory TAMs	167	2.75489864534621	2.33921714644649	0.737161762020161	3.65887700805713	0.856287425149701	47	0.281437125748503	4.99325717450875	0.00283533954290322	0.393381575509421	1	2.5473949252087
B7H3 vs STOP	TAM-like phagocytic microglia	919	0.0988519300224688	0.182565650995354	-0.841599854967692	1.14876022733123	0.540805223068553	40	0.043525571273123	3.0055485604126	0.00427633486494431	0.393381575509421	1	2.36892829403779
B7H3 vs STOP	Antigen-presenting monocytes	197	0.516650879892417	0.810198493663392	-0.00348964646467156	1.32827178737275	0.730964467005076	13	0.065989847715736	4.04249561654931	0.00562107679770866	0.393381575509421	1	2.25018048113772
B7H3 vs STOP	Homeostatic microglia	535	-0.724756390828947	-0.652770308408183	-1.67455112355742	0.268010372053559	0.304672897196262	38	0.0710280373831776	-2.82614835603384	0.00714897260750651	0.393381575509421	1	2.1457563670032
B7H3 vs STOP	Perivascular macrophages (chemokine-producing)	173	-0.997238881343656	-0.944788971617423	-1.43281736894916	-0.446251094496761	0.0982658959537572	2	0.0115606936416185	-4.47525179418559	0.00718984746792972	0.393381575509421	1	2.14328032304398
B7H3 vs STOP	Early activated microglia	913	-0.614858699042958	-0.58386420554292	-1.10578324213337	-0.13611059839062	0.201533406352683	13	0.0142387732749179	-2.38577723464272	0.00769078911371465	0.393381575509421	1	2.11402909711021
B7H3 vs STOP	cDC1	114	1.4116204371717	1.55994388922628	0.783551035591096	2.29916864494521	0.947368421052632	14	0.12280701754386	3.77182411803965	0.00772968689198227	0.393381575509421	1	2.11183809778134
B7H3 vs STOP	Stress-response microglia	1539	-0.929358934091653	-0.945465470214875	-1.43180863925371	-0.450033129521882	0.0870695256660169	36	0.0233918128654971	-2.69646986691239	0.0127649148864318	0.393381575509421	1	1.89398207662755
B7H3 vs STOP	Inflammatory activated microglia	655	-0.477166053031825	-0.408614380894698	-0.979773956005204	0.0774780829391513	0.273282442748092	12	0.0183206106870229	-2.15333903711403	0.0135797379082043	0.393381575509421	1	1.86710861194941
B7H3 vs STOP	Inflammatory monocytes	88	-0.396812578241031	-0.237788075285746	-1.15968829642279	0.470606592796321	0.375	3	0.0340909090909091	-2.15732675388875	0.0254280382106958	0.461717281715488	1	1.59468714462707
CD28-41BB vs STOP	Homeostatic microglia	535	-0.79446312720848	-0.718493081417765	-1.77183730553553	0.25825846582754	0.306542056074766	56	0.104672897196262	-3.12867145874544	0.00062629877836154	1	1	3.20321843541886
CD28-41BB vs STOP	Angiogenic TAMs	775	0.249866900240649	0.31041626151918	-0.983861431339326	1.53820436345065	0.556129032258065	76	0.0980645161290323	3.67051180834296	0.00140141885568902	1	1	2.85343204349536
CD28-41BB vs STOP	Lipid-associated TAMs	275	1.47178373666402	1.74886597607264	0.550364079580923	2.60646549251602	0.858181818181818	35	0.127272727272727	5.09107800939845	0.0039024292789743	1	1	2.40866495861263
CD28-41BB vs STOP	Antigen-presenting TAMs	639	1.05100071953049	0.958132001148075	-0.0645480571204169	2.05078985823224	0.735524256651017	50	0.0782472613458529	3.29483725893212	0.00457136648220036	1	0.992592592592593	2.33995396033017
CD28-41BB vs STOP	Stress-response microglia	1539	-0.545325462107095	-0.569220310353637	-1.24105543618988	0.130842150549267	0.282001299545159	30	0.0194931773879142	-2.97630104309133	0.00582819421166947	1	1	2.23446598475876
CD28-41BB vs STOP	Perivascular macrophages	251	0.693313974646162	0.907998973811132	0.243327253037566	1.36063984657773	0.888446215139442	8	0.0318725099601594	3.08462510456007	0.00625678995919909	1	1	2.20364842406865
CD28-41BB vs STOP	Antigen-presenting monocytes	197	-0.735733633698528	-0.712195447934203	-1.21511308784961	-0.18005833607864	0.203045685279188	3	0.0152284263959391	-4.85402042842857	0.0117021825869227	1	1	1.93173312995848
CD28-41BB vs STOP	cDC1	114	-0.200535412601336	-0.350244877555286	-1.0294656060585	0.415289638130662	0.403508771929825	3	0.0263157894736842	-3.87323732355771	0.0127485818799285	1	1	1.89453812236532
CD28-41BB vs STOP	TAM-like phagocytic microglia	919	0.144539870619588	0.192709292948641	-0.331902061299994	0.733978678878988	0.574537540805223	3	0.00326441784548422	3.36155772899356	0.0231550715101099	1	1	1.63535387343069
CD28-41BB vs STOP	Early activated microglia	913	-0.188209760295295	-0.167291829847259	-0.626478453050876	0.275152526381567	0.414019715224535	3	0.00328587075575027	-2.06133786698865	0.0236172768021963	1	1	1.62677018030255
CD28-41BB vs STOP	Inflammatory TAMs	167	-0.383271440331306	-0.385356258076173	-1.77817849719704	0.942014823838684	0.401197604790419	7	0.0419161676646707	-5.33857965555605	0.025346923133262	1	1	1.59607475220234
CD28-41BB vs STOP	Perivascular macrophages (chemokine-producing)	173	-0.221241817895035	-0.167626505406995	-0.956297163264128	0.688285598761665	0.433526011560694	2	0.0115606936416185	-2.6744306912053	0.0339371349637062	1	1	1.46932482442179
CD28-41BB vs STOP	Inflammatory activated microglia	655	0.0478321759465443	0.100155346663122	-0.43292433683483	0.569414707912137	0.525190839694657	0	0	NA	0.0593853196135873	1	1	1.22632090179978
CD28-41BB vs STOP	Inflammatory monocytes	88	-0.288778622078748	-0.320209600857798	-1.06332456003017	0.240177653729071	0.352272727272727	0	0	NA	0.0594811047984048	1	1	1.22562097351601
CD8-41BB vs STOP	Angiogenic TAMs	775	1.13604252874089	1.21031185023502	0.13296792620106	2.14589309295955	0.784516129032258	97	0.125161290322581	3.87321165738017	0.000390852984104186	0.236426272544598	1	3.40798656792067
CD8-41BB vs STOP	Antigen-presenting TAMs	639	1.19921060846094	1.34878732858258	0.279726204624685	2.36020292496472	0.807511737089202	88	0.137715179968701	3.77618885096709	0.000398299360500743	0.236426272544598	0.992592592592593	3.39979039088221
CD8-41BB vs STOP	Early activated microglia	913	-1.06178884599497	-1.11713780629071	-2.06621599975386	-0.1328528325016	0.228915662650602	119	0.130339539978094	-3.27339179777236	0.000500187906485756	0.236426272544598	1	3.30086681282542
