comparison	cell_group	n_neighborhoods	median_logFC	mean_logFC	q25_logFC	q75_logFC	fraction_positive_logFC	n_nominal	fraction_nominal	median_logFC_nominal	min_p_value	min_spatial_fdr	median_cell_group_fraction	neg_log10_min_p
41BB-L vs tumor	Angiogenic TAMs	775	3.2904206539314	3.36804806290166	1.51459066519213	5.62013544694355	0.900645161290323	340	0.438709677419355	5.74461964779703	0.000269141612333777	0.322896672924588	1	3.57001915021173
41BB-L vs tumor	Antigen-presenting TAMs	639	1.9362953274126	2.03527730102564	0.148774714621343	3.57009405929435	0.768388106416275	184	0.287949921752739	5.24430363315875	0.000276367185495005	0.322896672924588	0.992592592592593	3.55851352426625
41BB-L vs tumor	Perivascular macrophages	251	-0.76034287197764	-1.22425957745526	-1.75559900437135	-0.0890337061725396	0.231075697211155	29	0.115537848605578	-4.78267620166775	0.000853126439260968	0.322896672924588	1	3.06898659860508
41BB-L vs tumor	Lipid-associated TAMs	275	2.77725846666855	3.21504700092244	1.79092466442999	4.83977804052322	0.970909090909091	103	0.374545454545455	5.42853559106916	0.00109201534768678	0.322896672924588	1	2.96177125781366
41BB-L vs tumor	Perivascular macrophages (chemokine-producing)	173	-0.653222134574787	-0.861785981426065	-1.33346006570074	-0.129940590647928	0.213872832369942	12	0.069364161849711	-3.37762737844709	0.00282088580290326	0.322896672924588	1	2.54961449490554
41BB-L vs tumor	Inflammatory TAMs	167	5.20535499313127	4.92293489499294	4.48075652944672	5.69020334675679	0.982035928143713	90	0.538922155688623	5.68128602452092	0.00600461321146451	0.322896672924588	1	2.22151496253864
41BB-L vs tumor	TAM-like phagocytic microglia	919	0.239360876981711	0.368703289653478	-0.452317957757469	1.05980022328794	0.571273122959739	38	0.0413492927094668	4.88380918340165	0.00641770910568738	0.322896672924588	1	2.19261997197998
41BB-L vs tumor	Homeostatic microglia	535	0.0680009966368794	0.0152202676862824	-0.875305143560363	0.840353883729194	0.521495327102804	18	0.0336448598130841	-3.19684461097689	0.00770286659511086	0.322896672924588	1	2.11334762356018
41BB-L vs tumor	cDC1	114	1.79785297309302	1.93798091492221	1.2105086845643	2.25750231492222	0.947368421052632	11	0.0964912280701754	5.05781434232776	0.00928224587972079	0.322896672924588	1	2.03234693163002
41BB-L vs tumor	Antigen-presenting monocytes	197	0.675057845904005	1.08581443317493	-0.110222638334539	1.90757810265198	0.690355329949239	15	0.0761421319796954	5.37502619444342	0.0108292048917154	0.322896672924588	1	1.96540342923036
41BB-L vs tumor	Early activated microglia	913	0.0644782223276034	0.0379489627161802	-0.439987486247012	0.550155869312303	0.531215772179628	3	0.00328587075575027	2.9066155963204	0.0193726439025053	0.322896672924588	1	1.7128111044274
41BB-L vs tumor	Stress-response microglia	1539	0.15580336886389	0.0803420554186561	-0.419647649125087	0.6482847958086	0.581546458739441	6	0.00389863547758285	-2.52982847249761	0.0314022218491188	0.335832286053703	1	1.50303962254225
