"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.956027346300161,0.72,0.579,0,"41BB-L","Ier5"
0,0.794035375125414,0.623,0.486,0,"41BB-L","Klf2"
0,0.738136378781345,0.807,0.702,0,"41BB-L","Marcks"
0,0.708778521178372,0.632,0.54,0,"41BB-L","Gnai2"
0,0.922745882973508,0.727,0.636,0,"41BB-L","Cebpb"
0,0.811129484795873,0.863,0.772,0,"41BB-L","Jund"
0,0.676839317969267,0.771,0.692,0,"41BB-L","Junb"
0,0.622524066378491,0.789,0.732,0,"41BB-L","Gna13"
2.61886222860618e-269,0.538643866296368,0.812,0.767,4.99024197660908e-265,"41BB-L","Zfp36"
1.1725317811941e-267,0.526287304342007,0.765,0.664,2.23425930906537e-263,"41BB-L","Jun"
1.26206188455803e-262,0.573247262367101,0.723,0.636,2.40485892102533e-258,"41BB-L","Rhob"
8.98449926534209e-248,0.710394346267628,0.513,0.427,1.71199633501094e-243,"41BB-L","Rgl2"
2.058684986671e-245,0.718098469678776,0.629,0.557,3.92282424210159e-241,"41BB-L","Fosb"
2.85732738469097e-241,0.539225334965495,0.691,0.646,5.44463733152864e-237,"41BB-L","Itm2c"
1.30392864150964e-230,0.633090674797824,0.621,0.564,2.48463602639663e-226,"41BB-L","Ski"
4.89038242188346e-229,0.561863395897409,0.79,0.761,9.31862370489893e-225,"41BB-L","Pik3ap1"
3.00213794130919e-224,0.713616887524696,0.646,0.589,5.72057384716466e-220,"41BB-L","Mafb"
3.80390369897592e-198,0.836511188746481,0.576,0.509,7.24833849839861e-194,"41BB-L","Kdm6b"
4.31244643641029e-187,0.64042488283385,0.573,0.517,8.21736668457982e-183,"41BB-L","Irf2bp2"
1.13748416417754e-178,0.549334380801552,0.697,0.637,2.16747607484031e-174,"41BB-L","Fos"
1.41127313808373e-139,0.622326998168474,0.506,0.472,2.68918096461855e-135,"41BB-L","Tapbp"
6.16897769372891e-114,0.526594038925758,0.57,0.536,1.17549869954004e-109,"41BB-L","Irf8"
1.030369416708e-78,0.599507094347747,0.51,0.485,1.9633689235371e-74,"41BB-L","Man1a"
3.27429214703462e-63,0.529446322852961,0.516,0.489,6.23916368617448e-59,"41BB-L","Nfkbib"
0,1.04067486781211,0.588,0.241,0,"B7H3","Cd74"
0,1.65477427976649,0.505,0.278,0,"B7H3","Sdc3"
0,1.5681633414668,0.597,0.37,0,"B7H3","Lgals3bp"
0,1.46010300516867,0.54,0.324,0,"B7H3","Axl"
0,1.10107061470488,0.546,0.379,0,"B7H3","Bst2"
0,1.17353032001823,0.677,0.524,0,"B7H3","Gnai2"
0,1.10051507594679,0.557,0.406,0,"B7H3","Gm2a"
0,1.13349739181898,0.618,0.504,0,"B7H3","Npc2"
0,1.05350541544186,0.562,0.457,0,"B7H3","Tapbp"
0,0.89402410890994,0.723,0.633,0,"B7H3","Cebpb"
0,1.44786427539474,0.543,0.457,0,"B7H3","Cd63"
0,0.802478762035778,0.695,0.614,0,"B7H3","Psap"
0,0.91191470793283,0.707,0.63,0,"B7H3","Srsf5"
0,0.98424600321674,0.812,0.744,0,"B7H3","Grn"
0,0.678866359641813,0.761,0.71,0,"B7H3","Ucp2"
0,0.686369750881367,0.693,0.643,0,"B7H3","Itm2c"
0,0.588109719306387,0.706,0.668,0,"B7H3","Clta"
0,0.904403126418916,0.886,0.893,0,"B7H3","Ctss"
4.90843737753077e-237,0.75056551984356,0.522,0.409,9.35302742288488e-233,"B7H3","Srgn"
3.26640931586463e-219,0.919423622491157,0.525,0.434,6.22414295138006e-215,"B7H3","Cstb"
3.51072027045586e-213,0.56574691665414,0.713,0.721,6.68967747535364e-209,"B7H3","Marcks"
9.05523534423086e-191,0.535877680729363,0.662,0.633,1.72547509484319e-186,"B7H3","Cotl1"
2.40855041073147e-161,0.596079155546428,0.567,0.521,4.58949280764882e-157,"B7H3","Arpc1b"
1.47738064448719e-149,0.839243102607419,0.543,0.513,2.81514881807035e-145,"B7H3","P4hb"
5.55275427533193e-134,0.554212561641173,0.617,0.594,1.0580773271645e-129,"B7H3","Mafb"
3.92155411170548e-111,0.55442562752308,0.609,0.6,7.4725213598548e-107,"B7H3","Ier5"
