"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V1",4.57564984133508e-13,2.28782492066754e-11,0.921426003494898,-0.531367440267833,-2.26052988375848,183,"Psma7;Hnrnpc;Fam120a;Snrpg;Usp1;Tomm70a;Ube2e1;Canx;Ran;Clns1a;Mcm4;Eif3j1;Snrpb2;Abce1;Ywhaq;Orc2;Cbx3;Nap1l1;Psma6;Prps2;Psma1;Prdx3;Etf1;Pabpc1;Ranbp1;Impdh2;Mcm6;Acp1;H2az1;Eif1ax;Hnrnpr;Pgk1;Eif2s2;Pwp1;Lsm2;Cct3;Hnrnpa2b1;Eif2s1;Psma4;Uba2;Xrcc6;Txnl4a;Cul1;Mcm2;Aimp2;Ncbp1;Nop16;Srsf3;Srm;Ctps;Kpnb1;Hnrnpa1;Vdac1;Psma2;Xpo1;Ptges3;Stard7;Eif4g2;Hsp90ab1;Rrm1;C1qbp;Xpot;Ywhae;Pa2g4;Cct4;Iars;Serbp1;Eif3d;Snrpa1;Erh;Eef1b2;Eif4a1;Smarcc1;Ndufab1;Hddc2;Prdx4;Ddx18;Hprt"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",4.17966614763955e-07,1.04491653690989e-05,0.674962860011025,-0.444847710424841,-1.89918707441433,186,"Ndufv1;Uqcrc2;Ndufv2;Slc25a5;Ndufb4;Slc25a11;Acat1;Etfdh;Dld;Decr1;Glud1;Tomm70a;Fh1;Abcb7;Prdx3;Idh3g;Uqcrb;Mpc1;Pmpca;Ndufa9;Atp6v1h;Lrpprc;Ndufs3;Mdh1;Retsat;Ndufs8;Vdac2;Phyh;Vdac1;Timm9;Uqcrfs1;Idh3b;Ndufa5;Cyb5a;Sucla2;Ndufs6;Echs1;Ndufa6;Aldh6a1;Opa1;Ndufa4;Hadhb;Idh3a;Atp6v0b;Cox11;Atp5o;Mtrr;Ldhb;Ech1;Eci1;Dlat;Fdx1;Ndufb3;Tomm22;Hspa9;Supv3l1;Cox7b;Atp6v1c1;Ndufab1;Atp5g3;Rhot1;Oat"
"HALLMARK_FATTY_ACID_METABOLISM",1.71087889773772e-06,2.85146482956287e-05,0.643551836150722,-0.441739939474535,-1.84863600404404,155,"Adsl;Ywhah;Etfdh;Acsl5;Dld;Decr1;Serinc1;Fh1;Grhpr;Nsdhl;Elovl5;H2az1;Idh3g;Suclg2;Aldh3a2;Nbn;Me1;Hsd17b4;Lgals1;Maoa;Gstz1;Mdh1;Pts;Retsat;Idi1;Hmgcs1;Idh3b;Hsd17b7;Sucla2;Crat;Echs1;Slc22a5;Ehhadh;Hadhb;Ech1;Eci1;Cidea;Bmpr1b;Cd1d1;Rdh11;Hibch;Hsd17b11;Mcee;Glul;Acads;Erp29;Car2;Cryz;Car4;Aoc3;Urod;Acsl4;Aldh9a1;Cpox;Mdh2"
"HALLMARK_ALLOGRAFT_REJECTION",4.49593926670232e-05,0.000561992408337789,0.557332238758646,-0.396478759104596,-1.69052370970543,191,"Klrd1;Mmp9;Lyn;Eif3j1;Flna;Cd80;Abce1;Ptprc;B2m;Ccl11;Hif1a;Bcl10;Gcnt1;Irf4;Tlr1;Cd8b1;Cd79a;Cd4;Ccr2;Tlr6;Eif3a;Icosl;Cd86;Ube2n;Fyb;Ccl2;Wars1;Il1b;Galnt1;Il6;Ly86;Gzmb;Ifnar2;Tgfb2;Ptpn6;St8sia4;Ifngr2;Egfr;Map3k7;Bcat1;Abi1;Cd7;Eif3d;H2-Q7;Il27ra;Il15;H2-Aa;Igsf6;Ccnd3;Prkcb;Lif;Cd1d1;Tlr3"
"HALLMARK_E2F_TARGETS",8.27719119620177e-05,0.000827719119620177,0.538434096309916,-0.388933042312655,-1.66463390546991,197,"Ing3;Mthfd2;Rfc1;Usp1;Cks2;Ran;Mcm4;Rad51c;Nudt21;Smc1a;Orc2;Nap1l1;Rbbp7;Ranbp1;Asf1a;Mcm6;H2az1;Cse1l;Msh2;Nbn;Trip13;Tubg1;Eif2s1;Xrcc6;Depdc1a;Rfc3;Mcm2;Hus1;Ctps;Atad2;Smc6;Rad50;Mki67;Dscc1;Xpo1;Cbx5;Nup153;Chek1;Ipo7;Eed;Ctcf;Rpa3;Pa2g4;Tipin;Stag1;Tfrc;Plk4;Paics;Dck;Orc6;Ssrp1;E2f8;Ezh2;Prdx4;Smc3;Naa38;Cdkn2c;Nup205;Rfc2;Mre11a;Dut"
"HALLMARK_MTORC1_SIGNALING",0.000546398617039005,0.00455332180865838,0.477270815362862,-0.371875556698794,-1.59069093150365,198,"Uchl5;Mthfd2;Eef1e1;Actr3;Psma3;Canx;Pitpnb;Mcm4;Actr2;Add3;Elovl5;Etf1;Lta4h;Calr;Lgmn;Sqle;Ube2d3;Slc2a3;Pgk1;Tubg1;Eif2s2;Sdf2l1;Me1;Psma4;Niban1;Mcm2;Idi1;Hmgcs1;Fads1;Wars1;Elovl6;Tbk1;Vldlr;Dhfr;Arpc5l;Bcat1;Ctsc;Tfrc;Ufm1;Tmem97;Ssr1;Cacybp;Cyp51;Hspa9;Qdpr;Dapp1;Ppa1;Rdh11;Glrx;Hprt;Sytl2;Nup205;Gbe1;Pno1;Serp1;Psmg1;Psmc2;Hspa4;Stip1;Rpa1;Scd1;Gga2;Psmc6;Tpi1;Rab1a;Abcf2;Cdc25a;Psme3;Psph;Asns;Nampt;Nfyc;Pdk1;Atp2a2;Gsk3b;Cct6a;Phgdh;Ak4;Rpn1;Srd5a1;Ddit4"
"HALLMARK_ANDROGEN_RESPONSE",0.00176119197806396,0.0125799427004569,0.45505986738723,-0.418614350624964,-1.67193807061402,107,"Tnfaip8;Dbi;Elk4;Slc26a2;Elovl5;B2m;Plpp1;Selenop;Srp19;Xrcc6;Spcs3;H1f0;Pdlim5;Ccnd1;Idi1;Hmgcs1;Fads1;Lifr;Klk1;Dnajb9;Stk39;Pa2g4;Abcc4;Herc3;Fkbp5;Arid5b;B4galt1;Ccnd3;Tsc22d1;Sec24d;Bmpr1b;Zmiz1;Akap12;Uap1;Inpp4b;Scd1;Mertk;Pias1;Hpgd;Adamts1;Gpd1l;Klk1b1;Cdc14b;Ell2;Ncoa4;Ndrg1;Dhcr24;Sgk1;Gucy1a1"
"HALLMARK_PROTEIN_SECRETION",0.00351662679109838,0.0219789174443649,0.431707695803346,-0.409361701812222,-1.61276229530724,94,"Rer1;Rab14;Stx12;Sh3gl2;Arfgef1;Dnm1l;Copb1;Stx7;Ocrl;Vamp3;Atp7a;Lamp2;Arcn1;Ppt1;Mapk1;Snx2;Atp6v1h;Cltc;Tsg101;Gbf1;Egfr;Sec31a;Scamp1;Ctsc;Cope;Dop1a;Sec24d;Gosr2;Dst;Tmed10;Tmed2;Adam10;Ap1g1;Scrn1;Golga4"
"HALLMARK_P53_PATHWAY",0.00669573955549404,0.037198553086078,0.407017918923954,0.272244083576673,1.37969183232835,193,"Osgin1;Ier5;Bax;Gadd45a;Notch1;Aen;Wrap73;Tgfb1;Rab40c;Foxo3;Def6;Pdgfa;Ptpre;Trafd1;Rhbdf2;Cebpa;Sat1;Klf4;Rxra;F2r;Ddit3;Acvr1b;Mapkapk3;Sertad3;Jun;Mknk2;H2aj;Ppp1r15a;Atf3;Rap2b;Gm2a;Jag2;Tap1;Cdkn1a;Sphk1;Socs1;Mdm2;Irak1;Sfn;Irag2;Ralgds;Ppm1d;Slc7a11;Kif13b;Fdxr;Ak1;Dram1;Ccnd2;Trib3;Baiap2;Epha2;Tcn2;Ddb2;Abcc5"
"HALLMARK_UV_RESPONSE_DN",0.0122826208065752,0.0614131040328761,0.380730400722792,-0.350260990395557,-1.45457903425322,141,"Prdm2;Phf3;Nrp1;Dab2;Pten;Nek7;Add3;Dmac2l;Ddah1;Gcnt1;Nipbl;Pdlim5;Mapk14;Mios;Nfib;Atrn;Nr1d2;Atrx;Vldlr;Dyrk1a;Kcnma1;Tgfbr2;Sri;Wdr37;Zmiz1;Ptgfr;Mgmt;Cdk13;Inpp4b;Erbb2;Spop;Vav2;Mt1;Atp2b1;Ccn1;Syne1;Plcb4;Bmpr1a;Rgs4;Mmp16;Rbpms"
"HALLMARK_COMPLEMENT",0.024395182397216,0.110887192714618,0.352487857583619,-0.314829784120765,-1.34221019679627,192,"Kif2a;Adra2b;Spock2;Itgam;Psen1;Lyn;Ctsh;Prcp;Hpcal4;Zfpm2;Lta4h;Dock10;Lgmn;Dock4;Lamp2;Usp14;Cp;Pik3cg;Me1;Tnfaip3;Cxcl2;Gnb2;Pik3ca;Casp4;Vcpip1;Klk1;S100a9;Lap3;Itih1;Cd55;Il6;C1qa;Gzmb;Ctsc;Cfh;Cxcl1;Fdx1;Klkb1;Dpp4;Adam9;Prdm4;Calm3;Car2;Usp15;Plscr1;Usp16;Kcnip3;Ltf;Mmp13"
"HALLMARK_ADIPOGENESIS",0.0313594261762343,0.122177154157517,0.321775918075361,-0.312721985212248,-1.33845048616799,197,"Samm50;Dld;Decr1;Dhrs7b;Ubqln1;Ptcd3;Dram2;Prdx3;Dbt;Itsn1;Idh3g;Dhrs7;Rtn3;Me1;Jagn1;Bcl2l13;Aplp2;Ndufs3;Reep5;Sult1a1;Retsat;Pqlc3;Map4k3;Phyh;Lifr;Dnajb9;Elovl6;Ndufa5;Cmpk1;Crat;Echs1;Idh3a;Atp5o;Ech1;Dlat;Lpl;Ghitm;Cidea;Lpcat3;Fah;Cox7b;Ndufab1;Qdpr;Atl2;Cdkn2c;Hibch;Araf;Mtarc2;Acads;Mrap;Col15a1;Gbe1;Elmod3;Nabp1;Rreb1;Cd302;Gpam;Itga7;Bcl6;Mylk;Tank;Mdh2"
"HALLMARK_PEROXISOME",0.0317660600809545,0.122177154157517,0.321775918075361,-0.35131765888935,-1.40206496890264,102,"Ide;Cln6;Ywhah;Acsl5;Elovl5;Isoc1;Pabpc1;Pex2;Bcl10;Msh2;Itgb1bp1;Hsd17b4;Cadm1;Pex13;Fdps;Retsat;Idi1;Ctps;Fads1;Abcd3;Crat;Gnpat;Ehhadh;Dlg4;Ech1;Smarcc1;Rdh11;Crabp2;Hsd17b11;Hras;Slc23a2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0359897172236504,0.128359406337746,0.271288554688953,-0.332497317583045,-1.33425532224496,110,"Mthfd2;Hyou1;Parn;Dkc1;Yif1a;Spcs1;Paip1;Sdad1;Calr;Nfyb;Exosc10;Eif2s1;Spcs3;Ccl2;Dnajb9;Cnot6;Pdia6;Dctn1;Atp6v0d1;Eif4a3;Xpot;Iars;Sec31a;Atf6;Cnot2;Ssr1;Eif4a1;Hspa9;Gosr2;Kif5b;Serp1;Slc30a5;Nabp1;Pdia5"
"HALLMARK_HEME_METABOLISM",0.0385078219013237,0.128359406337746,0.252961123069611,-0.305575790280808,-1.30292760133816,191,"Slc10a3;Mboat2;Daam1;Nek7;Kat2b;Fbxo7;Minpp1;Abcg2;Btrc;Ctns;Lamp2;Bpgm;Klf3;Add1;Cir1;Dcaf11;H1f0;Top1;Gapvd1;Ezh1;Synj1;Xpo7;Nudt4;Vezf1;Ctse;Arl2bp;Arhgef12;Aldh6a1;Foxj2;Mospd1;Dcun1d1;Rad23a;Tfrc;Eif2ak1;Myl4;Endod1;Marchf8;Slc6a9;Bnip3l;Ccnd3;Kdm7a;Epb41;Narf;H4c14;Cdr2;Epor;Xk;Car2;Usp15;Mark3;Bmp2k;Urod;Tns1;Igsf3;Cpox;Nfe2l1;Gclm"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0488676996424315,0.152711561382598,0.222056046145248,-0.30256047642282,-1.29419693606543,198,"Mthfd2;Psma3;Fpr1;Isoc1;B2m;Hif1a;Tdrd7;Bpgm;Irf4;Ddx60;Tnfaip3;Marchf1;Gpr18;Cd86;Gbp9;Cd38;Casp4;Ptgs2;Ccl2;Wars1;Psma2;Lap3;Ifitm3;Il6;Fcgr1;Pde4b;Sppl2a;Ifnar2;Eif2ak2;Ptpn6;St8sia4;Rapgef6;Cfh;Ncoa3;Arid5b;H2-Q7;Il15;Sri;H2-Aa;Cmklr1;Mt2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0546115871763074,0.159638554216867,0.321775918075361,0.242146073592819,1.22332192066277,197,"Tnip2;Ier5;Kdm6b;Gadd45a;Clcf1;Cflar;Cebpb;Cebpd;Nfkb2;Ptpre;Rhob;Phlda2;Nfkb1;Maff;Sat1;Klf4;Mcl1;Sqstm1;Zfp36;Dusp2;Klf2;Fut4;Zc3h12a;Jun;Klf6;Fosb;Nfat5;Marcks;Junb;Ppp1r15a;Atf3;Efna1;Plpp3;Relb;Tubb2a;Stat5a;Tap1;Cdkn1a;Sphk1;Edn1;Trip10;Bhlhe40;Plaur;Gadd45b"
"HALLMARK_MITOTIC_SPINDLE",0.0595947556615018,0.159638554216867,0.199915231309662,-0.2981851149898,-1.27580561049777,199,"Rfc1;Sorbs2;Dock2;Ckap5;Ssh2;Sos1;Flna;Smc1a;Pcm1;Arfgef1;Itsn1;Wasf2;Hook3;Nf1;Dock4;Rasal2;Myo9b;Arhgef11;Lrpprc;Pdlim5;Arhgap5;Tubgcp5;Numa1;Capzb;Arhgef12;Ywhae;Ndc80;Cep192;Atg4b;Rapgef6;Abi1;Rabgap1;Tlk1;Ppp4r2;Clasp1;Cdk5rap2;Akap13;Cdc42;Smc3;Epb41;Synpo;Clip1;Llgl1;Ect2;Stau1;Rasa1;Dst;Rock1;Kif5b;Kif23;Dync1h1;Hdac6;Smc4;Kntc1"
"HALLMARK_HEDGEHOG_SIGNALING",0.0635400907715582,0.159638554216867,0.219250346703755,-0.430107848885039,-1.42971209584656,36,"Nrp1;Unc5c;Nf1;Nrp2;Dpysl2;Vldlr;Tle1;Adgrg1;L1cam;Ldb1;Rasa1"
"HALLMARK_G2M_CHECKPOINT",0.063855421686747,0.159638554216867,0.193813302725311,-0.297517126290326,-1.26801261636147,193,"Cks2;Dkc1;Orc5;Smc1a;Slc12a2;Prpf4b;Mcm6;H2az1;Hif1a;Sqle;Wrn;E2f3;Rasal2;Mtf2;Top1;Tnpo2;Cul1;Mcm2;Hus1;Mapk14;Ccnd1;Ncl;Kpnb1;Sap30;Mki67;Xpo1;Numa1;Polq;Chek1;Atrx;Ctcf;Ndc80;Cul3;Stag1;Ss18;Plk4;Hira;Mt2;Orc6;Ezh2;Smarcc1;Casp8ap2;Cdkn2c;Hoxc10;Meis1;Kif5b;Kif23;Smc2;Ccna2;Dr1;Smc4;Cdc45;Fancc;Cenpf"
"HALLMARK_KRAS_SIGNALING_UP",0.0680190930787589,0.161950221616093,0.186432558434075,-0.296871078174826,-1.27204603314411,202,"Zfp639;Zfp277;Ppbp;St6gal1;Dock2;Mmp9;Tmem176a;Ptcd2;Nrp1;Clec4a3;Cab39l;Tspan7;Prelid3b;Bpgm;Il1rl2;Tnfaip3;Ly96;Wdr33;Tlr8;Sox9;Bmp2;Ptgs2;Cpe;Il1b;Tmem176b;Cd37;F13a1;Mtmr10;Cfh;Adam17;Cmklr1;Cidea;Akt2;Jup;Lat2;Mmp10;Birc3;Lif;Glrx;Wnt7a;Sdccag8;Ptprr;Tmem100;Akap12;Satb1;Vwa5a;Car2;Fbxo4;Ccl20;Serpina3n;Ereg;Etv1;Tspan1;Mmd;Flt4;Fgf9;Ikzf1;Lcp1;Anxa10;Hoxd11;Dcbld2"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0890052356020942,0.202284626368396,0.169570644405628,-0.316178760378996,-1.2620180105788,103,"Arpc3;Them4;Actr3;Actr2;Plcb1;Pten;Pla2g12a;Cab39l;Calr;Ube2d3;Mapk1;Ralb;Smad2;Ube2n;Prkag1;Cltc;Tbk1;Csnk2b;Egfr;Map3k7;Ecsit;Tsc2;Prkcb;Dapp1;Fgf17;Fasl;Hras;Pitx2;Map2k6;Grk2;Prkar2a"
"HALLMARK_INFLAMMATORY_RESPONSE",0.122765196662694,0.266880862310204,0.135002033828631,-0.279993964157034,-1.19797351517455,199,"Cd48;Calcrl;Psen1;Lyn;Clec5a;Fpr1;Ptafr;Ifnar1;Pcdh7;Marco;Hif1a;Adgre1;Tlr1;Msr1;Slc31a1;Icosl;Ccl2;Ccl24;Il1b;P2rx7;Cd55;Il6;Pde4b;Eif2ak2;Ifngr2;Ahr;Itgb8;Abi1;Il18r1;Gpr183;Rgs1;Il15;Sri;Osm;Cmklr1;Lif;Slamf1;Ndp;Tlr3;Ifitm1;Sell;Il1r1;Il18rap;Atp2b1;Ccl20;Cxcl5;Il1a;Ereg;Slc1a2;Lcp2;Dcbld2;Lta;Nampt;Ccl7;Ripk2;Prok2;Atp2a2;Cybb;Rasgrp1;Cxcr6;Tnfsf9;Il10ra;Tnfrsf9;Tlr2;Slc11a2;Rhog;Lamp3;Il10;Kcnj2;Gch1;Cd40;Olr1;Best1;Il7r;Ffar2;Cd82;Gp1ba;Mmp14"
"HALLMARK_APICAL_JUNCTION",0.143027413587604,0.297973778307509,0.12384217120105,-0.277082566989308,-1.18562234432367,196,"Ywhah;Mmp9;Arpc2;Pten;Ptprc;Nf1;Arhgef6;Sirpa;Tubg1;Nrxn2;Cdh1;Myl12b;Dmp1;Cd34;Mapk14;Cd86;Fyb;Lima1;Gamt;Crat;Exoc4;Egfr;Amigo1;Inppl1;B4galt1;Ctnna1;Akt2;Jup;Adam9;Nectin3;Pcdh1;Pals1;Rasa1;Icam2;Hras;Cdh15;Cap1;Vav2;Pik3cb;Cldn5;Nexn;Mdk;Thy1;Cdk8;Slit2;Slc30a3;Actg2"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.25,0.5,0.176694268938498,0.241940492246063,1.08807336863205,86,"Tnfrsf12a;Tgfb1;Csf2ra;Pik3r5;Il4ra;Crlf2;Acvr1b;Il3ra;Jun;Il17ra;Itga4;Cbl;Acvrl1;Pdgfc;Socs1;Pim1;Inhbe;Myd88;Stat2;Pf4;Itgb3;Il15ra;Il12rb1"
"HALLMARK_NOTCH_SIGNALING",0.294277929155313,0.55787240269242,0.131457611642763,0.295779541076921,1.08650100596532,31,"Notch1;Fzd7;Fzd5;Lfng;Fbxw11;Psen2;Wnt2"
