"analysis","seurat_clusters","n","lineage","median_pseudotime","mean_pseudotime","functional_state_label","projectils_label","projectils_label_prop","singler_immgen_label","singler_mousernaseq_label","top_previous_tcell_subtype","seurat_cluster_top_previous_tcell_subtype","seurat_cluster_projectils_label"
"CD4-like_all_conditions","0",849,"slingPseudotime_1",27.4707208361977,28.0141199557237,"Stress-response CD4 T cells","Th1",0.46643109540636,"T cells (T.Tregs)","T cells","Treg","0: Treg","0: Th1"
"CD4-like_all_conditions","2",504,"slingPseudotime_1",38.7411760960055,37.8308544257041,"Activated CD4 T cells","Treg",0.819444444444444,"T cells (T.Tregs)","T cells","Treg","2: Treg","2: Treg"
"CD4-like_all_conditions","3",321,"slingPseudotime_1",20.430551783932,18.7378437075676,"Activated CD4 T cells","Th1",0.623052959501558,"NKT (NKT.4+)","T cells","Quiescent T cells","3: Quiescent T cells","3: Th1"
"CD4-like_all_conditions","4",49,"slingPseudotime_1",21.4599822287332,23.7490335435827,"Activated CD4 T cells","Th1",0.838709677419355,"T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4: Activated CD4 effector / helper-like T cells","4: Th1"
"CD4-like_all_conditions","5",10,"slingPseudotime_1",26.0275014532167,26.9774160349066,"Activated CD4 T cells","Th1",0.818840579710145,"T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","5: Activated CD4 effector / helper-like T cells","5: Th1"
"CD4-like_all_conditions","0",195,"slingPseudotime_2",21.477322501995,21.3962079822337,"Stress-response CD4 T cells","Th1",0.46643109540636,"T cells (T.Tregs)","T cells","Treg","0: Treg","0: Th1"
"CD4-like_all_conditions","1",507,"slingPseudotime_2",53.0161964132743,51.3923618577435,"Activated CD4 T cells","Th1",0.45956607495069,"T cells (T.8EFF.OT1.48HR.LISOVA)","T cells","Cycling / proliferating CAR T cells","1: Cycling / proliferating CAR T cells","1: Th1"
"CD4-like_all_conditions","2",82,"slingPseudotime_2",22.3219510668133,22.526781783313,"Activated CD4 T cells","Treg",0.819444444444444,"T cells (T.Tregs)","T cells","Treg","2: Treg","2: Treg"
"CD4-like_all_conditions","3",321,"slingPseudotime_2",19.4390151334741,17.8721791875884,"Activated CD4 T cells","Th1",0.623052959501558,"NKT (NKT.4+)","T cells","Quiescent T cells","3: Quiescent T cells","3: Th1"
"CD4-like_all_conditions","4",186,"slingPseudotime_2",25.4920333530324,25.4587801965612,"Activated CD4 T cells","Th1",0.838709677419355,"T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4: Activated CD4 effector / helper-like T cells","4: Th1"
"CD4-like_all_conditions","5",7,"slingPseudotime_2",22.5395765484317,22.4967208991784,"Activated CD4 T cells","Th1",0.818840579710145,"T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","5: Activated CD4 effector / helper-like T cells","5: Th1"
"CD4-like_all_conditions","0",848,"slingPseudotime_3",27.8426027692162,28.0042617337067,"Stress-response CD4 T cells","Th1",0.46643109540636,"T cells (T.Tregs)","T cells","Treg","0: Treg","0: Th1"
"CD4-like_all_conditions","2",111,"slingPseudotime_3",33.1779106538382,31.6136072516922,"Activated CD4 T cells","Treg",0.819444444444444,"T cells (T.Tregs)","T cells","Treg","2: Treg","2: Treg"
"CD4-like_all_conditions","3",321,"slingPseudotime_3",20.5055883079916,18.8359960393641,"Activated CD4 T cells","Th1",0.623052959501558,"NKT (NKT.4+)","T cells","Quiescent T cells","3: Quiescent T cells","3: Th1"
"CD4-like_all_conditions","4",45,"slingPseudotime_3",21.4315886316257,23.8486295060574,"Activated CD4 T cells","Th1",0.838709677419355,"T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","4: Activated CD4 effector / helper-like T cells","4: Th1"
"CD4-like_all_conditions","5",138,"slingPseudotime_3",41.1969653354712,41.6080027775523,"Activated CD4 T cells","Th1",0.818840579710145,"T cells (T.Tregs)","T cells","Activated CD4 effector / helper-like T cells","5: Activated CD4 effector / helper-like T cells","5: Th1"
