"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sparc",54.9561129119521,-21.778663885498,4.13169074362286,-5.27112633468822,1.35589097058402e-07,0.00221511907864311
"Elp4",38.686749805198,-2.22031080243436,0.495447577917236,-4.4814242745279,7.41465420008093e-06,0.0605666028333611
"Pus7",31.7270209764424,-2.87830927773831,0.691408035091114,-4.16296764234018,3.14137898532842e-05,0.128301771208276
"Emc3",81.9327302398698,-1.59829172762808,0.382245038284669,-4.18132759760712,2.8981195268237e-05,0.128301771208276
"Xrn1",57.4957458773012,-1.73633930650751,0.448344101016125,-3.87278276344504,0.000107599727787584,0.251122393266538
"Rala",42.4266841457227,-1.50076135348159,0.386461545613897,-3.88333941763242,0.000103031585616957,0.251122393266538
"Tnfaip8",178.4955251401,-1.33666377303625,0.344943868628457,-3.87501821195144,0.000106616725438857,0.251122393266538
"Tmco1",58.1333603583806,-1.9473948694655,0.513525476493941,-3.79220692761184,0.000149314413799276,0.263405787254406
"Trbv4",71.4781446926339,-2.2934936752729,0.607854189542179,-3.77309840868301,0.000161232654253783,0.263405787254406
"Pld3",129.230964582306,-2.30901527525352,0.61166446748575,-3.77497042577075,0.000160026647769491,0.263405787254406
"Erp44",49.5218317943159,-2.19727378453225,0.600743273503646,-3.6575919888663,0.000254595899338816,0.342124126666967
"Sumo2",249.741387041342,-2.18659180434139,0.599999095642127,-3.64432516685925,0.000268094302695715,0.342124126666967
"Ms4a4b",761.182624162571,-1.29023111272763,0.354422630552281,-3.64037451761228,0.000272241760829441,0.342124126666967
"Emc4",84.2229683314561,-1.26269287198331,0.357254714531826,-3.53443305468491,0.000408650939808046,0.392713553155532
"Pi4kb",28.035723296136,-2.30858565669054,0.65183021118568,-3.54169784872538,0.000397560586807328,0.392713553155532
"Trim33",60.2985579553185,-1.65598923283236,0.461960448007154,-3.58469916629467,0.000337466959826621,0.392713553155532
"Ppp1r10",88.7286210550755,-2.04049777796846,0.576453651095153,-3.53974300291429,0.00040051685142435,0.392713553155532
"Tmem109",51.6172883855549,-1.33847443504811,0.386203649229853,-3.46572187424233,0.00052881000214065,0.479953833609544
"Prkcq",320.504963869569,-0.937105797501193,0.274478630897207,-3.41413025282883,0.000639859777318897,0.51146061502459
"Rer1",238.43393363666,-0.937972933125866,0.275328842411997,-3.40673692196149,0.00065744462970658,0.51146061502459
"Trmt1",34.6085315302605,-2.08101481116623,0.607832818691605,-3.42366313099995,0.000617831569893486,0.51146061502459
"Cd38",30.6058102958822,-2.09025646493675,0.622794540379799,-3.35625367502749,0.000790060649505719,0.561183514390214
"Tmem33",82.7304349060873,-1.06988419830893,0.317897151402164,-3.36550420030486,0.000764039039302522,0.561183514390214
"Ms4a6b",570.072617493182,-1.08525423061021,0.326006822177711,-3.32893104310139,0.000871799862746614,0.593441431570476
"Bivm",8.305226348438,-5.27600539445405,1.59191847388251,-3.31424346222106,0.000918914582115176,0.600492301120625
"Gng12",30.0065920419036,-3.68337300135246,1.11689053066649,-3.29788184268555,0.000974171186727648,0.612116718368061
"Rraga",110.326088488467,-1.11698015708962,0.347424862270412,-3.21502655218796,0.0013043245690501,0.789212980910052
"Ndufs3",226.73842092257,-0.625345513664235,0.195463547963945,-3.19929480549276,0.00137764216415406,0.803805001278034
"Ube2f",195.663173794146,0.568945259670735,0.182959567091351,3.10967755726414,0.00187291677883144,0.819037972069747
"Cd48",347.470232665025,-1.04675297156449,0.337605279027775,-3.10052311557124,0.00193179134855217,0.819037972069747
"Fh1",50.8134608087695,-0.996579718928692,0.342005650331583,-2.91392764406811,0.00356912620152749,0.819037972069747
"Parp1",128.5751080938,-0.73737005609625,0.252604509528612,-2.91906924968309,0.00351078223184817,0.819037972069747
"Hspa14",96.0580947699883,-0.964696526129738,0.332495834379255,-2.90137928473828,0.00371523892831381,0.819037972069747
"B2m",1462.92416250302,-1.05629589429923,0.359605693662764,-2.93737255253198,0.00331006193981152,0.819037972069747
"Secisbp2l",48.8186899610848,0.911825372661671,0.289279887987818,3.15205242578105,0.00162127161551332,0.819037972069747
"Pcmtd2",72.3118777083892,-1.3576410715158,0.453606952836969,-2.99298999502715,0.0027625880545834,0.819037972069747
"Taf13",34.9169501757675,-2.09750371288908,0.70610007243438,-2.97054736966339,0.00297269556400592,0.819037972069747
"Gclm",31.0721653278331,-2.25259273998901,0.745791063365423,-3.02040725699242,0.00252435004063678,0.819037972069747
"Ssx2ip",9.95294542807932,-4.26440356528556,1.47972807857902,-2.88188325072581,0.00395306173216005,0.819037972069747
"Nans",83.7288431886613,-1.16447255966004,0.396901457160677,-2.93390850210112,0.00334722865588475,0.819037972069747
"Gatad1",48.8372853948967,-1.88041172436827,0.601862905896306,-3.12431902007306,0.0017821711748774,0.819037972069747
