"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ptger2",98.9859585005974,1.77342031480995,0.148616284591389,11.9328801664357,7.97651019124769e-33,7.77629978544737e-29
"Tnfsf8",25.5412679572962,3.1404074466575,0.272351999726127,11.5306935503152,9.23963492723512e-31,4.50386004528076e-27
"Lrig1",41.0324142189863,1.55427060184828,0.154289518823192,10.0737277146441,7.21890002590102e-24,2.34590187841697e-20
"Rbpj",145.408252893028,1.40771741666655,0.16095357376231,8.74610848184963,2.20836809836252e-18,5.38234514773406e-15
"Btla",63.9484781142106,1.64082256004,0.196339046537636,8.35708733935137,6.42857067879734e-17,1.25344271095191e-13
"Tnfsf11",80.0777354363507,2.50206368074723,0.30683997586007,8.15429499931997,3.51222617411812e-16,5.70678216191293e-13
"Plscr1",80.4254624131439,1.22130555286238,0.150269176117345,8.12745224548692,4.38407252294814e-16,6.10576043231735e-13
"Psap",15.912766256853,-5.48358051876175,0.678485993501349,-8.08208359683825,6.36694333604511e-16,7.75891632288798e-13
"H2-Aa",39.8397806106915,-7.01567507642173,0.870703849164413,-8.05747566541075,7.78860916846937e-16,8.43679453148976e-13
"Lta",28.8684251754847,1.7371046294233,0.219739911838134,7.90527590046042,2.67340811407917e-15,2.56452872937891e-12
"Vegfa",25.1854297857787,-3.52817268456384,0.4468637392531,-7.89541055727842,2.89361124455513e-15,2.56452872937891e-12
"H2-Ab1",56.3612808712662,-6.64426027361587,0.883844344385748,-7.5174552123581,5.58526824657583e-14,4.53756501132232e-11
"Top2a",45.0690497495851,-2.45145578266689,0.330138424390852,-7.42553911193505,1.12321470397412e-13,8.42324626849518e-11
"Cd74",148.09504432156,-6.72067090673238,0.908867086731684,-7.39455857170506,1.41878806506355e-13,9.87983203307467e-11
"Gpr55",9.86678828494667,-3.29304092272225,0.449803638364676,-7.32106333042251,2.46013694408749e-13,1.59892500452726e-10
"Kif23",14.6748156729375,-2.87109728016141,0.394805423252325,-7.27218298196084,3.53723992326154e-13,2.1552845007423e-10
"Ccdc50",32.7150341764368,1.17624823459897,0.162143501778055,7.25436555705473,4.03548879416836e-13,2.31423413260867e-10
"Cd40lg",64.0582351174646,2.15627901467243,0.297777808149847,7.24123475845907,4.44618014897348e-13,2.40810057068569e-10
"Rrm2",21.3102377910488,-4.5186803127518,0.629103720264983,-7.18272705627698,6.83344398651454e-13,3.50627607497527e-10
"Pld4",11.2531881200219,-4.11279437828073,0.576022419058759,-7.13999011531736,9.33376309444826e-13,4.54974282038881e-10
"Nusap1",17.2833933017457,-4.21108163552763,0.623886047256999,-6.7497608802797,1.48089012332527e-11,6.87485610109431e-09
"Clspn",10.582997339511,-3.49285834186539,0.521928543294114,-6.69221560449725,2.19816669686298e-11,9.7408759671442e-09
"Crtam",42.3039866716134,3.09506533359852,0.464444397422041,6.66401694320803,2.66442728215538e-11,1.12936963364055e-08
"Ctsz",19.7009594639404,-4.00206718633029,0.609231355013656,-6.56904335831597,5.06395387713823e-11,2.05702026450919e-08
"Trps1",142.531514376848,1.44900952416059,0.221636505589548,6.5377746337692,6.24409172448893e-11,2.4349460088817e-08
"Alox5ap",10.7333678604048,-4.85433659748308,0.747960311887226,-6.49009916747427,8.57798926932152e-11,3.21641605333137e-08
"Mki67",38.3940389549831,-2.5752726035928,0.406839721320425,-6.32994387872104,2.45250384440189e-10,8.8553555478052e-08
"Gbp7",37.0598768964856,-1.23093827809097,0.194880596913914,-6.31637165312418,2.6777563808912e-10,9.00187826114079e-08
"Tmprss3",11.9523796623133,2.60444503222749,0.412026615442251,6.32106018061963,2.59774824102381e-10,9.00187826114079e-08
"Rel",235.820432787768,0.850517298428017,0.135836872962704,6.26131388243557,3.81747249948748e-10,1.24055131325011e-07
"Rnf19a",67.6730282433092,1.02221123811396,0.16344055960191,6.25433026296376,3.99225387444227e-10,1.25549945232057e-07
"Cd82",361.331476556726,1.02979689669637,0.165583682695532,6.21919309881465,4.99718015872309e-10,1.52242216773098e-07
"Cdca3",23.6825265894598,-3.6496495292664,0.588647140846824,-6.20006329091488,5.6440459150339e-10,1.66738798865653e-07
"Cdk1",17.5599291962807,-4.2311430021751,0.685222184533213,-6.17484824292056,6.62270524549872e-10,1.89896333642256e-07
"Tomm5",64.2320956028332,0.66410604333889,0.107642489625789,6.16955298644251,6.84833245430153e-10,1.9075540884853e-07
"Idi2",3.92464962730444,4.96782665445944,0.813920042545462,6.10358068947781,1.03718168936344e-09,2.80874563600116e-07
"Pla2g4f",4.49163024774868,3.64327653058987,0.597919190838905,6.09325906646048,1.10634798187783e-09,2.83836486192815e-07
"Kctd12",33.4981983984135,-2.07670664445637,0.340716466174338,-6.09511676313805,1.09357599962432e-09,2.83836486192815e-07
"Csf1r",13.2024348721674,-4.19464843072773,0.690358966545072,-6.07603961707054,1.23186987657907e-09,3.07935882737675e-07
"Ccr6",21.7170518798274,2.60529963717602,0.437262027882841,5.9582114865782,2.55013370234453e-09,6.2153133660392e-07
"Ect2",5.11238928236649,-3.69226936488916,0.624232081073277,-5.91489844376605,3.32080414843233e-09,7.76931256075777e-07
"Cd200",13.0031902429454,1.98451026022723,0.335584184208183,5.91359889295654,3.34712409018183e-09,7.76931256075777e-07
"Apoe",330.273287019584,-6.86047647637977,1.17145852098492,-5.85635458147653,4.73137493114253e-09,1.07270172566764e-06
"Stat5a",31.6692325000601,1.5892431166054,0.271714868842885,5.84893687773985,4.94724770870571e-09,1.09615267982209e-06
"Ccl1",1126.36147590994,4.69704713849018,0.810435125151523,5.79571022123701,6.80326476318633e-09,1.47388951502897e-06
"Elk3",53.6708147998093,1.01945356937326,0.176253884958311,5.78400623404352,7.29422371542708e-09,1.54589971742823e-06
"Arhgef18",41.8410652121578,-0.94355463479123,0.163296226553239,-5.77817782264312,7.55139756910637e-09,1.56635265747272e-06
"Dck",13.8015170765285,-2.05032952618269,0.356409504601027,-5.75273526579454,8.78109391678572e-09,1.7834767623905e-06
"Gbp4",61.8210203400257,-0.847394813595095,0.147540074611141,-5.74348912204704,9.27453244599141e-09,1.84525340440756e-06
"Brip1",5.95974839450673,-3.1937379024716,0.559069069248646,-5.71259988817443,1.11263067485782e-08,2.16940728983778e-06
"Xcl1",634.446077878774,2.52552643004096,0.442514168585318,5.70722161985199,1.14835220242323e-08,2.19515404341649e-06
"H1f5",87.882551689272,-2.95088137986117,0.51930282807673,-5.6823903516758,1.32825070186869e-08,2.4902146331765e-06
"Cops6",95.5122473871577,0.632303088369554,0.111596616913181,5.66597004335236,1.46195067181507e-08,2.68916171689153e-06
"Tacc3",18.6870593732318,-2.75396518562703,0.488206173641011,-5.64098803808262,1.69077109506359e-08,3.05246803810646e-06
