"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tbc1d10c",297.140625848579,0.936883668454746,0.0716816062534034,13.0700707953271,4.88200717925037e-39,4.91325202519757e-35
"Fam78a",130.274100943551,1.51862911525387,0.128866740979794,11.7844922879829,4.69239171356565e-32,2.36121151026623e-28
"Tnfrsf4",157.771140345859,-3.72754820922926,0.317746246631651,-11.7312108285906,8.81880319953449e-32,2.95841451333717e-28
"Apoe",371.115729381134,-10.410807200867,0.893346478082967,-11.6537171817228,2.19663543562134e-31,5.52673475602329e-28
"Hspa1b",3228.55522027104,2.10340619402864,0.184661855920707,11.3905829849984,4.65862275749391e-30,9.37687588628373e-27
"Epsti1",375.086702410011,1.16861117473948,0.10276271344878,11.3719376952998,5.76924157947469e-30,9.67694120930554e-27
"Cd8b1",180.883408241569,1.93322302118706,0.17225879991596,11.2227823607863,3.1519480051246e-29,4.53160067479629e-26
"Rasal3",250.131205797434,1.018778073315,0.0928127183173045,10.9767076300044,4.94623403443546e-28,6.2223624153198e-25
"Crem",205.014204147278,-2.37855554957922,0.238822463009432,-9.95951352149518,2.29181387028927e-23,2.56275719895458e-20
"Itga1",52.421498551065,2.06924122759014,0.209214841025371,9.89050880639588,4.57695669602054e-23,4.60624921887507e-20
"Cd226",103.866320511876,1.87105452979589,0.190431620942427,9.82533531215158,8.75820766523326e-23,8.01296381299159e-20
"Zfp683",93.2108103233197,2.67832595398928,0.279648893615099,9.57745950418691,9.94612966448294e-22,8.34148741194636e-19
"Nr4a3",152.624953619057,-2.79159602721588,0.295705318615144,-9.44046607037562,3.71124911986044e-21,2.87307778017503e-18
"Hsph1",197.646509237265,2.08408780122185,0.222091444518747,9.38391753783174,6.35659978293375e-21,4.56948715824609e-18
"Foxp3",53.7714148821457,-3.71525018540567,0.399339698675727,-9.30348321923921,1.35918378643279e-20,9.1192170844397e-18
"Vegfa",27.8605754659009,-4.11956798697725,0.44407418204758,-9.27675634728943,1.74716419871306e-20,1.09896628099052e-17
"Cdh1",46.8660882284358,2.13646207130213,0.230982848699526,9.24944030836397,2.25671234656791e-20,1.3359737091682e-17
"Dnaja1",487.269844428106,1.39664783894297,0.15360622033397,9.09239115386336,9.68844306499449e-20,5.41691616700581e-17
"Lrrc32",53.1566067371985,-3.59955646777062,0.396644150028616,-9.07502724422111,1.13649065821182e-19,6.01981157065463e-17
"Rel",150.777992151018,-1.24376726728593,0.137827194319704,-9.02410640675806,1.81167865995993e-19,9.11636701691837e-17
"Slc15a3",24.0095364064856,-5.13628626871449,0.590402642474913,-8.69963292708796,3.32959428750897e-18,1.59566842426144e-15
"Tyrobp",50.8968206791862,-4.62915978410401,0.534647204198186,-8.65834469488417,4.78664225667286e-18,1.98593552795777e-15
"Birc3",82.2550198537855,-1.241171062338,0.143210570068803,-8.66675596460307,4.44606502967537e-18,1.98593552795777e-15
"Ifng",338.766674515286,1.91544770945177,0.22136377699009,8.65294103442008,5.0188959178991e-18,1.98593552795777e-15
"Hspa1a",2701.4826490874,1.992347114269,0.230194006333323,8.65507814909856,4.92574042961559e-18,1.98593552795777e-15
"Jak2",163.457455030006,-1.2847698933914,0.148520936742851,-8.65042950554406,5.13059655473985e-18,1.98593552795777e-15
"Dgat1",57.9894414450584,-3.32162929254135,0.387786243235799,-8.5656192051186,1.07496589893089e-17,4.00683585438538e-15
"H2-Ab1",63.6099048012788,-7.60591571892458,0.889892123931405,-8.54700869283215,1.26319681488064e-17,4.54029026605672e-15
"Il1rl1",21.3571086872354,-4.83746253349094,0.568183627784349,-8.51390694299797,1.68168990372006e-17,5.83604385897884e-15
"Klf6",157.096000592912,1.1718324346633,0.139199633608947,8.41835861404147,3.81795567390586e-17,1.28079686340629e-14
"Ell2",46.8617943330759,-1.69079654017983,0.201823758950467,-8.37758918460536,5.40228270505886e-17,1.75382494011975e-14
