"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ctsz",122.454809898622,4.74088485855044,0.42377231480327,11.1873397410384,4.70333577797491e-29,5.17225835503901e-25
"Prkcd",65.0235841942432,1.98981206859585,0.183304455555127,10.8552302374201,1.88331581588496e-27,1.03554120136435e-23
"Ptafr",12.2313767775744,4.2474604152903,0.402767584207422,10.5456858541597,5.31833864585159e-26,1.94952566961433e-22
"Cd74",989.710417006338,6.11280149346376,0.594826339655639,10.2766153513017,8.98268558120974e-25,2.46956483341409e-21
"Tgfbi",23.6024412269041,6.10968446255832,0.603405358283775,10.1253400863653,4.26493494713669e-24,9.38029792273245e-21
"Pld4",65.2899920849628,4.18512662943961,0.417749025552571,10.018279812631,1.26688662862477e-23,2.32199204249776e-20
"H2-Ab1",370.706151269271,6.67228518661197,0.686768704384246,9.71547646830285,2.59034668418791e-22,4.06943464085921e-19
"Rubcnl",11.0427638315765,4.18580943624675,0.442630745708203,9.4566621881395,3.17929898851374e-21,4.3703438720857e-18
"Pirb",9.71305941488692,5.11191673648055,0.543074125573458,9.41292633134129,4.82512381747595e-21,5.895765180087e-18
"Nlrp3",19.4427524895516,4.18209087559039,0.45106214187051,9.27165125906525,1.83286073960505e-20,2.01559695534367e-17
"Hck",23.8124189096517,4.23410572065215,0.459203192937427,9.22054939027636,2.95581832243287e-20,2.95501219016312e-17
"Ly86",48.5684824899151,3.51494702115205,0.382460047119042,9.1903639285439,3.91514514342315e-20,3.58790426185203e-17
"Cd300a",17.9758047050902,4.65622033427894,0.512401372893171,9.08705671100865,1.01756315822121e-19,8.6078015776605e-17
"H2-Aa",270.923989199017,6.0902466495014,0.67183294372902,9.06512058741476,1.24466500251431e-19,9.7768435947499e-17
"Ctsh",72.6036661386403,5.24387814537698,0.580927957867521,9.02672710851495,1.76882818443695e-19,1.29678690295021e-16
"Tlr9",9.70485841574311,4.15921110026917,0.466207138292158,8.92138013052628,4.6051303317576e-19,3.16516364114615e-16
"Ctss",354.155843847638,6.36995402323415,0.717401669171882,8.87920156442788,6.73419829319161e-19,4.35623403707224e-16
"Apobec1",21.6887378555622,3.19204491496986,0.360072771173665,8.86499944043347,7.65044560021736e-19,4.67399723697724e-16
"Apoe",2649.35925791787,9.21811907538411,1.0423594684328,8.84351258327766,9.27555517125804e-19,5.3685936957013e-16
"Clec4a3",11.0129826020875,4.92069710884684,0.557842900979492,8.82093704196433,1.13505826229376e-18,6.24111785522221e-16
"Skap2",19.458045419895,2.60189988729947,0.297696872927155,8.74009814653357,2.32907998814354e-18,1.21966155379117e-15
"Spi1",26.404479731153,4.08975455647012,0.468734355078567,8.72510092797576,2.65943336288745e-18,1.32935403143969e-15
"Irf5",61.1224903436224,2.31331837997086,0.265294522286787,8.7198120791583,2.78663896676491e-18,1.33237690076146e-15
"Slc15a3",104.062394388828,3.07714740775903,0.35632249753009,8.6358493473996,5.8292292026107e-18,2.67100139754624e-15
"Cd14",40.3398182613479,5.58030281925179,0.64804860971389,8.61093247575281,7.24686678775766e-18,3.18775176259884e-15
