"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mt-Nd6",97.8623426846112,26.9751708167185,3.92468871410905,6.87320008839025,6.27774138299992e-12,5.53006238428463e-08
"Gzmb",1390.37632252847,2.16073190059821,0.319762818332868,6.7572956476413,1.40591126794191e-11,6.19233617965015e-08
"Selenop",252.355021885355,-8.8712694573245,1.5530188263192,-5.71227425384808,1.11476241936177e-08,3.27331405071928e-05
"Sparc",54.9561129119521,-22.8799353175372,4.06896016919702,-5.62304234156521,1.87623390107634e-08,4.13193610864538e-05
"Wnt10b",14.0913483425488,2.59760547015382,0.5088808579476,5.10454545417643,3.31590568342092e-07,0.000584196263305098
"Kdm7a",178.408602628052,-1.11176103524393,0.264331978802003,-4.20592710833785,2.60014033961405e-05,0.0229046362516601
"Rab6a",75.0369510265149,-1.69649672715901,0.401739319191983,-4.22287947958682,2.41200812905548e-05,0.0229046362516601
"Ubxn2a",60.1755155897143,-2.33457849903076,0.542118909584818,-4.30639562235285,1.6593617239805e-05,0.0229046362516601
"Serpinb1a",29.2761608040126,-6.92940150608461,1.61992399294466,-4.27760903367356,1.88911434040358e-05,0.0229046362516601
"Morf4l2",165.487230838136,-1.91878137995429,0.452825587474863,-4.2373519364358,2.26171472570864e-05,0.0229046362516601
"Vma21",34.0332306343845,-2.63111076354457,0.637791533006106,-4.12534602198832,3.70177779205218e-05,0.0296445096092615
"Gimap6",783.827346192568,-1.64710809497553,0.413261413110802,-3.98563244164757,6.73006249040541e-05,0.0494042670649844
"Itgam",71.3219173671362,-3.17719010315883,0.819743234919722,-3.87583571027577,0.000106259364571464,0.0720029801930792
"Il1rl1",125.822862777271,-1.74323481432959,0.452526628013413,-3.85222593857596,0.000117048946422011,0.0736488692165351
"S1pr1",198.507867852634,-1.66838612128236,0.443217218578554,-3.7642628746082,0.000167041091374655,0.08174805410663
"Vezf1",106.009012345108,-1.4605773556634,0.386038900026418,-3.7834978691615,0.000154639649099318,0.08174805410663
"Bnip3l",61.6086837762143,-1.26052218994734,0.334054587922062,-3.77340181970928,0.000161036609263809,0.08174805410663
